,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,29.15B,29.15B,470.00M,11.19B,11.66B,,,11.66B,473.00M,13.01B,11.66B,2.218B,9.443B,,,381.00M,9.443B,9.443B,2.141B,13.35B,2.93,,,2.93,2.93,2.92,,,2.92,2.92,3.078B,3.083B,0.9
2020-06,32.98B,32.98B,481.00M,12.10B,12.58B,,,12.58B,26.00M,13.85B,5.565B,878.00M,4.687B,,,401.00M,4.687B,4.687B,2.149B,7.824B,1.39,,,1.39,1.39,1.38,,,1.38,1.38,3.076B,3.081B,0.9
2020-03,28.25B,28.25B,859.00M,11.47B,12.33B,,,12.33B,233.00M,14.44B,3.116B,251.00M,2.865B,,,421.00M,2.865B,2.865B,2.197B,7.838B,0.79,,,0.79,0.79,0.78,,,0.78,0.78,3.096B,3.101B,0.9
2019-12,28.51B,28.51B,1.075B,10.67B,11.75B,,,11.75B,123.00M,14.17B,10.56B,2.045B,8.52B,,,386.00M,8.52B,8.52B,2.139B,16.33B,2.58,,,2.58,2.58,2.57,,,2.57,2.57,3.140B,3.148B,0.9
2019-09,29.29B,29.29B,895.00M,11.08B,11.97B,,,11.97B,78.00M,14.23B,11.40B,2.325B,9.08B,,,423.00M,9.08B,9.08B,2.145B,18.30B,2.69,,,2.69,2.69,2.68,,,2.68,2.68,3.198B,3.207B,0.9
2019-06,28.75B,28.75B,777.00M,10.92B,11.70B,,,11.70B,44.00M,14.40B,11.34B,1.69B,9.652B,,,404.00M,9.652B,9.652B,2.046B,18.55B,2.83,,,2.83,2.83,2.82,,,2.82,2.82,3.251B,3.260B,0.8
2019-03,29.12B,29.12B,879.00M,11.30B,12.18B,,,12.18B,13.00M,14.45B,11.23B,2.054B,9.179B,,,374.00M,9.179B,9.179B,2.038B,18.17B,2.65,,,2.65,2.65,2.65,,,2.65,2.65,3.298B,3.308B,0.8
2018-12,26.11B,26.11B,894.00M,10.17B,11.06B,,,11.06B,-24.00M,14.35B,8.841B,1.775B,7.066B,,,384.00M,7.066B,7.066B,2.075B,15.09B,1.99,,,1.99,1.99,1.98,,,1.98,1.98,3.336B,3.347B,0.8
2018-09,27.26B,27.26B,798.00M,10.33B,11.12B,,,11.12B,-46.00M,13.91B,10.69B,2.309B,8.38B,,,379.00M,8.38B,8.38B,1.992B,16.22B,2.35,,,2.35,2.35,2.34,,,2.34,2.34,3.376B,3.394B,0.8
2018-06,27.75B,27.75B,798.00M,10.51B,11.30B,,,11.30B,-80.00M,13.48B,10.57B,2.256B,8.316B,,,379.00M,8.316B,8.316B,1.927B,15.65B,2.31,,,2.31,2.31,2.29,,,2.29,2.29,3.415B,3.435B,0.56
2018-03,27.91B,27.91B,800.00M,10.92B,11.72B,,,11.72B,-245.00M,13.31B,10.66B,1.95B,8.712B,,,409.00M,8.712B,8.712B,1.797B,15.04B,2.38,,,2.38,2.38,2.37,,,2.37,2.37,3.458B,3.480B,0.56
2017-12,24.46B,24.46B,721.00M,9.536B,10.26B,,,10.26B,-28.00M,13.03B,8.254B,4.022B,4.232B,,,428.00M,4.232B,4.232B,1.632B,11.82B,1.08,,,1.08,1.08,1.07,,,1.07,1.07,3.494B,3.516B,0.56
