,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2020-09,-209.00M,209.00M,481.00M,-510.00M,,180.00M,,4.017B,-633.00M,-169.00M,-1.168B,-170.00M,240.00M,1.45B,,,-1.00M,351.00M,3.537B,,2020-09,,,36.00M,36.00M,-269.00M,-1.827B,,2020-09,3.866B,689.00M,,,,-2.39B,-2.39B,5.00M,0.00,-1.696B,,2020-09,7.779B,-2.00M,7.791B,,2020-09,6.139B,-5.45B,,385.00M,56.00M,,2020-09,
2020-06,-8.277B,384.00M,1.367B,1.55B,,3.301B,,6.717B,-2.605B,477.00M,1.783B,1.104B,272.00M,-2.436B,,,-256.00M,467.00M,80.00M,,2020-06,,,20.00M,-1.00M,783.00M,-1.29B,,2020-06,7.239B,1.643B,,,,-2.394B,-2.394B,23.00M,-5.00M,-733.00M,,2020-06,9.69B,32.00M,7.779B,,2020-06,3.794B,-2.151B,,1.161B,222.00M,,2020-06,
2020-03,3.581B,-403.00M,-639.00M,,,-1.042B,,4.288B,58.00M,-1.263B,2.986B,-733.00M,120.00M,-3.469B,,,196.00M,-900.00M,4.722B,,2020-03,,,11.00M,0.00,-36.00M,-3.158B,,2020-03,-2.809B,5.358B,,,,-2.402B,-2.402B,-1.573B,-5.00M,1.378B,,2020-03,6.911B,-163.00M,9.69B,,2020-03,9.177B,-3.819B,,981.00M,106.00M,,2020-03,
2019-12,-6.667B,218.00M,-3.606B,3.43B,,42.00M,,16.43B,-2.952B,-1.714B,-402.00M,27.00M,-37.00M,780.00M,,,151.00M,519.00M,5.657B,,2019-12,,,75.00M,0.00,1.513B,-2.622B,,2019-12,-1.157B,-5.951B,,,,-2.228B,-2.228B,-1.09B,-2.00M,-9.271B,,2019-12,12.82B,327.00M,6.911B,,2019-12,43.00M,-5.994B,,1.301B,231.00M,,2019-12,
2019-09,2.58B,-26.00M,562.00M,-1.172B,,-636.00M,,4.361B,592.00M,-632.00M,1.344B,858.00M,17.00M,-814.00M,,,147.00M,1.552B,7.817B,,2019-09,,,21.00M,0.00,-220.00M,-3.568B,,2019-09,-5.00M,2.157B,,,,-2.237B,-2.237B,-1.005B,-8.00M,-1.093B,,2019-09,9.691B,-27.00M,12.82B,,2019-09,2.366B,-209.00M,,926.00M,136.00M,,2019-09,Restated
2019-06,4.29B,-61.00M,1.484B,-2.258B,,-835.00M,,4.334B,321.00M,-389.00M,437.00M,220.00M,364.00M,-90.00M,,,131.00M,1.062B,8.783B,,2019-06,,,28.00M,0.00,316.00M,-3.24B,,2019-06,-1.357B,-2.482B,,,,-2.25B,-2.25B,-825.00M,-2.00M,-5.559B,,2019-06,9.695B,12.00M,9.691B,,2019-06,-893.00M,-1.589B,,1.833B,257.00M,,2019-06,Restated
2019-03,2.642B,141.00M,-513.00M,,,-372.00M,,4.094B,73.00M,-174.00M,473.00M,-1.098B,-667.00M,82.00M,,,4.00M,-1.206B,5.057B,,2019-03,,,18.00M,952.00M,-45.00M,-2.028B,,2019-03,-2.506B,-1.57B,,,,-2.244B,-2.244B,-15.00M,-6.00M,-3.835B,,2019-03,10.48B,20.00M,9.695B,,2019-03,1.07B,-2.64B,,757.00M,186.00M,,2019-03,Restated
2018-12,3.723B,-207.00M,-1.054B,,,-1.261B,,5.252B,244.00M,-86.00M,2.178B,325.00M,161.00M,-1.50B,,,115.00M,1.279B,9.151B,,2018-12,,,148.00M,-950.00M,161.00M,-4.632B,,2018-12,-1.513B,-1.691B,,,-337.00M,-2.12B,-2.12B,,-4.00M,-4.756B,,2018-12,10.74B,-23.00M,10.48B,,2018-12,580.00M,-2.271B,,,,,2018-12,Restated
2018-09,4.056B,305.00M,-727.00M,,,-422.00M,,5.38B,296.00M,-211.00M,-362.00M,326.00M,123.00M,318.00M,,,65.00M,470.00M,9.569B,,2018-09,,,244.00M,-2.00M,1.109B,-2.227B,,2018-09,58.00M,-2.444B,,,-671.00M,-2.129B,-2.129B,,-32.00M,-5.276B,,2018-09,8.698B,-23.00M,10.74B,,2018-09,5.65B,-3.393B,,,,,2018-09,Restated
2018-06,3.422B,-38.00M,-801.00M,,,-839.00M,,4.498B,127.00M,-292.00M,-1.044B,-532.00M,175.00M,1.218B,,,122.00M,-61.00M,6.855B,,2018-06,,,,-20.00M,704.00M,-2.542B,,2018-06,-2.81B,-1.323B,,,442.00M,-2.129B,-2.129B,,-44.00M,-3.054B,,2018-06,7.517B,-78.00M,8.698B,,2018-06,72.00M,-2.882B,,,,,2018-06,Restated
2018-03,3.659B,63.00M,-998.00M,,,-935.00M,,4.289B,383.00M,-365.00M,-335.00M,-543.00M,-608.00M,-618.00M,,,116.00M,-1.988B,5.043B,,2018-03,,,,-29.00M,137.00M,-2.889B,,2018-03,-2.258B,956.00M,,,566.00M,-2.124B,-2.124B,,-11.00M,-613.00M,,2018-03,5.943B,33.00M,7.517B,,2018-03,73.00M,-2.331B,,,,,2018-03,Restated
2017-12,3.118B,-14.00M,-96.00M,,,-110.00M,,4.735B,-2.739B,24.00M,-1.18B,169.00M,-62.00M,2.141B,,,-3.00M,1.065B,6.093B,,2017-12,,,,4.00M,185.00M,-3.286B,,2017-12,-5.282B,-3.239B,,,-649.00M,-2.039B,-2.039B,,-12.00M,-4.822B,,2017-12,7.955B,3.00M,5.943B,,2017-12,5.051B,-8.29B,,,,,2017-12,Restated
2017-09,1.986B,-98.00M,-764.00M,,,-862.00M,,5.109B,782.00M,-1.579B,-662.00M,268.00M,-173.00M,1.273B,,,-645.00M,61.00M,5.497B,,2017-09,,,,0.00,2.291B,-933.00M,,2017-09,-30.00M,-910.00M,,,370.00M,-2.032B,-2.032B,,-25.00M,-2.597B,,2017-09,5.966B,22.00M,7.955B,,2017-09,0.00,-910.00M,,,,,2017-09,Restated
2017-06,1.466B,112.00M,-862.00M,,,-750.00M,,5.311B,-683.00M,-210.00M,610.00M,-154.00M,382.00M,-1.04B,,,39.00M,-163.00M,4.971B,,2017-06,,,,-2.00M,598.00M,-2.628B,,2017-06,-35.00M,-2.412B,,,34.00M,-2.032B,-2.032B,,-41.00M,-4.451B,,2017-06,8.073B,1.00M,5.966B,,2017-06,-3.00M,-2.409B,,,,,2017-06,Restated
2017-03,2.699B,131.00M,-658.00M,,,-527.00M,,4.194B,-563.00M,-961.00M,317.00M,-550.00M,26.00M,-845.00M,,,-13.00M,-1.065B,3.777B,,2017-03,,,,2.00M,1.84B,-1.473B,,2017-03,3.028B,-900.00M,,,245.00M,-2.029B,-2.029B,,,-2.684B,,2017-03,8.414B,39.00M,8.073B,,2017-03,3.994B,-4.894B,,,,,2017-03,Restated
2016-12,438.00M,-135.00M,-841.00M,,,-976.00M,,4.203B,-696.00M,-299.00M,-1.666B,371.00M,-15.00M,2.249B,,,98.00M,1.037B,3.707B,,2016-12,,,,140.00M,1.106B,-2.441B,,2016-12,-772.00M,489.00M,,,291.00M,-2.025B,-2.025B,,-6.00M,-1.251B,,2016-12,7.351B,-52.00M,8.414B,,2016-12,14.78B,-13.42B,,,,,2016-12,Restated
2016-09,1.301B,19.00M,-222.00M,,,-203.00M,,4.13B,-899.00M,227.00M,403.00M,451.00M,821.00M,-850.00M,,,-70.00M,755.00M,5.311B,,2016-09,,,,0.00,-1.198B,-5.263B,,2016-09,-34.00M,476.00M,,,97.00M,-2.005B,-2.005B,,-33.00M,-1.465B,,2016-09,8.764B,4.00M,7.351B,,2016-09,-2.00M,-32.00M,,,,,2016-09,Restated
2016-06,-1.463B,90.00M,-267.00M,,,-177.00M,,6.721B,-1.151B,-385.00M,-1.326B,-43.00M,264.00M,7.00M,,,84.00M,-1.014B,2.531B,,2016-06,,,,90.00M,1.222B,-3.157B,,2016-06,6.16B,2.717B,,,139.00M,-2.002B,-2.002B,,-24.00M,830.00M,,2016-06,8.562B,-2.00M,8.764B,,2016-06,6.926B,-766.00M,,,,,2016-06,Restated
2016-03,-707.00M,212.00M,-219.00M,,,-7.00M,,4.403B,-1.089B,-401.00M,468.00M,-176.00M,-241.00M,-1.044B,,,-65.00M,-1.058B,1.141B,,2016-03,,,,67.00M,-10.00M,-5.509B,,2016-03,-14.00M,3.788B,,,123.00M,-2.00B,-2.00B,,,1.911B,,2016-03,11.02B,-3.00M,8.562B,,2016-03,0.00,-14.00M,,,,,2016-03,Restated
2015-12,-555.00M,-48.00M,-184.00M,,,-232.00M,,5.40B,-1.383B,1.019B,1.294B,530.00M,546.00M,-2.028B,,,-34.00M,308.00M,4.557B,,2015-12,,,,-20.00M,261.00M,-7.208B,,2015-12,5.092B,2.708B,,,53.00M,-1.999B,-1.999B,,-6.00M,756.00M,,2015-12,12.93B,-16.00M,11.02B,,2015-12,5.102B,-345.00M,,,,,2015-12,Restated
2015-09,2.057B,-135.00M,-393.00M,,,-528.00M,,4.268B,249.00M,-437.00M,2.041B,166.00M,-608.00M,-1.895B,,,47.00M,-249.00M,5.36B,,2015-09,,,,51.00M,480.00M,-6.279B,,2015-09,-7.00M,3.962B,,,20.00M,-1.999B,-1.999B,,-96.00M,1.887B,,2015-09,12.16B,-191.00M,12.93B,,2015-09,0.00,1.913B,,,,,2015-09,Restated
2015-06,608.00M,188.00M,1.025B,,,1.213B,,6.958B,194.00M,-1.662B,-911.00M,-279.00M,1.143B,7.00M,,,-51.00M,-91.00M,7.22B,,2015-06,,,,55.00M,3.873B,-3.715B,,2015-06,-11.00M,-2.048B,,,83.00M,-1.997B,-1.997B,,-26.00M,-3.988B,,2015-06,12.68B,-36.00M,12.16B,,2015-06,-4.00M,-1.927B,,,,,2015-06,Restated
2015-03,2.60B,-87.00M,-1.208B,,,-1.295B,,4.411B,-921.00M,-495.00M,1.207B,-332.00M,-368.00M,-2.492B,,,4.00M,-1.981B,2.319B,,2015-03,,,,88.00M,908.00M,-6.606B,,2015-03,5.985B,6.102B,,,55.00M,-1.997B,-1.997B,,,4.16B,,2015-03,12.78B,17.00M,12.68B,,2015-03,5.993B,-8.00M,,,,,2015-03,Restated
2014-12,3.472B,-216.00M,-697.00M,,,-913.00M,,4.873B,1.098B,-2.257B,3.103B,785.00M,-644.00M,-3.408B,,,388.00M,224.00M,6.497B,,2014-12,,,,-289.00M,3.215B,-6.742B,,2014-12,3.984B,2.121B,,-1.238B,-1.238B,-2.002B,-2.002B,,-29.00M,-1.148B,,2014-12,14.22B,-37.00M,12.78B,,2014-12,4.00B,-16.00M,-1.238B,,,,2014-12,Restated
2014-09,5.627B,-162.00M,-666.00M,,,-828.00M,,3.948B,-31.00M,-542.00M,1.243B,-96.00M,421.00M,-1.203B,,,141.00M,506.00M,8.68B,,2014-09,,,,-40.00M,931.00M,-7.373B,,2014-09,-7.00M,2.164B,,-1.155B,-1.155B,-2.012B,-2.012B,,-16.00M,-1.019B,,2014-09,13.96B,-32.00M,14.22B,,2014-09,0.00,-7.00M,-1.155B,,,,2014-09,Restated
2014-06,5.69B,87.00M,-382.00M,,,-295.00M,,3.842B,218.00M,-221.00M,-1.228B,263.00M,-48.00M,-110.00M,,,-230.00M,-1.353B,7.881B,,2014-06,,,,294.00M,1.439B,-7.198B,,2014-06,-8.00M,479.00M,,-829.00M,-829.00M,-2.019B,-2.019B,,-2.00M,-2.371B,,2014-06,15.61B,35.00M,13.96B,,2014-06,0.00,-8.00M,-829.00M,,,,2014-06,Restated
2014-03,4.521B,14.00M,-457.00M,,,-443.00M,,4.13B,287.00M,-415.00M,1.373B,-1.098B,-136.00M,243.00M,,,-45.00M,337.00M,8.417B,,2014-03,,,,-320.00M,284.00M,-8.58B,,2014-03,-12.00M,2.624B,,-1.19B,-1.19B,-1.895B,-1.895B,,,-461.00M,,2014-03,16.24B,-9.00M,15.61B,,2014-03,0.00,-12.00M,-1.19B,,,,2014-03,Restated
2013-12,4.958B,-148.00M,-188.00M,,,-336.00M,,3.635B,907.00M,516.00M,-197.00M,512.00M,536.00M,-94.00M,,,15.00M,772.00M,10.45B,,2013-12,,,,1.344B,438.00M,-9.831B,,2013-12,-10.00M,1.834B,,-1.188B,-1.188B,-1.903B,-1.903B,,-6.00M,-1.263B,,2013-12,17.01B,-127.00M,16.24B,,2013-12,0.00,-10.00M,-1.188B,,,,2013-12,Restated
2013-09,4.996B,183.00M,128.00M,,,311.00M,,3.658B,937.00M,152.00M,-1.408B,530.00M,-207.00M,1.512B,,,-165.00M,262.00M,10.32B,,2013-09,,,,84.00M,216.00M,-9.307B,,2013-09,-12.00M,-1.381B,,-1.278B,-1.278B,-1.915B,-1.915B,,-20.00M,-4.594B,,2013-09,20.63B,-31.00M,17.01B,,2013-09,0.00,-12.00M,-1.278B,,,,2013-09,Restated
