,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,24.00B,24.00B,17.46B,6.532B,832.00M,,1.091B,164.00M,-164.00M,4.721B,6.644B,-112.00M,164.00M,-164.00M,232.00M,-164.00M,-44.00M,165.00M,-209.00M,,,2.00M,-207.00M,-207.00M,4.137B,,2020-09,-0.12,,,,2020-09,-0.12,,,,2020-09,1.854B,,2020-09,AOR,
2020-06,15.93B,15.93B,14.86B,1.065B,1.569B,,965.00M,172.00M,-172.00M,6.425B,8.959B,-7.894B,172.00M,-172.00M,-2.531B,-172.00M,-10.60B,-2.32B,-8.277B,,,7.00M,-8.27B,-8.27B,-3.708B,,2020-06,-4.44,,,,2020-06,-4.44,,,,2020-06,1.853B,,2020-06,AOR,
2020-03,29.70B,29.70B,19.80B,9.908B,683.00M,,1.167B,162.00M,-162.00M,5.449B,7.299B,2.609B,162.00M,-162.00M,1.698B,-162.00M,4.145B,564.00M,3.581B,,,18.00M,3.599B,3.599B,8.595B,,2020-03,1.93,,,,2020-03,1.93,,,,2020-03,1.862B,,2020-03,AOR,
2019-12,34.57B,34.57B,36.12B,-1.548B,1.129B,,969.00M,178.00M,-178.00M,6.259B,8.357B,-9.905B,178.00M,-178.00M,1.678B,-178.00M,-8.405B,-1.738B,-6.667B,,,57.00M,-6.61B,-6.61B,8.202B,,2019-12,-3.51,,,,2019-12,-3.51,,,,2019-12,1.870B,,2019-12,AOR,
2019-09,34.78B,34.78B,24.24B,10.54B,954.00M,,1.059B,197.00M,-197.00M,5.493B,7.506B,3.03B,197.00M,-197.00M,1.216B,-197.00M,4.049B,1.469B,2.58B,,,0.00,2.58B,2.58B,8.607B,,2019-09,1.38,,,,2019-09,1.36,,,,2019-09,1.881B,,2019-09,AOR,Restated
2019-06,36.32B,36.32B,25.17B,11.15B,1.076B,,1.047B,198.00M,-198.00M,5.328B,7.451B,3.703B,198.00M,-198.00M,2.43B,-198.00M,5.935B,1.645B,4.29B,,,15.00M,4.305B,4.305B,10.47B,,2019-06,2.28,,,,2019-06,2.27,,,,2019-06,1.889B,,2019-06,AOR,Restated
2019-03,34.19B,34.19B,23.80B,10.39B,984.00M,,1.061B,225.00M,-225.00M,5.075B,7.12B,3.272B,225.00M,-225.00M,910.00M,-225.00M,3.957B,1.315B,2.642B,,,7.00M,2.649B,2.649B,8.276B,,2019-03,1.40,,,,2019-03,1.39,,,,2019-03,1.888B,,2019-03,AOR,Restated
2018-12,40.34B,40.34B,29.17B,11.17B,1.08B,,901.00M,190.00M,-190.00M,5.895B,7.876B,3.29B,190.00M,-190.00M,1.798B,-190.00M,4.898B,1.175B,3.723B,,,7.00M,3.73B,3.73B,10.34B,,2018-12,1.97,,,,2018-12,1.95,,,,2018-12,1.895B,,2018-12,AOR,Restated
2018-09,42.10B,42.10B,30.06B,12.04B,1.018B,,1.259B,182.00M,-182.00M,5.61B,7.887B,4.157B,182.00M,-182.00M,1.724B,-182.00M,5.699B,1.643B,4.056B,,,-9.00M,4.047B,4.047B,11.26B,,2018-09,2.13,,,,2018-09,2.11,,,,2018-09,1.901B,,2018-09,AOR,Restated
2018-06,40.49B,40.49B,29.24B,11.25B,1.017B,,1.363B,217.00M,-217.00M,5.39B,7.77B,3.479B,217.00M,-217.00M,1.643B,-217.00M,4.905B,1.483B,3.422B,,,-13.00M,3.409B,3.409B,9.62B,,2018-06,1.79,,,,2018-06,1.78,,,,2018-06,1.900B,,2018-06,AOR,Restated
