,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.370B,4.370B,2.842B,1.528B,1.140B,-10.97M,5.633M,25.79M,-25.79M,1.215B,313.18M,25.79M,-25.79M,10.27M,-25.79M,297.66M,64.75M,232.92M,-5.387M,,227.53M,241.49M,392.55M,69.10M,323.45M,1.61,-0.03,,1.669,1.58,1.61,-0.04,,1.669,1.57,144.27M,145.04M,0.79
2020-06,3.823B,3.823B,2.533B,1.290B,971.59M,-531.78M,11.30M,25.46M,-25.46M,1.050B,240.86M,25.46M,-25.46M,-519.84M,-25.46M,-304.44M,59.06M,-363.50M,-200.87M,,-564.37M,24.70M,-212.24M,63.54M,-278.97M,-2.52,-1.392,,0.1709,-2.52,-2.52,-1.392,,0.1709,-2.52,144.26M,144.26M,0.79
2020-03,4.560B,4.560B,3.059B,1.501B,1.233B,-1.439M,7.30M,20.97M,-20.97M,1.310B,190.30M,20.97M,-20.97M,9.609M,-20.97M,178.94M,42.41M,136.54M,,,136.54M,137.63M,270.36M,70.44M,199.91M,0.94,,,0.9476,0.94,0.94,,,0.9475,0.94,145.05M,145.62M,0.79
2019-12,6.150B,6.150B,4.214B,1.936B,1.520B,-236.91M,4.475M,22.14M,-22.14M,1.608B,327.99M,22.14M,-22.14M,-233.64M,-22.14M,72.21M,18.58M,53.63M,,,8.918M,229.57M,177.67M,83.32M,94.35M,0.06,,,1.271,0.06,0.06,,,1.264,0.06,145.32M,146.08M,0.7625
2019-09,4.525B,4.525B,3.020B,1.505B,1.176B,0.00,1.192M,26.45M,-26.45M,1.243B,262.68M,26.45M,-26.45M,47.66M,-26.45M,283.88M,71.62M,212.26M,15.23M,,227.49M,212.26M,376.00M,65.67M,310.33M,1.46,0.1,,1.46,1.56,1.45,0.1,,1.45,1.56,145.57M,146.19M,0.7625
2019-06,4.458B,4.458B,2.975B,1.483B,1.127B,0.00,5.513M,23.26M,-23.26M,1.195B,287.21M,23.26M,-23.26M,18.25M,-23.26M,282.20M,72.68M,209.52M,14.91M,,224.43M,209.52M,368.14M,59.32M,305.46M,1.43,0.1021,,1.43,1.43,1.43,0.1016,,1.43,1.43,146.08M,146.74M,0.7625
2019-03,4.737B,4.737B,3.229B,1.508B,1.204B,0.00,3.969M,23.88M,-23.88M,1.270B,238.32M,23.88M,-23.88M,-2.922M,-23.88M,211.51M,51.26M,160.25M,,,160.25M,160.25M,297.37M,61.98M,235.40M,1.1,,,1.1,1.1,1.09,,,1.09,1.09,145.98M,146.69M,0.7625
2018-12,4.604B,4.604B,3.062B,1.542B,1.214B,,5.841M,26.26M,-26.26M,1.284B,258.54M,26.26M,-26.26M,22.00M,-26.26M,254.29M,67.59M,186.70M,,,186.70M,186.70M,344.28M,63.74M,280.54M,1.28,,,1.28,1.28,1.27,,,1.27,1.27,146.39M,147.00M,0.72
2018-09,4.723B,4.723B,3.239B,1.484B,1.119B,,4.939M,25.08M,-25.08M,1.185B,298.95M,25.08M,-25.08M,17.87M,-25.08M,291.74M,71.51M,220.23M,,,220.23M,220.23M,377.90M,61.08M,316.82M,1.5,,,1.5,1.5,1.49,,,1.49,1.49,146.76M,147.45M,0.72
2018-06,4.822B,4.822B,3.300B,1.522B,1.148B,,3.666M,26.48M,-26.48M,1.210B,311.25M,26.48M,-26.48M,15.50M,-26.48M,300.27M,73.30M,226.97M,,,226.97M,226.97M,385.20M,58.45M,326.75M,1.55,,,1.55,1.55,1.54,,,1.54,1.54,146.75M,147.26M,0.72
2018-03,4.586B,4.586B,3.150B,1.436B,1.134B,,2.701M,24.11M,-24.11M,1.195B,240.97M,24.11M,-24.11M,12.46M,-24.11M,229.32M,52.74M,176.58M,,,176.58M,176.58M,311.79M,58.36M,253.43M,1.2,,,1.2,1.2,1.2,,,1.2,1.2,146.73M,147.32M,0.72
2017-12,4.207B,4.207B,2.923B,1.284B,1.010B,,4.75M,18.22M,-18.22M,1.065B,218.84M,18.22M,-18.22M,21.38M,-18.22M,222.00M,113.82M,108.18M,,,108.18M,108.18M,290.28M,50.05M,240.22M,0.74,,,0.74,0.74,0.73,,,0.73,0.73,146.62M,147.18M,0.675
2017-09,4.096B,4.096B,2.869B,1.227B,931.50M,,3.508M,9.038M,-9.038M,975.28M,251.61M,9.038M,-9.038M,3.787M,-9.038M,246.36M,87.91M,158.44M,,,158.44M,158.44M,295.67M,40.28M,255.39M,1.08,,,1.08,1.08,1.08,,,1.08,1.08,146.72M,147.22M,0.675
2017-06,4.100B,4.100B,2.860B,1.240B,906.94M,,2.546M,7.446M,-7.446M,948.72M,290.99M,7.446M,-7.446M,13.59M,-7.446M,297.14M,107.16M,189.97M,,,189.97M,189.97M,343.82M,39.23M,304.58M,1.29,,,1.29,1.29,1.29,,,1.29,1.29,147.08M,147.65M,0.675
2017-03,3.906B,3.906B,2.750B,1.156B,877.36M,,3.128M,6.779M,-6.779M,918.62M,237.10M,6.779M,-6.779M,13.45M,-6.779M,243.78M,83.62M,160.16M,,,160.16M,160.16M,288.69M,38.13M,250.55M,1.08,,,1.08,1.08,1.08,,,1.08,1.08,148.15M,148.79M,0.675
2016-12,3.780B,3.780B,2.649B,1.131B,869.75M,,,,,920.50M,210.58M,,,,,236.29M,83.77M,152.52M,,,152.52M,152.52M,296.61M,39.24M,257.37M,1.03,,,1.03,1.03,1.02,,,1.02,1.02,148.48M,149.14M,0.6575
2016-09,3.942B,3.942B,2.743B,1.199B,869.56M,,,,,907.24M,291.36M,,,,,291.36M,106.03M,185.33M,,,185.33M,185.33M,329.04M,37.68M,291.36M,1.24,,,1.24,1.24,1.24,,,1.24,1.24,148.90M,149.73M,0.6575
2016-06,3.900B,3.900B,2.734B,1.165B,829.49M,,,,,865.40M,300.05M,,,,,300.05M,108.68M,191.37M,,,191.37M,191.37M,335.96M,35.91M,300.05M,1.28,,,1.28,1.28,1.28,,,1.28,1.28,149.24M,150.03M,0.6575
2016-03,3.718B,3.718B,2.614B,1.104B,823.17M,,,,,857.83M,246.64M,,,,,246.64M,88.62M,158.02M,,,158.02M,158.02M,281.30M,34.65M,246.64M,1.06,,,1.06,1.06,1.05,,,1.05,1.05,149.59M,150.34M,0.6575
2015-12,3.682B,3.682B,2.586B,1.095B,784.85M,,,,,833.14M,262.34M,,,,,261.61M,100.34M,161.27M,,,161.27M,161.27M,319.18M,35.91M,283.27M,1.07,,,1.07,1.07,1.07,,,1.07,1.07,150.54M,151.31M,0.615
2015-09,3.922B,3.922B,2.753B,1.169B,834.37M,,,,,868.65M,300.58M,,,,,300.58M,112.56M,188.02M,,,188.02M,188.02M,334.85M,34.28M,300.58M,1.24,,,1.24,1.24,1.24,,,1.24,1.24,151.35M,152.14M,0.615
2015-06,3.940B,3.940B,2.762B,1.178B,832.61M,,,,,868.21M,310.12M,,,,,310.12M,114.74M,195.37M,,,195.37M,195.37M,345.72M,35.60M,310.12M,1.28,,,1.28,1.28,1.28,,,1.28,1.28,152.13M,152.99M,0.615
2015-03,3.736B,3.736B,2.623B,1.113B,825.55M,,,,,861.44M,251.38M,,,,,251.38M,90.37M,161.01M,,,161.01M,161.01M,287.26M,35.88M,251.38M,1.05,,,1.05,1.05,1.05,,,1.05,1.05,152.66M,153.57M,0.615
2014-12,3.822B,3.822B,2.676B,1.147B,827.87M,,,,,874.75M,271.79M,,,,,265.30M,99.74M,165.56M,,,165.56M,165.56M,330.08M,39.69M,290.39M,1.08,,,1.08,1.08,1.07,,,1.07,1.07,152.99M,154.11M,0.575
2014-09,3.986B,3.986B,2.802B,1.183B,850.16M,,,,,885.14M,298.28M,,,,,298.28M,107.77M,190.52M,,,190.52M,190.52M,333.27M,34.98M,298.28M,1.25,,,1.25,1.25,1.24,,,1.24,1.24,153.02M,154.10M,0.575
2014-06,3.908B,3.908B,2.729B,1.179B,832.20M,,,,,868.99M,310.18M,,,,,310.18M,112.45M,197.73M,,,197.73M,197.73M,346.96M,36.78M,310.18M,1.29,,,1.29,1.29,1.28,,,1.28,1.28,153.46M,154.53M,0.575
2014-03,3.625B,3.625B,2.540B,1.085B,803.80M,,,,,840.66M,243.97M,,,,,243.97M,86.49M,157.48M,,,157.48M,157.48M,280.83M,36.86M,243.97M,1.02,,,1.02,1.02,1.02,,,1.02,1.02,153.73M,154.80M,0.575
2013-12,3.518B,3.518B,2.426B,1.092B,806.93M,,,,,851.51M,240.63M,,,,,235.69M,85.23M,150.47M,,,150.47M,150.47M,298.55M,35.88M,262.66M,0.98,,,0.98,0.98,0.97,,,0.97,0.97,154.04M,155.10M,0.5375
2013-09,3.685B,3.685B,2.584B,1.101B,793.96M,,,,,829.18M,271.75M,,,,,271.75M,98.00M,173.75M,,,173.75M,173.75M,306.97M,35.22M,271.75M,1.12,,,1.12,1.12,1.12,,,1.12,1.12,154.57M,155.66M,0.5375
2013-06,3.676B,3.676B,2.571B,1.105B,753.53M,,,,,790.38M,314.73M,,,,,314.73M,98.37M,216.36M,,,216.36M,216.36M,351.58M,36.85M,314.73M,1.4,,,1.4,1.4,1.39,,,1.39,1.39,155.05M,156.14M,0.5375
2013-03,3.199B,3.199B,2.277B,921.75M,673.61M,,,,,699.61M,222.14M,,,,,222.14M,77.75M,144.39M,,,144.39M,144.39M,248.14M,26.00M,222.14M,0.93,,,0.93,0.93,0.93,,,0.93,0.93,154.89M,155.93M,0.5375
2012-12,3.119B,3.119B,2.208B,910.66M,629.43M,,,,,662.53M,248.12M,,,,,251.93M,91.70M,160.22M,,,160.22M,160.22M,297.46M,25.05M,272.41M,1.03,,,1.03,1.03,1.03,,,1.03,1.03,154.95M,155.86M,0.495
2012-09,3.376B,3.376B,2.400B,976.04M,678.89M,,,,,704.50M,271.53M,,,,,271.53M,98.59M,172.94M,,,172.94M,172.94M,297.14M,25.61M,271.53M,1.11,,,1.11,1.11,1.11,,,1.11,1.11,155.15M,156.14M,0.495
2012-06,3.338B,3.338B,2.366B,972.29M,680.25M,,,,,704.98M,267.30M,,,,,267.30M,98.69M,168.62M,,,168.62M,168.62M,292.04M,24.74M,267.30M,1.08,,,1.08,1.08,1.08,,,1.08,1.08,155.75M,156.77M,0.495
2012-03,3.181B,3.181B,2.262B,919.11M,667.96M,,,,,690.94M,228.17M,,,,,228.17M,81.91M,146.26M,,,146.26M,146.26M,251.15M,22.98M,228.17M,0.94,,,0.94,0.94,0.93,,,0.93,0.93,155.81M,156.95M,0.495
2011-12,3.014B,3.014B,2.122B,892.60M,628.50M,,,,,663.75M,228.85M,,,,,210.18M,75.22M,134.96M,,,134.96M,134.96M,259.21M,22.00M,237.21M,0.87,,,0.87,0.87,0.86,,,0.86,0.86,155.55M,156.67M,0.45
