,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,44.05B,134.03B,178.08B,,,,178.08B,,,,,,,,3.516B,9.889B,2.654B,12.54B,314.60B,7.407B,,307.20B,134.03B,496.41B,540.46B,,13.72B,13.72B,13.72B,13.72B,42.44B,,42.44B,413.22B,630.00M,455.66B,487.26B,6.005B,63.39B,8.516B,25.96B,5.984B,612.00M,52.56B
2020-06,,52.39B,128.12B,180.51B,,,,180.51B,,,,,,,,3.616B,9.842B,2.518B,12.36B,318.51B,7.383B,,311.13B,128.12B,494.26B,546.65B,,20.60B,20.60B,20.60B,20.60B,42.58B,,42.58B,413.31B,630.00M,455.88B,494.17B,6.005B,62.53B,8.483B,25.96B,5.984B,798.00M,51.85B
2020-03,,46.80B,123.68B,170.49B,,,,170.49B,,,,,,,,3.66B,9.836B,2.629B,12.46B,322.93B,6.216B,,316.71B,123.68B,496.10B,542.91B,,26.34B,26.34B,26.34B,26.34B,52.30B,,52.30B,394.85B,630.00M,447.15B,490.75B,6.005B,62.54B,8.452B,25.97B,5.984B,503.00M,51.53B
2019-12,,22.40B,122.61B,145.02B,,,,145.02B,504.00M,3.624B,3.366B,1.141B,21.00M,8.656B,-4.954B,3.702B,9.655B,3.223B,12.88B,301.68B,4.02B,,297.66B,122.61B,473.02B,495.43B,7.576B,14.15B,21.73B,21.73B,23.72B,40.17B,,40.17B,361.92B,630.00M,402.08B,442.94B,6.005B,63.19B,8.475B,24.44B,5.984B,-1.373B,51.85B
2019-09,,15.27B,74.60B,89.87B,,,,89.87B,,,,,,,,3.673B,9.632B,2.983B,12.62B,299.17B,4.007B,,295.16B,121.08B,472.40B,487.67B,,14.58B,14.58B,14.58B,14.58B,41.27B,,41.27B,359.72B,630.00M,400.99B,433.52B,6.005B,62.42B,8.49B,22.22B,5.984B,-1.173B,53.52B
2019-06,,16.93B,69.20B,86.13B,,,,86.13B,,,,,,,,3.69B,9.548B,3.161B,12.71B,295.85B,4.019B,,291.83B,115.58B,464.79B,481.72B,,15.03B,15.03B,15.03B,15.03B,41.01B,,41.01B,353.18B,627.00M,394.18B,428.18B,6.005B,61.25B,8.465B,21.46B,5.984B,-1.344B,52.91B
2019-03,,18.12B,68.11B,86.23B,,,,86.23B,,,,,,,,3.686B,9.547B,3.341B,12.89B,290.42B,3.99B,,286.43B,114.40B,457.66B,475.78B,,15.40B,15.40B,15.40B,15.40B,40.68B,,40.68B,348.09B,629.00M,388.77B,423.09B,6.005B,60.09B,8.432B,20.70B,5.984B,-1.773B,52.06B
2018-12,,21.45B,66.12B,87.57B,,,,87.57B,515.00M,3.602B,3.11B,,20.00M,7.247B,-4.79B,2.457B,9.369B,3.392B,12.76B,288.87B,3.973B,,284.89B,112.16B,445.92B,467.37B,6.94B,4.159B,11.10B,11.10B,14.14B,41.34B,,41.34B,345.48B,628.00M,386.82B,415.72B,6.005B,59.06B,8.469B,20.19B,5.984B,-2.322B,51.03B
2018-09,,20.08B,64.91B,84.99B,,,,84.99B,,,,,,,,2.438B,9.53B,3.544B,13.07B,285.99B,3.954B,,282.04B,110.96B,444.52B,464.61B,,23.87B,23.87B,23.87B,23.87B,40.89B,,40.89B,331.18B,632.00M,372.07B,413.60B,6.005B,57.88B,8.479B,19.41B,5.984B,-2.573B,50.38B
2018-06,,19.02B,66.35B,85.37B,,,,85.37B,,,,,,,,2.431B,9.425B,3.415B,12.84B,283.43B,3.92B,,279.51B,112.40B,442.31B,461.33B,,18.14B,18.14B,18.14B,18.14B,37.17B,,37.17B,340.08B,629.00M,377.25B,411.07B,5.44B,56.74B,8.468B,18.71B,5.419B,-2.315B,49.63B
