,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,6.116B,6.116B,3.634B,2.482B,1.391B,1.391B,,-75.00M,259.00M,14.00M,-245.00M,,1.489B,993.00M,14.00M,259.00M,-245.00M,-77.00M,-245.00M,671.00M,38.00M,624.00M,3.00M,,-12.00M,,615.00M,683.67M,1.028B,98.00M,930.00M,0.99,0.01,,1.1059999999999999,1.0,0.99,0.01,,1.1059999999999999,1.0,616.00M,618.00M,0.24
2020-06,6.275B,6.275B,3.485B,2.79B,,1.222B,,-261.00M,263.00M,11.00M,-252.00M,,1.346B,1.444B,11.00M,263.00M,-252.00M,-255.00M,-252.00M,937.00M,202.00M,723.00M,3.00M,,-245.00M,,481.00M,682.62M,1.324B,124.00M,1.20B,0.78,0.0,,1.113,0.78,0.77,0.0,,1.102,0.78,615.00M,617.00M,0.24
2020-03,6.669B,6.669B,4.065B,2.604B,,1.341B,,-233.00M,241.00M,14.00M,-227.00M,,1.454B,1.15B,14.00M,241.00M,-227.00M,-266.00M,-227.00M,657.00M,137.00M,511.00M,8.00M,,-3.00M,,516.00M,692.30M,1.011B,113.00M,898.00M,0.83,0.01,,1.13,0.84,0.82,0.01,,1.119,0.84,614.00M,616.00M,0.24
2019-12,6.871B,6.871B,4.806B,2.065B,1.41B,1.41B,,-468.00M,239.00M,13.00M,-226.00M,,1.53B,535.00M,13.00M,239.00M,-226.00M,-578.00M,-226.00M,-269.00M,0.00,-269.00M,15.00M,,-4.00M,,-258.00M,156.00M,90.00M,120.00M,-30.00M,-0.44,0.02,,0.2576,-0.42,-0.44,0.02,,0.2553,-0.42,615.00M,617.00M,0.24
2019-09,6.698B,6.698B,3.959B,2.739B,1.50B,1.50B,,-122.00M,246.00M,19.00M,-227.00M,,1.608B,1.131B,19.00M,246.00M,-227.00M,-122.00M,-227.00M,782.00M,126.00M,642.00M,4.00M,,-16.00M,,630.00M,728.36M,1.136B,108.00M,1.028B,1.02,0.01,,1.186,1.02,1.01,0.01,,1.176,1.02,615.00M,617.00M,0.18
2019-06,7.143B,7.143B,4.21B,2.933B,,1.371B,,-7.00M,237.00M,15.00M,-222.00M,,1.48B,1.453B,15.00M,237.00M,-222.00M,8.00M,-222.00M,1.239B,241.00M,977.00M,6.00M,,-6.00M,,977.00M,976.64M,1.585B,109.00M,1.476B,1.58,0.01,,1.589,1.59,1.57,0.01,,1.579,1.58,615.00M,617.00M,0.18
2019-03,7.10B,7.10B,4.248B,2.852B,,1.313B,,371.00M,240.00M,19.00M,-221.00M,,1.419B,1.433B,19.00M,240.00M,-221.00M,381.00M,-221.00M,1.593B,-376.00M,1.951B,13.00M,,-5.00M,,1.959B,1.647B,1.939B,106.00M,1.833B,3.17,0.02,,2.6830000000000003,3.2,3.15,0.02,,2.6660000000000004,3.18,613.00M,617.00M,0.18
2018-12,16.76B,16.76B,9.411B,7.349B,3.601B,3.601B,,-382.00M,681.00M,36.00M,-645.00M,,3.866B,3.483B,36.00M,681.00M,-645.00M,-477.00M,-645.00M,2.361B,305.00M,2.061B,,,,,2.056B,2.357B,3.307B,265.00M,3.042B,1.5,0.0,,2.392,1.5,1.49,0.0,,2.3819999999999997,1.49,373.00M,373.00M,0.18
2018-09,3.263B,3.263B,1.922B,1.341B,549.00M,549.00M,,-46.00M,115.00M,12.00M,-103.00M,,605.00M,736.00M,12.00M,115.00M,-103.00M,-63.00M,-103.00M,570.00M,64.00M,488.00M,,,,,488.00M,528.85M,741.00M,56.00M,685.00M,1.3,,,1.409,1.3,1.29,,,1.3980000000000001,1.29,375.00M,379.00M,0.18
2018-06,3.466B,3.466B,2.184B,1.282B,532.00M,532.00M,,-35.00M,116.00M,14.00M,-102.00M,,588.00M,694.00M,14.00M,116.00M,-102.00M,-59.00M,-102.00M,533.00M,113.00M,400.00M,,,,,400.00M,427.58M,705.00M,56.00M,649.00M,1.06,,,1.133,1.06,1.05,,,1.122,1.05,378.00M,381.00M,0.18
2018-03,3.761B,3.761B,2.40B,1.361B,524.00M,524.00M,,-9.00M,118.00M,17.00M,-101.00M,,580.00M,781.00M,17.00M,118.00M,-101.00M,-20.00M,-101.00M,660.00M,135.00M,511.00M,,,,,511.00M,518.16M,834.00M,56.00M,778.00M,1.34,,,1.359,1.34,1.32,,,1.339,1.32,382.00M,386.00M,0.18
2017-12,16.76B,16.76B,9.543B,7.221B,3.988B,3.988B,,140.00M,752.00M,42.00M,-710.00M,,4.265B,2.956B,42.00M,752.00M,-710.00M,81.00M,-710.00M,2.327B,325.00M,2.051B,-76.00M,,,,1.923B,1.879B,3.356B,277.00M,3.079B,0.1,-0.21,,-0.2145,-0.1,0.1,-0.21,,-0.2145,-0.1,383.00M,383.00M,0.18
2017-09,3.171B,3.171B,1.862B,1.309B,525.00M,525.00M,,-5.00M,116.00M,17.00M,-99.00M,,580.00M,729.00M,17.00M,116.00M,-99.00M,-24.00M,-99.00M,606.00M,172.00M,418.00M,174.00M,,,,592.00M,421.58M,777.00M,55.00M,722.00M,1.04,0.43,,1.0490000000000002,1.48,1.03,0.43,,1.0390000000000001,1.46,401.00M,406.00M,0.18
2017-06,3.373B,3.257B,2.004B,1.253B,507.00M,507.00M,,,111.00M,15.00M,-96.00M,,563.00M,690.00M,15.00M,111.00M,-96.00M,-16.00M,-96.00M,578.00M,169.00M,397.00M,-339.00M,,,,58.00M,397.00M,745.00M,56.00M,689.00M,0.98,-0.84,,0.98,0.14,0.97,-0.84,,0.97,0.14,405.00M,410.00M,0.18
2017-03,3.343B,3.343B,2.074B,1.269B,488.00M,488.00M,,,109.00M,13.00M,-96.00M,,543.00M,726.00M,13.00M,109.00M,-96.00M,-21.00M,-96.00M,609.00M,138.00M,454.00M,-706.00M,,,,-252.00M,454.00M,773.00M,55.00M,718.00M,1.11,-1.72,,1.11,-0.61,1.09,-1.72,,1.09,-0.61,410.00M,416.00M,0.18
2016-12,3.518B,3.518B,2.138B,1.38B,731.00M,731.00M,,-38.00M,107.00M,10.00M,-97.00M,0.00,788.00M,592.00M,10.00M,107.00M,-97.00M,-113.00M,-97.00M,382.00M,104.00M,271.00M,-384.00M,,,,-113.00M,298.65M,546.00M,57.00M,489.00M,0.64,-0.91,,0.7054,-0.27,0.63,-0.91,,0.6948,-0.27,423.00M,427.00M,0.18
2016-09,3.084B,3.084B,1.788B,1.296B,521.00M,521.00M,,0.00,104.00M,7.00M,-97.00M,,575.00M,721.00M,7.00M,104.00M,-97.00M,,-97.00M,624.00M,145.00M,466.00M,12.00M,,,,478.00M,466.00M,782.00M,54.00M,728.00M,1.05,0.03,,1.05,1.08,1.04,0.03,,1.04,1.07,442.00M,446.00M,0.18
2016-06,2.976B,2.976B,1.758B,1.218B,510.00M,510.00M,,,100.00M,8.00M,-92.00M,,567.00M,651.00M,8.00M,100.00M,-92.00M,-4.00M,-92.00M,555.00M,173.00M,373.00M,50.00M,,,,423.00M,373.00M,712.00M,57.00M,655.00M,0.83,0.11,,0.83,0.94,0.82,0.11,,0.82,0.93,451.00M,455.00M,0.15
2016-03,3.588B,3.588B,2.272B,1.316B,503.00M,503.00M,,,100.00M,7.00M,-93.00M,-9.00M,551.00M,765.00M,7.00M,100.00M,-93.00M,-3.00M,-93.00M,669.00M,206.00M,442.00M,31.00M,,,,473.00M,442.00M,826.00M,57.00M,769.00M,0.96,0.07,,0.96,1.03,0.95,0.07,,0.95,1.02,459.00M,464.00M,0.15
2015-12,2.695B,2.695B,2.02B,675.00M,171.00M,171.00M,,10.00M,103.00M,6.00M,-97.00M,-120.00M,87.00M,588.00M,6.00M,103.00M,-97.00M,7.00M,-97.00M,498.00M,97.00M,402.00M,,,,,261.00M,393.95M,637.00M,36.00M,601.00M,0.54,0.02,,0.5228,0.56,0.53,0.02,,0.5129,0.55,469.00M,471.00M,0.15
2015-09,3.257B,3.257B,1.842B,1.415B,597.00M,597.00M,,,102.00M,6.00M,-96.00M,,662.00M,753.00M,6.00M,102.00M,-96.00M,-4.00M,-96.00M,653.00M,211.00M,426.00M,,,,,426.00M,426.00M,820.00M,65.00M,755.00M,0.89,0.0,,0.89,0.89,0.88,0.0,,0.88,0.88,480.00M,484.00M,0.15
2015-06,3.219B,3.219B,1.907B,1.312B,605.00M,605.00M,,-55.00M,94.00M,7.00M,-87.00M,,671.00M,641.00M,7.00M,94.00M,-87.00M,-51.00M,-87.00M,503.00M,165.00M,332.00M,,,,,332.00M,368.96M,663.00M,66.00M,597.00M,0.68,,,0.7554,0.68,0.67,,,0.7447,0.67,490.00M,495.00M,0.15
2015-03,3.50B,3.50B,2.142B,1.358B,588.00M,588.00M,,,93.00M,5.00M,-88.00M,-19.00M,637.00M,721.00M,5.00M,93.00M,-88.00M,-23.00M,-88.00M,610.00M,203.00M,394.00M,,,,,394.00M,394.00M,771.00M,68.00M,703.00M,0.79,,,0.79,0.79,0.78,,,0.78,0.78,498.00M,506.00M,0.15
2014-12,2.394B,2.394B,1.834B,560.00M,178.00M,178.00M,,59.00M,87.00M,3.00M,-84.00M,,218.00M,342.00M,3.00M,87.00M,-84.00M,39.00M,-84.00M,297.00M,98.00M,199.00M,214.00M,,,,413.00M,159.47M,424.00M,40.00M,384.00M,0.78,0.02,,0.7031,0.8,0.77,0.02,,0.6943,0.79,514.00M,522.00M,0.15
2014-09,3.367B,3.367B,1.936B,1.431B,617.00M,617.00M,,-430.00M,89.00M,4.00M,-85.00M,,685.00M,746.00M,4.00M,89.00M,-85.00M,-451.00M,-85.00M,210.00M,110.00M,72.00M,1.567B,,,,1.639B,351.50M,367.00M,68.00M,299.00M,0.14,2.95,,0.6654,3.08,0.13,2.9,,0.6466,3.03,532.00M,541.00M,0.15
2014-06,3.188B,3.188B,1.798B,1.39B,589.00M,589.00M,,0.00,94.00M,3.00M,-91.00M,,660.00M,730.00M,3.00M,94.00M,-91.00M,6.00M,-91.00M,645.00M,217.00M,418.00M,21.00M,,,,439.00M,418.00M,810.00M,71.00M,739.00M,0.73,0.04,,0.73,0.77,0.72,0.04,,0.72,0.76,570.00M,581.00M,0.12
2014-03,3.57B,3.57B,2.121B,1.449B,587.00M,587.00M,,,93.00M,3.00M,-90.00M,,658.00M,791.00M,3.00M,93.00M,-90.00M,5.00M,-90.00M,706.00M,234.00M,462.00M,6.00M,,,,468.00M,462.00M,870.00M,71.00M,799.00M,0.79,0.01,,0.79,0.8,0.77,0.01,,0.77,0.78,585.00M,600.00M,0.12
2013-12,3.571B,3.571B,2.122B,1.449B,641.00M,641.00M,,-20.00M,94.00M,2.00M,-92.00M,,714.00M,735.00M,2.00M,94.00M,-92.00M,-11.00M,-92.00M,632.00M,200.00M,422.00M,48.00M,,,,470.00M,435.67M,799.00M,73.00M,726.00M,0.78,0.01,,0.8028,0.78,0.76,0.01,,0.7822,0.76,599.00M,615.00M,0.12
2013-09,3.302B,3.302B,1.801B,1.501B,667.00M,667.00M,,0.00,93.00M,2.00M,-91.00M,,737.00M,764.00M,2.00M,93.00M,-91.00M,6.00M,-91.00M,679.00M,226.00M,431.00M,63.00M,,,,494.00M,431.00M,842.00M,70.00M,772.00M,0.71,0.1,,0.71,0.82,0.7,0.1,,0.7,0.8,603.00M,618.00M,0.12
2013-06,3.369B,3.369B,1.892B,1.477B,629.00M,629.00M,,,94.00M,2.00M,-92.00M,,702.00M,775.00M,2.00M,94.00M,-92.00M,-6.00M,-92.00M,677.00M,234.00M,435.00M,37.00M,,,,472.00M,435.00M,844.00M,31.00M,771.00M,0.71,0.06,,0.71,0.78,0.7,0.06,,0.7,0.76,609.00M,624.00M,0.12
