,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,624.00M,0.00,0.00,12.00M,35.00M,,98.00M,98.00M,-48.00M,,46.00M,46.00M,,,,,,,,659.00M,,1.414B,-81.00M,,,-1.00M,0.00,,-82.00M,-366.00M,-8.00M,-374.00M,,0.00,0.00,,,-149.00M,,-149.00M,,-20.00M,-543.00M,2.43B,789.00M,11.00M,3.23B,,-5.00M,-369.00M,0.00,,
2020-06,723.00M,0.00,-32.00M,13.00M,84.00M,,124.00M,124.00M,75.00M,,57.00M,57.00M,,,,,,,,-268.00M,,795.00M,-81.00M,,,5.00M,-160.00M,,-236.00M,1.835B,-512.00M,1.323B,,0.00,0.00,,,-149.00M,,-149.00M,,-46.00M,1.128B,731.00M,1.687B,12.00M,2.43B,,4.37B,-3.047B,0.00,,
2020-03,511.00M,0.00,,9.00M,9.00M,,113.00M,113.00M,149.00M,,88.00M,88.00M,,,,,,,,-514.00M,,356.00M,-51.00M,,,0.00,100.00M,,49.00M,0.00,-186.00M,-186.00M,,-58.00M,-58.00M,,,-152.00M,,-152.00M,,-83.00M,-479.00M,834.00M,-74.00M,-29.00M,731.00M,,0.00,-186.00M,-58.00M,,
2019-12,-269.00M,549.00M,-24.00M,0.00,27.00M,,120.00M,120.00M,-263.00M,,120.00M,12.38B,,,,,,,,-12.75B,,-459.00M,-102.00M,,,-14.00M,-34.00M,8.00M,-144.00M,-90.00M,649.00M,559.00M,,-43.00M,-43.00M,,,-149.00M,,-149.00M,,-38.00M,344.00M,1.078B,-259.00M,15.00M,834.00M,,0.00,534.00M,-43.00M,,
2019-09,642.00M,0.00,-12.00M,17.00M,5.00M,,108.00M,108.00M,29.00M,,65.00M,65.00M,,,,,,,,-349.00M,,500.00M,-109.00M,,,-19.00M,-5.00M,2.00M,-131.00M,-221.00M,50.00M,-171.00M,,0.00,0.00,,,-147.00M,,-147.00M,,-15.00M,-333.00M,1.06B,36.00M,-18.00M,1.078B,,-1.00M,-170.00M,0.00,,
2019-06,977.00M,0.00,-39.00M,24.00M,-15.00M,,109.00M,109.00M,36.00M,,50.00M,50.00M,,,,,,,,-897.00M,,260.00M,-75.00M,,,8.00M,-33.00M,1.00M,-99.00M,0.00,0.00,0.00,,0.00,0.00,,,-149.00M,,-149.00M,,-60.00M,-209.00M,1.107B,-48.00M,1.00M,1.06B,,0.00,0.00,0.00,,
2019-03,1.951B,-549.00M,-38.00M,17.00M,-570.00M,,106.00M,106.00M,-571.00M,,56.00M,56.00M,,,,,,,,-43.00M,,929.00M,-67.00M,,,382.00M,-99.00M,3.00M,219.00M,-107.00M,-674.00M,-781.00M,,-14.00M,-14.00M,,,-150.00M,,-150.00M,,-73.00M,-1.018B,976.00M,130.00M,1.00M,1.107B,,493.00M,-1.274B,-14.00M,,
2018-12,2.061B,,,2.00M,63.00M,,265.00M,265.00M,109.00M,,86.00M,11.49B,,,,,,,,-11.90B,0.00,2.284B,-253.00M,,,26.00M,-161.00M,-4.00M,-392.00M,-1.09B,300.00M,-790.00M,,-89.00M,-89.00M,,,-391.00M,,-391.00M,6.00M,-203.00M,-1.467B,182.00M,425.00M,,976.00M,,0.00,-785.00M,-89.00M,,-406.00M
2018-09,488.00M,0.00,,18.00M,18.00M,,56.00M,56.00M,-91.00M,,14.00M,14.00M,,,,,,,,-351.00M,3.00M,137.00M,-37.00M,,,-5.00M,0.00,6.00M,-36.00M,-4.00M,4.00M,0.00,,-103.00M,-103.00M,,,-68.00M,,-68.00M,1.00M,-1.00M,-171.00M,252.00M,-70.00M,,182.00M,,0.00,0.00,-103.00M,-31.00M,175.00M
2018-06,400.00M,0.00,,20.00M,20.00M,,56.00M,56.00M,-39.00M,,47.00M,47.00M,,,,,,,,-156.00M,-2.00M,326.00M,-32.00M,,,-60.00M,0.00,-1.00M,-93.00M,-4.00M,153.00M,149.00M,,-208.00M,-208.00M,,,-69.00M,,-69.00M,6.00M,-6.00M,-128.00M,147.00M,105.00M,,252.00M,,0.00,149.00M,-208.00M,2.00M,49.00M
