,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.086B,3.086B,6.946B,6.946B,1.869B,1.256B,,,13.16B,,,,,3.789B,,3.789B,,3.789B,17.00B,2.832B,19.83B,1.007B,13.64B,38.27B,51.42B,436.00M,,2.10B,2.536B,2.89B,5.426B,,,18.00M,,18.00M,710.00M,710.00M,,1.609B,7.763B,19.70B,1.769B,21.47B,816.00M,816.00M,,2.045B,689.00M,196.00M,2.492B,28.42B,36.18B,1.00M,9.704B,29.72B,22.96B,,-1.91B,14.56B
2020-06,2.288B,2.288B,7.139B,7.139B,1.837B,1.175B,,,12.44B,,,,,3.836B,,3.836B,,3.836B,17.08B,2.948B,20.02B,919.00M,13.97B,38.75B,51.19B,422.00M,,2.09B,2.512B,2.742B,5.254B,,,364.00M,,364.00M,695.00M,695.00M,,1.672B,7.985B,19.70B,1.816B,21.52B,708.00M,708.00M,,2.07B,676.00M,274.00M,2.596B,28.65B,36.64B,1.00M,9.15B,29.68B,22.96B,,-1.999B,13.87B
2020-03,589.00M,589.00M,7.199B,7.199B,1.431B,1.187B,,,10.41B,,,,,3.902B,,3.902B,,3.902B,16.95B,2.968B,19.92B,931.00M,13.89B,38.64B,49.04B,673.00M,,2.086B,2.759B,2.894B,5.653B,,,532.00M,,532.00M,691.00M,691.00M,,1.655B,8.531B,18.00B,1.841B,19.85B,639.00M,639.00M,,2.092B,72.00M,270.00M,2.59B,26.99B,35.52B,1.00M,8.827B,29.63B,22.96B,,-2.054B,13.45B
2019-12,632.00M,632.00M,7.206B,7.206B,2.876B,401.00M,,787.00M,11.90B,0.00,439.00M,1.263B,4.096B,2.134B,,7.932B,-3.908B,4.024B,16.98B,2.993B,19.97B,939.00M,12.68B,37.62B,49.52B,667.00M,,1.977B,2.644B,3.26B,5.904B,,,717.00M,,717.00M,739.00M,739.00M,,1.688B,9.048B,18.00B,1.909B,19.91B,500.00M,500.00M,,2.121B,82.00M,254.00M,2.85B,27.18B,36.23B,1.00M,8.494B,29.59B,22.91B,,-1.97B,13.21B
2019-09,196.00M,196.00M,3.685B,3.685B,1.964B,218.00M,,210.00M,6.273B,,,,,3.943B,,3.943B,-1.771B,2.172B,5.064B,2.655B,7.719B,779.00M,7.533B,18.20B,24.48B,308.00M,94.00M,1.201B,1.603B,2.058B,3.661B,50.00M,,50.00M,131.00M,181.00M,,,,,4.122B,9.359B,948.00M,10.31B,552.00M,552.00M,,1.354B,,,3.089B,15.30B,19.42B,1.00M,-14.68B,43.51B,22.86B,,-918.00M,5.052B
2019-06,216.00M,216.00M,3.795B,3.795B,1.945B,158.00M,,222.00M,6.336B,,,,,3.853B,,3.853B,-1.754B,2.099B,5.062B,2.66B,7.722B,785.00M,6.893B,17.50B,23.84B,214.00M,113.00M,1.188B,1.515B,1.965B,3.48B,0.00,,0.00,146.00M,146.00M,,,,,3.843B,9.359B,858.00M,10.22B,535.00M,535.00M,,1.366B,,,3.121B,15.24B,19.08B,1.00M,-15.00B,43.53B,22.86B,,-922.00M,4.753B
2019-03,500.00M,500.00M,4.147B,4.147B,1.533B,152.00M,,400.00M,6.732B,,,,,3.915B,,3.915B,-1.769B,2.146B,5.062B,2.665B,7.727B,797.00M,6.673B,17.34B,24.08B,273.00M,299.00M,1.157B,1.729B,2.566B,4.295B,0.00,,0.00,,0.00,,,,,4.492B,9.358B,866.00M,10.22B,538.00M,538.00M,,1.377B,,,3.095B,15.23B,19.73B,1.00M,-15.44B,43.58B,22.86B,,-934.00M,4.349B
2018-12,856.00M,856.00M,7.199B,7.199B,2.785B,372.00M,,668.00M,11.88B,0.00,439.00M,1.242B,3.899B,335.00M,,5.915B,-3.836B,2.079B,16.53B,2.943B,19.47B,266.00M,10.80B,32.62B,44.50B,502.00M,,1.828B,2.33B,3.086B,5.416B,,,1.013B,,1.013B,643.00M,643.00M,,1.249B,8.321B,18.10B,0.00,18.10B,656.00M,656.00M,,1.908B,54.00M,239.00M,3.183B,25.67B,33.99B,1.00M,5.569B,49.91B,43.42B,,-1.608B,10.45B
2018-09,182.00M,182.00M,3.697B,3.697B,1.828B,137.00M,,196.00M,6.04B,,,,,,,3.004B,-1.782B,1.222B,4.921B,2.65B,7.571B,,6.235B,15.03B,21.07B,229.00M,68.00M,1.11B,1.407B,1.536B,2.943B,374.00M,14.00M,388.00M,,388.00M,,,,406.00M,3.993B,9.465B,,9.465B,563.00M,563.00M,,1.226B,,,3.307B,14.56B,18.55B,1.00M,-17.76B,43.67B,22.76B,,-634.00M,2.514B
2018-06,252.00M,252.00M,3.597B,3.597B,1.876B,117.00M,,206.00M,6.048B,,,,,,,2.984B,-1.747B,1.237B,4.921B,2.655B,7.576B,,5.524B,14.34B,20.38B,138.00M,129.00M,1.071B,1.338B,1.466B,2.804B,370.00M,16.00M,386.00M,,386.00M,,,,369.00M,3.784B,9.464B,,9.464B,454.00M,454.00M,,1.289B,,,3.227B,14.43B,18.22B,1.00M,-18.25B,43.72B,22.66B,,-646.00M,2.167B
