,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,901.30M,1.295B,2.197B,563.70M,563.70M,26.00M,311.80M,138.40M,,476.20M,,,119.80M,3.356B,0.00,73.40M,508.50M,1.944B,,118.30M,2.644B,-1.876B,767.90M,2.299B,1.662B,3.961B,,100.20M,71.80M,4.901B,2018-03,144.10M,27.50M,171.60M,114.50M,286.10M,,,1.310B,,1.310B,333.80M,333.80M,,2.017B,1.758B,,1.758B,205.80M,205.80M,,240.90M,,2018-03,0.20M,1.397B,2.562B,-17.60M,3.280B,,2018-03,AOR,Restated
2017-12,672.08M,427.51M,1.100B,553.14M,553.14M,22.49M,309.81M,154.77M,,487.06M,60.12M,,53.53M,2.253B,0.00,73.45M,506.04M,1.911B,,115.01M,2.606B,-1.851B,754.78M,2.299B,1.785B,4.084B,885.39M,70.79M,75.81M,5.870B,2017-12,162.72M,,162.72M,258.41M,421.13M,,,,,,335.70M,335.70M,,756.83M,3.040B,,3.040B,208.82M,208.82M,,238.69M,,2017-12,0.234M,1.336B,2.556B,-22.19M,3.185B,,2017-12,AOR,Restated
2017-09,826.41M,488.20M,1.315B,545.42M,545.42M,19.75M,296.94M,140.25M,,456.94M,44.40M,,82.06M,2.443B,0.00,73.45M,501.97M,1.862B,,108.13M,2.545B,-1.822B,722.78M,2.299B,1.906B,4.205B,529.25M,81.37M,73.64M,5.612B,2017-09,182.60M,,182.60M,221.24M,403.84M,,,5.98M,,5.98M,324.36M,324.36M,,734.19M,3.012B,,3.012B,328.24M,328.24M,,240.46M,,2017-09,0.234M,1.672B,2.590B,-17.81M,3.546B,,2017-09,AOR,Restated
2017-06,773.04M,457.21M,1.230B,528.95M,528.95M,16.27M,279.19M,131.38M,,426.84M,43.78M,,68.94M,2.299B,0.00,73.50M,501.48M,1.801B,,114.02M,2.490B,-1.796B,694.00M,2.299B,2.027B,4.326B,420.46M,74.06M,75.03M,5.589B,2017-06,171.86M,,171.86M,244.53M,416.39M,,,11.26M,,11.26M,308.80M,308.80M,,736.44M,2.984B,,2.984B,347.22M,347.22M,,220.52M,,2017-06,0.233M,1.567B,2.584B,-19.13M,3.413B,,2017-06,AOR,Restated
2017-03,908.70M,394.10M,1.303B,478.40M,478.40M,14.40M,268.30M,134.50M,,417.20M,41.30M,,58.90M,2.305B,0.00,73.40M,499.70M,1.775B,,104.30M,2.452B,-1.769B,683.30M,2.299B,2.148B,4.447B,107.50M,68.90M,75.10M,5.382B,2017-03,149.20M,,149.20M,212.50M,361.70M,,,50.00M,,50.00M,292.80M,292.80M,,704.50M,2.900B,,2.900B,409.10M,409.10M,,217.20M,,2017-03,0.20M,1.479B,2.537B,-14.40M,3.271B,,2017-03,AOR,Restated
2016-12,663.94M,5.705M,669.64M,475.09M,475.09M,14.73M,267.40M,137.49M,,419.62M,51.26M,,55.37M,1.677B,0.00,73.47M,499.79M,1.752B,,112.20M,2.438B,-1.739B,698.70M,2.362B,2.234B,4.596B,30.01M,60.80M,82.61M,5.468B,2016-12,135.16M,,135.16M,222.13M,357.29M,,,,,,294.26M,294.26M,,651.55M,3.124B,,3.124B,386.82M,386.82M,,148.55M,,2016-12,0.216M,1.425B,1.904B,-10.83M,2.567B,,2016-12,AOR,Restated
2016-09,489.99M,0.848M,490.84M,451.04M,451.04M,15.23M,292.54M,116.93M,,424.69M,60.82M,,49.27M,1.491B,0.00,73.69M,500.46M,1.751B,,107.80M,2.433B,-1.716B,717.00M,2.385B,2.323B,4.707B,0.00,68.82M,90.39M,5.584B,2016-09,131.62M,,131.62M,223.98M,355.61M,,,,,,223.20M,223.20M,,578.80M,3.105B,,3.105B,416.45M,416.45M,,161.24M,,2016-09,0.216M,1.396B,1.905B,-15.90M,2.520B,,2016-09,AOR,Restated
2016-06,600.53M,1.266M,601.79M,435.51M,435.51M,14.97M,346.51M,156.95M,,518.43M,51.77M,,47.09M,1.673B,0.00,73.69M,498.86M,1.739B,,109.17M,2.421B,-1.688B,732.82M,2.391B,2.403B,4.794B,0.00,68.65M,89.99M,5.686B,2016-06,137.61M,,137.61M,222.50M,360.11M,,,,,,213.17M,213.17M,,573.28M,3.337B,,3.337B,468.56M,468.56M,,157.11M,,2016-06,0.215M,1.440B,1.901B,-14.43M,2.533B,,2016-06,AOR,Restated
2016-03,2.093B,353.28M,2.446B,290.18M,290.18M,12.18M,208.28M,86.35M,,306.82M,41.99M,,11.69M,3.097B,0.00,63.91M,458.38M,1.646B,,99.37M,2.267B,-1.658B,609.40M,1.013B,606.35M,1.619B,118.55M,14.83M,79.39M,2.441B,2016-03,79.31M,,79.31M,119.26M,198.58M,,,,,,183.43M,183.43M,,382.01M,2.453B,,2.453B,399.22M,399.22M,,41.27M,,2016-03,0.204M,1.583B,1.392B,-3.357M,2.151B,,2016-03,AOR,Restated
2015-12,331.45M,676.45M,1.008B,248.01M,248.01M,13.30M,211.12M,95.10M,,319.52M,36.49M,0.00,20.80M,1.633B,0.00,63.93M,456.65M,1.640B,,95.80M,2.257B,-1.634B,622.84M,1.011B,654.57M,1.666B,1.390B,18.91M,116.29M,3.814B,2015-12,69.06M,,69.06M,111.27M,180.33M,,,,,,163.58M,163.58M,,343.91M,2.406B,,2.406B,422.67M,422.67M,0.00,41.07M,,2015-12,0.203M,1.588B,1.386B,-10.66M,2.126B,,2015-12,AOR,Restated
