,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2010-03,492.13M,722.19M,1.214B,137.81M,137.81M,4.912M,100.61M,11.06M,,116.58M,13.07M,77.81M,51.38M,1.611B,0.00,39.67M,349.96M,1.191B,,84.25M,1.664B,-1.171B,493.04M,40.34M,35.53M,75.86M,317.22M,,19.22M,905.34M,2010-03,44.24M,,44.24M,60.21M,104.45M,,,,,,98.94M,98.94M,,203.39M,340.67M,,340.67M,376.71M,376.71M,,5.018M,,2010-03,0.185M,1.267B,1.277B,3.032M,1.533B,,2010-03,AOR,Restated
2009-12,361.29M,716.68M,1.078B,113.76M,113.76M,4.863M,97.31M,10.61M,,112.78M,14.12M,73.74M,50.35M,1.443B,0.00,39.67M,347.62M,1.167B,,95.47M,1.649B,-1.154B,495.06M,36.16M,29.00M,65.16M,421.63M,,19.02M,1.001B,2009-12,38.39M,,38.39M,49.16M,87.55M,,,,,,97.58M,97.58M,,185.14M,339.00M,,339.00M,431.61M,431.61M,,3.983M,,2009-12,0.184M,1.254B,1.275B,2.712M,1.484B,,2009-12,AOR,Restated
2009-09,541.04M,822.95M,1.364B,106.65M,106.65M,3.886M,91.77M,12.80M,,108.45M,14.06M,78.08M,56.23M,1.727B,0.00,39.67M,335.58M,1.163B,,104.34M,1.642B,-1.144B,497.96M,36.16M,28.78M,64.94M,108.73M,,19.20M,690.83M,2009-09,33.93M,,33.93M,50.16M,84.09M,,,,,,86.26M,86.26M,,170.35M,337.40M,,337.40M,448.22M,448.22M,,3.993M,,2009-09,0.184M,1.247B,1.276B,4.349M,1.458B,,2009-09,AOR,Restated
2009-06,576.98M,830.46M,1.407B,98.04M,98.04M,3.75M,101.99M,8.132M,,113.87M,11.86M,71.04M,58.89M,1.761B,0.00,39.67M,334.96M,1.150B,,111.89M,1.636B,-1.122B,513.76M,36.16M,25.64M,61.80M,30.73M,,18.97M,625.27M,2009-06,28.88M,,28.88M,36.88M,65.76M,,,,,,,83.43M,,149.19M,408.28M,,408.28M,367.79M,367.79M,,3.946M,,2009-06,0.183M,1.265B,1.278B,4.282M,1.457B,,2009-06,AOR,Restated
2009-03,446.33M,943.62M,1.390B,88.52M,88.52M,3.693M,114.68M,13.14M,,131.51M,11.45M,69.63M,51.74M,1.743B,0.00,39.67M,334.72M,1.149B,,114.48M,1.637B,-1.106B,531.69M,36.16M,25.72M,61.88M,50.83M,,34.25M,678.65M,2009-03,29.23M,,29.23M,42.49M,71.71M,,,,,,,83.93M,,155.64M,1.219B,,1.219B,51.96M,51.96M,,3.834M,,2009-03,0.183M,1.303B,778.20M,4.312M,990.77M,,2009-03,AOR,Restated
2008-12,391.19M,1.006B,1.398B,78.56M,78.56M,4.47M,113.67M,18.36M,,136.51M,16.42M,69.40M,42.44M,1.741B,0.00,39.67M,333.13M,1.141B,,114.08M,1.628B,-1.085B,543.70M,34.18M,20.78M,54.95M,,,107.55M,706.21M,2008-12,29.27M,,29.27M,48.05M,77.32M,,,,,,98.42M,98.42M,,175.74M,1.149B,,1.149B,33.98M,33.98M,,69.92M,,2008-12,0.182M,1.342B,790.44M,5.275M,1.019B,,2008-12,,Restated
2008-09,311.74M,796.68M,1.108B,120.89M,120.89M,4.321M,102.29M,20.23M,,126.84M,18.62M,67.15M,44.65M,1.487B,0.00,39.75M,331.45M,1.142B,,92.67M,1.606B,-1.063B,543.12M,31.89M,11.18M,43.07M,,,444.24M,1.030B,2008-09,60.51M,,60.51M,57.46M,117.97M,,,,,,103.51M,103.51M,,221.48M,1.150B,,1.150B,32.94M,32.94M,,123.89M,,2008-09,0.182M,1.331B,785.62M,-0.693M,989.17M,,2008-09,,Restated
2008-06,685.58M,353.59M,1.039B,135.75M,135.75M,3.87M,100.49M,21.44M,,125.80M,17.35M,66.62M,46.65M,1.431B,0.00,39.75M,331.03M,1.124B,,73.58M,1.568B,-1.047B,520.79M,31.89M,11.33M,43.22M,,,548.10M,1.112B,2008-06,47.77M,,47.77M,49.63M,97.40M,,,,,,97.12M,97.12M,,194.52M,1.150B,,1.150B,27.35M,27.35M,,118.81M,,2008-06,0.184M,1.317B,788.23M,-0.711M,1.053B,,2008-06,,
2008-03,487.74M,837.05M,1.325B,138.32M,138.32M,4.205M,95.97M,24.30M,,124.48M,17.14M,63.26M,49.74M,1.718B,0.00,39.76M,330.52M,1.101B,,78.07M,1.549B,-1.027B,522.30M,31.89M,11.61M,43.50M,,,228.77M,794.58M,2008-03,39.32M,,39.32M,56.32M,95.64M,,,,,,95.44M,95.44M,,191.08M,1.150B,,1.150B,21.46M,21.46M,,113.42M,,2008-03,0.184M,1.301B,793.92M,2.508M,1.036B,,2008-03,,
2007-12,831.00M,607.01M,1.438B,114.40M,114.40M,4.591M,94.36M,25.86M,,124.80M,21.33M,60.66M,38.02M,1.797B,0.00,35.06M,327.23M,1.087B,,82.30M,1.532B,-1.007B,524.77M,31.89M,11.79M,43.68M,,,251.08M,819.53M,2007-12,35.60M,,35.60M,47.86M,83.46M,,,,,,93.35M,93.35M,,176.80M,1.150B,,1.150B,14.11M,14.11M,,112.53M,,2007-12,0.189M,1.285B,797.43M,-0.168M,1.163B,,2007-12,,
2007-09,174.22M,659.08M,833.31M,125.91M,125.91M,4.653M,91.95M,27.99M,,124.59M,22.16M,64.36M,72.18M,1.243B,0.00,35.06M,325.66M,1.083B,,76.05M,1.520B,-983.73M,536.32M,31.89M,10.20M,42.08M,,,427.77M,1.006B,2007-09,39.65M,,39.65M,52.82M,92.48M,,,,,,93.38M,93.38M,,185.86M,106.03M,,106.03M,13.83M,13.83M,,0.984M,,2007-09,0.215M,1.271B,798.68M,-3.015M,1.942B,,2007-09,,
2007-06,168.00M,553.57M,721.57M,127.32M,127.32M,5.092M,90.24M,28.44M,,123.77M,18.55M,63.27M,29.61M,1.084B,0.00,47.21M,373.42M,1.077B,,74.00M,1.571B,-966.43M,604.77M,31.89M,8.376M,40.26M,,,633.22M,1.278B,2007-06,48.47M,,48.47M,47.88M,96.35M,,,,,,89.93M,89.93M,,186.29M,,,,6.186M,6.186M,,108.83M,,2007-06,0.219M,1.275B,794.36M,-8.191M,2.061B,,2007-06,,
2007-03,167.48M,583.00M,750.48M,124.56M,124.56M,5.118M,83.78M,32.12M,,121.02M,15.55M,61.98M,11.15M,1.085B,0.00,47.21M,372.15M,1.060B,,69.04M,1.548B,-942.24M,605.72M,31.89M,8.456M,40.34M,,,538.74M,1.185B,2007-03,34.68M,,34.68M,129.88M,164.56M,,,,,,91.36M,91.36M,,255.92M,,,,8.327M,8.327M,,0.926M,,2007-03,0.217M,1.255B,755.83M,-7.169M,2.004B,,2007-03,,
2006-12,153.28M,575.28M,728.55M,120.08M,120.08M,4.974M,82.27M,34.61M,,121.85M,15.93M,68.99M,11.14M,1.067B,0.00,47.21M,371.72M,1.050B,,72.31M,1.541B,-916.48M,625.00M,31.89M,8.767M,40.65M,,,546.27M,1.212B,2006-12,34.74M,,34.74M,218.49M,253.24M,,,29.50M,,29.50M,92.14M,92.14M,,374.87M,,,,13.20M,13.20M,,0.892M,,2006-12,0.216M,1.185B,713.61M,-9.487M,1.889B,,2006-12,,
2006-09,132.57M,479.45M,612.02M,123.11M,123.11M,5.312M,78.61M,33.66M,,117.58M,14.28M,69.63M,12.29M,948.90M,0.00,47.21M,371.11M,1.043B,,66.62M,1.528B,-888.98M,638.59M,31.89M,9.052M,40.94M,,,662.83M,1.342B,2006-09,41.58M,,41.58M,205.12M,246.70M,,,80.80M,,80.80M,98.21M,98.21M,,425.71M,,,,15.03M,15.03M,,0.854M,,2006-09,0.215M,1.166B,693.17M,-9.974M,1.850B,,2006-09,,
2006-06,136.66M,617.13M,753.79M,137.20M,137.20M,4.427M,79.07M,33.14M,,116.64M,12.28M,77.05M,9.015M,1.106B,0.00,47.21M,368.61M,1.019B,,74.63M,1.510B,-861.15M,648.54M,31.89M,9.264M,41.15M,,,499.03M,1.189B,2006-06,41.45M,,41.45M,204.84M,246.29M,,,137.50M,,137.50M,110.91M,110.91M,,494.70M,,,,11.35M,11.35M,,0.836M,,2006-06,0.215M,1.137B,665.60M,-15.28M,1.788B,,2006-06,,
2006-03,565.27M,199.49M,764.76M,139.36M,139.36M,3.505M,80.95M,30.57M,,115.02M,11.37M,78.54M,9.767M,1.119B,0.00,47.21M,366.06M,991.45M,,87.34M,1.492B,-832.09M,659.97M,31.89M,9.489M,41.38M,,,530.42M,1.232B,2006-03,50.85M,,50.85M,189.69M,240.53M,,,268.95M,,268.95M,99.48M,99.48M,,608.97M,,,,14.64M,14.64M,,0.801M,,2006-03,0.214M,1.106B,639.24M,-19.62M,1.726B,,2006-03,,
2005-12,157.45M,834.90M,992.35M,111.98M,111.98M,3.483M,84.29M,26.86M,,114.64M,11.88M,62.71M,8.629M,1.302B,0.00,47.21M,365.31M,982.64M,,79.04M,1.474B,-820.63M,653.56M,,41.33M,41.33M,,,9.397M,704.28M,2005-12,36.36M,,36.36M,171.27M,207.63M,,,45.45M,,45.45M,84.67M,84.67M,,337.76M,,,,19.03M,19.03M,,0.552M,,2005-12,0.212M,1.071B,592.30M,-14.67M,1.649B,,2005-12,,
2005-09,110.08M,792.41M,902.49M,120.50M,120.50M,3.687M,78.23M,28.31M,,110.23M,12.36M,90.60M,9.046M,1.245B,0.00,47.21M,364.26M,965.42M,,83.49M,1.460B,-797.79M,662.59M,,41.65M,41.65M,,,8.632M,712.88M,2005-09,32.63M,,32.63M,160.55M,193.18M,,,45.45M,,45.45M,88.96M,88.96M,,327.59M,,,,17.30M,17.30M,,0.561M,,2005-09,0.21M,1.065B,557.87M,-10.25M,1.613B,,2005-09,,
2005-06,141.37M,673.67M,815.04M,130.61M,130.61M,4.286M,79.01M,20.54M,,103.84M,10.71M,95.86M,6.547M,1.163B,0.00,47.21M,363.67M,955.03M,,87.28M,1.453B,-773.07M,680.12M,,41.34M,41.34M,,,7.983M,729.45M,2005-06,33.19M,,33.19M,148.53M,181.72M,,,45.45M,,45.45M,90.06M,90.06M,,317.23M,,,,20.95M,20.95M,,0.559M,,2005-06,0.209M,1.025B,533.37M,-5.583M,1.553B,,2005-06,,
2005-03,68.73M,665.87M,734.60M,113.09M,113.09M,4.852M,73.30M,25.58M,,103.73M,10.83M,105.10M,8.003M,1.075B,0.00,45.64M,356.23M,938.26M,,84.85M,1.425B,-731.68M,693.30M,,41.18M,41.18M,,,7.729M,742.21M,2005-03,34.33M,,34.33M,135.15M,169.48M,,,45.45M,,45.45M,91.73M,91.73M,,306.66M,,,,24.56M,24.56M,,0.599M,,2005-03,0.208M,984.10M,532.67M,-9.718M,1.486B,,2005-03,,
2004-12,76.18M,619.61M,695.79M,105.45M,105.45M,6.357M,63.75M,27.65M,,97.76M,12.28M,102.49M,68.90M,1.083B,0.00,33.49M,307.60M,939.13M,,83.84M,1.364B,-709.90M,654.17M,,41.00M,41.00M,,,7.477M,702.64M,2004-12,40.31M,,40.31M,124.45M,164.76M,,,44.25M,,44.25M,95.25M,95.25M,,304.26M,,,,40.90M,40.90M,,0.716M,,2004-12,0.207M,942.20M,536.82M,-3.396M,1.439B,,2004-12,,
2004-09,75.22M,530.64M,605.86M,120.70M,120.70M,6.311M,61.25M,22.35M,,89.92M,8.224M,89.02M,72.53M,986.26M,0.00,33.49M,298.72M,913.81M,,97.38M,1.343B,-680.26M,663.14M,,41.34M,41.34M,,,7.594M,712.07M,2004-09,38.28M,,38.28M,111.41M,149.69M,,,42.28M,,42.28M,100.99M,100.99M,,292.95M,,,,24.75M,24.75M,,0.714M,,2004-09,0.206M,899.81M,544.96M,-1.173M,1.380B,,2004-09,,
2004-06,86.89M,451.98M,538.86M,112.52M,112.52M,8.056M,61.06M,21.45M,,90.58M,6.306M,101.30M,72.27M,921.84M,0.00,33.49M,295.21M,881.24M,,123.70M,1.334B,-660.06M,673.58M,,41.67M,41.67M,,,7.625M,722.87M,2004-06,37.76M,,37.76M,130.30M,168.06M,,,,,,93.63M,93.63M,,261.70M,,,,27.09M,27.09M,,0.792M,,2004-06,0.207M,848.84M,551.22M,-5.76M,1.355B,,2004-06,,
2004-03,105.33M,369.22M,474.55M,109.23M,109.23M,9.169M,57.59M,27.76M,,94.51M,6.884M,126.05M,72.72M,883.94M,0.00,33.49M,293.23M,852.09M,,145.07M,1.324B,-634.68M,689.21M,,42.04M,42.04M,,,6.948M,738.20M,2004-03,61.18M,,61.18M,124.05M,185.24M,,,,,,84.82M,84.82M,,270.05M,,,,30.70M,30.70M,,0.871M,,2004-03,0.207M,813.31M,558.35M,0.733M,1.321B,,2004-03,,
2003-12,58.17M,392.27M,450.44M,92.17M,92.17M,8.24M,65.76M,22.18M,,96.18M,6.199M,121.99M,71.76M,838.74M,0.00,33.49M,289.76M,836.27M,,160.48M,1.320B,-626.33M,693.68M,,42.42M,42.42M,,,6.697M,742.80M,2003-12,33.94M,,33.94M,122.75M,156.69M,,,,,,76.85M,76.85M,,233.54M,,,,26.45M,26.45M,,0.948M,,2003-12,0.208M,773.75M,546.64M,,1.321B,,2003-12,,
2003-09,44.46M,306.42M,350.88M,90.78M,90.78M,8.554M,67.26M,27.99M,,103.80M,6.524M,115.72M,72.02M,739.72M,0.00,33.49M,193.69M,800.63M,,278.41M,1.306B,-602.95M,703.27M,,42.84M,42.84M,,,6.455M,752.57M,2003-09,27.97M,,27.97M,116.89M,144.86M,,,,,,70.67M,70.67M,,215.53M,,,,25.58M,25.58M,,0.942M,,2003-09,0.206M,739.13M,510.90M,,1.250B,,2003-09,,
2003-06,47.65M,224.95M,272.60M,88.17M,88.17M,8.805M,67.64M,31.84M,,108.29M,4.447M,116.48M,71.88M,661.86M,0.00,33.49M,192.18M,798.45M,,276.55M,1.301B,-581.35M,719.33M,,42.64M,42.64M,,,8.561M,770.54M,2003-06,26.08M,,26.08M,112.59M,138.66M,,,,,,70.78M,70.78M,,209.44M,,,,27.55M,27.55M,,0.98M,,2003-06,0.204M,707.94M,486.28M,,1.194B,,2003-06,,
2003-03,53.91M,162.60M,216.51M,95.39M,95.39M,9.571M,60.00M,32.77M,,102.34M,6.487M,116.48M,71.90M,609.11M,0.00,33.49M,196.80M,767.32M,,297.75M,1.295B,-527.43M,767.93M,,43.18M,43.18M,,,8.057M,819.17M,2003-03,34.14M,,34.14M,110.00M,144.14M,,,,,,70.99M,70.99M,,215.13M,,,,33.19M,33.19M,,1.008M,,2003-03,0.203M,699.37M,486.32M,,1.179B,,2003-03,,
2002-12,198.23M,,198.23M,93.38M,93.38M,9.62M,56.51M,27.83M,,93.96M,7.736M,120.73M,72.84M,586.88M,0.00,11.54M,190.94M,756.12M,,323.19M,1.282B,-504.03M,777.75M,,35.88M,35.88M,,,9.945M,823.58M,2002-12,36.62M,,36.62M,114.67M,151.29M,,,,,,46.24M,46.24M,,197.53M,,,,36.62M,36.62M,,1.059M,,2002-12,0.203M,684.22M,490.83M,,1.175B,,2002-12,,
2002-09,141.33M,,141.33M,89.92M,89.92M,11.09M,53.91M,27.15M,,92.14M,6.748M,112.10M,73.48M,515.72M,0.00,11.54M,188.90M,744.36M,,318.73M,1.264B,-479.26M,784.28M,,36.08M,36.08M,,,9.908M,830.26M,2002-09,33.96M,,33.96M,103.41M,137.37M,,,,,,,,46.15M,183.52M,,,,30.86M,30.86M,,1.066M,,2002-09,0.203M,651.24M,480.13M,,1.131B,,2002-09,,
2002-06,284.04M,,284.04M,83.71M,83.71M,8.233M,57.61M,22.90M,,88.75M,4.457M,99.81M,12.19M,572.96M,0.00,23.68M,191.22M,732.42M,,225.76M,1.173B,-459.68M,713.40M,30.29M,5.533M,35.83M,,,12.53M,761.75M,2002-06,37.60M,,37.60M,101.41M,139.01M,,,,,,,,48.36M,187.37M,,,,31.18M,31.18M,,1.137M,,2002-06,0.202M,640.98M,473.84M,,1.115B,,2002-06,,
2002-03,280.65M,,280.65M,80.75M,80.75M,7.187M,61.72M,19.70M,,88.62M,6.154M,83.98M,9.033M,549.18M,0.00,23.68M,191.19M,722.05M,,211.10M,1.148B,-432.06M,715.96M,,,,,,10.46M,726.42M,2002-03,38.29M,,38.29M,88.87M,127.16M,,,,,,,,40.80M,167.96M,,,,31.13M,31.13M,,0.724M,,2002-03,0.201M,619.25M,459.30M,,1.076B,,2002-03,,
2001-12,245.40M,,245.40M,64.50M,64.50M,6.972M,61.81M,23.47M,,92.26M,4.875M,37.16M,34.44M,478.63M,0.00,23.68M,184.88M,723.26M,,207.29M,1.139B,-405.71M,733.41M,,,,,,8.509M,741.92M,2001-12,31.29M,,31.29M,51.59M,82.88M,,,2.138M,,2.138M,,,41.18M,126.20M,,,,29.72M,29.72M,,0.758M,,2001-12,0.134M,592.92M,470.81M,,1.064B,,2001-12,,
2001-09,171.14M,,171.14M,69.98M,69.98M,8.06M,63.51M,22.59M,,94.16M,38.34M,36.48M,2.781M,412.88M,0.00,23.68M,183.84M,712.19M,,214.17M,1.134B,-378.19M,755.69M,,,,,,8.801M,764.49M,2001-09,35.88M,,35.88M,58.92M,94.80M,,,,,,,,44.20M,139.00M,,,,23.49M,23.49M,,0.80M,,2001-09,0.133M,569.34M,444.61M,,1.014B,,2001-09,,
2001-06,138.42M,,138.42M,67.38M,67.38M,9.093M,71.48M,38.36M,,96.12M,17.72M,45.40M,2.773M,367.81M,0.00,23.68M,253.38M,699.01M,,139.79M,1.116B,-350.96M,764.90M,,,,,,9.353M,774.26M,2001-06,34.58M,,34.58M,57.59M,92.18M,,,,,,,,53.92M,146.10M,,,,23.03M,23.03M,,0.865M,,2001-06,0.132M,546.21M,425.73M,,972.07M,,2001-06,,
2001-03,129.91M,,129.91M,76.54M,76.54M,9.945M,51.20M,34.56M,,95.70M,19.07M,47.51M,2.828M,371.56M,0.00,23.68M,167.30M,688.10M,,225.17M,1.104B,-324.23M,780.02M,,,,,,9.774M,789.79M,2001-03,57.65M,,57.65M,72.86M,130.52M,,,,,,,,64.11M,194.62M,,,,22.97M,22.97M,,0.912M,,2001-03,0.131M,524.44M,418.28M,,942.85M,,2001-03,,
2000-12,78.80M,,78.80M,77.37M,77.37M,10.70M,46.43M,30.17M,,76.85M,,,49.92M,282.94M,0.00,11.54M,140.17M,662.96M,,251.21M,1.066B,-296.73M,769.15M,,,,,,7.689M,776.84M,2000-12,123.54M,,123.54M,62.38M,185.92M,,,,,,,,63.66M,249.58M,,,,19.25M,19.25M,,0.921M,,2000-12,0.121M,488.29M,329.54M,,790.02M,,2000-12,,
2000-09,117.09M,,117.09M,84.74M,84.74M,10.20M,34.23M,27.82M,,62.85M,4.905M,41.96M,1.728M,313.27M,0.00,11.54M,130.68M,624.52M,,164.67M,931.42M,-279.12M,652.30M,,,,,,8.242M,660.54M,2000-09,84.37M,,84.37M,59.34M,143.71M,,,,,,,,65.52M,209.23M,,,,19.07M,19.07M,,0.866M,,2000-09,0.121M,445.52M,347.04M,,744.64M,,2000-09,,
2000-06,167.22M,,167.22M,90.05M,90.05M,8.385M,37.26M,21.22M,,58.70M,5.479M,38.10M,2.736M,362.29M,0.00,11.54M,109.31M,560.63M,,118.47M,799.95M,-278.66M,521.29M,,,,,,8.245M,529.54M,2000-06,88.15M,,88.15M,48.78M,136.93M,,,,,,,,64.17M,201.10M,,,,18.88M,18.88M,,0.905M,,2000-06,0.081M,403.18M,330.47M,,670.94M,,2000-06,,
2000-03,206.52M,2.286M,208.81M,84.22M,84.22M,7.741M,45.02M,26.13M,,68.32M,3.523M,,39.08M,403.96M,0.00,11.54M,90.19M,492.58M,,101.45M,695.77M,-249.95M,445.82M,,,,,,11.57M,457.39M,2000-03,70.75M,,70.75M,39.31M,110.06M,,,9.00M,,9.00M,,,59.40M,178.46M,,,,19.10M,19.10M,,0.918M,,2000-03,0.126M,377.92M,356.96M,1.018M,662.88M,,2000-03,,
1999-12,68.49M,,68.49M,70.34M,70.34M,6.781M,35.77M,22.68M,,58.16M,3.441M,35.71M,1.773M,237.92M,0.00,11.54M,101.27M,427.58M,,84.66M,625.05M,-239.21M,385.84M,,,,,,8.373M,394.22M,1999-12,52.55M,,52.55M,50.48M,103.03M,,,15.00M,,15.00M,,,43.38M,161.41M,,,,11.68M,11.68M,,0.891M,,1999-12,0.054M,335.76M,217.40M,,458.15M,,1999-12,,
1999-09,43.94M,,43.94M,69.67M,69.67M,6.611M,40.16M,22.91M,,62.27M,4.508M,36.00M,2.287M,218.68M,0.00,11.54M,86.03M,372.56M,,74.99M,545.13M,-207.64M,337.48M,,,,,,7.484M,344.97M,1999-09,55.72M,,55.72M,45.31M,101.04M,,,0.108M,,0.108M,,,33.06M,134.20M,,,,11.31M,11.31M,,0.888M,,1999-09,0.054M,307.57M,209.23M,,417.24M,,1999-09,,
1999-06,44.22M,,44.22M,66.10M,66.10M,4.477M,43.34M,24.61M,,62.59M,3.504M,36.13M,1.985M,214.54M,0.00,11.54M,77.47M,371.30M,,58.00M,518.32M,-217.10M,301.22M,,,,,,7.794M,309.02M,1999-06,37.99M,,37.99M,38.94M,76.93M,,,0.212M,,0.212M,,,31.06M,108.20M,16.00M,,16.00M,,,,11.31M,,1999-06,0.054M,284.48M,197.83M,,388.04M,,1999-06,,
1999-03,30.80M,,30.80M,62.50M,62.50M,,,,,68.00M,,,42.10M,203.40M,,,,,,,496.30M,-202.60M,293.70M,,,,,,8.13M,301.83M,1999-03,28.50M,,28.50M,,28.50M,,,3.30M,,3.30M,,,78.30M,110.10M,25.00M,,25.00M,11.30M,11.30M,,0.03M,,1999-03,,264.30M,,,358.80M,,1999-03,,
1998-12,24.96M,,24.96M,56.21M,56.21M,4.852M,47.28M,30.91M,,72.11M,3.224M,41.75M,1.797M,200.05M,0.00,11.54M,78.57M,371.94M,,41.17M,503.23M,-196.64M,306.59M,,,,,,4.146M,310.74M,1998-12,24.58M,,24.58M,48.99M,73.57M,,,15.79M,,15.79M,,,29.72M,119.07M,28.52M,,28.52M,9.652M,9.652M,,0.91M,,1998-12,0.054M,262.38M,173.05M,,352.63M,,1998-12,,
1998-09,27.80M,,27.80M,63.92M,63.92M,5.722M,45.88M,30.26M,,71.34M,2.948M,39.96M,2.088M,208.06M,0.00,11.75M,77.66M,355.40M,,53.36M,498.17M,-180.46M,317.71M,,,,,,4.133M,321.84M,1998-09,36.98M,,36.98M,53.63M,90.60M,,,4.617M,,4.617M,,,31.92M,127.14M,45.76M,0.092M,45.86M,9.192M,9.192M,,0.922M,,1998-09,0.054M,244.53M,171.40M,,346.79M,,1998-09,,
1998-06,23.91M,,23.91M,57.99M,57.99M,5.612M,46.73M,27.27M,,69.31M,2.643M,37.52M,1.857M,193.23M,0.00,11.75M,76.12M,345.21M,,53.78M,486.86M,-164.76M,322.10M,,,,,,4.212M,326.31M,1998-06,29.04M,,29.04M,62.53M,91.57M,,,16.57M,,16.57M,,,29.44M,137.58M,46.05M,0.186M,46.23M,8.779M,8.779M,,0.954M,,1998-06,0.054M,226.97M,176.98M,,325.99M,,1998-06,,
1998-03,32.20M,,32.20M,56.30M,56.30M,,,,,66.30M,,,39.80M,194.60M,,,,,,,476.60M,-150.70M,325.90M,,,,,,4.20M,330.10M,1998-03,36.00M,,36.00M,,36.00M,,,20.40M,,20.40M,,,83.00M,139.40M,8.70M,,8.70M,8.30M,8.30M,,1.00M,,1998-03,,214.20M,,,367.30M,,1998-03,,
1997-12,41.84M,,41.84M,62.05M,62.05M,3.163M,36.95M,27.56M,0.06M,58.74M,3.107M,28.55M,1.45M,195.74M,0.00,11.18M,57.18M,296.25M,,91.56M,456.16M,-137.80M,318.36M,,,,,,4.407M,322.77M,1997-12,49.94M,,49.94M,52.48M,102.42M,,,4.927M,,4.927M,,,33.14M,140.48M,1.78M,0.63M,2.41M,6.098M,6.098M,,0.974M,,1997-12,0.054M,199.97M,176.05M,,368.55M,,1997-12,,
