,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.954B,1.954B,469.00M,1.485B,238.00M,186.00M,424.00M,274.00M,,-40.00M,27.00M,1.00M,-26.00M,698.00M,787.00M,1.00M,27.00M,-26.00M,-39.00M,-26.00M,722.00M,118.00M,604.00M,,,604.00M,635.08M,831.00M,82.00M,749.00M,0.78,,,0.8203,0.78,0.78,,,0.8199,0.78,772.00M,779.00M,0.0
2020-06,1.932B,1.932B,469.00M,1.463B,242.00M,175.00M,417.00M,291.00M,,-6.00M,23.00M,2.00M,-21.00M,708.00M,755.00M,2.00M,23.00M,-21.00M,-7.00M,-21.00M,727.00M,147.00M,580.00M,,,580.00M,584.80M,822.00M,72.00M,750.00M,0.75,,,0.7562,0.75,0.75,,,0.7562,0.75,771.00M,776.00M,0.41
2020-03,1.788B,1.788B,505.00M,1.283B,243.00M,167.00M,410.00M,238.00M,,-23.00M,23.00M,16.00M,-7.00M,648.00M,635.00M,16.00M,23.00M,-7.00M,-24.00M,-7.00M,604.00M,99.00M,505.00M,,,505.00M,524.32M,766.00M,139.00M,627.00M,0.66,,,0.6851,0.66,0.65,,,0.675,0.65,769.00M,774.00M,0.0
2019-12,1.986B,1.986B,657.00M,1.329B,346.00M,205.00M,551.00M,296.00M,,-28.00M,22.00M,18.00M,-4.00M,847.00M,482.00M,18.00M,22.00M,-4.00M,-31.00M,-4.00M,447.00M,-78.00M,525.00M,,,525.00M,545.44M,613.00M,144.00M,469.00M,0.68,,,0.7065,0.68,0.68,,,0.7064,0.68,770.00M,774.00M,0.0
2019-09,1.282B,1.282B,442.00M,840.00M,182.00M,177.00M,359.00M,210.00M,,-24.00M,23.00M,20.00M,-3.00M,569.00M,271.00M,20.00M,23.00M,-3.00M,-19.00M,-3.00M,249.00M,45.00M,204.00M,,,204.00M,223.68M,362.00M,90.00M,272.00M,0.27,,,0.2957,0.27,0.26,,,0.2855,0.26,767.00M,771.00M,0.0
2019-06,1.396B,1.396B,433.00M,963.00M,191.00M,170.00M,361.00M,244.00M,,-22.00M,23.00M,19.00M,-4.00M,605.00M,358.00M,19.00M,23.00M,-4.00M,16.00M,-4.00M,370.00M,42.00M,328.00M,,,328.00M,313.76M,521.00M,128.00M,393.00M,0.43,,,0.4114,0.43,0.43,,,0.4115,0.43,766.00M,770.00M,0.0
2019-03,1.825B,1.825B,563.00M,1.262B,207.00M,179.00M,386.00M,249.00M,,-57.00M,23.00M,21.00M,-2.00M,635.00M,627.00M,21.00M,23.00M,-2.00M,-58.00M,-2.00M,567.00M,120.00M,447.00M,,,447.00M,492.03M,781.00M,191.00M,590.00M,0.58,,,0.6389,0.58,0.58,,,0.6385,0.58,764.00M,770.00M,0.37
2018-12,2.381B,2.381B,832.00M,1.549B,321.00M,199.00M,520.00M,325.00M,,-10.00M,22.00M,15.00M,-7.00M,845.00M,704.00M,15.00M,22.00M,-7.00M,-7.00M,-7.00M,690.00M,4.00M,686.00M,,,686.00M,695.94M,1.087B,375.00M,712.00M,0.85,,,0.863,0.85,0.84,,,0.8529,0.84,765.00M,771.00M,0.0
2018-09,1.512B,1.512B,513.00M,999.00M,263.00M,208.00M,471.00M,263.00M,,-40.00M,33.00M,17.00M,-16.00M,734.00M,265.00M,17.00M,33.00M,-16.00M,-37.00M,-16.00M,212.00M,-48.00M,260.00M,,,260.00M,289.20M,395.00M,150.00M,245.00M,0.34,,,0.3783,0.34,0.34,,,0.3779,0.34,763.00M,771.00M,0.0
2018-06,1.641B,1.641B,510.00M,1.131B,226.00M,216.00M,442.00M,255.00M,,0.00,43.00M,18.00M,-25.00M,697.00M,434.00M,18.00M,43.00M,-25.00M,-1.00M,-25.00M,408.00M,6.00M,402.00M,,,402.00M,402.00M,619.00M,168.00M,451.00M,0.53,,,0.53,0.53,0.52,,,0.52,0.52,761.00M,770.00M,0.0
2018-03,1.965B,1.965B,662.00M,1.303B,251.00M,198.00M,449.00M,259.00M,,0.00,,,-28.00M,708.00M,595.00M,,,-28.00M,,-28.00M,567.00M,67.00M,500.00M,,,500.00M,500.00M,900.00M,305.00M,595.00M,0.66,,,0.66,0.66,0.65,,,0.65,0.65,759.00M,770.00M,0.34
2017-12,2.043B,2.043B,803.00M,1.24B,479.00M,206.00M,685.00M,319.00M,,-15.00M,,,-29.00M,1.004B,236.00M,,,-29.00M,-23.00M,-29.00M,184.00M,769.00M,-585.00M,,,-585.00M,-576.00M,552.00M,327.00M,225.00M,-0.77,,,-0.7581,-0.77,-0.77,,,-0.7583,-0.77,757.00M,772.00M,0.0
2017-09,1.618B,1.618B,552.00M,1.066B,345.00M,191.00M,536.00M,273.00M,,0.00,,,-37.00M,809.00M,257.00M,,,-37.00M,,-37.00M,220.00M,32.00M,188.00M,,,188.00M,188.00M,511.00M,254.00M,257.00M,0.25,,,0.25,0.25,0.25,,,0.25,0.25,755.00M,766.00M,0.0
2017-06,1.631B,1.631B,561.00M,1.07B,308.00M,171.00M,479.00M,252.00M,,,,,-46.00M,731.00M,339.00M,,,-46.00M,,-46.00M,293.00M,50.00M,243.00M,,,243.00M,243.00M,644.00M,305.00M,339.00M,0.32,,,0.32,0.32,0.32,,,0.32,0.32,754.00M,764.00M,0.0
2017-03,1.726B,1.726B,585.00M,1.141B,246.00M,177.00M,423.00M,225.00M,,,,,-40.00M,648.00M,493.00M,,,-40.00M,,-40.00M,453.00M,27.00M,426.00M,,,426.00M,426.00M,806.00M,313.00M,493.00M,0.57,,,0.57,0.57,0.56,,,0.56,0.56,749.00M,761.00M,0.3
2016-12,2.014B,2.014B,776.00M,1.238B,380.00M,148.00M,528.00M,285.00M,,,,,-33.00M,813.00M,425.00M,,,-33.00M,,-33.00M,300.00M,47.00M,253.00M,,,253.00M,253.00M,743.00M,318.00M,425.00M,0.34,,,0.34,0.34,0.33,,,0.33,0.33,743.00M,757.00M,0.0
