,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,500.00M,,,155.00M,150.00M,305.00M,305.00M,29.00M,,54.00M,,10.00M,503.00M,4.00M,,-247.00M,-78.00M,,-551.00M,-369.00M,529.00M,-31.00M,,,,-20.00M,,-51.00M,,,47.00M,,47.00M,,,-39.00M,8.00M,4.72B,486.00M,18.00M,5.224B,47.00M,,,
2017-12,-585.00M,,0.00,218.00M,109.00M,327.00M,327.00M,-43.00M,,58.00M,,6.00M,-25.00M,24.00M,,924.00M,-101.00M,,540.00M,1.362B,1.158B,-69.00M,,,,25.00M,0.00,-44.00M,0.00,0.00,28.00M,,28.00M,0.00,0.00,-12.00M,16.00M,3.586B,1.13B,4.00M,4.72B,28.00M,0.00,0.00,
2017-09,189.00M,,12.00M,220.00M,34.00M,254.00M,254.00M,-35.00M,,47.00M,,-9.00M,-525.00M,-44.00M,,201.00M,-124.00M,,413.00M,-79.00M,379.00M,-34.00M,,,,-80.00M,-1.00M,-115.00M,0.00,0.00,20.00M,,20.00M,0.00,0.00,-8.00M,12.00M,3.288B,276.00M,22.00M,3.586B,20.00M,0.00,0.00,
2017-06,243.00M,,,226.00M,79.00M,305.00M,305.00M,-23.00M,,38.00M,,21.00M,-11.00M,-8.00M,,42.00M,-103.00M,,-239.00M,-319.00M,265.00M,-31.00M,,,,0.00,10.00M,-21.00M,-10.00M,-10.00M,21.00M,,21.00M,-226.00M,-226.00M,-33.00M,-248.00M,3.261B,-4.00M,31.00M,3.288B,21.00M,1.19B,-1.20B,
2017-03,426.00M,,,224.00M,89.00M,313.00M,313.00M,-80.00M,,33.00M,,22.00M,396.00M,2.00M,,-137.00M,-70.00M,,-494.00M,-303.00M,411.00M,-21.00M,,,,0.00,-6.00M,-27.00M,-500.00M,-500.00M,109.00M,,109.00M,,,-13.00M,-404.00M,3.262B,-20.00M,19.00M,3.261B,109.00M,2.551B,-3.051B,
2016-12,253.00M,,,245.00M,73.00M,318.00M,318.00M,191.00M,,40.00M,,-1.00M,-311.00M,64.00M,,1.00M,-162.00M,,361.00M,-47.00M,859.00M,-37.00M,,,2.00M,0.00,-3.544B,-3.579B,-1.50B,-1.50B,20.00M,,20.00M,0.00,0.00,-103.00M,-1.583B,4.029B,-4.303B,-33.00M,3.262B,20.00M,0.00,-1.50B,
2016-09,199.00M,,,243.00M,48.00M,291.00M,291.00M,-85.00M,,32.00M,,14.00M,18.00M,-45.00M,,82.00M,-132.00M,,72.00M,-5.00M,456.00M,-28.00M,,,0.00,0.00,-9.00M,-37.00M,1.32B,1.32B,26.00M,,26.00M,0.00,0.00,-9.00M,1.337B,2.271B,1.756B,2.00M,4.029B,26.00M,4.358B,-3.038B,
2016-06,151.00M,,,234.00M,76.00M,310.00M,310.00M,-52.00M,,41.00M,,8.00M,-82.00M,-1.00M,,137.00M,-57.00M,,40.00M,37.00M,503.00M,-44.00M,,,0.00,,-1.00M,-45.00M,-816.00M,-816.00M,36.00M,,36.00M,-195.00M,-195.00M,-58.00M,-1.033B,2.872B,-575.00M,-26.00M,2.271B,36.00M,0.00,-816.00M,
2016-03,363.00M,,,107.00M,124.00M,231.00M,231.00M,-63.00M,,34.00M,,4.00M,459.00M,14.00M,,-187.00M,-21.00M,,-508.00M,-243.00M,337.00M,-27.00M,,,-4.588B,,3.547B,-1.068B,1.77B,1.77B,24.00M,,24.00M,,,-15.00M,1.779B,1.823B,1.048B,1.00M,2.872B,24.00M,2.52B,-750.00M,
2015-12,159.00M,,,30.00M,96.00M,126.00M,126.00M,-5.00M,,21.00M,,2.00M,-182.00M,81.00M,,266.00M,-238.00M,,806.00M,733.00M,1.063B,-16.00M,,,-46.00M,129.00M,-3.544B,-3.477B,0.00,0.00,24.00M,,24.00M,0.00,0.00,-54.00M,-30.00M,4.365B,-2.444B,-98.00M,1.823B,24.00M,0.00,0.00,
