,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2006-12,142.82M,,-1.821M,4.784M,51.08M,55.86M,55.86M,36.90M,,,,8.575M,-359.50M,-14.62M,,110.46M,,78.44M,-13.26M,-198.47M,43.85M,-5.566M,,-5.566M,0.00,111.90M,12.50M,118.84M,,,7.034M,,7.034M,,,4.607M,11.64M,189.72M,174.33M,3.857M,367.91M,7.034M,,,
2006-09,-24.30M,,0.00,4.098M,5.167M,9.265M,9.265M,-63.35M,,,,5.616M,-31.72M,-6.968M,,10.07M,,74.82M,-39.03M,7.175M,-65.60M,-4.909M,,-4.909M,-0.045M,16.20M,-12.50M,-1.251M,,,7.085M,,7.085M,,,2.40M,9.485M,245.02M,-57.36M,2.062M,189.72M,7.085M,,,
2006-06,-18.31M,,-0.002M,4.421M,21.12M,25.54M,25.54M,-6.797M,,,,6.607M,-25.47M,1.012M,,-22.06M,,-19.97M,-44.22M,-110.71M,-103.67M,-2.631M,,-2.631M,-30.50M,17.51M,,-15.62M,,,4.837M,,4.837M,,,2.005M,6.842M,354.33M,-112.45M,3.142M,245.02M,4.837M,,,
2006-03,-9.128M,,-0.002M,4.406M,8.35M,12.76M,12.76M,-22.43M,,,,5.592M,385.71M,23.34M,,-124.88M,,-67.53M,-33.49M,183.15M,169.94M,-10.23M,,-10.23M,0.191M,-80.34M,0.00,-90.38M,,,7.238M,,7.238M,,,,7.238M,267.07M,86.79M,0.468M,354.33M,7.238M,,,
2005-12,67.86M,,-2.948M,3.635M,124.52M,128.16M,128.16M,15.56M,,,,10.00M,-297.61M,-32.79M,,123.04M,,86.21M,-87.13M,-208.29M,10.34M,-7.451M,,-7.451M,-0.148M,39.15M,12.50M,44.05M,,,10.49M,,10.49M,,,,10.49M,203.08M,64.87M,-0.887M,267.07M,10.49M,,,
2005-09,-14.89M,,-0.004M,3.432M,22.01M,25.44M,25.44M,-12.28M,,,,6.987M,-22.08M,-6.899M,,25.39M,36.06M,-2.192M,-75.34M,-45.05M,-39.79M,-7.492M,,-7.492M,-0.008M,7.058M,-12.50M,-12.94M,,,14.20M,,14.20M,,,,14.20M,242.34M,-38.54M,-0.716M,203.08M,14.20M,,,
2005-06,-3.585M,,-1.343M,3.161M,21.82M,24.98M,24.98M,-9.304M,,,,6.786M,14.38M,2.882M,,-43.53M,-36.06M,-9.676M,,-72.00M,-54.48M,-5.231M,,-5.231M,-6.925M,-6.864M,-7.50M,-26.52M,,,13.17M,,13.17M,,,,13.17M,313.61M,-67.83M,-3.441M,242.34M,13.17M,,,
2005-03,0.295M,,-13.80M,2.96M,12.48M,15.44M,15.44M,-34.89M,,,,,235.79M,-6.362M,,-48.09M,97.16M,-54.43M,,98.68M,118.93M,-6.911M,,-6.911M,,-108.50M,,-136.80M,,,42.52M,,42.52M,,,,42.52M,292.29M,24.65M,-3.336M,313.61M,42.52M,,,
2004-12,97.26M,,8.884M,2.61M,60.44M,63.05M,63.05M,25.28M,,,,,-206.31M,22.03M,,53.38M,-19.62M,41.72M,,-108.81M,85.67M,-3.587M,,-3.587M,,-83.00M,,-86.59M,,,17.53M,,17.53M,,,,17.53M,266.69M,16.61M,8.989M,292.29M,17.53M,,,
2004-09,25.54M,,0.85M,2.553M,33.50M,36.05M,36.05M,3.904M,,,,,-15.54M,-24.06M,,27.44M,-74.85M,83.50M,,-3.50M,62.85M,-2.562M,,-2.562M,,58.44M,,55.88M,,,4.568M,,4.568M,,,,4.568M,143.32M,123.30M,0.071M,266.69M,4.568M,,,
2004-06,11.96M,,3.597M,2.579M,31.75M,34.33M,34.33M,5.028M,,,,,-60.47M,-13.21M,,2.684M,-2.687M,-33.36M,,-107.05M,-52.14M,-1.881M,,-1.881M,,25.49M,,23.61M,,,8.034M,,8.034M,,,,8.034M,165.12M,-20.49M,-1.303M,143.32M,8.034M,,,
2004-03,6.664M,,8.85M,3.063M,11.65M,14.71M,14.71M,-3.479M,,,,,183.51M,9.079M,,-102.22M,-30.75M,-65.29M,,-5.675M,21.07M,-2.521M,,-2.521M,,-149.78M,3.48M,-152.30M,,0.00,15.09M,0.00,15.09M,,,,15.09M,425.42M,-116.14M,2.277M,165.12M,15.09M,,,0.00
2003-12,76.98M,,2.609M,2.822M,43.91M,46.73M,46.73M,22.69M,,,,,-212.43M,-14.34M,,121.81M,-26.81M,81.18M,,-50.59M,98.42M,-1.24M,,-1.24M,,-28.30M,-3.48M,-33.02M,,0.00,173.13M,-11.18M,161.95M,,,-120.82M,41.13M,313.45M,106.53M,5.45M,425.42M,173.13M,,,-11.18M
2003-09,-10.09M,,0.446M,2.638M,13.32M,15.96M,15.96M,-5.504M,,,,,3.826M,3.944M,,-2.325M,-31.53M,-3.115M,,-29.20M,-28.39M,-2.544M,,-2.544M,,0.95M,,-1.594M,,0.00,-62.55M,-6.201M,-68.75M,,,120.82M,52.07M,290.83M,22.09M,0.524M,313.45M,-62.55M,,,-6.201M
2003-06,4.163M,,0.512M,2.251M,19.04M,21.30M,21.30M,1.441M,,,,,-17.41M,-5.53M,,5.738M,-31.35M,-2.566M,,-51.11M,-23.70M,-5.671M,,-5.671M,,22.43M,,16.76M,,-2.818M,67.33M,-55.23M,12.09M,,,,9.274M,285.55M,2.335M,2.944M,290.83M,67.33M,,,-55.23M
2003-03,-7.957M,,-0.393M,5.054M,24.62M,29.67M,29.67M,-9.462M,,,,,142.57M,17.71M,,-61.06M,-31.36M,-37.79M,,30.07M,41.92M,-4.936M,-0.505M,-5.441M,-21.20M,48.27M,21.70M,43.33M,,-0.003M,1.685M,-159.88M,-158.20M,,,,-158.20M,358.98M,-72.94M,-0.491M,285.55M,1.685M,,,-159.88M
2002-12,44.35M,,8.798M,2.281M,41.14M,43.42M,43.42M,7.072M,,,,,-97.00M,-12.17M,,49.16M,-42.30M,25.63M,,-76.67M,26.97M,-2.166M,0.00,-2.166M,12.09M,45.21M,-21.20M,33.94M,,-0.838M,1.265M,-43.93M,-42.66M,,,,-43.50M,339.37M,17.41M,2.207M,358.98M,1.265M,,,-43.93M
2002-09,9.086M,,2.726M,2.377M,16.13M,18.51M,18.51M,7.311M,,,,,3.403M,0.321M,,11.47M,-48.97M,0.179M,,-33.60M,4.032M,-2.915M,0.097M,-2.818M,0.00,-214.51M,0.00,-217.33M,,-1.063M,2.508M,,2.508M,,,,1.445M,550.33M,-211.85M,0.894M,339.37M,2.508M,,,
2002-06,20.70M,,12.75M,2.168M,18.53M,20.70M,20.70M,-1.566M,,,,,12.95M,-4.703M,,-18.65M,-27.13M,2.994M,,-34.54M,18.05M,-1.86M,0.408M,-1.452M,-12.09M,,-1.50M,-15.04M,,1.184M,263.16M,,263.16M,,,,264.34M,279.01M,267.35M,3.973M,550.33M,263.16M,,,
2002-03,10.88M,,4.262M,1.981M,10.32M,12.30M,12.30M,3.657M,,,,,126.69M,9.894M,60.96M,-56.82M,-80.62M,-23.83M,,36.27M,67.37M,-2.567M,0.015M,-2.552M,,,-0.061M,-2.613M,,-0.408M,20.89M,0.00,20.89M,,,,20.48M,194.69M,85.24M,-0.925M,279.01M,20.89M,,,0.00
2001-12,39.11M,,20.45M,1.557M,34.61M,36.17M,36.17M,-2.81M,,,,,-116.11M,3.262M,-23.72M,60.74M,3.364M,39.88M,,-32.59M,60.33M,-1.931M,0.233M,-1.698M,,,-0.129M,-1.827M,,-2.064M,16.27M,-0.074M,16.20M,,,,14.13M,122.15M,72.63M,-0.094M,194.69M,16.27M,,,-0.074M
2001-09,2.215M,,1.501M,1.382M,11.18M,12.56M,12.56M,-0.599M,,,,,-13.88M,10.54M,-16.47M,16.98M,-1.453M,2.374M,,-1.915M,13.76M,-1.84M,0.00,-1.84M,,,,-1.84M,,0.697M,2.199M,,2.199M,,,,2.896M,105.99M,14.82M,1.348M,122.15M,2.199M,,,
2001-06,0.029M,,23.44M,1.297M,6.353M,7.65M,7.65M,-23.60M,,,,,1.294M,-0.544M,-20.77M,-17.54M,-0.036M,0.416M,,-37.18M,-29.67M,-2.812M,0.391M,-2.421M,,,,-2.421M,,-8.629M,21.52M,,21.52M,,,,12.89M,125.55M,-19.20M,-0.365M,105.99M,21.52M,,,
2001-03,0.875M,,9.888M,1.766M,5.528M,7.294M,7.294M,-1.407M,,,,,88.79M,4.036M,,-17.00M,4.687M,-31.78M,,-17.23M,-0.58M,-0.945M,-0.245M,-1.19M,,,50.96M,49.77M,,-3.344M,25.11M,0.00,25.11M,,,,21.77M,52.35M,70.96M,2.243M,125.55M,25.11M,,,0.00
2000-12,20.50M,,1.202M,1.538M,29.30M,30.83M,30.83M,0.085M,,,,,-30.00M,-2.53M,,32.16M,3.052M,16.30M,,18.99M,71.61M,-5.304M,0.00,-5.304M,,,-13.78M,-19.08M,,-30.51M,3.024M,0.00,3.024M,,,,-27.48M,25.20M,25.05M,2.098M,52.35M,3.024M,,,0.00
2000-09,4.306M,,1.796M,1.484M,21.56M,23.04M,23.04M,-0.511M,,,,,-49.97M,-4.354M,,22.37M,-0.613M,16.07M,,-16.51M,12.12M,-1.904M,1.394M,-0.51M,,,-19.09M,-19.60M,,17.64M,5.422M,0.00,5.422M,,,,23.07M,11.59M,15.59M,-1.979M,25.20M,5.422M,,,0.00
2000-06,-5.179M,,0.352M,1.48M,12.55M,14.03M,14.03M,-4.764M,,,,,21.21M,-2.435M,,-16.17M,-1.064M,-7.573M,,-6.027M,-1.592M,-1.627M,,-1.627M,,,-18.10M,-19.72M,,0.138M,0.029M,-14.97M,-14.94M,,,,-14.80M,49.98M,-36.12M,-2.278M,11.59M,0.029M,,,-14.97M
2000-03,-52.89M,,,,,68.68M,68.68M,-16.41M,,,,,107.20M,1.458M,,-47.84M,1.893M,-25.27M,,37.44M,42.59M,18.48M,,18.48M,,,-19.51M,-21.55M,,-28.15M,7.18M,,7.18M,,,,-20.97M,51.70M,0.07M,-1.722M,49.98M,7.18M,,,
1999-12,22.30M,,,,,34.20M,34.20M,14.60M,,,,,-87.90M,-2.20M,,46.40M,-2.20M,11.00M,,-34.90M,36.20M,-0.10M,,-0.10M,,,-23.40M,-23.50M,,13.60M,1.60M,,1.60M,,,,15.20M,25.80M,27.90M,-2.00M,51.70M,1.60M,,,
1999-09,0.90M,,,,,11.90M,11.90M,-3.50M,,,,-0.10M,-29.50M,-0.80M,,8.20M,-0.80M,23.70M,,0.80M,10.00M,-1.80M,,-1.80M,,,-20.00M,-21.80M,,8.80M,9.10M,,9.10M,,,-0.10M,17.80M,17.80M,6.00M,1.70M,25.80M,9.10M,,,
1999-06,-4.40M,,,,,9.80M,9.80M,1.00M,,,,0.10M,20.10M,-5.80M,,-14.80M,-5.20M,-12.20M,,-17.90M,-11.40M,-21.10M,,-21.10M,,,-11.60M,-32.70M,,25.30M,4.60M,,4.60M,,,0.10M,30.00M,32.80M,-14.10M,-0.90M,17.80M,4.60M,,,
1999-03,5.031M,,,1.646M,9.155M,10.80M,10.80M,2.348M,,,,,31.98M,6.319M,,-65.55M,-2.966M,10.12M,,-20.10M,-1.534M,-0.892M,,-0.892M,,,-10.03M,-10.92M,,-6.039M,2.202M,,2.202M,,,,-3.837M,51.66M,-16.29M,-2.413M,33.04M,2.202M,,,
1998-12,15.74M,,,2.017M,13.39M,15.41M,15.41M,4.895M,,,,,-87.46M,-11.65M,,66.09M,-0.865M,24.62M,,-9.266M,26.77M,-0.05M,,-0.05M,,,-23.97M,-24.02M,,3.277M,3.044M,,3.044M,,,,6.321M,41.67M,9.07M,0.062M,51.66M,3.044M,,,
1998-09,-2.132M,,,1.475M,2.829M,4.304M,4.304M,-0.852M,,,,,0.179M,-2.535M,,-0.735M,-2.215M,-1.617M,,-6.923M,-5.603M,-2.154M,,-2.154M,,,-17.65M,-19.80M,,4.265M,0.734M,,0.734M,,,,4.999M,62.23M,-20.41M,0.712M,41.67M,0.734M,,,
1998-06,-3.744M,,,1.35M,1.682M,3.032M,3.032M,-2.585M,,,,,11.62M,-3.643M,,-6.426M,-0.816M,1.12M,,1.853M,-1.444M,-0.704M,,-0.704M,,,-8.878M,-9.582M,,-0.352M,0.089M,,0.089M,,,,-0.263M,74.24M,-11.29M,-0.722M,62.23M,0.089M,,,
1998-03,-0.561M,,,,,30.58M,30.58M,-1.727M,,,,-0.343M,27.82M,2.602M,,-32.09M,5.226M,-14.79M,,-11.23M,16.28M,-9.484M,,-9.484M,-0.246M,,-24.54M,-34.27M,,-2.614M,1.138M,,1.138M,,0.044M,-0.106M,-1.538M,91.70M,-19.53M,0.15M,74.24M,1.138M,,,
1997-12,9.30M,,,,,1.60M,1.60M,3.10M,,,,-0.10M,-48.60M,-6.30M,,50.80M,-1.00M,12.50M,,7.40M,21.30M,5.90M,,5.90M,,,-8.80M,-2.90M,,61.40M,1.30M,,1.30M,,-0.10M,0.00,62.60M,10.30M,81.00M,0.30M,91.70M,1.30M,,,
