,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,7.415B,,7.415B,619.00M,619.00M,,,,,,,968.00M,9.002B,,,,,,,,,211.00M,9.764B,614.00M,10.38B,,1.287B,699.00M,12.58B,21.58B,224.00M,,,224.00M,855.00M,1.079B,,,1.108B,1.108B,,2.187B,3.604B,3.604B,480.00M,480.00M,924.00M,5.008B,7.195B,0.0,9.183B,11.40B,5.563B,,,,-633.00M,14.38B
2020-06,,6.338B,,6.338B,614.00M,614.00M,,,,,,,767.00M,7.719B,,,,,,,,,222.00M,9.763B,618.00M,10.38B,,1.221B,677.00M,12.50B,20.22B,177.00M,,,177.00M,1.158B,1.335B,,,1.222B,1.222B,,2.557B,2.676B,2.676B,436.00M,436.00M,869.00M,3.981B,6.538B,0.0,8.579B,11.30B,5.563B,,,,-634.00M,13.68B
2020-03,,5.906B,,5.906B,590.00M,590.00M,,,,,,,623.00M,7.119B,,,,,,,,,236.00M,9.763B,588.00M,10.35B,,1.234B,664.00M,12.48B,19.60B,158.00M,,,158.00M,1.338B,1.496B,,,1.064B,1.064B,,2.56B,2.675B,2.675B,458.00M,458.00M,890.00M,4.023B,6.583B,0.0,7.999B,11.21B,5.563B,,,,-628.00M,13.02B
2019-12,437.00M,5.794B,,5.794B,848.00M,848.00M,,,32.00M,,,,618.00M,7.292B,0.0,1.00M,4.00M,745.00M,,252.00M,1.002B,-749.00M,253.00M,9.764B,585.00M,10.35B,,1.293B,658.00M,12.55B,19.84B,292.00M,,,292.00M,1.248B,1.54B,,,1.375B,1.375B,,2.915B,2.675B,2.675B,505.00M,505.00M,945.00M,4.125B,7.04B,0.0,7.813B,11.17B,5.563B,,,,-619.00M,12.80B
2019-09,,4.939B,,4.939B,386.00M,386.00M,20.00M,82.00M,102.00M,,,,585.00M,6.012B,,,,,,,,,249.00M,9.764B,692.00M,10.46B,,357.00M,731.00M,11.79B,17.80B,274.00M,,,274.00M,782.00M,1.056B,,,695.00M,695.00M,,1.751B,2.674B,2.674B,23.00M,23.00M,1.122B,3.819B,5.57B,0.0,7.289B,11.12B,5.563B,,,,-607.00M,12.24B
2019-06,,4.592B,,4.592B,455.00M,455.00M,1.00M,45.00M,46.00M,,,,570.00M,5.663B,,,,,,,,,259.00M,9.763B,723.00M,10.49B,,366.00M,721.00M,11.83B,17.50B,180.00M,,,180.00M,731.00M,911.00M,,,728.00M,728.00M,,1.639B,2.673B,2.673B,20.00M,20.00M,1.186B,3.879B,5.518B,0.0,7.085B,11.06B,5.563B,,,,-608.00M,11.98B
2019-03,,4.696B,,4.696B,594.00M,594.00M,1.00M,44.00M,45.00M,,,,702.00M,6.037B,,,,,,,,,264.00M,9.763B,760.00M,10.52B,,373.00M,751.00M,11.91B,17.95B,166.00M,,,166.00M,1.198B,1.364B,,,931.00M,931.00M,,2.295B,2.672B,2.672B,22.00M,22.00M,1.363B,4.057B,6.352B,0.0,6.757B,11.00B,5.563B,,,,-602.00M,11.60B
2018-12,268.00M,4.225B,,4.225B,1.035B,1.035B,,,43.00M,,,,803.00M,6.106B,0.0,1.00M,4.00M,799.00M,,248.00M,1.052B,-770.00M,282.00M,9.762B,800.00M,10.56B,,458.00M,482.00M,11.78B,17.89B,253.00M,,,253.00M,896.00M,1.149B,,,1.493B,1.493B,,2.642B,2.671B,2.671B,18.00M,18.00M,1.167B,3.856B,6.498B,0.0,6.593B,10.96B,5.563B,,,,-601.00M,11.39B
2018-09,,3.308B,,3.308B,641.00M,641.00M,13.00M,161.00M,174.00M,,,,849.00M,4.972B,,,,,,,,,281.00M,9.763B,1.00B,10.76B,,243.00M,454.00M,11.74B,16.71B,312.00M,,,312.00M,1.053B,1.365B,,,1.017B,1.017B,,2.382B,2.67B,2.67B,11.00M,11.00M,991.00M,3.672B,6.054B,0.0,5.907B,10.93B,5.563B,,,,-613.00M,10.66B
2018-06,,4.857B,,4.857B,418.00M,418.00M,3.00M,33.00M,36.00M,,,,823.00M,6.134B,,,,,,,,,281.00M,9.763B,1.041B,10.80B,,324.00M,415.00M,11.82B,17.96B,167.00M,,,167.00M,1.061B,1.228B,,,832.00M,832.00M,,2.06B,4.394B,4.394B,13.00M,13.00M,1.145B,5.552B,7.612B,0.0,5.647B,10.87B,5.563B,,,,-605.00M,10.35B
