,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.699B,2.699B,1.785B,914.00M,545.00M,,,-15.00M,71.00M,-71.00M,,545.00M,369.00M,71.00M,-71.00M,-15.00M,-71.00M,283.00M,-21.00M,304.00M,0.00,,,304.00M,314.95M,354.00M,,2020-09,0.72,0.00,0.72,,2020-09,0.71,0.00,0.71,,2020-09,0.23,,2020-09,AOR,
2020-06,2.111B,2.111B,1.447B,664.00M,488.00M,,,-13.00M,71.00M,-71.00M,,488.00M,176.00M,71.00M,-71.00M,-12.00M,-71.00M,93.00M,15.00M,78.00M,0.00,,,78.00M,88.91M,164.00M,,2020-06,0.18,0.00,0.18,,2020-06,0.18,0.00,0.18,,2020-06,0.23,,2020-06,AOR,
2020-03,1.886B,1.886B,1.269B,617.00M,548.00M,,,-1.477B,63.00M,-63.00M,,548.00M,69.00M,63.00M,-63.00M,-1.489B,-63.00M,-1.483B,-204.00M,-1.279B,,,,-1.279B,-5.826M,-1.42B,,2020-03,-3.02,0.00,-3.02,,2020-03,-3.02,0.00,-3.02,,2020-03,0.23,,2020-03,AOR,
2019-12,2.624B,2.624B,1.772B,852.40M,640.00M,,,-79.60M,,-70.30M,,640.00M,212.40M,,-70.30M,-84.70M,-70.30M,57.40M,-720.70M,778.10M,15.50M,,,793.60M,837.23M,1.444B,,2019-12,1.84,0.04,1.88,,2019-12,1.83,0.04,1.87,,2019-12,0.23,,2019-12,AOR,
2019-09,2.569B,2.569B,1.722B,847.00M,630.00M,,,-1.103B,75.00M,-75.00M,,630.00M,217.00M,75.00M,-75.00M,-1.11B,-75.00M,-968.00M,-327.00M,-641.00M,15.00M,,,-626.00M,93.16M,-893.00M,,2019-09,-1.51,0.03,-1.48,,2019-09,-1.51,0.03,-1.48,,2019-09,0.23,,2019-09,AOR,Restated
2019-06,2.48B,2.48B,1.615B,865.00M,612.00M,,,-22.00M,78.00M,-78.00M,,612.00M,253.00M,78.00M,-78.00M,-22.00M,-78.00M,153.00M,30.00M,123.00M,-33.00M,,,90.00M,140.69M,231.00M,,2019-06,0.29,-0.08,0.21,,2019-06,0.29,-0.08,0.21,,2019-06,0.23,,2019-06,AOR,Restated
2019-03,2.042B,2.042B,1.387B,655.00M,569.00M,,,-74.00M,80.00M,-80.00M,,569.00M,86.00M,80.00M,-80.00M,-100.00M,-80.00M,-94.00M,-20.00M,-74.00M,-77.00M,,,-151.00M,-15.76M,-14.00M,,2019-03,-0.18,-0.18,-0.36,,2019-03,-0.18,-0.18,-0.36,,2019-03,0.23,,2019-03,AOR,Restated
2018-12,3.093B,3.093B,2.030B,1.062B,740.70M,,,-185.40M,,-104.00M,,740.70M,321.70M,,-104.00M,-196.50M,-104.00M,21.20M,-90.80M,112.00M,71.50M,,,183.50M,247.34M,321.70M,,2018-12,0.30,0.16,0.46,,2018-12,0.30,0.16,0.46,,2018-12,0.23,,2018-12,AOR,Restated
2018-09,2.549B,2.549B,1.633B,915.40M,604.40M,,,-8.146B,,-105.60M,,604.40M,311.00M,,-105.60M,-8.150B,-105.60M,-7.945B,-1.220B,-6.725B,-585.70M,,,-7.311B,166.30M,311.00M,,2018-09,-14.28,-1.24,-15.52,,2018-09,-14.28,-1.24,-15.52,,2018-09,0.23,,2018-09,AOR,Restated
2018-06,2.202B,2.202B,1.427B,774.80M,613.60M,,,-77.30M,,-120.50M,,613.60M,161.20M,,-120.50M,-64.10M,-120.50M,-23.40M,53.00M,-76.40M,208.10M,,,131.70M,-19.97M,161.20M,,2018-06,-0.16,0.43,0.27,,2018-06,-0.16,0.43,0.27,,2018-06,0.23,,2018-06,AOR,Restated
