,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,38.56M,,-75.84M,34.60M,10.02M,108.15M,62.25M,170.40M,170.40M,-0.661M,,0.00,,8.946M,-6.637M,,,,,0.575M,-33.06M,,-32.49M,0.00,188.14M,,-110.95M,107.06M,107.06M,-1.943M,-0.069M,,-11.97M,-15.92M,,-740.92M,,-740.92M,,,,-178.39M,-178.39M,1.051M,-5.823M,-924.09M,,907.18M,-751.86M,-3.346M,151.97M,,,2.754B,-3.495B,,25.63M,132.22M,,AOR,
2020-06,-7.113M,,-1.275M,14.29M,30.06M,112.93M,50.92M,163.85M,163.85M,-2.306M,,0.00,,20.14M,7.054M,,,,,34.80M,67.17M,,101.97M,0.00,313.66M,,-106.81M,8.656M,8.656M,-3.793M,-7.293M,,-7.596M,-113.04M,,729.74M,,729.74M,,,,-178.16M,-178.16M,2.58M,-11.00M,543.15M,,152.68M,743.77M,10.72M,907.18M,,,4.952B,-4.222B,,-12.21M,68.14M,,AOR,
2020-03,64.89M,,-1.055M,-44.85M,-45.90M,113.70M,48.88M,162.58M,162.58M,-0.107M,,23.00M,,6.527M,7.195M,,,,,-45.59M,-47.18M,,-92.77M,0.00,125.42M,,-103.21M,1.246M,1.246M,-6.062M,-118.07M,,-11.14M,-231.17M,,267.49M,,267.49M,,,,-181.30M,-181.30M,-4.61M,-7.816M,73.76M,,193.56M,-32.00M,-8.873M,152.68M,,,2.850B,-2.583B,,14.00M,157.54M,,AOR,
2019-12,37.10M,,-46.74M,55.12M,8.384M,119.84M,41.70M,161.54M,161.54M,-3.267M,,0.00,,7.514M,20.03M,,,,,29.52M,57.68M,,87.21M,0.00,318.51M,,-164.43M,84.00M,84.00M,-5.057M,-1.738M,,-13.08M,-95.25M,,-41.34M,,-41.34M,,,,-175.62M,-175.62M,3.086M,-4.984M,-218.86M,,186.78M,4.402M,2.375M,193.56M,,,1.804B,-1.845B,,7.245M,52.84M,,AOR,
2019-09,108.28M,,-9.284M,-17.78M,-27.06M,108.15M,61.70M,169.85M,169.85M,-0.11M,,0.00,,7.12M,-4.969M,,,,,28.92M,-63.61M,,-34.70M,0.00,218.41M,,-177.69M,35.32M,35.32M,-11.20M,-11.85M,,-11.74M,-165.96M,,157.44M,,157.44M,,,,-175.55M,-175.55M,-0.332M,-0.769M,-19.22M,,162.00M,33.24M,-8.453M,186.78M,,,10.25B,-10.09B,,16.14M,140.54M,,AOR,Restated
2019-06,92.35M,,-8.405M,-19.21M,-27.62M,113.72M,50.61M,164.33M,164.33M,1.33M,,0.00,,12.50M,7.633M,,,,,-19.90M,82.04M,,62.14M,0.00,312.66M,,-194.83M,46.73M,46.73M,-12.46M,-5.228M,,-10.18M,-158.46M,,22.46M,,22.46M,,,,-175.33M,-175.33M,4.236M,,-148.63M,,161.48M,5.574M,-5.053M,162.00M,,,1.275B,-1.252B,,23.16M,64.94M,,AOR,Restated
2019-03,30.48M,,0.602M,11.71M,12.31M,114.61M,47.87M,162.48M,162.48M,1.423M,,0.00,,8.519M,7.753M,,,,,-33.14M,-72.76M,,-105.90M,0.00,117.07M,,-211.52M,0.105M,0.105M,-26.75M,-58.64M,,-41.16M,-311.22M,,371.72M,,371.72M,,,,-178.02M,-178.02M,-5.963M,,187.74M,,165.48M,-6.414M,2.404M,161.48M,,,1.723B,-1.352B,,15.14M,136.67M,,AOR,Restated
2018-12,158.56M,,-72.07M,-15.12M,-87.19M,114.82M,50.10M,164.92M,164.92M,-1.54M,,,,7.815M,7.989M,,,,,-11.81M,72.27M,,60.46M,0.00,311.01M,,-157.55M,85.45M,85.45M,-27.44M,-47.55M,,-7.688M,-119.08M,,-51.86M,,-51.86M,76.19M,,76.19M,-168.23M,-168.23M,-74.53M,-0.448M,-218.88M,,197.68M,-26.96M,-5.231M,165.48M,,76.19M,2.915B,-2.966B,,15.43M,65.45M,,AOR,Restated
2018-09,77.35M,,-0.388M,-1.768M,-2.156M,112.99M,44.81M,157.80M,157.80M,-1.958M,,,,7.279M,8.462M,,,,,30.48M,-45.52M,,-15.04M,-0.518M,231.21M,,-129.97M,0.506M,0.506M,-17.62M,-43.12M,,-8.711M,-181.30M,,142.27M,,142.27M,0.00,,0.00,-168.35M,-168.35M,-0.541M,-2.572M,-29.19M,,188.19M,20.72M,-11.24M,197.68M,,0.00,3.493B,-3.350B,,15.20M,137.18M,,AOR,Restated
2018-06,86.04M,,-0.546M,-23.03M,-23.58M,111.50M,44.72M,156.22M,156.22M,-0.354M,,,,8.689M,8.288M,,,,,20.16M,46.78M,,66.94M,-0.477M,301.76M,,-117.30M,0.207M,19.59M,-14.69M,-237.90M,,-4.495M,-359.48M,,-18.73M,,-18.73M,0.00,,0.00,-168.05M,-168.05M,3.691M,-3.411M,-186.50M,,442.49M,-244.22M,-10.08M,188.19M,,0.00,3.448B,-3.467B,,11.57M,63.78M,,AOR,Restated
2018-03,45.61M,,-1.13M,23.53M,22.40M,113.43M,47.15M,160.58M,160.58M,-0.387M,,,,7.384M,7.217M,,,,,-74.88M,-76.35M,,-151.24M,0.00,91.57M,,-127.72M,,-19.39M,-12.73M,-1.429B,,-5.314M,-1.562B,,1.085B,,1.085B,8.716M,,8.716M,-169.01M,-169.01M,70.24M,-9.974M,985.25M,,925.70M,-485.19M,1.984M,442.49M,,8.716M,5.496B,-4.411B,,22.29M,122.03M,,AOR,Restated
2017-12,10.64M,0.00,1.766M,14.88M,46.72M,103.80M,37.25M,141.06M,141.06M,-11.14M,,,,7.166M,5.684M,,,,,-41.08M,39.91M,,-1.172M,0.13M,202.10M,,-117.68M,0.40M,0.40M,-18.30M,1.236M,,,-116.05M,,66.00M,,66.00M,575.59M,,575.59M,-147.02M,-147.02M,6.48M,-2.108M,498.94M,,337.89M,585.00M,2.816M,925.70M,,575.59M,5.387B,-5.321B,,36.78M,59.11M,,AOR,Restated
2017-09,25.38M,0.00,-0.294M,12.11M,60.12M,100.57M,27.64M,128.22M,128.22M,-18.68M,,,,7.761M,7.045M,,,,,16.31M,-25.90M,,-9.59M,-1.058M,199.19M,,-106.92M,0.39M,0.39M,-28.38M,-155.90M,,,-262.43M,,254.99M,,254.99M,0.00,,0.00,-145.59M,-145.59M,5.805M,-12.14M,103.06M,,291.02M,39.82M,7.042M,337.89M,,0.00,5.360B,-5.105B,,11.79M,132.05M,,AOR,Restated
2017-06,83.15M,-38.87M,-1.779M,24.29M,-16.35M,102.32M,26.08M,128.39M,128.39M,-2.15M,,,,8.543M,6.421M,8.971M,,24.83M,30.24M,-69.04M,-5.46M,2.32M,-8.136M,-2.026M,197.84M,,-99.11M,8.481M,8.481M,-7.107M,-26.04M,,,-116.67M,,42.44M,,42.44M,,,,-145.33M,-145.33M,5.118M,-0.471M,-98.25M,,295.63M,-17.07M,12.46M,291.02M,,,3.112B,-3.070B,,25.50M,78.28M,,AOR,Restated
2017-03,58.84M,,-0.459M,-0.786M,-1.245M,99.59M,25.12M,124.71M,124.71M,-7.386M,,,,6.549M,7.065M,-8.971M,,-24.83M,-30.24M,,,-2.32M,-66.36M,-0.337M,121.84M,,-94.60M,0.066M,0.066M,-21.40M,-9.764M,,,-104.30M,,29.87M,,29.87M,0.00,,0.00,-2.06M,-2.06M,-4.308M,13.16M,36.66M,,236.48M,54.20M,4.948M,295.63M,,0.00,2.715B,-2.685B,,30.42M,99.02M,,AOR,Restated
2016-12,49.80M,16.84M,0.592M,1.665M,5.095M,98.25M,27.18M,125.43M,125.43M,-28.17M,,,,7.106M,7.08M,6.996M,,0.642M,-0.48M,,,9.58M,-44.08M,-0.961M,121.30M,,-92.48M,5.78M,5.78M,-9.911M,-38.89M,,,-28.87M,,-175.82M,,-175.82M,,,,-145.41M,-145.41M,5.548M,-0.282M,-315.96M,,458.13M,-223.53M,1.888M,236.48M,,,3.117B,-3.293B,,20.09M,70.35M,,AOR,Restated
2016-09,5.759M,0.00,-0.413M,9.581M,23.17M,98.36M,26.31M,124.67M,124.67M,-12.29M,,,,5.957M,6.536M,-8.742M,,40.38M,31.35M,,,-3.434M,59.55M,2.495M,215.84M,,-106.47M,1.826M,1.826M,-24.11M,0.182M,,,-104.57M,,254.01M,,254.01M,,,,-127.87M,-127.87M,7.733M,-5.475M,128.40M,,236.99M,239.67M,-18.53M,458.13M,,,4.427B,-4.173B,,21.64M,90.42M,,AOR,Restated
2016-06,-14.72M,0.00,-0.626M,16.86M,25.51M,93.53M,21.49M,115.02M,115.02M,-3.89M,,,,9.028M,6.06M,9.897M,,-71.32M,55.56M,,,-6.664M,-12.52M,1.145M,125.63M,,-92.30M,0.202M,0.202M,-9.488M,-203.26M,,,-295.27M,,413.22M,,413.22M,,,,-127.66M,-127.66M,20.62M,-12.50M,293.68M,,117.94M,124.04M,-4.994M,236.99M,,,5.416B,-5.002B,,28.13M,52.41M,,AOR,Restated
2016-03,63.04M,,-0.451M,-11.48M,-11.93M,75.39M,11.81M,87.20M,87.20M,-6.012M,,,,6.885M,5.692M,-8.151M,,30.30M,-86.43M,,,0.518M,-63.76M,0.00,81.12M,,-88.11M,0.169M,0.169M,-7.258M,-19.34M,,,-107.28M,,125.22M,,125.22M,,,,-104.93M,-104.93M,-1.975M,0.951M,19.26M,,128.38M,-6.902M,-3.534M,117.94M,,,2.510B,-2.385B,,,83.94M,,AOR,Restated
2015-12,5.94M,,2.293M,5.215M,32.66M,74.72M,10.75M,85.47M,85.47M,2.844M,,,,6.649M,14.48M,6.888M,,2.484M,70.06M,,,-5.808M,73.63M,0.00,221.66M,,-107.62M,0.24M,0.24M,-19.95M,-85.58M,,-33.86M,-226.82M,,-290.77M,,-290.77M,,,,-102.80M,-102.80M,-6.839M,6.358M,-394.05M,,492.90M,-399.20M,0.827M,128.38M,,,2.783B,-3.074B,,9.029M,40.95M,,AOR,Restated
2015-09,23.52M,,-1.20M,41.77M,42.72M,75.48M,11.01M,86.49M,86.49M,-1.229M,,,,6.159M,2.083M,6.153M,,-1.305M,-25.60M,,,1.367M,-19.39M,0.00,140.36M,,-74.18M,1.227M,1.227M,-10.96M,-6.261M,,0.00,-79.22M,,428.71M,,428.71M,,,,-100.48M,-100.48M,4.534M,-11.75M,321.01M,,117.10M,382.15M,-6.35M,492.90M,,,4.052B,-3.624B,,10.26M,89.34M,,AOR,Restated
