Date,Open,High,Low,Close,Volume
1998-06-01,23.20637297630525,24.540073980717278,19.249731789199846,19.64984130859375,68913300.0
1998-06-30,,,,,
1998-09-01,19.78222109285582,24.292389939385615,14.378950541297751,23.51092529296875,129476600.0
1998-09-09,,,,,
1998-09-30,,,,,
1998-12-01,22.96521449182583,28.684091825480923,22.96521449182583,26.71051788330078,134387200.0
1998-12-09,,,,,
1998-12-30,,,,,
1999-03-01,26.813960656839544,33.928329492693344,25.35056429292959,31.474323272705078,272671800.0
1999-03-03,,,,,
1999-03-10,,,,,
1999-06-01,32.08297840028928,38.27363861274513,31.22442192786967,36.62430191040039,164478900.0
1999-06-09,,,,,
1999-06-30,,,,,
1999-09-01,37.43575564886378,39.06733937116301,25.380173816664616,29.05123519897461,347179300.0
1999-09-08,,,,,
1999-09-29,,,,,
1999-10-22,,,,,
1999-12-01,29.991627702752535,31.900183964355907,16.359069656046834,26.901578903198242,440405700.0
1999-12-13,,,,,
1999-12-30,,,,,
2000-03-01,28.12617316735305,38.90178541718697,27.030346604774884,34.381507873535156,253687000.0
2000-03-08,,,,,
2000-03-30,,,,,
2000-06-01,34.73785595589315,42.71198186101133,30.65913647638502,41.8068733215332,200452500.0
2000-06-07,,,,,
2000-06-28,,,,,
2000-09-01,42.4278791426184,43.53109761396158,32.72876434311889,38.79645919799805,222723000.0
2000-09-11,,,,,
2000-09-28,,,,,
2000-12-01,39.38981776061681,46.53888459189052,35.7085245153082,40.236515045166016,247072100.0
2000-12-06,,,,,
2000-12-28,,,,,
2001-03-01,40.27597446424095,43.78304777212533,29.644003860432804,42.417137145996094,341111600.0
2001-03-07,,,,,
2001-03-29,,,,,
2001-06-01,41.841758995297695,42.66378370634689,36.65782624571727,38.47220230102539,269048100.0
2001-06-13,,,,,
2001-09-01,38.17418695738163,44.43771878574203,29.08650708849848,43.58528518676758,316411200.0
2001-09-12,,,,,
2001-09-17,,,,,
2001-09-27,,,,,
2001-12-01,43.49844216978906,44.83398716024744,16.414506247035565,21.711915969848633,946161200.0
2001-12-12,,,,,
2001-12-28,,,,,
2002-03-01,21.890076503079477,26.814409594367195,11.412775175057623,16.426912307739258,692939000.0
2002-03-06,,,,,
2002-03-27,,,,,
2002-06-01,14.144821828312885,14.144821828312885,5.251641427812841,11.80490779876709,1199076800.0
2002-06-12,,,,,
2002-06-27,,,,,
2002-09-01,11.577061534018542,14.251630482482756,9.093533724750337,13.563883781433105,473359300.0
2002-09-11,,,,,
2002-09-27,,,,,
2002-12-01,14.291550405447987,14.446054081508159,10.614373671962186,11.43324089050293,523295300.0
2002-12-11,,,,,
2002-12-30,,,,,
2003-03-01,11.754778389014096,14.285375833495287,8.747742406369357,13.824557304382324,476987400.0
2003-03-12,,,,,
2003-03-28,,,,,
2003-06-01,14.17356494786795,16.461923306768323,14.038956315333708,16.29564094543457,335833400.0
2003-06-11,,,,,
2003-06-27,,,,,
2003-09-01,16.54357989206815,18.391533464072626,15.855597830477148,18.359533309936523,289357800.0
2003-09-10,,,,,
2003-09-29,,,,,
2003-12-01,18.569987968600024,23.745361952800174,18.54576662333785,23.067153930664062,288450200.0
2003-12-10,,,,,
2003-12-30,,,,,
2004-01-05,,,,,
2004-03-01,23.47560118110456,25.342236806825692,21.72308277592188,25.097700119018555,274274900.0
2004-03-10,,,,,
2004-03-30,,,,,
2004-06-01,25.023254421030604,27.22517152285337,24.335667666044248,25.637170791625977,244689500.0
2004-06-09,,,,,
