,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,417.00M,,,51.00M,51.00M,20.00M,,13.00M,-71.00M,-8.00M,-70.00M,-18.00M,50.00M,,,-1.00M,-47.00M,,383.00M,-69.00M,,,-85.00M,,3.00M,-151.00M,,0.00,0.00,,-100.00M,-100.00M,-140.00M,-140.00M,-7.00M,,-247.00M,879.00M,-15.00M,3.00M,867.00M,,,,-100.00M
2020-06,310.00M,,,47.00M,47.00M,-7.00M,,13.00M,4.00M,75.00M,0.00,8.00M,238.00M,,,52.00M,373.00M,,740.00M,-96.00M,,,0.00,,-11.00M,-107.00M,,-630.00M,-138.00M,,-23.00M,-23.00M,-134.00M,-134.00M,33.00M,,-262.00M,505.00M,371.00M,3.00M,879.00M,,,,-23.00M
2020-03,241.00M,,,45.00M,45.00M,-7.00M,,18.00M,5.00M,-188.00M,53.00M,3.00M,164.00M,,,-26.00M,6.00M,,308.00M,-47.00M,,,,,0.00,-47.00M,,128.00M,128.00M,,-30.00M,-30.00M,-133.00M,-133.00M,112.00M,,77.00M,174.00M,338.00M,-7.00M,505.00M,,,,-30.00M
2019-12,185.00M,,,44.00M,44.00M,5.00M,,13.00M,2.00M,13.00M,-9.00M,1.00M,-33.00M,,,6.00M,-22.00M,,227.00M,-57.00M,,,,,1.00M,-56.00M,,55.00M,55.00M,,-85.00M,-85.00M,-133.00M,-133.00M,8.00M,,-155.00M,157.00M,16.00M,1.00M,174.00M,,,,-85.00M
2019-09,203.00M,,,44.00M,44.00M,7.00M,,6.00M,19.00M,73.00M,6.00M,-10.00M,-78.00M,,,1.00M,-8.00M,,271.00M,-54.00M,,,0.00,,12.00M,-42.00M,,51.00M,51.00M,,-110.00M,-110.00M,-133.00M,-133.00M,9.00M,,-183.00M,113.00M,46.00M,-2.00M,157.00M,,,,-110.00M
2019-06,241.00M,,,47.00M,47.00M,-13.00M,,9.00M,0.00,-43.00M,44.00M,4.00M,72.00M,,,28.00M,105.00M,,389.00M,-71.00M,,,,,1.00M,-70.00M,,72.00M,72.00M,,-346.00M,-346.00M,-122.00M,-122.00M,10.00M,,-386.00M,180.00M,-67.00M,0.00,113.00M,,,,-346.00M
2019-03,187.00M,,,45.00M,45.00M,-9.00M,,16.00M,-54.00M,-57.00M,23.00M,5.00M,0.00,,,-2.00M,-31.00M,,154.00M,-49.00M,,,,,0.00,-49.00M,,84.00M,84.00M,,-72.00M,-72.00M,-123.00M,-123.00M,20.00M,,-91.00M,165.00M,14.00M,1.00M,180.00M,,,,-72.00M
2018-12,182.00M,,,44.00M,44.00M,5.00M,,10.00M,9.00M,35.00M,-61.00M,-2.00M,-3.00M,,,-29.00M,-60.00M,,190.00M,-50.00M,,,,,9.00M,-41.00M,,-47.00M,-47.00M,,-40.00M,-40.00M,-123.00M,-123.00M,64.00M,,-146.00M,165.00M,3.00M,-3.00M,165.00M,,,,-40.00M
2018-09,210.00M,,,44.00M,44.00M,-3.00M,,8.00M,16.00M,33.00M,-13.00M,-13.00M,-52.00M,,,29.00M,-16.00M,,259.00M,-36.00M,,,,,,-36.00M,,80.00M,80.00M,,-203.00M,-203.00M,-122.00M,-122.00M,53.00M,,-192.00M,134.00M,31.00M,0.00,165.00M,,,,-203.00M
2018-06,217.00M,,,45.00M,45.00M,20.00M,,16.00M,20.00M,5.00M,37.00M,6.00M,17.00M,,,17.00M,82.00M,,400.00M,-68.00M,,,,,2.00M,-747.00M,495.00M,-871.00M,-376.00M,,-201.00M,-201.00M,-124.00M,-124.00M,10.00M,,-691.00M,1.177B,-1.038B,-5.00M,134.00M,,495.00M,0.00,-201.00M
