,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2017-09,963.00M,,,,,,299.00M,299.00M,,,32.00M,,454.00M,-273.00M,-28.00M,289.00M,,18.00M,6.00M,1.754B,,-222.00M,,,,,6.00M,-216.00M,,2017-09,0.00,0.00,,-500.00M,-500.00M,,,-522.00M,,-522.00M,,-27.00M,,2017-09,2.452B,489.00M,2.941B,,2017-09,,0.00,,-500.00M,2017-09,AOR,Restated
2017-06,955.00M,,,,,,296.00M,296.00M,,,57.00M,,183.00M,72.00M,187.00M,-171.00M,,-35.00M,53.00M,1.544B,,-278.00M,,,,,5.00M,-273.00M,,2017-06,,,,-500.00M,-500.00M,,,-525.00M,,-525.00M,-31.00M,21.00M,,2017-06,2.216B,236.00M,2.452B,,2017-06,,,,-500.00M,2017-06,AOR,Restated
2017-03,789.00M,,,,,,285.00M,285.00M,,,44.00M,,188.00M,-861.00M,-225.00M,1.111B,,335.00M,360.00M,1.666B,,-170.00M,,,,,4.00M,-166.00M,,2017-03,,,,-500.00M,-500.00M,,,-544.00M,,-544.00M,31.00M,-108.00M,,2017-03,1.837B,379.00M,2.216B,,2017-03,,,,-500.00M,2017-03,AOR,Restated
2016-12,859.00M,33.00M,,33.00M,,,327.00M,327.00M,,,25.00M,,-528.00M,889.00M,408.00M,-1.221B,,130.00M,206.00M,729.00M,,-436.00M,,,,,2.00M,-434.00M,,2016-12,,0.00,,-816.00M,-816.00M,,,-530.00M,,-530.00M,-75.00M,68.00M,,2016-12,2.895B,-1.058B,1.837B,,2016-12,,,0.00,-816.00M,2016-12,AOR,Restated
2016-09,2.395B,-1.234B,,-1.234B,,,295.00M,295.00M,,,27.00M,,45.00M,-323.00M,-2.00M,227.00M,,-110.00M,-208.00M,1.32B,,-241.00M,,,,,17.00M,-224.00M,,2016-09,,-500.00M,,-278.00M,-278.00M,,,-484.00M,,-484.00M,22.00M,1.77B,,2016-09,1.269B,1.626B,2.895B,,2016-09,,,-500.00M,-278.00M,2016-09,AOR,Restated
2016-06,1.021B,,,,,,297.00M,297.00M,,,53.00M,,-40.00M,-656.00M,77.00M,55.00M,,666.00M,142.00M,1.473B,,-235.00M,,,,,55.00M,-180.00M,,2016-06,,-452.00M,,-501.00M,-501.00M,,,-501.00M,,-501.00M,25.00M,-47.00M,,2016-06,1.452B,-183.00M,1.269B,,2016-06,,,-452.00M,-501.00M,2016-06,AOR,Restated
2016-03,898.00M,,,,,,296.00M,296.00M,,,44.00M,,221.00M,-558.00M,-310.00M,751.00M,,325.00M,208.00M,1.667B,,-151.00M,,,,,4.00M,-147.00M,,2016-03,,,,-501.00M,-501.00M,,,-533.00M,,-533.00M,28.00M,-152.00M,,2016-03,1.09B,362.00M,1.452B,,2016-03,,,,-501.00M,2016-03,AOR,Restated
2015-12,933.00M,0.00,,0.00,,,300.00M,300.00M,,,20.00M,,372.00M,605.00M,-39.00M,-797.00M,,415.00M,184.00M,1.364B,,-439.00M,,,,,119.00M,-9.323B,,2015-12,,6.888B,,-707.00M,-707.00M,,,-505.00M,,-505.00M,48.00M,25.00M,,2015-12,3.30B,-2.21B,1.09B,,2015-12,,12.89B,-6.00B,-707.00M,2015-12,AOR,Restated
2015-09,865.00M,0.00,,0.00,,,236.00M,236.00M,,,29.00M,,353.00M,322.00M,-205.00M,184.00M,,-267.00M,34.00M,1.517B,,-191.00M,,,,,-2.00M,-193.00M,,2015-09,,0.00,,-823.00M,-823.00M,,,-462.00M,,-462.00M,42.00M,17.00M,,2015-09,3.202B,98.00M,3.30B,,2015-09,,0.00,0.00,-823.00M,2015-09,AOR,Restated
2015-06,929.00M,,,,,,246.00M,246.00M,,,49.00M,,37.00M,-522.00M,51.00M,78.00M,,395.00M,2.00M,1.263B,,-191.00M,,,,,65.00M,-126.00M,,2015-06,,0.00,,-937.00M,-937.00M,,,-467.00M,,-467.00M,19.00M,-36.00M,,2015-06,3.486B,-284.00M,3.202B,,2015-06,,0.00,0.00,-937.00M,2015-06,AOR,Restated
