,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2009-03,666.00M,,,,175.00M,27.00M,202.00M,202.00M,,,30.00M,,620.00M,-779.00M,33.00M,120.00M,326.00M,,-300.00M,1.218B,,-132.00M,,-132.00M,-156.00M,0.00,-4.00M,-292.00M,,2009-03,,,16.00M,-499.00M,-483.00M,,,-227.00M,,-227.00M,,,,2009-03,2.168B,216.00M,2.384B,,2009-03,16.00M,,,-499.00M,2009-03,AOR,Restated
2008-12,823.00M,,,,205.00M,28.00M,233.00M,233.00M,,,40.00M,90.00M,-1.08B,93.00M,-165.00M,87.00M,-91.00M,,819.00M,997.00M,,-423.00M,,-423.00M,-38.00M,10.00M,7.00M,-444.00M,,2008-12,,491.00M,-242.00M,-593.00M,-835.00M,,,-227.00M,,-227.00M,,-239.00M,,2008-12,2.463B,-257.00M,2.168B,,2008-12,-242.00M,,0.00,-593.00M,2008-12,AOR,Restated
2008-09,782.00M,,,,187.00M,27.00M,214.00M,214.00M,,,40.00M,-47.00M,211.00M,-160.00M,-113.00M,35.00M,94.00M,,-144.00M,1.056B,,-229.00M,,-229.00M,-107.00M,25.00M,-67.00M,-378.00M,,2008-09,,-1.00B,125.00M,-408.00M,-283.00M,,,-170.00M,,-170.00M,,47.00M,,2008-09,3.214B,-728.00M,2.463B,,2008-09,125.00M,,-1.00B,-408.00M,2008-09,AOR,Restated
2008-06,882.00M,,,,175.00M,27.00M,202.00M,202.00M,,,40.00M,-43.00M,120.00M,217.00M,-4.00M,81.00M,-7.00M,,287.00M,1.488B,,-170.00M,,-170.00M,-77.00M,52.00M,39.00M,-156.00M,,2008-06,,-103.00M,53.00M,-745.00M,-692.00M,,,-168.00M,,-168.00M,,43.00M,,2008-06,2.799B,412.00M,3.214B,,2008-06,53.00M,,-103.00M,-745.00M,2008-06,,Restated
2008-03,730.00M,,,,160.00M,36.00M,196.00M,196.00M,,,35.00M,,556.00M,-483.00M,99.00M,-257.00M,4.00M,,-637.00M,880.00M,,-104.00M,,-104.00M,-11.00M,185.00M,1.00M,71.00M,,2008-03,,,64.00M,-1.185B,-1.121B,,,-172.00M,,-172.00M,,491.00M,,2008-03,2.648B,149.00M,2.799B,,2008-03,64.00M,,,-1.185B,2008-03,,Restated
2007-12,799.00M,,,,212.00M,36.00M,248.00M,248.00M,,,33.00M,-22.00M,-608.00M,8.00M,-331.00M,198.00M,,-18.00M,-143.00M,417.00M,,-460.00M,,-460.00M,-12.00M,-24.00M,67.00M,-429.00M,,2007-12,,0.00,38.00M,-322.00M,-284.00M,,,-175.00M,,-175.00M,,22.00M,,2007-12,3.094B,-449.00M,2.648B,,2007-12,38.00M,0.00,0.00,-322.00M,2007-12,AOR,Restated
2007-09,766.00M,,,-759.00M,166.00M,36.00M,202.00M,202.00M,,,116.00M,-102.00M,912.00M,286.00M,-8.00M,-170.00M,-720.00M,412.00M,-200.00M,935.00M,,-226.00M,,-226.00M,-189.00M,-6.00M,-32.00M,-453.00M,,2007-09,,0.00,58.00M,-411.00M,-353.00M,,,-440.00M,,-145.00M,,102.00M,,2007-09,3.008B,86.00M,3.094B,,2007-09,58.00M,0.00,-32.00M,-411.00M,2007-09,,Restated
2007-06,778.00M,,,220.00M,147.00M,37.00M,184.00M,184.00M,,,,,,-337.00M,-3.00M,37.00M,525.00M,,222.00M,1.404B,,-170.00M,,-170.00M,-41.00M,-7.00M,-90.00M,-308.00M,,2007-06,,-15.00M,105.00M,-661.00M,-556.00M,,,,,-295.00M,,,,2007-06,2.778B,230.00M,3.008B,,2007-06,105.00M,,,-661.00M,2007-06,,
2007-03,690.00M,,,539.00M,141.00M,44.00M,185.00M,185.00M,,,,,,-281.00M,285.00M,-131.00M,195.00M,,68.00M,1.482B,,-84.00M,,-84.00M,-95.00M,85.00M,79.00M,-15.00M,,2007-03,,-17.00M,149.00M,-733.00M,-584.00M,,,,,,,,,2007-03,1.912B,866.00M,2.778B,,2007-03,149.00M,,,-733.00M,2007-03,,
2006-12,729.00M,,,,171.00M,46.00M,217.00M,217.00M,,,,,159.00M,181.00M,-421.00M,312.00M,-608.00M,-311.00M,-847.00M,315.00M,,-440.00M,,-440.00M,-39.00M,14.00M,44.00M,-421.00M,,2006-12,,-10.00M,-61.00M,-197.00M,-258.00M,,,,,-149.00M,,129.00M,,2006-12,2.288B,-394.00M,1.912B,,2006-12,-61.00M,,,-197.00M,2006-12,AOR,Restated
2006-09,629.00M,,,-580.00M,145.00M,40.00M,185.00M,185.00M,,,,,,-356.00M,-153.00M,-14.00M,155.00M,786.00M,418.00M,652.00M,,-190.00M,,-190.00M,-429.00M,35.00M,-118.00M,-702.00M,,2006-09,,0.00,180.00M,-317.00M,-137.00M,,,,,-128.00M,,-353.00M,,2006-09,2.956B,-668.00M,2.288B,,2006-09,180.00M,,,-317.00M,2006-09,,
2006-06,580.00M,,,580.00M,149.00M,39.00M,188.00M,188.00M,,,,,-549.00M,486.00M,39.00M,-69.00M,358.00M,,814.00M,1.613B,,-165.00M,-156.00M,-321.00M,-321.00M,27.00M,200.00M,-415.00M,,2006-06,,-194.00M,117.00M,-718.00M,-601.00M,,,,,-129.00M,,,,2006-06,2.682B,274.00M,2.956B,,2006-06,117.00M,,,-718.00M,2006-06,,
2006-03,591.00M,,,,135.00M,39.00M,174.00M,174.00M,,,,,549.00M,-217.00M,5.00M,-12.00M,95.00M,,-129.00M,1.185B,,-98.00M,156.00M,58.00M,-153.00M,-28.00M,6.00M,-117.00M,,2006-03,,-6.00M,391.00M,-883.00M,-492.00M,,,,,-132.00M,,,,2006-03,2.244B,438.00M,2.682B,,2006-03,391.00M,,,-883.00M,2006-03,,
2005-12,568.00M,,,,159.00M,37.00M,196.00M,196.00M,,,,,,-107.00M,-253.00M,124.00M,-110.00M,-920.00M,-1.266B,56.00M,,-503.00M,-806.00M,-1.309B,787.00M,-3.00M,27.00M,-498.00M,,2005-12,,-94.00M,88.00M,-306.00M,-218.00M,,,,,-130.00M,,,,2005-12,3.14B,-896.00M,2.244B,,2005-12,88.00M,,,-306.00M,2005-12,AOR,Restated
2005-09,427.00M,,,,138.00M,38.00M,176.00M,176.00M,,,,,,-159.00M,107.00M,-79.00M,-138.00M,559.00M,290.00M,893.00M,,-154.00M,806.00M,652.00M,-3.00M,-12.00M,-805.00M,-168.00M,,2005-09,,0.00,31.00M,-568.00M,-537.00M,,,,,-110.00M,,,,2005-09,3.062B,78.00M,3.14B,,2005-09,31.00M,,,-568.00M,2005-09,,
2005-06,461.00M,,,,132.00M,38.00M,170.00M,170.00M,,,,,,-66.00M,23.00M,119.00M,-371.00M,361.00M,66.00M,697.00M,,-119.00M,-762.00M,-881.00M,0.00,-8.00M,804.00M,-85.00M,,2005-06,,-39.00M,176.00M,-302.00M,-126.00M,,,,,-112.00M,,,,2005-06,2.727B,335.00M,3.062B,,2005-06,176.00M,,,-302.00M,2005-06,,
2005-03,369.00M,,,,126.00M,37.00M,163.00M,163.00M,,,,,,-58.00M,84.00M,75.00M,915.00M,,1.016B,1.548B,,-89.00M,762.00M,673.00M,-413.00M,-10.00M,2.00M,252.00M,,2005-03,,,111.00M,-134.00M,-23.00M,,,,,-110.00M,,,,2005-03,1.06B,1.667B,2.727B,,2005-03,111.00M,,,-134.00M,2005-03,,
2004-12,372.00M,,,,133.00M,38.00M,171.00M,171.00M,,,,,,-252.00M,-174.00M,175.00M,-71.00M,-642.00M,-964.00M,89.00M,,-376.00M,,-376.00M,188.00M,-309.00M,-11.00M,-508.00M,,2004-12,,-1.115B,90.00M,-208.00M,-118.00M,,,,,-111.00M,,,,2004-12,2.823B,-1.763B,1.06B,,2004-12,90.00M,,,-208.00M,2004-12,AOR,Restated
2004-09,307.00M,,,,133.00M,36.00M,169.00M,169.00M,,,,,,-200.00M,259.00M,28.00M,337.00M,139.00M,563.00M,1.039B,,-133.00M,,-133.00M,,-87.00M,8.00M,-212.00M,,2004-09,,0.00,38.00M,-187.00M,-149.00M,,,,,-98.00M,,,,2004-09,2.243B,580.00M,2.823B,,2004-09,38.00M,,,-187.00M,2004-09,,
2004-06,296.00M,,,,119.00M,35.00M,154.00M,154.00M,,,,,,344.00M,156.00M,-92.00M,-627.00M,503.00M,284.00M,734.00M,,-154.00M,,-154.00M,4.00M,0.00,15.00M,-135.00M,,2004-06,,-122.00M,18.00M,-278.00M,-260.00M,,,,,-98.00M,,,,2004-06,2.124B,119.00M,2.243B,,2004-06,18.00M,,,-278.00M,2004-06,,
2004-03,291.00M,,,,126.00M,36.00M,162.00M,162.00M,,,,,,21.00M,278.00M,177.00M,133.00M,,609.00M,1.062B,,-106.00M,,-106.00M,-4.00M,240.00M,17.00M,147.00M,,2004-03,,-15.00M,18.00M,,18.00M,,,,,-98.00M,,,,2004-03,1.01B,1.114B,2.124B,,2004-03,18.00M,,,,2004-03,,
2003-12,344.00M,,,,136.00M,35.00M,171.00M,171.00M,,,,,,-355.00M,-117.00M,118.00M,255.00M,-751.00M,-850.00M,135.00M,,-320.00M,,-320.00M,-368.00M,7.00M,35.00M,-646.00M,,2003-12,,-17.00M,4.00M,-203.00M,-199.00M,,,,,-98.00M,,,,2003-12,1.835B,-825.00M,1.01B,,2003-12,4.00M,,,-203.00M,2003-12,AOR,Restated
2003-09,217.00M,,,,120.00M,31.00M,151.00M,151.00M,,,,,,-147.00M,-136.00M,131.00M,-364.00M,433.00M,-83.00M,285.00M,,-165.00M,,-165.00M,0.00,-18.00M,11.00M,-172.00M,,2003-09,,-151.00M,18.00M,0.00,18.00M,,,,,-54.00M,,,,2003-09,1.909B,-74.00M,1.835B,,2003-09,18.00M,,,0.00,2003-09,,
2003-06,242.00M,,,,116.00M,32.00M,148.00M,148.00M,,,,,,387.00M,-22.00M,81.00M,-160.00M,169.00M,455.00M,845.00M,,-124.00M,,-124.00M,-60.00M,-229.00M,2.00M,-411.00M,,2003-06,,-572.00M,12.00M,0.00,12.00M,,,,,-55.00M,,,,2003-06,2.09B,-181.00M,1.909B,,2003-06,12.00M,,,0.00,2003-06,,
2003-03,250.00M,,,,108.00M,31.00M,139.00M,139.00M,,,,,,-143.00M,181.00M,-16.00M,-16.00M,149.00M,155.00M,544.00M,,-78.00M,,-78.00M,-159.00M,,5.00M,-232.00M,,2003-03,,-637.00M,10.00M,-279.00M,-269.00M,,,,,-54.00M,,,,2003-03,2.738B,-648.00M,2.09B,,2003-03,10.00M,,,-279.00M,2003-03,,
2002-12,-342.00M,,,28.00M,,,155.00M,155.00M,,,,,,75.00M,-171.00M,39.00M,-598.00M,-577.00M,-1.232B,-440.00M,,-266.00M,-84.00M,-350.00M,118.00M,,38.00M,-194.00M,,2002-12,,-23.00M,5.00M,,-45.00M,,,,,-50.00M,,,,2002-12,3.49B,-752.00M,2.738B,,2002-12,5.00M,,,,2002-12,AOR,Restated
2002-09,300.00M,,,-10.00M,,,131.00M,131.00M,,,,,,-175.00M,723.00M,-42.00M,72.00M,181.00M,759.00M,1.18B,,-135.00M,3.00M,-132.00M,-2.00M,,30.00M,-104.00M,,2002-09,,-11.00M,46.00M,,46.00M,,,,,-50.00M,,,,2002-09,2.429B,1.061B,3.49B,,2002-09,46.00M,,,,2002-09,,
2002-06,351.00M,,,-12.00M,,,138.00M,138.00M,,,,,,386.00M,42.00M,-22.00M,79.00M,158.00M,643.00M,1.12B,,-156.00M,81.00M,-75.00M,-86.00M,,-12.00M,-173.00M,,2002-06,,-18.00M,184.00M,,184.00M,,,,,-51.00M,,,,2002-06,1.367B,1.062B,2.429B,,2002-06,184.00M,,,,2002-06,,
2002-03,224.00M,,,-6.00M,,,134.00M,134.00M,,,,,,108.00M,-9.00M,-248.00M,-13.00M,238.00M,76.00M,428.00M,,-105.00M,,-105.00M,,,37.00M,-68.00M,,2002-03,,-58.00M,201.00M,,201.00M,,,,,-48.00M,,,,2002-03,912.00M,455.00M,1.367B,,2002-03,201.00M,,,,2002-03,,
2001-12,-146.00M,,,-273.00M,,,223.00M,223.00M,,,,,,-323.00M,205.00M,-48.00M,-363.00M,-424.00M,-953.00M,-369.00M,,-307.00M,-825.00M,-1.132B,,,214.00M,-285.00M,,2001-12,,-277.00M,90.00M,,90.00M,,,,,-48.00M,,,,2001-12,1.801B,-889.00M,912.00M,,2001-12,90.00M,,,,2001-12,AOR,Restated
2001-09,-60.00M,,,273.00M,,,141.00M,141.00M,,,,,,289.00M,446.00M,-216.00M,681.00M,-557.00M,643.00M,997.00M,,-119.00M,825.00M,706.00M,,,-1.00M,705.00M,,2001-09,,-1.134B,59.00M,,59.00M,,,,,-48.00M,,,,2001-09,1.222B,579.00M,1.801B,,2001-09,59.00M,,,,2001-09,,
2001-06,123.00M,,,21.00M,,,265.00M,265.00M,,,,,,-262.00M,-254.00M,81.00M,-373.00M,547.00M,-261.00M,148.00M,,-121.00M,,-121.00M,,,-29.00M,-150.00M,,2001-06,,-1.138B,21.00M,,21.00M,,,,,-48.00M,,,,2001-06,2.389B,-1.167B,1.222B,,2001-06,21.00M,,,,2001-06,,
2001-03,126.00M,,,-21.00M,,,194.00M,194.00M,,,,,,262.00M,254.00M,-81.00M,373.00M,-58.00M,750.00M,1.049B,,-72.00M,,-72.00M,,,-59.00M,-131.00M,,2001-03,,-29.00M,43.00M,,43.00M,,,,,-48.00M,,,,2001-03,1.505B,884.00M,2.389B,,2001-03,43.00M,,,,2001-03,,
2000-12,226.00M,,,,,,163.00M,163.00M,,,,,305.00M,,,,,-1.246B,-327.00M,271.00M,,-217.00M,-510.00M,-727.00M,674.00M,,1.693B,1.383B,,2000-12,-463.00M,-2.044B,8.00M,,8.00M,,,-183.00M,,-51.00M,,,,2000-12,1.938B,-433.00M,1.505B,,2000-12,8.00M,,,,2000-12,,Restated
2000-09,-704.00M,,,,,,253.00M,253.00M,,,,,,,,,,598.00M,598.00M,147.00M,,-98.00M,510.00M,412.00M,,,195.00M,607.00M,,2000-09,,-25.00M,4.00M,,4.00M,,,,,-44.00M,,,,2000-09,1.249B,689.00M,1.938B,,2000-09,4.00M,,,,2000-09,,
2000-06,96.00M,,,,,,240.00M,240.00M,,,,,-54.00M,,,,,1.031B,834.00M,1.116B,,-101.00M,,-101.00M,,,-13.00M,-114.00M,,2000-06,234.00M,-243.00M,1.00M,,1.00M,,,44.00M,,-44.00M,,,,2000-06,533.00M,716.00M,1.249B,,2000-06,1.00M,,,,2000-06,,
2000-03,,,,,,,231.00M,231.00M,,,,,54.00M,,,,,,197.00M,482.00M,,-84.00M,,-84.00M,0.00,,-30.00M,-114.00M,,2000-03,-234.00M,-247.00M,1.00M,,1.00M,,,-44.00M,,-44.00M,,,,2000-03,455.00M,78.00M,533.00M,,2000-03,1.00M,,,,2000-03,AOR,
1999-12,293.00M,,,,,,264.00M,264.00M,,,,,,,,,,89.00M,-156.00M,694.00M,,-1.43B,,-1.167B,-103.00M,,1.197B,-73.00M,,1999-12,,-79.00M,0.00,,0.00,,,,,-87.00M,,,,1999-12,0.00,455.00M,455.00M,,1999-12,0.00,,,,1999-12,AOR,
1999-09,217.00M,,,,,,242.00M,242.00M,,,,,,,,,,100.00M,100.00M,559.00M,,-166.00M,,-166.00M,,-182.00M,-1.126B,-1.474B,,1999-09,,1.00B,2.00M,,2.00M,,,,,-87.00M,,,,1999-09,0.00,0.00,0.00,,1999-09,2.00M,,,,1999-09,,
1999-06,227.00M,,,,,,233.00M,233.00M,,,,,-268.00M,,,,,-866.00M,-215.00M,-23.00M,,-145.00M,,-145.00M,-182.00M,182.00M,3.00M,-142.00M,,1999-06,-120.00M,199.00M,7.00M,,7.00M,,,87.00M,,-84.00M,,,,1999-06,43.00M,-43.00M,0.00,,1999-06,7.00M,,,,1999-06,,
1999-03,,,,,,,230.00M,230.00M,,,,,268.00M,,,,,,-651.00M,-153.00M,,-131.00M,,-131.00M,182.00M,,,51.00M,,1999-03,120.00M,-61.00M,8.00M,,8.00M,,,-87.00M,,-87.00M,,,,1999-03,285.00M,-242.00M,43.00M,,1999-03,8.00M,,,,1999-03,,Restated
1998-12,-876.00M,,,,,,261.00M,261.00M,,,,,1.001B,,,,,591.00M,735.00M,1.324B,,-220.00M,,-220.00M,134.00M,,-19.00M,-105.00M,,1998-12,-151.00M,-1.069B,33.00M,,33.00M,-51.00M,-51.00M,-310.00M,,-81.00M,,51.00M,,1998-12,183.00M,102.00M,285.00M,,1998-12,33.00M,,,-51.00M,1998-12,AOR,Restated
1998-09,876.00M,,,,,,250.00M,250.00M,,,,,-558.00M,,,,,-913.00M,219.00M,787.00M,,-170.00M,,-170.00M,,,39.00M,-131.00M,,1998-09,-1.104B,-405.00M,8.00M,,8.00M,51.00M,51.00M,153.00M,,-76.00M,,-51.00M,,1998-09,,183.00M,183.00M,,1998-09,8.00M,,,51.00M,1998-09,,
1998-06,,,,,,,241.00M,241.00M,,,,,289.00M,,,,,,-387.00M,143.00M,,-179.00M,,-179.00M,,,6.00M,-173.00M,,1998-06,466.00M,140.00M,16.00M,,16.00M,-51.00M,-51.00M,-75.00M,,-75.00M,,,,1998-06,0.00,,,,1998-06,16.00M,,,-51.00M,1998-06,,
