,OperatingRevenue,Revenue,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.035B,2.035B,,,39.77M,-39.77M,129.54M,129.54M,39.77M,-39.77M,87.64M,-39.77M,206.41M,54.05M,152.37M,,-0.688M,,151.68M,151.68M,32.13M,246.18M,0.82,,,,0.82,0.82,0.81,,,,0.81,0.81,185.76M,187.72M,0.12
2020-06,1.943B,1.943B,,,38.37M,-38.37M,124.80M,124.80M,38.37M,-38.37M,75.92M,-38.37M,105.45M,33.79M,71.66M,,-0.396M,,71.26M,71.26M,39.00M,143.82M,0.38,,,,0.38,0.38,0.38,,,,0.38,0.38,185.98M,187.86M,0.12
2020-03,1.832B,1.832B,,,36.73M,-36.73M,140.14M,140.14M,36.73M,-36.73M,95.85M,-36.73M,-6.468M,-2.942M,-3.526M,,-0.892M,,-4.418M,-4.418M,25.06M,30.27M,-0.02,,,,-0.02,-0.02,-0.02,,,,-0.02,-0.02,190.29M,190.29M,0.11
2019-12,1.978B,1.978B,,,33.50M,-33.50M,171.52M,171.52M,33.50M,-33.50M,123.71M,-33.50M,146.76M,26.97M,119.79M,,-0.487M,,119.31M,119.31M,71.38M,180.26M,0.62,,,,0.62,0.62,0.62,,,,0.62,0.62,191.11M,193.41M,0.11
2019-09,1.988B,1.988B,,,38.48M,-38.48M,150.81M,150.81M,38.48M,-38.48M,102.07M,-38.48M,202.98M,37.83M,165.15M,,0.057M,,165.21M,165.21M,-9.282M,241.46M,0.87,,,,0.87,0.87,0.85,,,,0.85,0.85,190.86M,193.59M,0.11
2019-06,2.023B,2.023B,,,40.72M,-40.72M,136.08M,136.08M,40.72M,-40.72M,92.19M,-40.72M,273.74M,56.31M,217.43M,,-0.718M,,216.71M,216.71M,23.86M,314.45M,1.14,,,,1.14,1.14,1.12,,,,1.12,1.12,190.51M,193.06M,0.11
2019-03,1.944B,1.944B,,,40.72M,-40.72M,145.43M,145.43M,40.72M,-40.72M,91.95M,-40.72M,229.44M,47.82M,181.61M,,-0.892M,,180.72M,180.72M,27.42M,270.16M,0.95,,,,0.95,0.95,0.95,,,,0.95,0.95,190.40M,192.67M,0.1
2018-12,1.957B,1.957B,,,40.58M,-40.58M,173.48M,173.48M,40.58M,-40.58M,131.57M,-40.58M,162.64M,26.37M,136.27M,,-3.915M,,132.36M,132.36M,54.57M,203.22M,0.6933,,,,0.6933,0.6933,0.6867,,,,0.6867,0.6867,190.61M,191.76M,0.1
2018-09,1.955B,1.955B,,,39.85M,-39.85M,141.73M,141.73M,39.85M,-39.85M,95.18M,-39.85M,209.22M,44.78M,164.44M,,-2.523M,,161.92M,161.92M,20.17M,249.07M,0.85,,,,0.85,0.85,0.84,,,,0.84,0.84,190.24M,192.84M,0.1
2018-06,1.929B,1.929B,,,39.70M,-39.70M,128.73M,128.73M,39.70M,-39.70M,76.74M,-39.70M,229.24M,48.46M,180.78M,,-0.703M,,180.08M,180.08M,27.34M,268.95M,0.95,,,,0.95,0.95,0.93,,,,0.93,0.93,189.78M,192.51M,0.1
