,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2010-09,367.00M,-2.00M,5.00M,26.00M,-14.00M,,15.00M,127.00M,127.00M,-52.00M,,13.00M,-23.00M,120.00M,-34.00M,-11.00M,13.00M,129.00M,,,,,664.00M,,2010-09,-163.00M,8.00M,8.00M,-37.00M,,-196.00M,,2010-09,338.00M,25.00M,363.00M,,-36.00M,-36.00M,-98.00M,-98.00M,20.00M,261.00M,,2010-09,530.00M,15.00M,1.274B,,2010-09,,367.00M,-4.00M,,2010-09,AOR,Restated
2010-06,534.00M,53.00M,16.00M,8.00M,-8.00M,10.00M,16.00M,137.00M,137.00M,-4.00M,-4.00M,11.00M,-14.00M,-276.00M,35.00M,-24.00M,1.00M,65.00M,,,-36.00M,,441.00M,,2010-06,-164.00M,4.00M,4.00M,39.00M,,-123.00M,,2010-06,-28.00M,-5.00M,-33.00M,,-115.00M,-115.00M,-98.00M,-98.00M,27.00M,-222.00M,,2010-06,444.00M,-10.00M,530.00M,,2010-06,,-23.00M,-10.00M,,2010-06,AOR,Restated
2010-03,,,,,-12.00M,-10.00M,41.00M,119.00M,119.00M,-74.00M,4.00M,13.00M,-9.00M,245.00M,-7.00M,5.00M,1.00M,18.00M,,,36.00M,,392.00M,,2010-03,-163.00M,9.00M,9.00M,42.00M,,-116.00M,,2010-03,20.00M,-3.00M,17.00M,,-132.00M,-132.00M,-99.00M,-99.00M,17.00M,-190.00M,,2010-03,353.00M,5.00M,444.00M,,2010-03,,23.00M,-6.00M,,2010-03,AOR,Restated
2009-12,218.00M,-59.00M,-31.00M,-29.00M,92.00M,,-333.00M,195.00M,195.00M,13.00M,103.00M,17.00M,-11.00M,135.00M,-8.00M,-7.00M,19.00M,-72.00M,,,,,269.00M,,2009-12,-292.00M,18.00M,18.00M,63.00M,,-222.00M,,2009-12,-6.00M,-19.00M,-25.00M,,0.00,0.00,-99.00M,-99.00M,22.00M,-103.00M,,2009-12,424.00M,-15.00M,353.00M,,2009-12,,-5.00M,283.00M,,2009-12,AOR,Restated
2009-09,340.00M,4.00M,5.00M,21.00M,-12.00M,,18.00M,139.00M,139.00M,88.00M,,13.00M,-5.00M,-17.00M,13.00M,19.00M,-8.00M,40.00M,,,,,640.00M,,2009-09,-163.00M,8.00M,8.00M,-49.00M,56.00M,-149.00M,,2009-09,121.00M,-396.00M,-275.00M,,0.00,0.00,-88.00M,-88.00M,14.00M,-357.00M,,2009-09,284.00M,6.00M,424.00M,,2009-09,,392.00M,-667.00M,,2009-09,AOR,Restated
2009-06,306.00M,-13.00M,26.00M,8.00M,-75.00M,,-40.00M,129.00M,129.00M,-24.00M,-4.00M,19.00M,-35.00M,-39.00M,-20.00M,-4.00M,-17.00M,-49.00M,,,-27.00M,,198.00M,,2009-06,-199.00M,7.00M,7.00M,25.00M,-56.00M,-228.00M,,2009-06,-142.00M,151.00M,9.00M,,0.00,0.00,-88.00M,-88.00M,56.00M,17.00M,,2009-06,289.00M,-9.00M,284.00M,,2009-06,,108.00M,-99.00M,,2009-06,AOR,Restated
2009-03,219.00M,,,,-10.00M,,-24.00M,117.00M,117.00M,-5.00M,4.00M,7.00M,-8.00M,3.00M,18.00M,19.00M,-1.00M,-76.00M,,,27.00M,,297.00M,,2009-03,-143.00M,1.00M,1.00M,16.00M,,-128.00M,,2009-03,-2.00M,-39.00M,-41.00M,,0.00,0.00,-87.00M,-87.00M,21.00M,-99.00M,,2009-03,216.00M,3.00M,289.00M,,2009-03,,4.00M,-45.00M,,2009-03,AOR,Restated
2008-12,206.00M,0.00,,,-7.00M,,-94.00M,167.00M,167.00M,14.00M,34.00M,22.00M,-12.00M,44.00M,12.00M,8.00M,31.00M,10.00M,,,-82.00M,,374.00M,,2008-12,-352.00M,14.00M,14.00M,98.00M,0.00,-241.00M,,2008-12,-8.00M,-22.00M,-30.00M,,-115.00M,-115.00M,-88.00M,-88.00M,21.00M,-200.00M,,2008-12,294.00M,-11.00M,216.00M,,2008-12,,-26.00M,-4.00M,,2008-12,AOR,Restated
2008-09,285.00M,0.00,,,5.00M,,-3.00M,139.00M,139.00M,-26.00M,3.00M,10.00M,-1.00M,-51.00M,-24.00M,-15.00M,-18.00M,154.00M,,,82.00M,,521.00M,,2008-09,-235.00M,24.00M,24.00M,70.00M,0.00,-145.00M,,2008-09,372.00M,-176.00M,196.00M,,-519.00M,-519.00M,-88.00M,-88.00M,11.00M,-399.00M,,2008-09,325.00M,-8.00M,294.00M,,2008-09,,205.00M,-9.00M,,2008-09,,Restated
2008-06,227.00M,0.00,,,13.00M,,12.00M,130.00M,130.00M,-6.00M,8.00M,12.00M,-22.00M,3.00M,9.00M,-7.00M,-4.00M,-103.00M,,,,,259.00M,,2008-06,-216.00M,27.00M,27.00M,44.00M,0.00,-152.00M,,2008-06,-253.00M,33.00M,-220.00M,,0.00,0.00,-71.00M,-71.00M,28.00M,-265.00M,,2008-06,481.00M,2.00M,325.00M,,2008-06,,42.00M,-262.00M,,2008-06,,Restated
2008-03,254.00M,-100.00M,,,-11.00M,,-86.00M,120.00M,120.00M,19.00M,-2.00M,15.00M,-9.00M,62.00M,-3.00M,6.00M,-5.00M,-4.00M,,,,,367.00M,,2008-03,-132.00M,7.00M,7.00M,19.00M,,-103.00M,,2008-03,-4.00M,433.00M,429.00M,,-994.00M,-994.00M,-75.00M,-75.00M,12.00M,-595.00M,,2008-03,789.00M,6.00M,481.00M,,2008-03,,433.00M,-4.00M,,2008-03,,Restated
2007-12,231.00M,,,,,,-5.00M,180.00M,180.00M,-63.00M,,,,-52.00M,15.00M,-30.00M,-10.00M,79.00M,,-12.00M,,,398.00M,,2007-12,-351.00M,14.00M,-337.00M,113.00M,129.00M,-176.00M,,2007-12,,,713.00M,34.00M,-636.00M,-602.00M,,-77.00M,,56.00M,,2007-12,507.00M,4.00M,789.00M,,2007-12,34.00M,,,,2007-12,,
2007-09,270.00M,,,,,,9.00M,129.00M,129.00M,-20.00M,,,,24.00M,-3.00M,3.00M,3.00M,103.00M,,58.00M,,,576.00M,,2007-09,-174.00M,17.00M,-157.00M,,0.00,-140.00M,,2007-09,,,-19.00M,15.00M,-297.00M,-282.00M,,-77.00M,,-368.00M,,2007-09,436.00M,3.00M,507.00M,,2007-09,15.00M,,,,2007-09,,
2007-06,214.00M,,,,,,-16.00M,121.00M,121.00M,-1.00M,,,,-10.00M,-4.00M,0.00,7.00M,-29.00M,,-29.00M,,,253.00M,,2007-06,-124.00M,13.00M,-111.00M,-34.00M,5.00M,-74.00M,,2007-06,,,167.00M,35.00M,-231.00M,-196.00M,,-79.00M,,-90.00M,,2007-06,341.00M,6.00M,436.00M,,2007-06,35.00M,,,,2007-06,,
2007-03,194.00M,,,,,,-10.00M,112.00M,112.00M,-11.00M,,,,59.00M,-12.00M,-4.00M,-6.00M,-35.00M,,53.00M,,,340.00M,,2007-03,-93.00M,12.00M,-81.00M,34.00M,,-42.00M,,2007-03,,,-30.00M,28.00M,-246.00M,-218.00M,,-40.00M,,-276.00M,,2007-03,319.00M,,341.00M,,2007-03,28.00M,,,,2007-03,,
2006-12,232.00M,,,,,,-24.00M,160.00M,160.00M,17.00M,,,,15.00M,2.00M,-10.00M,-23.00M,-15.00M,,-59.00M,,,295.00M,,2006-12,-291.00M,24.00M,-267.00M,261.00M,118.00M,-176.00M,,2006-12,,,23.00M,49.00M,-130.00M,-81.00M,,-40.00M,,-76.00M,,2006-12,271.00M,5.00M,319.00M,,2006-12,49.00M,,,,2006-12,,
2006-09,230.00M,,,,,,-75.00M,109.00M,109.00M,11.00M,,,,73.00M,-3.00M,6.00M,14.00M,35.00M,,49.00M,,,449.00M,,2006-09,-137.00M,7.00M,-130.00M,-11.00M,-48.00M,-141.00M,,2006-09,,,51.00M,9.00M,-324.00M,-315.00M,,-41.00M,,-304.00M,,2006-09,267.00M,0.00,271.00M,,2006-09,9.00M,,,,2006-09,,
2006-06,192.00M,,,,,,63.00M,111.00M,111.00M,-7.00M,,,,-50.00M,17.00M,-1.00M,-11.00M,-1.00M,,-52.00M,,,261.00M,,2006-06,-114.00M,18.00M,-96.00M,,-14.00M,-98.00M,,2006-06,,,100.00M,40.00M,-158.00M,-118.00M,,-31.00M,,-32.00M,,2006-06,134.00M,2.00M,267.00M,,2006-06,40.00M,,,,2006-06,,
2006-03,170.00M,,,,,,-7.00M,99.00M,99.00M,-51.00M,,,,82.00M,8.00M,2.00M,-13.00M,-65.00M,,72.00M,,,297.00M,,2006-03,-72.00M,8.00M,-64.00M,,-17.00M,-61.00M,,2006-03,,,78.00M,44.00M,-371.00M,-327.00M,,-32.00M,,-261.00M,,2006-03,158.00M,1.00M,134.00M,,2006-03,44.00M,,,,2006-03,,
2005-12,226.00M,,,,,,-14.00M,150.00M,150.00M,-21.00M,,,,2.00M,21.00M,-11.00M,8.00M,-52.00M,,-32.00M,,,277.00M,,2005-12,-247.00M,56.00M,-191.00M,,44.00M,-75.00M,,2005-12,,,77.00M,122.00M,-378.00M,-256.00M,,-32.00M,,-278.00M,,2005-12,263.00M,5.00M,158.00M,,2005-12,122.00M,,,,2005-12,,
2005-09,205.00M,,,,,,-40.00M,111.00M,111.00M,-48.00M,,,,11.00M,-18.00M,3.00M,13.00M,67.00M,,86.00M,,,390.00M,,2005-09,-152.00M,3.00M,-149.00M,,-1.00M,-113.00M,,2005-09,,,21.00M,24.00M,-189.00M,-165.00M,,-33.00M,,-161.00M,,2005-09,113.00M,0.00,263.00M,,2005-09,24.00M,,,,2005-09,,
2005-06,178.00M,,,,,,35.00M,111.00M,111.00M,-22.00M,,,,7.00M,2.00M,4.00M,26.00M,19.00M,,13.00M,,-34.00M,339.00M,,2005-06,-116.00M,19.00M,-97.00M,,-13.00M,-52.00M,,2005-06,,,43.00M,43.00M,-373.00M,-330.00M,,-29.00M,,-288.00M,,2005-06,118.00M,-4.00M,113.00M,,2005-06,43.00M,,,,2005-06,,
2005-03,153.00M,,,,,,3.00M,97.00M,97.00M,-10.00M,,,,21.00M,-6.00M,,31.00M,-44.00M,,-13.00M,,34.00M,266.00M,,2005-03,-94.00M,3.00M,-91.00M,,-18.00M,-105.00M,,2005-03,,,-29.00M,46.00M,-116.00M,-70.00M,,-29.00M,,-105.00M,,2005-03,62.00M,,118.00M,,2005-03,46.00M,,,,2005-03,,
2004-12,235.00M,,,,,,44.00M,146.00M,146.00M,114.00M,,,,,-27.00M,-2.00M,14.00M,-47.00M,,-82.00M,,,395.00M,,2004-12,-262.00M,20.00M,-242.00M,0.00,10.00M,-150.00M,,2004-12,,,-343.00M,73.00M,-275.00M,-202.00M,,-29.00M,,-574.00M,,2004-12,387.00M,4.00M,62.00M,,2004-12,73.00M,,,,2004-12,,
2004-09,185.00M,,,,,,-13.00M,107.00M,107.00M,9.00M,,,,,2.00M,1.00M,2.00M,91.00M,,17.00M,,,401.00M,,2004-09,-162.00M,8.00M,-154.00M,-33.00M,-19.00M,-193.00M,,2004-09,,,-2.00M,25.00M,0.00,25.00M,,-29.00M,,-6.00M,,2004-09,183.00M,2.00M,387.00M,,2004-09,25.00M,,,,2004-09,,
2004-06,178.00M,,,,,,19.00M,100.00M,100.00M,18.00M,,,,,-3.00M,-3.00M,-5.00M,-43.00M,6.00M,-66.00M,,,201.00M,,2004-06,-118.00M,15.00M,-103.00M,-1.00M,-17.00M,-95.00M,,2004-06,,,-11.00M,39.00M,-78.00M,-39.00M,,,,-50.00M,,2004-06,129.00M,-2.00M,183.00M,,2004-06,39.00M,,,,2004-06,,
2004-03,142.00M,,,,,,8.00M,95.00M,95.00M,1.00M,,,,,-11.00M,-3.00M,-16.00M,-21.00M,-6.00M,,,,189.00M,,2004-03,-103.00M,9.00M,-94.00M,-4.00M,-10.00M,-103.00M,,2004-03,,,4.00M,63.00M,-216.00M,-153.00M,,,,-149.00M,,2004-03,192.00M,,129.00M,,2004-03,63.00M,,,,2004-03,,
2003-12,214.00M,,,,,,10.00M,128.00M,128.00M,-25.00M,,,,-41.00M,-1.00M,3.00M,17.00M,-13.00M,,38.00M,,,330.00M,,2003-12,-305.00M,17.00M,-288.00M,-11.00M,10.00M,-229.00M,,2003-12,,,-89.00M,40.00M,-157.00M,-117.00M,,,,-206.00M,,2003-12,298.00M,-1.00M,192.00M,,2003-12,40.00M,,,,2003-12,,
2003-09,164.00M,,,,,,-49.00M,92.00M,92.00M,29.00M,,,,41.00M,14.00M,-1.00M,8.00M,88.00M,,19.00M,,,405.00M,,2003-09,-137.00M,9.00M,-128.00M,-8.00M,1.00M,-128.00M,,2003-09,,,-137.00M,36.00M,-39.00M,-3.00M,,,,-140.00M,,2003-09,164.00M,-3.00M,298.00M,,2003-09,36.00M,,,,2003-09,,
2003-06,122.00M,,,,,,44.00M,94.00M,94.00M,-14.00M,,,,,-23.00M,4.00M,0.00,-27.00M,,35.00M,,,235.00M,,2003-06,-109.00M,9.00M,-100.00M,-22.00M,13.00M,-89.00M,,2003-06,,,-153.00M,24.00M,-82.00M,-58.00M,,,,-163.00M,,2003-06,175.00M,6.00M,164.00M,,2003-06,24.00M,,,,2003-06,,
2003-03,117.00M,,,,,,34.00M,87.00M,87.00M,-13.00M,,,,,12.00M,-7.00M,-25.00M,-80.00M,,4.00M,,,129.00M,,2003-03,-112.00M,11.00M,-101.00M,,-11.00M,-119.00M,,2003-03,,,72.00M,10.00M,,10.00M,,,,34.00M,,2003-03,130.00M,1.00M,175.00M,,2003-03,10.00M,,,,2003-03,,
2002-12,172.00M,,,,,,-44.00M,126.00M,126.00M,18.00M,,,,15.00M,-2.00M,-1.00M,14.00M,-11.00M,,-34.00M,,,253.00M,,2002-12,-299.00M,25.00M,-274.00M,0.00,12.00M,-235.00M,,2002-12,,,-23.00M,15.00M,-67.00M,-52.00M,,,,-75.00M,,2002-12,186.00M,1.00M,130.00M,,2002-12,15.00M,,,,2002-12,,
2002-09,147.00M,,,,,,-20.00M,86.00M,86.00M,4.00M,,,,21.00M,24.00M,15.00M,-14.00M,52.00M,,22.00M,,,337.00M,,2002-09,-188.00M,14.00M,-174.00M,-6.00M,-8.00M,-121.00M,,2002-09,,,-104.00M,11.00M,-93.00M,-82.00M,,,,-199.00M,,2002-09,169.00M,0.00,186.00M,,2002-09,11.00M,,,,2002-09,,
2002-06,140.00M,,,,,,45.00M,80.00M,80.00M,1.00M,,,,-4.00M,5.00M,1.00M,10.00M,-6.00M,,39.00M,,,311.00M,,2002-06,-160.00M,8.00M,-152.00M,-281.00M,12.00M,-440.00M,,2002-06,,,167.00M,53.00M,-60.00M,-7.00M,,,,160.00M,,2002-06,136.00M,2.00M,169.00M,,2002-06,53.00M,,,,2002-06,,
2002-03,124.00M,,,,,,13.00M,78.00M,78.00M,-2.00M,,,,4.00M,5.00M,-4.00M,9.00M,-72.00M,,32.00M,,,187.00M,,2002-03,-113.00M,11.00M,-102.00M,-1.00M,-7.00M,-89.00M,,2002-03,,,-109.00M,46.00M,-8.00M,38.00M,,,,-73.00M,,2002-03,110.00M,1.00M,136.00M,,2002-03,46.00M,,,,2002-03,,
2001-12,164.00M,,,,,,25.00M,111.00M,111.00M,-50.00M,,,,1.00M,25.00M,-3.00M,2.00M,42.00M,,-119.00M,,,198.00M,,2001-12,-276.00M,42.00M,-234.00M,-6.00M,29.00M,-162.00M,,2001-12,,,-134.00M,,-2.00M,-2.00M,,,,-110.00M,,2001-12,184.00M,,110.00M,,2001-12,,,,,2001-12,,
2001-09,124.00M,,,,,,8.00M,85.00M,85.00M,2.00M,,,,14.00M,31.00M,0.00,-5.00M,39.00M,12.00M,22.00M,,,332.00M,,2001-09,-157.00M,-1.00M,-158.00M,0.00,9.00M,-131.00M,,2001-09,,,-135.00M,,-77.00M,-77.00M,,,,-200.00M,,2001-09,183.00M,,184.00M,,2001-09,,,,,2001-09,,
2001-06,116.00M,,,,,,-50.00M,85.00M,85.00M,-10.00M,,,,,16.00M,-4.00M,20.00M,-42.00M,-12.00M,38.00M,,,157.00M,,2001-06,-109.00M,1.00M,-108.00M,-53.00M,4.00M,-70.00M,,2001-06,,,-51.00M,,-11.00M,-11.00M,,,,-62.00M,,2001-06,158.00M,,183.00M,,2001-06,,,,,2001-06,,
2001-03,88.00M,,,,,,1.00M,73.00M,73.00M,-14.00M,,,,,44.00M,-1.00M,-20.00M,-52.00M,,26.00M,,,145.00M,,2001-03,-94.00M,15.00M,-79.00M,-49.00M,-15.00M,-140.00M,,2001-03,,,20.00M,,-10.00M,-10.00M,,,,20.00M,,2001-03,133.00M,,158.00M,,2001-03,,,,,2001-03,,
2000-12,128.00M,,,,,,-99.00M,109.00M,109.00M,-14.00M,,,,11.00M,77.00M,79.00M,,-169.00M,3.00M,18.00M,,,143.00M,,2000-12,-259.00M,29.00M,-230.00M,3.00M,-4.00M,-126.00M,,2000-12,,,-11.00M,,-216.00M,-216.00M,,216.00M,,2.00M,,2000-12,115.00M,-1.00M,133.00M,,2000-12,,,,,2000-12,,
2000-09,59.00M,,,,,,84.00M,82.00M,82.00M,-14.00M,,,,6.00M,24.00M,-2.00M,,15.00M,3.00M,-24.00M,,,233.00M,,2000-09,-127.00M,8.00M,-119.00M,-27.00M,-2.00M,-123.00M,,2000-09,,,-156.00M,,216.00M,216.00M,,-216.00M,,-152.00M,,2000-09,157.00M,0.00,115.00M,,2000-09,,,,,2000-09,,
2000-06,106.00M,,,,,,37.00M,81.00M,81.00M,-9.00M,,,,8.00M,-68.00M,9.00M,,-17.00M,7.00M,-21.00M,,,133.00M,,2000-06,-118.00M,21.00M,-97.00M,,60.00M,112.00M,,2000-06,,,-116.00M,,-78.00M,-78.00M,,,,-188.00M,,2000-06,102.00M,-2.00M,157.00M,,2000-06,,,,,2000-06,,
2000-03,120.00M,,,,,,-83.00M,82.00M,82.00M,-14.00M,,,,18.00M,-194.00M,-75.00M,,77.00M,-16.00M,67.00M,,,-18.00M,,2000-03,-68.00M,6.00M,-62.00M,,-75.00M,-100.00M,,2000-03,,,255.00M,,-138.00M,-138.00M,,,,131.00M,,2000-03,89.00M,,102.00M,,2000-03,,,,,2000-03,,
1999-12,145.00M,,,,,,31.00M,121.00M,121.00M,26.00M,,,,,-17.00M,-1.00M,,-3.00M,0.00,-191.00M,,,111.00M,,1999-12,-203.00M,36.00M,-167.00M,,,136.00M,,1999-12,,,-189.00M,,,,,,,-308.00M,,1999-12,151.00M,-1.00M,89.00M,,1999-12,,,,,1999-12,,
1999-09,197.00M,,,,,,-101.00M,82.00M,82.00M,-24.00M,,,,,39.00M,7.00M,,-34.00M,9.00M,92.00M,,,267.00M,,1999-09,-115.00M,-3.00M,-118.00M,,,141.00M,,1999-09,,,-432.00M,,,,,,,-423.00M,,1999-09,0.00,0.00,151.00M,,1999-09,,,,,1999-09,,
1999-06,179.00M,,,,,,-147.00M,88.00M,88.00M,3.00M,,,,,-26.00M,-5.00M,,35.00M,-8.00M,44.00M,,,163.00M,,1999-06,-86.00M,15.00M,-71.00M,,,203.00M,,1999-06,,,-311.00M,,,,,,,-311.00M,,1999-06,0.00,1.00M,0.00,,1999-06,,,,,1999-06,,
1999-03,106.00M,,,,,,12.00M,95.00M,95.00M,-21.00M,,,,,-24.00M,5.00M,,-213.00M,-14.00M,78.00M,,,24.00M,,1999-03,-72.00M,3.00M,-69.00M,,,42.00M,,1999-03,,,-83.00M,,,,,,,-77.00M,,1999-03,121.00M,,0.00,,1999-03,,,,,1999-03,,
1998-12,151.00M,,,,,,-173.00M,119.00M,119.00M,31.00M,,,,175.00M,-11.00M,-1.00M,,43.00M,23.00M,-186.00M,,,171.00M,,1998-12,-460.00M,24.00M,-436.00M,,,95.00M,,1998-12,,,-302.00M,,,,,,,-291.00M,,1998-12,145.00M,1.00M,121.00M,,1998-12,,,,,1998-12,,
1998-09,128.00M,,,,,,-34.00M,97.00M,97.00M,-13.00M,,,,,17.00M,1.00M,,15.00M,-11.00M,27.00M,,,227.00M,,1998-09,157.00M,12.00M,169.00M,,,100.00M,,1998-09,,,-386.00M,,,,,,,-383.00M,,1998-09,0.00,-1.00M,145.00M,,1998-09,,,,,1998-09,,
1998-06,112.00M,,,,,,-24.00M,97.00M,97.00M,-13.00M,,,,-18.00M,-10.00M,0.00,,55.00M,-9.00M,46.00M,,,236.00M,,1998-06,-104.00M,9.00M,-95.00M,,,41.00M,,1998-06,,,-315.00M,,,,,,,-314.00M,,1998-06,0.00,0.00,0.00,,1998-06,,,,,1998-06,,
