,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,433.00M,-156.00M,,-66.00M,,,-222.00M,37.00M,37.00M,-1.00M,,17.00M,,29.00M,4.00M,,-22.00M,-86.00M,,,,,189.00M,,2018-03,-42.00M,,,205.00M,,164.00M,,2018-03,-332.00M,5.00M,-327.00M,,-498.00M,-498.00M,-120.00M,-120.00M,,-976.00M,,2018-03,1.668B,38.00M,1.083B,,2018-03,,12.00M,-339.00M,,2018-03,AOR,Restated
2017-12,436.00M,-752.00M,,-2.00M,,,-754.00M,58.00M,58.00M,512.00M,,12.00M,,22.00M,-36.00M,,-3.00M,65.00M,,,,,312.00M,,2017-12,-90.00M,,,1.057B,,983.00M,,2017-12,-13.00M,-35.00M,-48.00M,,-612.00M,-612.00M,-101.00M,-101.00M,,-766.00M,,2017-12,1.051B,19.00M,1.599B,,2017-12,,-35.00M,-13.00M,,2017-12,AOR,Restated
2017-09,418.00M,-201.00M,,-1.00M,,,-202.00M,60.00M,60.00M,112.00M,,10.00M,,-23.00M,-13.00M,,-10.00M,-73.00M,,,,,279.00M,,2017-09,-78.00M,,,395.00M,,316.00M,,2017-09,-12.00M,35.00M,23.00M,,-492.00M,-492.00M,-104.00M,-104.00M,,-619.00M,,2017-09,1.056B,19.00M,1.051B,,2017-09,,35.00M,-12.00M,,2017-09,AOR,Restated
2017-06,206.00M,-19.00M,,-1.00M,,,-20.00M,65.00M,65.00M,-10.00M,,26.00M,,52.00M,12.00M,,4.00M,-184.00M,,,,,151.00M,,2017-06,-74.00M,,,136.00M,,69.00M,,2017-06,736.00M,,736.00M,,-395.00M,-395.00M,-105.00M,-105.00M,,219.00M,,2017-06,611.00M,6.00M,1.056B,,2017-06,,896.00M,-160.00M,,2017-06,AOR,Restated
2017-03,280.00M,-111.00M,,-1.00M,,,-112.00M,70.00M,70.00M,20.00M,,17.00M,,32.00M,18.00M,,-1.00M,-36.00M,,,,,288.00M,,2017-03,-76.00M,,,185.00M,,104.00M,,2017-03,-8.00M,,-8.00M,,-461.00M,-461.00M,-106.00M,-106.00M,,-629.00M,,2017-03,831.00M,17.00M,611.00M,,2017-03,,192.00M,-200.00M,,2017-03,AOR,Restated
2016-12,308.00M,-88.00M,-10.00M,,,,-100.00M,86.00M,86.00M,-1.00M,,38.00M,,34.00M,-54.00M,-6.00M,-19.00M,26.00M,,,,,312.00M,,2016-12,-135.00M,,,223.00M,,123.00M,,2016-12,-13.00M,0.00,-13.00M,,-1.087B,-1.087B,-185.00M,-185.00M,,-1.186B,,2016-12,1.594B,-26.00M,831.00M,,2016-12,,0.00,-13.00M,,2016-12,AOR,Restated
2016-09,218.00M,-21.00M,1.00M,,,,-20.00M,77.00M,77.00M,48.00M,,20.00M,,-5.00M,-3.00M,2.00M,4.00M,8.00M,,,,,349.00M,,2016-09,-106.00M,,,63.00M,,-37.00M,,2016-09,-6.00M,0.00,-6.00M,,-2.249B,-2.249B,-180.00M,-180.00M,,-2.378B,,2016-09,3.667B,-7.00M,1.594B,,2016-09,,0.00,-6.00M,,2016-09,AOR,Restated
2016-06,266.00M,-54.00M,7.00M,,,,-47.00M,74.00M,74.00M,-14.00M,,9.00M,,11.00M,-11.00M,2.00M,9.00M,-21.00M,,,,,278.00M,,2016-06,-106.00M,,,76.00M,,-23.00M,,2016-06,6.598B,-2.08B,4.518B,,-1.142B,-1.142B,-187.00M,-187.00M,,3.198B,,2016-06,218.00M,-4.00M,3.667B,,2016-06,,6.90B,-2.382B,,2016-06,AOR,Restated
2016-03,226.00M,0.00,2.00M,,,,2.00M,73.00M,73.00M,-5.00M,,13.00M,,-20.00M,45.00M,2.00M,6.00M,-33.00M,,,,,309.00M,,2016-03,-80.00M,,,8.00M,,-67.00M,,2016-03,-2.00M,795.00M,793.00M,,-925.00M,-925.00M,-192.00M,-192.00M,,-378.00M,,2016-03,351.00M,3.00M,218.00M,,2016-03,,1.40B,-607.00M,,2016-03,AOR,Restated
2015-12,-97.00M,-37.00M,-14.00M,-9.00M,31.00M,,-29.00M,-186.00M,-186.00M,-59.00M,,6.00M,46.00M,36.00M,-21.00M,-66.00M,13.00M,-204.00M,,,4.00M,,-557.00M,,2015-12,200.00M,,,141.00M,,323.00M,,2015-12,-257.00M,1.028B,771.00M,,-830.00M,-830.00M,-198.00M,-198.00M,,-70.00M,,2015-12,861.00M,-7.00M,365.00M,,2015-12,,912.00M,-141.00M,,2015-12,AOR,Restated
