,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.448B,1.448B,725.00M,723.00M,257.00M,257.00M,-1.00M,161.00M,,-161.00M,,257.00M,466.00M,,161.00M,-161.00M,11.00M,-161.00M,316.00M,33.00M,283.00M,,,,283.00M,47.00M,477.00M,,2020-09,0.94,0.8957,0.94,,2020-09,0.92,0.8763,0.92,,307.00M,0.47,,2020-09,AOR,
2020-06,1.198B,1.198B,649.00M,549.00M,259.00M,259.00M,2.00M,132.00M,,-132.00M,,259.00M,290.00M,,132.00M,-132.00M,99.00M,-132.00M,257.00M,51.00M,206.00M,,,,206.00M,26.00M,389.00M,,2020-06,0.68,0.4127,0.68,,2020-06,0.67,0.4062,0.67,,307.00M,0.47,,2020-06,AOR,
2020-03,1.263B,1.263B,666.00M,597.00M,208.00M,208.00M,-127.00M,118.00M,,-118.00M,,208.00M,389.00M,,118.00M,-118.00M,-176.00M,-118.00M,95.00M,12.00M,83.00M,,,,83.00M,27.00M,213.00M,,2020-03,0.28,0.7812,0.28,,2020-03,0.27,0.7631,0.27,,307.00M,0.47,,2020-03,AOR,
2019-12,1.694B,1.694B,868.00M,826.00M,300.00M,300.00M,14.00M,132.00M,,-132.00M,,300.00M,526.00M,,132.00M,-132.00M,3.00M,-132.00M,397.00M,-91.00M,488.00M,,,,488.00M,28.00M,529.00M,,2019-12,1.61,1.603,1.61,,2019-12,1.58,1.573,1.58,,310.00M,0.42,,2019-12,AOR,
2019-09,1.339B,1.339B,660.00M,679.00M,208.00M,208.00M,9.00M,120.00M,,-120.00M,,208.00M,471.00M,,120.00M,-120.00M,-51.00M,-120.00M,300.00M,45.00M,255.00M,,,,255.00M,30.00M,420.00M,,2019-09,0.83,0.9687,0.83,,2019-09,0.81,0.9456,0.81,,313.00M,0.42,,2019-09,AOR,Restated
2019-06,1.31B,1.31B,639.00M,671.00M,198.00M,198.00M,3.00M,119.00M,,-119.00M,,198.00M,473.00M,,119.00M,-119.00M,23.00M,-119.00M,377.00M,88.00M,289.00M,,,,289.00M,28.00M,496.00M,,2019-06,0.94,0.8825,0.94,,2019-06,0.92,0.8638,0.92,,314.00M,0.42,,2019-06,AOR,Restated
2019-03,1.254B,1.254B,616.00M,638.00M,211.00M,211.00M,6.00M,115.00M,,-115.00M,,211.00M,427.00M,,115.00M,-115.00M,-13.00M,-115.00M,299.00M,37.00M,262.00M,,,,262.00M,26.00M,414.00M,,2019-03,0.85,0.8785,0.85,,2019-03,0.83,0.8578,0.83,,315.00M,0.42,,2019-03,AOR,Restated
2018-12,1.558B,1.558B,811.00M,747.00M,264.00M,264.00M,249.00M,122.00M,,-122.00M,,264.00M,483.00M,,122.00M,-122.00M,78.00M,-122.00M,439.00M,105.00M,334.00M,,,,334.00M,34.00M,561.00M,,2018-12,1.07,0.8950,1.07,,2018-12,1.04,0.8688,1.04,,320.00M,0.36,,2018-12,AOR,Restated
2018-09,1.391B,1.391B,727.00M,664.00M,204.00M,204.00M,100.00M,111.00M,,-111.00M,,204.00M,460.00M,,111.00M,-111.00M,185.00M,-111.00M,534.00M,80.00M,454.00M,,,,454.00M,32.00M,645.00M,,2018-09,1.43,0.9067,1.43,,2018-09,1.40,0.8880,1.40,,325.00M,0.36,,2018-09,AOR,Restated
2018-06,1.368B,1.368B,735.00M,633.00M,208.00M,208.00M,29.00M,112.00M,,-112.00M,,208.00M,425.00M,,112.00M,-112.00M,44.00M,-112.00M,357.00M,36.00M,321.00M,,,,321.00M,34.00M,469.00M,,2018-06,0.99,0.8454,0.99,,2018-06,0.97,0.8285,0.97,,331.00M,0.36,,2018-06,AOR,Restated
