,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-12,525.89M,98.34M,624.23M,718.54M,718.54M,162.44M,231.72M,155.01M,549.17M,,100.19M,1.992B,0.00,19.40M,158.43M,800.18M,978.00M,-611.01M,367.00M,1.533B,107.60M,1.641B,,15.83M,2.024B,4.016B,,384.96M,,65.31M,450.27M,204.36M,654.64M,0.352M,0.352M,,654.99M,799.64M,799.64M,,,,176.64M,21.86M,41.88M,1.018B,1.673B,,0.176M,2.261B,144.86M,,,,-84.76M,2.321B,,AOR,Restated
2010-09,480.53M,107.24M,587.77M,727.46M,727.46M,155.94M,233.95M,149.84M,539.73M,,102.72M,1.958B,0.00,951.83M,,,951.83M,-599.52M,352.32M,1.528B,,1.528B,,130.95M,2.011B,3.969B,,396.00M,,66.10M,462.10M,224.66M,686.76M,0.385M,0.385M,,687.15M,904.03M,904.03M,,,,164.32M,24.20M,43.11M,1.111B,1.799B,,0.175M,2.132B,99.98M,,,,-86.30M,2.146B,,AOR,Restated
2010-06,436.68M,,436.68M,645.60M,645.60M,137.57M,225.48M,135.51M,498.55M,,176.88M,1.758B,0.00,887.65M,,,887.65M,-562.46M,325.19M,1.382B,,1.382B,,91.52M,1.799B,3.557B,,377.62M,,55.75M,433.37M,163.18M,596.55M,0.365M,0.365M,,596.92M,781.60M,781.60M,,,,169.22M,27.86M,28.01M,978.84M,1.576B,,0.174M,1.997B,91.22M,,,,-135.68M,1.953B,,AOR,Restated
2010-03,431.72M,,431.72M,572.62M,572.62M,128.07M,224.22M,123.81M,476.10M,,135.91M,1.616B,0.00,900.13M,,,900.13M,-572.92M,327.21M,1.372B,,1.372B,,95.16M,1.794B,3.411B,,319.82M,,70.12M,389.94M,153.50M,543.44M,49.44M,49.44M,,592.88M,752.54M,752.54M,,,,171.08M,17.48M,26.57M,950.19M,1.543B,,0.174M,1.870B,80.40M,,,,-100.99M,1.850B,,AOR,Restated
2009-12,384.61M,37.77M,422.38M,449.59M,449.59M,124.19M,215.88M,121.68M,461.75M,,86.67M,1.420B,0.00,20.01M,152.26M,735.79M,908.06M,-575.19M,332.88M,1.369B,77.70M,1.446B,,19.54M,1.799B,3.219B,,292.12M,,57.27M,349.39M,153.37M,502.76M,0.399M,0.399M,,503.16M,753.05M,753.05M,,,,172.24M,16.74M,27.92M,953.21M,1.456B,,0.174M,1.775B,71.37M,,,,-100.09M,1.746B,,AOR,Restated
2009-09,307.57M,,307.57M,465.52M,465.52M,122.51M,211.78M,121.70M,455.99M,,108.67M,1.338B,0.00,916.60M,,,916.60M,-573.67M,342.92M,1.365B,,1.365B,,95.06M,1.803B,3.141B,,283.09M,,53.68M,336.77M,160.09M,496.86M,0.481M,0.481M,,497.34M,792.01M,792.01M,,,,175.41M,16.93M,32.96M,1.000B,1.498B,,0.172M,1.690B,43.73M,,,,-107.22M,1.626B,,AOR,Restated
2009-06,220.76M,,220.76M,445.07M,445.07M,118.28M,212.53M,119.08M,449.89M,,91.21M,1.207B,0.00,893.43M,,,893.43M,-547.89M,345.54M,1.350B,,1.350B,,97.33M,1.793B,3.000B,,247.39M,,48.44M,295.83M,141.24M,437.07M,0.527M,0.527M,,437.60M,820.58M,820.58M,,,,169.70M,19.33M,42.92M,1.033B,1.471B,,0.172M,1.611B,36.86M,,,,-138.88M,1.509B,,AOR,Restated
2009-03,150.52M,,150.52M,459.46M,459.46M,126.27M,224.20M,129.23M,479.70M,,88.14M,1.178B,0.00,861.70M,,,861.70M,-516.09M,345.61M,1.335B,,1.335B,,101.28M,1.782B,2.960B,,257.20M,,59.09M,316.28M,153.10M,469.38M,0.497M,0.497M,,469.87M,870.98M,870.98M,,,,161.18M,19.06M,38.52M,1.071B,1.541B,,0.172M,1.539B,27.91M,,,,-166.97M,1.400B,,AOR,Restated
2008-12,214.99M,,214.99M,516.00M,516.00M,130.57M,233.00M,148.93M,512.51M,,92.37M,1.336B,0.00,18.70M,149.63M,686.95M,855.28M,-510.76M,344.52M,1.232B,,1.232B,,81.44M,1.658B,2.994B,,305.95M,,65.85M,371.80M,262.60M,634.39M,0.439M,0.439M,,634.83M,786.02M,786.02M,,,161.67M,,19.14M,43.07M,990.76M,1.626B,,0.171M,1.467B,22.75M,,,,-140.59M,1.349B,,AOR,Restated
2008-09,230.74M,,230.74M,583.66M,583.66M,137.06M,240.34M,144.45M,521.86M,,95.36M,1.432B,,,,,852.10M,-515.68M,336.42M,1.190B,,1.190B,,60.40M,1.587B,3.018B,,345.19M,,,345.19M,269.15M,614.34M,0.481M,0.481M,,614.82M,770.05M,770.05M,,,,,,169.79M,939.84M,1.555B,,0.178M,1.540B,18.20M,19.51M,,,-75.65M,1.464B,,,Restated
2008-06,188.76M,,188.76M,555.21M,555.21M,129.95M,250.32M,139.32M,519.59M,92.07M,,1.356B,,,,,869.02M,-530.22M,338.80M,1.171B,,1.171B,,61.70M,1.572B,2.928B,,318.53M,,,318.53M,240.21M,558.74M,0.551M,0.551M,,559.29M,819.20M,819.20M,,,,,,193.62M,1.013B,1.572B,,0.177M,1.430B,-22.49M,19.51M,,,-32.72M,1.356B,,,Restated
2008-03,180.16M,,180.16M,507.98M,507.98M,123.28M,252.26M,124.44M,499.99M,86.44M,,1.275B,,,,,840.60M,-513.60M,327.01M,1.101B,,1.101B,,57.95M,1.486B,2.761B,,289.75M,,,289.75M,200.92M,490.67M,0.762M,0.762M,,491.44M,852.31M,852.31M,,,,,,192.34M,1.045B,1.536B,,0.176M,1.323B,-39.77M,19.51M,,,-38.72M,1.225B,,,Restated
2007-12,183.64M,,183.64M,510.41M,510.41M,112.49M,227.29M,117.10M,456.88M,,72.87M,1.224B,0.00,19.16M,143.38M,636.95M,799.49M,-483.30M,316.19M,1.092B,,1.092B,,43.90M,1.452B,2.676B,,295.39M,,39.63M,335.02M,184.39M,519.41M,1.075M,1.075M,,520.48M,721.56M,721.56M,,,101.80M,,,66.97M,890.34M,1.411B,,0.181M,1.432B,-43.65M,79.61M,,,-43.64M,1.265B,,,Restated
2007-09,164.59M,,164.59M,473.07M,473.07M,112.53M,222.85M,111.74M,447.12M,80.58M,,1.165B,,,,,768.83M,-464.44M,304.39M,972.52M,,972.52M,,47.92M,1.325B,2.490B,,273.56M,,,273.56M,173.37M,446.93M,1.462M,1.462M,,448.40M,715.49M,715.49M,,,,,,191.31M,906.81M,1.355B,,0.18M,1.334B,-62.65M,73.10M,,,-63.77M,1.135B,,,
2007-06,110.67M,,110.67M,427.90M,427.90M,101.78M,218.28M,105.85M,425.90M,77.08M,,1.042B,,,,,730.85M,-439.24M,291.60M,946.35M,,946.35M,,53.04M,1.291B,2.333B,,232.36M,,,232.36M,152.38M,384.74M,2.17M,2.17M,,386.91M,683.80M,683.80M,,,,,,202.26M,886.07M,1.273B,,0.18M,1.246B,-75.70M,37.96M,,,-72.47M,1.060B,,,
2007-03,85.09M,,85.09M,392.53M,392.53M,98.52M,218.08M,111.15M,427.75M,66.07M,,971.43M,,,,,700.26M,-419.69M,280.58M,937.71M,,937.71M,,55.02M,1.273B,2.245B,,217.91M,,,217.91M,165.28M,383.19M,2.702M,2.702M,,385.89M,685.28M,685.28M,,,,,,199.32M,884.60M,1.270B,,0.178M,1.164B,-111.35M,78.77M,,,,974.25M,,,
2006-12,74.14M,,74.14M,383.86M,383.86M,94.83M,214.19M,107.48M,416.50M,60.11M,,934.60M,0.00,15.60M,115.78M,547.16M,678.54M,-404.40M,274.14M,926.24M,,926.24M,,60.41M,1.261B,2.195B,,234.87M,,,234.87M,209.55M,444.42M,3.241M,3.241M,,447.66M,677.17M,677.17M,,,,,,167.57M,844.74M,1.292B,,0.179M,1.143B,-119.42M,39.22M,10.86M,-91.94M,-81.08M,902.99M,,,
2006-09,62.76M,,62.76M,369.58M,369.58M,88.58M,202.25M,93.42M,384.25M,66.34M,,882.94M,,,,,652.57M,-391.84M,260.73M,910.57M,,910.57M,,67.40M,1.239B,2.122B,,243.85M,,,243.85M,181.86M,425.71M,3.842M,3.842M,2.678M,432.23M,684.68M,684.68M,,,,,,140.91M,825.59M,1.258B,,0.087M,1.067B,-137.02M,,,,-66.09M,863.82M,,,
2006-06,45.92M,,45.92M,336.87M,336.87M,96.37M,184.54M,85.46M,366.38M,60.34M,,809.50M,,,,,648.52M,-390.88M,257.63M,910.25M,,910.25M,,74.16M,1.242B,2.052B,,215.12M,,,215.12M,167.03M,382.15M,10.93M,10.93M,2.742M,395.82M,695.87M,695.87M,,,,,,150.47M,846.34M,1.242B,,0.089M,1.091B,-145.97M,74.56M,,,-60.74M,809.37M,,,
2006-03,37.30M,,37.30M,335.10M,335.10M,101.62M,165.00M,81.23M,347.84M,50.54M,,770.80M,,,,,632.38M,-368.41M,263.97M,902.58M,,902.58M,,71.59M,1.238B,2.009B,,196.63M,,,196.63M,154.84M,351.47M,16.41M,16.41M,2.734M,370.61M,741.41M,741.41M,,,,,,137.65M,879.06M,1.250B,,0.089M,1.040B,-156.44M,54.35M,,,-69.94M,759.27M,,,
2005-12,38.67M,,38.67M,302.87M,302.87M,101.04M,141.94M,82.88M,325.86M,42.41M,,709.81M,0.00,15.58M,112.45M,478.27M,606.30M,-352.41M,253.89M,886.72M,,886.72M,,82.12M,1.223B,1.933B,,177.27M,,,177.27M,143.63M,320.90M,15.03M,15.03M,,335.93M,765.97M,765.97M,,,,,,141.40M,907.38M,1.243B,,0.089M,985.32M,-164.08M,54.35M,,,-77.74M,689.24M,,,
2005-09,38.06M,,38.06M,241.05M,241.05M,67.39M,136.08M,67.08M,270.54M,36.13M,,585.78M,,,,,557.52M,-347.53M,209.99M,,643.82M,643.82M,31.47M,1.871M,887.16M,1.473B,,149.83M,,,149.83M,121.37M,271.20M,15.25M,15.25M,2.714M,289.16M,425.68M,425.68M,,,,,,124.30M,549.98M,839.14M,,0.089M,932.28M,-176.12M,54.35M,,,-68.10M,633.80M,,,
2005-06,25.46M,,25.46M,232.82M,232.82M,60.14M,141.12M,67.55M,268.81M,41.46M,,568.55M,,,,,552.88M,-345.31M,207.56M,,640.39M,640.39M,28.68M,5.722M,882.36M,1.451B,,150.13M,,,150.13M,105.73M,255.86M,18.99M,18.99M,2.705M,277.56M,458.41M,458.41M,,,,,,132.94M,591.35M,868.91M,,0.088M,882.82M,-183.58M,50.37M,,,-66.96M,582.01M,,,
2005-03,26.26M,,26.26M,230.52M,230.52M,,,,263.39M,35.44M,,555.60M,,,,,550.47M,-347.30M,203.16M,,595.06M,595.06M,33.24M,6.087M,837.56M,1.393B,,149.13M,,,149.13M,115.68M,264.81M,17.51M,17.51M,2.691M,285.02M,458.14M,458.14M,,,,,,122.99M,581.13M,866.14M,,0.088M,833.43M,-196.63M,50.37M,,,-59.51M,527.01M,,,
2004-12,30.17M,,30.17M,214.16M,214.16M,55.70M,128.88M,62.73M,247.30M,37.38M,,529.02M,0.00,14.12M,109.52M,423.36M,547.01M,-349.26M,197.75M,,545.41M,545.41M,28.08M,6.451M,777.70M,1.307B,,134.86M,,,134.86M,125.81M,260.66M,16.91M,16.91M,,277.57M,432.14M,432.14M,,,,,,115.39M,547.54M,825.11M,,0.088M,789.74M,-207.50M,45.64M,,,-55.08M,481.60M,,,
2004-09,22.52M,,22.52M,199.27M,199.27M,55.17M,119.27M,59.45M,233.89M,42.59M,,498.27M,,,,,517.50M,-332.06M,185.44M,,546.28M,546.28M,21.76M,5.948M,759.43M,1.258B,,130.94M,,,130.94M,127.34M,258.27M,11.61M,11.61M,,269.88M,458.23M,458.23M,,,,,,97.82M,556.05M,825.93M,,0.088M,744.10M,-215.50M,32.88M,,,-64.04M,431.77M,,,
2004-06,18.63M,,18.63M,206.25M,206.25M,51.66M,122.23M,56.38M,230.27M,34.64M,,489.78M,,,,,498.33M,-322.77M,175.56M,,518.50M,518.50M,22.92M,6.303M,723.28M,1.213B,,126.80M,,,126.80M,96.15M,222.95M,11.23M,11.23M,,234.18M,465.44M,465.44M,,,,,,113.56M,579.00M,813.17M,,0.088M,702.46M,-221.13M,16.17M,,,-65.34M,399.90M,,,
2004-03,28.40M,,28.40M,186.49M,186.49M,49.84M,119.17M,55.80M,224.81M,35.20M,,474.90M,,,,,499.91M,-325.59M,174.32M,,515.98M,515.98M,28.19M,6.658M,725.15M,1.200B,,117.68M,,,117.68M,85.33M,203.01M,10.46M,10.46M,,213.48M,516.55M,516.55M,,,,,,113.06M,629.61M,843.08M,,0.088M,662.09M,-222.85M,16.17M,,,-66.18M,356.97M,,,
2003-12,23.53M,,23.53M,172.49M,172.49M,48.92M,116.02M,56.44M,221.38M,33.94M,,451.35M,0.00,13.95M,104.61M,387.17M,505.74M,-327.47M,178.27M,,516.34M,516.34M,28.42M,7.014M,730.04M,1.181B,,116.84M,,,116.84M,90.13M,206.96M,10.68M,10.68M,,217.64M,532.28M,532.28M,,,,,,108.06M,640.34M,857.98M,,0.044M,626.43M,-238.12M,,,,-64.94M,323.41M,,,
2003-09,16.98M,,16.98M,159.56M,159.56M,44.63M,114.13M,52.01M,210.77M,33.12M,,420.43M,,,,,490.71M,-318.42M,172.29M,,504.29M,504.29M,38.85M,7.391M,722.83M,1.143B,,101.14M,,,101.14M,82.96M,184.10M,1.168M,1.168M,,185.27M,573.93M,573.93M,9.046M,9.046M,,,,98.47M,681.45M,866.72M,,0.044M,593.44M,-246.32M,,,,-70.63M,276.54M,,,
2003-06,22.33M,,22.33M,158.82M,158.82M,43.69M,113.26M,54.58M,211.54M,34.86M,,427.54M,,,,,485.85M,-314.59M,171.26M,,501.41M,501.41M,39.67M,7.769M,720.12M,1.148B,,94.43M,,,94.43M,81.43M,175.85M,10.26M,10.26M,,186.11M,624.66M,624.66M,10.80M,10.80M,,,,107.18M,742.65M,928.76M,,0.043M,565.23M,-272.95M,,,,-73.42M,218.91M,,,
2003-03,32.14M,,32.14M,149.00M,149.00M,34.80M,118.22M,56.04M,209.07M,32.29M,,422.50M,,,,,463.12M,-296.02M,167.10M,,495.07M,495.07M,37.61M,4.031M,703.81M,1.126B,,89.57M,,,89.57M,83.87M,173.44M,82.44M,82.44M,,255.88M,566.81M,566.81M,6.459M,6.459M,,,,104.70M,677.96M,933.84M,,0.043M,545.75M,-274.17M,,,,-79.16M,192.47M,,,
2002-12,20.66M,,20.66M,131.25M,131.25M,38.13M,111.34M,56.17M,205.64M,31.61M,,389.16M,0.00,12.68M,95.58M,337.86M,446.12M,-285.43M,160.69M,,486.84M,486.84M,37.83M,4.382M,689.74M,1.079B,,88.53M,,,88.53M,29.52M,118.06M,78.36M,78.36M,39.49M,235.91M,565.88M,565.88M,7.709M,7.709M,,,,102.42M,676.01M,911.93M,,0.043M,522.44M,-274.28M,,,,-81.22M,166.98M,,,
2002-09,25.20M,,25.20M,129.13M,129.13M,38.42M,105.77M,52.89M,197.08M,18.82M,,370.23M,,,,,429.95M,-271.66M,158.30M,,474.23M,474.23M,,25.88M,658.41M,1.029B,,83.18M,,,83.18M,67.44M,150.63M,83.37M,83.37M,10.62M,244.62M,557.32M,557.32M,47.81M,47.81M,,,,,605.12M,849.74M,,0.043M,499.96M,-275.08M,,,,-46.02M,178.90M,,,
2002-06,19.24M,,19.24M,132.98M,132.98M,40.79M,109.43M,56.01M,206.22M,17.90M,,376.35M,,,,,440.19M,-274.42M,165.77M,470.26M,,470.26M,,25.58M,661.61M,1.038B,,85.56M,,,85.56M,72.75M,158.31M,83.48M,83.48M,,241.79M,585.86M,585.86M,51.84M,51.84M,,,,,637.70M,879.48M,,0.043M,479.29M,-275.64M,,,,-45.22M,158.48M,,,
2002-03,26.80M,,26.80M,116.45M,116.45M,,,,201.50M,19.24M,,363.99M,0.00,417.67M,,,417.67M,-257.19M,160.49M,461.55M,,461.55M,,36.53M,658.56M,1.023B,,83.16M,,,83.16M,71.74M,154.90M,54.66M,54.66M,,209.57M,639.95M,639.95M,52.92M,52.92M,,,,,692.87M,902.44M,,0.042M,459.29M,-280.12M,,,,-59.10M,120.11M,,,
2001-12,27.98M,,27.98M,113.37M,113.37M,35.81M,119.63M,52.88M,208.32M,20.60M,,370.26M,0.00,11.43M,89.10M,315.55M,416.09M,-251.20M,164.89M,460.44M,,460.44M,,31.16M,656.49M,1.027B,,80.50M,,,80.50M,33.20M,113.70M,59.70M,59.70M,30.00M,203.40M,660.61M,660.61M,58.80M,58.80M,,,,,719.41M,922.81M,,0.042M,442.10M,-280.22M,,,,-57.98M,103.93M,,,
2001-09,22.75M,,22.75M,142.29M,142.29M,36.78M,127.13M,51.54M,215.45M,20.02M,,400.51M,,,,,419.60M,-255.82M,163.78M,462.36M,,462.36M,,16.92M,643.06M,1.044B,,81.46M,,,81.46M,70.87M,152.33M,59.47M,59.47M,,211.80M,689.16M,689.16M,32.91M,32.91M,,,,,722.08M,933.87M,,0.043M,426.06M,-280.28M,,,,-36.12M,109.69M,,,
2001-06,17.14M,,17.14M,139.93M,139.93M,41.15M,121.14M,54.56M,216.84M,18.52M,,392.43M,,,,,404.89M,-242.91M,161.99M,425.45M,,425.45M,,18.71M,606.15M,998.58M,,86.89M,,,86.89M,67.01M,153.90M,59.56M,59.56M,,213.45M,688.41M,688.41M,32.07M,32.07M,,,,,720.48M,933.93M,,0.042M,409.43M,-305.34M,,,,-39.48M,64.65M,,,
2001-03,21.97M,,21.97M,133.84M,133.84M,37.68M,115.34M,53.90M,206.92M,17.95M,,380.68M,0.00,397.53M,,,397.53M,-237.27M,160.26M,409.49M,,409.49M,,19.43M,589.19M,969.87M,,111.22M,,,111.22M,78.94M,190.16M,1.939M,1.939M,,192.10M,700.18M,700.18M,33.98M,33.98M,,,,,734.17M,926.27M,,0.042M,386.89M,-305.40M,,,,-37.93M,43.60M,,,
2000-12,24.58M,,24.58M,170.22M,170.22M,37.19M,118.96M,41.47M,197.63M,,20.24M,412.67M,0.00,11.05M,79.60M,299.33M,389.98M,-229.00M,160.98M,,411.18M,411.18M,,19.48M,591.65M,1.004B,,122.01M,,,122.01M,43.32M,165.33M,28.13M,28.13M,49.08M,242.54M,700.22M,700.22M,32.33M,32.33M,,,,,732.55M,975.09M,,0.042M,358.39M,-305.46M,,,,-23.73M,29.23M,,,
2000-09,17.40M,,17.40M,,157.44M,,,,194.87M,,22.84M,392.56M,,,,,365.78M,-216.87M,148.90M,,405.12M,405.12M,,19.09M,573.11M,965.66M,,109.98M,,,109.98M,,109.98M,44.97M,44.97M,93.20M,248.15M,697.24M,697.24M,25.78M,25.78M,,,,,723.03M,971.17M,,0.042M,325.79M,-305.53M,,-25.81M,,-25.81M,-5.508M,,,
2000-06,14.36M,,14.36M,141.67M,141.67M,,,,187.74M,,21.62M,365.39M,,,,,352.80M,-217.54M,135.26M,,390.19M,390.19M,,18.72M,544.17M,909.56M,,103.16M,,,103.16M,,103.16M,49.98M,49.98M,70.48M,223.62M,691.01M,691.01M,25.61M,25.61M,,,,,716.62M,940.24M,,0.042M,296.96M,-308.64M,,,,-19.04M,-30.68M,,,
2000-03,12.56M,,12.56M,,135.22M,,,,184.68M,,20.60M,353.06M,,,,,343.20M,-213.64M,129.55M,,388.83M,388.83M,,23.28M,541.66M,894.72M,,81.70M,,,81.70M,,81.70M,16.74M,16.74M,74.36M,172.80M,751.22M,751.22M,27.17M,27.17M,,,,,778.39M,951.19M,,0.021M,270.75M,-311.04M,,-16.20M,,-16.20M,-56.48M,,,
1999-12,12.90M,,12.90M,111.70M,111.70M,,,,189.40M,,21.20M,335.20M,,,,,326.90M,-206.90M,120.00M,,361.00M,361.00M,,20.20M,501.20M,836.40M,,71.50M,,,71.50M,,71.50M,16.80M,16.80M,57.60M,145.90M,745.70M,745.70M,26.00M,26.00M,,,,,771.70M,917.60M,,0.00,250.50M,-318.60M,,,,-13.00M,-81.20M,,,
1999-09,9.00M,,9.00M,,116.50M,,,,196.00M,,19.20M,340.70M,,,,,319.60M,-197.30M,122.30M,,359.70M,359.70M,,25.50M,507.50M,848.20M,,76.80M,,,76.80M,,76.80M,1.70M,1.70M,69.20M,147.70M,938.20M,938.20M,27.40M,27.40M,,,,,965.60M,1.113B,,0.00,245.10M,-499.80M,,,,-10.50M,-265.10M,,,
1999-06,7.90M,,7.90M,,100.40M,,,,188.50M,,20.40M,317.20M,,,,,314.60M,-192.80M,121.80M,,363.10M,363.10M,,27.00M,511.90M,829.10M,,73.90M,,,73.90M,,73.90M,1.70M,1.70M,62.10M,137.70M,945.50M,945.50M,26.30M,26.30M,,,,,971.80M,1.110B,,,233.60M,,,,,,-280.40M,,,
1999-03,3.80M,,3.80M,,97.20M,,,,185.00M,,17.50M,303.50M,,,,,313.10M,-189.70M,123.40M,,363.60M,363.60M,,30.50M,517.50M,821.00M,,72.20M,,,72.20M,,72.20M,1.70M,1.70M,65.00M,138.90M,946.90M,946.90M,24.10M,24.10M,,,,-0.10M,970.90M,1.110B,,,223.10M,,,,,,-288.80M,,,
1998-12,3.10M,,3.10M,,83.10M,,,,184.40M,,17.10M,287.70M,,,,,316.80M,-190.00M,126.80M,,360.30M,360.30M,,32.60M,519.70M,807.40M,,67.90M,,,67.90M,,67.90M,1.70M,1.70M,54.60M,124.20M,952.50M,952.50M,23.00M,23.00M,,,,,975.50M,1.100B,,,214.90M,,,,,,-292.30M,,,
1998-09,2.30M,,2.30M,,94.70M,,,,179.30M,,17.00M,293.30M,,,,,311.90M,-185.20M,126.70M,,362.10M,362.10M,,28.30M,517.10M,810.40M,,67.00M,,,67.00M,,67.00M,1.80M,1.80M,62.40M,131.20M,957.20M,957.20M,23.10M,23.10M,,,,-0.10M,980.20M,1.111B,,,206.60M,,,,,,-301.00M,,,
1998-06,2.90M,,2.90M,,86.40M,,,,172.80M,,14.40M,276.50M,,,,,295.80M,-178.50M,117.30M,,340.00M,340.00M,,31.90M,489.20M,765.70M,,63.50M,,,63.50M,,63.50M,1.40M,1.40M,57.70M,122.60M,943.10M,943.10M,23.80M,23.80M,,,,,966.90M,1.090B,,,198.40M,,,,,,-323.80M,,,
1998-03,6.10M,,6.10M,,78.10M,,,,168.20M,,12.60M,265.00M,,,,,287.10M,-173.20M,113.90M,,336.40M,336.40M,,31.70M,482.00M,747.00M,,62.10M,,,62.10M,,62.10M,0.10M,0.10M,62.30M,124.50M,931.90M,931.90M,25.30M,25.30M,,,,,957.20M,1.082B,,,188.00M,,,,,,-334.70M,,,
1997-12,4.70M,,4.70M,,70.00M,,,,167.00M,,13.10M,254.80M,,,,,281.40M,-169.80M,111.60M,,339.20M,339.20M,,31.60M,482.40M,737.20M,,64.30M,,,64.30M,,64.30M,0.20M,0.20M,52.80M,117.30M,937.30M,937.30M,25.70M,25.70M,,,,,963.00M,1.080B,,,178.40M,,,,,,-343.10M,,,
1997-09,7.70M,,7.70M,,74.50M,,,,159.70M,,12.00M,253.90M,,,,,270.50M,-166.40M,104.10M,,342.00M,342.00M,,47.70M,493.80M,747.70M,,60.40M,,,60.40M,,60.40M,0.20M,0.20M,62.40M,123.00M,938.80M,938.80M,21.60M,21.60M,,,,8.70M,969.10M,1.092B,,,180.60M,,,,,,-344.40M,,,
1997-06,10.10M,,10.10M,,82.70M,,,,163.50M,,13.40M,269.70M,,,,,265.80M,-164.10M,101.70M,,344.90M,344.90M,,48.60M,495.20M,764.90M,,63.00M,,,63.00M,,63.00M,0.30M,0.30M,61.70M,125.00M,961.50M,961.50M,21.20M,21.20M,,,,10.30M,993.00M,1.118B,,,172.10M,,,,,,-353.10M,,,
1997-03,6.80M,,6.80M,,82.20M,,,,161.00M,,12.40M,262.40M,,,,,266.20M,-164.40M,101.80M,,347.60M,347.60M,,20.00M,469.40M,731.80M,,62.20M,,,62.20M,,62.20M,10.00M,10.00M,56.50M,128.70M,197.10M,197.10M,21.10M,21.10M,,,,12.70M,230.90M,359.60M,,,169.10M,,,,,,372.20M,,,
1996-12,4.00M,,4.00M,,64.90M,,,,153.30M,,11.60M,233.80M,,,,,265.20M,-163.10M,102.10M,,346.60M,346.60M,,28.20M,476.90M,710.70M,,49.50M,,,49.50M,,49.50M,7.80M,7.80M,39.60M,96.90M,219.50M,219.50M,18.70M,18.70M,,,,15.10M,253.30M,350.20M,,,151.60M,,,,,,360.50M,,,
1996-09,2.90M,,2.90M,,71.70M,,,,151.90M,,11.40M,237.90M,,,,,260.00M,-159.10M,100.90M,,347.70M,347.70M,,23.10M,471.70M,709.60M,,46.30M,,,46.30M,,46.30M,5.80M,5.80M,46.60M,98.70M,200.50M,200.50M,19.00M,19.00M,,,,19.10M,238.60M,337.30M,,,135.10M,,,,,,372.30M,,,
1996-06,20.90M,,20.90M,,77.70M,,,,142.00M,,12.80M,253.40M,,,,,253.30M,-155.30M,98.00M,,337.20M,337.20M,,23.80M,459.00M,712.40M,,48.60M,,,48.60M,,48.60M,6.00M,6.00M,42.40M,97.00M,195.60M,195.60M,19.10M,19.10M,,,,23.60M,238.30M,335.30M,,,118.40M,,,,,,377.10M,,,
1996-03,28.30M,,28.30M,,78.20M,,,,142.90M,,14.10M,263.50M,,,,,249.80M,-152.20M,97.60M,,339.90M,339.90M,,26.00M,463.50M,727.00M,,52.70M,,,52.70M,,52.70M,6.40M,6.40M,65.40M,124.50M,195.90M,195.90M,20.20M,20.20M,,,,25.40M,241.50M,366.00M,,,101.00M,,,,,,361.00M,,,
1995-12,12.00M,,12.00M,,67.40M,,,,134.80M,,11.50M,225.70M,,,,,245.30M,-150.60M,94.70M,,342.60M,342.60M,,26.90M,464.20M,689.90M,,51.70M,,,51.70M,,51.70M,2.70M,2.70M,50.00M,104.40M,195.20M,195.20M,18.80M,18.80M,,,,27.40M,241.40M,345.80M,,,84.10M,,,,,,344.10M,,,
1995-09,3.60M,,3.60M,,66.50M,,,,132.30M,,12.70M,215.10M,,,,,241.60M,-147.60M,94.00M,,345.40M,345.40M,,29.50M,468.90M,684.00M,,48.20M,,,48.20M,,48.20M,8.40M,8.40M,54.50M,111.10M,195.20M,195.20M,18.80M,18.80M,,,,29.30M,243.30M,354.40M,,,67.60M,,,,,,329.60M,,,
1995-06,6.50M,,6.50M,,73.00M,,,,131.00M,,13.60M,224.10M,,,,,240.50M,-145.00M,95.50M,,348.10M,348.10M,,28.50M,472.10M,696.20M,,52.90M,,,52.90M,,52.90M,35.80M,35.80M,46.80M,135.50M,195.20M,195.20M,20.50M,20.50M,,,,31.00M,246.70M,382.20M,,,51.50M,,,,,,314.00M,,,
