,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,964.40M,26.70M,991.10M,1.627B,1.627B,429.30M,375.70M,354.80M,1.160B,,243.20M,4.021B,,,,,2.146B,-1.258B,888.20M,4.129B,421.90M,4.550B,,50.20M,5.489B,9.510B,,903.10M,69.00M,155.70M,1.128B,444.60M,1.572B,768.40M,768.40M,,2.341B,2.668B,2.668B,205.00M,205.00M,,176.80M,51.50M,306.90M,3.357B,5.698B,,0.30M,2.723B,1.326B,,,,-288.70M,3.761B,,AOR,Restated
2018-03,1.000B,24.10M,1.024B,1.516B,1.516B,432.20M,381.60M,353.00M,1.167B,,230.20M,3.937B,,,,,2.097B,-1.257B,839.30M,4.146B,434.00M,4.580B,,46.80M,5.467B,9.404B,,798.20M,57.40M,166.30M,1.022B,412.90M,1.435B,749.90M,749.90M,,2.185B,2.489B,2.489B,243.30M,243.30M,,190.50M,54.00M,327.90M,3.251B,5.436B,,0.30M,2.771B,1.282B,,,,-139.70M,3.914B,,AOR,Restated
2017-12,1.719B,34.60M,1.754B,1.599B,1.599B,386.20M,358.00M,362.70M,1.107B,,196.80M,4.656B,0.00,32.60M,322.30M,1.662B,2.017B,-1.200B,816.80M,4.043B,441.60M,4.484B,,46.90M,5.348B,10.00B,,875.60M,58.10M,154.20M,1.088B,490.40M,1.578B,1.10M,1.10M,,1.579B,3.542B,3.542B,241.20M,241.20M,,272.00M,53.60M,326.40M,4.381B,5.960B,,0.30M,2.942B,1.249B,0.00,,,-201.00M,3.990B,,AOR,Restated
2017-09,1.452B,37.40M,1.490B,1.576B,1.576B,384.50M,366.80M,346.90M,1.098B,,189.60M,4.353B,,,,,1.946B,-1.156B,790.10M,3.969B,260.70M,4.23B,,235.80M,5.256B,9.609B,,826.80M,57.90M,102.00M,986.70M,445.90M,1.433B,1.10M,1.10M,,1.434B,3.560B,3.560B,,,,285.00M,42.10M,221.10M,4.066B,5.500B,,0.30M,3.165B,1.188B,,,,-286.20M,4.067B,,AOR,Restated
2017-06,1.317B,43.20M,1.360B,1.407B,1.407B,386.30M,357.20M,315.70M,1.059B,,165.80M,3.992B,,,,,1.872B,-1.103B,769.40M,3.902B,273.60M,4.176B,,235.10M,5.180B,9.173B,,769.90M,48.90M,85.30M,904.10M,433.80M,1.338B,376.00M,376.00M,,1.714B,3.021B,3.021B,,,,296.50M,41.00M,226.00M,3.543B,5.257B,,0.30M,3.101B,1.114B,,,,-341.00M,3.875B,,AOR,Restated
2017-03,1.243B,36.80M,1.280B,1.318B,1.318B,335.70M,330.40M,296.20M,962.30M,,162.10M,3.722B,,,,,1.779B,-1.052B,726.90M,3.749B,279.30M,4.028B,,230.10M,4.985B,8.707B,,682.40M,48.90M,117.70M,849.00M,359.20M,1.208B,375.10M,375.10M,,1.583B,2.862B,2.862B,,,,288.80M,46.90M,222.10M,3.373B,4.956B,,0.30M,3.050B,1.057B,,,,-402.30M,3.704B,,AOR,Restated
2016-12,1.035B,138.60M,1.173B,1.349B,1.349B,319.80M,313.40M,295.70M,928.90M,,139.80M,3.591B,0.00,28.10M,281.70M,1.409B,1.719B,-1.007B,711.40M,3.679B,474.40M,4.153B,,42.90M,4.908B,8.499B,,678.20M,49.30M,125.10M,852.60M,407.40M,1.26B,375.20M,375.20M,,1.635B,2.636B,2.636B,77.70M,77.70M,,288.40M,48.20M,138.80M,3.140B,4.776B,,0.30M,3.123B,1.021B,,,,-469.00M,3.675B,,AOR,Restated
2016-09,853.60M,163.30M,1.017B,1.319B,1.319B,320.50M,316.70M,289.40M,926.60M,,142.30M,3.405B,,,,,1.721B,-1.004B,717.60M,3.708B,304.70M,4.012B,,234.50M,4.965B,8.370B,,650.70M,43.30M,79.50M,773.50M,365.50M,1.139B,374.50M,374.50M,,1.514B,2.598B,2.598B,,,,503.60M,46.70M,,3.102B,4.615B,,0.30M,3.033B,972.20M,,,,-297.30M,3.708B,,AOR,Restated
2016-06,794.00M,30.70M,824.70M,1.257B,1.257B,310.20M,321.00M,295.40M,926.60M,,149.50M,3.158B,,,,,1.662B,-969.60M,692.80M,3.642B,302.80M,3.944B,,231.60M,4.869B,8.027B,,645.10M,43.20M,66.80M,755.10M,344.60M,1.100B,0.30M,0.30M,,1.10B,2.835B,2.835B,,,,518.50M,39.30M,,3.353B,4.453B,,0.30M,2.973B,890.20M,,,,-328.80M,3.535B,,AOR,Restated
2016-03,687.00M,26.60M,713.60M,1.202B,1.202B,317.00M,321.70M,294.80M,933.50M,,140.60M,2.990B,,,,,1.642B,-948.90M,693.30M,3.660B,315.80M,3.976B,,231.50M,4.900B,7.89B,,615.40M,43.00M,95.80M,754.20M,315.10M,1.069B,0.30M,0.30M,,1.070B,2.866B,2.866B,,,,530.00M,38.00M,,3.396B,4.466B,,0.30M,2.869B,814.50M,,,,-297.40M,3.386B,,AOR,Restated
