,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2000-06,335.51M,335.51M,218.93M,116.58M,45.90M,,,-1.829M,,,,57.14M,59.44M,,,-1.829M,,42.11M,15.90M,26.21M,,26.21M,27.35M,70.68M,11.24M,59.44M,,0.0788,0.00,,0.0822,0.0788,,0.0762,0.00,,0.0796,0.0762,,332.27M,342.78M,,,,
2000-03,300.05M,300.05M,196.62M,103.43M,41.87M,,,-1.904M,,,,52.74M,50.69M,,,-1.904M,,32.94M,12.68M,20.26M,,20.26M,21.44M,61.56M,10.87M,50.69M,,0.0612,0.00,,0.0648,0.0612,,0.06,0.00,,0.0634,0.06,,331.73M,340.64M,,,,
1999-12,269.10M,269.10M,178.28M,90.82M,38.45M,,,-1.462M,,,,46.10M,44.73M,,,-1.462M,,23.67M,9.675M,14.00M,,5.321M,14.87M,55.11M,10.38M,44.73M,,0.0475,-0.03,,0.0505,0.0175,,0.0462,-0.03,,0.0491,0.0162,,296.46M,304.09M,,,,
1999-09,256.90M,256.90M,167.50M,89.40M,37.40M,,,-1.20M,,,,48.30M,41.10M,,,-1.20M,,19.90M,8.30M,11.60M,,11.60M,12.32M,52.00M,10.90M,41.10M,,0.0412,0.00,,0.0438,0.0412,,0.04,0.00,,0.0425,0.04,,285.83M,291.14M,,,,
1999-06,247.40M,247.40M,161.50M,85.90M,35.80M,,,-1.40M,,,,46.60M,39.30M,,,-1.40M,,18.10M,7.60M,10.50M,,10.50M,11.34M,50.10M,10.80M,39.30M,,0.0375,0.00,,0.0404,0.0375,,0.0362,0.00,,0.0392,0.0362,,285.82M,289.49M,,,,
1999-03,237.16M,237.16M,156.60M,80.56M,34.30M,,,-1.20M,,,,45.00M,35.56M,,,-1.20M,,14.60M,6.40M,8.20M,,8.20M,8.92M,46.26M,10.70M,35.56M,,0.0288,0.00,,0.0313,0.0288,,0.0288,0.00,,0.0313,0.0288,,285.22M,285.22M,,,,
1998-12,233.40M,233.40M,153.80M,79.60M,33.80M,,,-1.50M,,,,43.90M,35.70M,,,-1.50M,,13.80M,5.50M,8.30M,,8.30M,9.202M,45.80M,10.10M,35.70M,,0.0294,0.00,,0.0325,0.0294,,0.0281,0.00,,0.0312,0.0281,,284.45M,291.60M,,,,
1998-09,229.00M,229.00M,149.90M,79.10M,33.20M,,,-1.00M,,,,42.80M,36.30M,,,-1.00M,,14.80M,6.60M,8.20M,,8.20M,8.80M,45.90M,9.60M,36.30M,,0.0288,0.00,,0.0309,0.0288,,0.0288,0.00,,0.0309,0.0288,,285.22M,285.22M,,,,
1998-06,227.90M,227.90M,147.00M,80.90M,32.30M,,,-0.90M,,,,41.70M,39.20M,,,-0.90M,,18.30M,7.90M,10.40M,,10.40M,10.94M,48.60M,9.40M,39.20M,,0.0375,0.00,,0.0394,0.0375,,0.0362,0.00,,0.0381,0.0362,,277.33M,286.90M,,,,
1998-03,228.50M,228.50M,148.40M,80.10M,32.70M,,,-1.10M,,,,41.60M,38.50M,,,-1.10M,,17.20M,7.50M,9.70M,,9.70M,10.36M,47.40M,8.90M,38.50M,,0.035,0.00,,0.0374,0.035,,0.0338,0.00,,0.0360,0.0338,,277.14M,287.41M,,,,
1997-12,222.00M,222.00M,142.80M,79.20M,31.40M,,,-1.70M,,,,39.70M,39.50M,,,-1.70M,,16.70M,7.30M,9.40M,,-2.30M,10.42M,47.80M,8.30M,39.50M,,0.0335,,-0.0417,0.0371,-0.0082,,0.0335,,-0.0417,0.0371,-0.0082,,280.53M,280.53M,,,,
1997-09,223.50M,223.50M,143.10M,80.40M,31.70M,,,-1.00M,,,,41.30M,39.10M,,,-1.00M,,15.10M,6.50M,8.60M,,8.60M,9.20M,48.70M,9.60M,39.10M,,0.0312,0.00,,0.0334,0.0312,,0.03,0.00,,0.0321,0.03,,275.20M,286.67M,,,,
1997-06,227.00M,227.00M,145.70M,81.30M,32.00M,,,0.40M,,,,40.70M,40.60M,,,0.40M,,26.90M,11.10M,15.80M,,3.00M,15.56M,49.30M,8.70M,40.60M,,0.0312,-0.0262,-0.0457,0.0309,0.005,,0.0312,-0.0262,-0.0457,0.0309,0.005,,700.00M,700.00M,,,,
1997-03,211.80M,211.80M,137.50M,74.30M,30.50M,,,-1.20M,,,,38.20M,36.10M,,,-1.20M,,28.50M,11.00M,17.50M,,17.50M,18.24M,43.80M,7.70M,36.10M,,0.025,0.00,,0.0261,0.025,,0.025,0.00,,0.0261,0.025,,700.00M,700.00M,,,,
1996-12,197.60M,197.60M,126.60M,71.00M,29.30M,,,-1.10M,,,,36.80M,34.20M,,,-1.10M,,26.70M,10.10M,16.60M,,16.60M,17.28M,41.70M,7.50M,34.20M,,0.0219,0.00,,0.0228,0.0219,,0.0219,0.00,,0.0226,0.0219,,760.12M,948.84M,,,,
1996-09,184.90M,184.90M,116.90M,68.00M,27.10M,,,-1.00M,,,,34.40M,33.60M,,,-1.00M,,26.40M,9.70M,16.70M,,16.70M,17.33M,40.90M,7.30M,33.60M,,0.0225,0.00,,0.0234,0.0225,,0.02,0.00,,0.0208,0.02,,742.22M,835.00M,,,,
1996-06,198.90M,198.90M,126.70M,72.20M,29.60M,,,-0.90M,,,,36.90M,35.30M,,,-0.90M,,28.30M,10.90M,17.40M,,17.40M,17.95M,42.60M,7.30M,35.30M,,0.0238,0.00,,0.0245,0.0238,,0.0175,0.00,,0.0183,0.0175,,732.63M,732.63M,,,,
1996-03,194.80M,194.80M,123.70M,71.10M,28.70M,,,-0.70M,,,,36.10M,35.00M,,,-0.70M,,28.20M,11.30M,16.90M,,16.90M,17.32M,42.40M,7.40M,35.00M,,0.0225,0.00,,0.0231,0.0225,,0.0162,0.00,,0.0168,0.0162,,751.11M,751.11M,,,,
1995-12,188.60M,188.60M,119.90M,68.70M,27.70M,,,-0.80M,,,,34.60M,34.10M,,,-0.80M,,27.40M,10.90M,16.50M,,16.50M,16.98M,41.00M,6.90M,34.10M,,0.0225,0.00,,0.0232,0.0225,,0.0225,0.00,,0.0232,0.0225,,731.53M,731.53M,,,,
1995-09,189.00M,189.00M,120.20M,68.80M,27.80M,,,-0.80M,,,,34.90M,33.90M,,,-0.80M,,26.80M,10.70M,16.10M,,16.10M,16.58M,41.00M,7.10M,33.90M,,0.0212,0.00,,0.0219,0.0212,,0.0212,0.00,,0.0219,0.0212,,757.65M,757.65M,,,,
1995-06,207.60M,207.60M,135.90M,71.70M,29.90M,,,-1.10M,,,,37.20M,34.50M,,,-1.10M,,26.80M,10.70M,16.10M,,16.10M,16.76M,41.80M,7.30M,34.50M,,0.0212,0.00,,0.0221,0.0212,,0.0212,0.00,,0.0221,0.0212,,757.65M,757.65M,,,,
1995-03,198.00M,198.00M,130.00M,68.00M,28.70M,,,-1.80M,,,,35.80M,32.20M,,,-1.80M,,23.70M,9.50M,14.20M,,14.20M,15.28M,39.30M,7.10M,32.20M,,0.0188,0.00,,0.0202,0.0188,,0.0188,0.00,,0.0202,0.0188,,757.33M,757.33M,,,,
1994-12,185.50M,185.50M,121.30M,64.20M,27.10M,,,-1.40M,,,,34.10M,30.10M,,,-1.40M,,21.30M,8.30M,13.00M,,13.00M,13.85M,37.10M,7.00M,30.10M,,0.0175,-0.0012,0.0002,0.0185,0.0162,,0.0175,-0.0012,0.0002,0.0185,0.0162,,820.70M,820.70M,,,,
1994-09,178.20M,178.20M,116.80M,61.40M,26.10M,,,-1.10M,,,,33.80M,27.60M,,,-1.10M,,19.20M,7.50M,11.70M,,11.70M,12.37M,35.30M,7.70M,27.60M,,0.0162,0.00,,0.0172,0.0162,,0.0162,0.00,,0.0172,0.0162,,720.00M,720.00M,,,,
1994-06,173.60M,173.60M,115.10M,58.50M,25.50M,,,-1.00M,,,,32.50M,26.00M,,,-1.00M,,17.40M,6.80M,10.60M,,10.60M,11.21M,33.00M,7.00M,26.00M,,0.0138,0.00,,0.0145,0.0138,,0.0138,0.00,,0.0145,0.0138,,770.91M,770.91M,,,,
1994-03,155.50M,155.50M,104.40M,51.10M,23.50M,,,-0.60M,,,,30.60M,20.50M,,,-0.60M,,11.50M,4.50M,7.00M,,2.90M,7.365M,27.60M,7.10M,20.50M,,0.01,-0.0062,-0.0053,0.0105,0.0038,,0.01,-0.0062,-0.0053,0.0105,0.0038,,773.33M,773.33M,,,,
1993-12,151.80M,151.80M,101.30M,50.50M,21.90M,,,-0.90M,,,,28.70M,21.80M,,,-0.90M,,11.20M,3.90M,7.30M,,7.30M,7.887M,28.60M,6.80M,21.80M,,0.01,0.00,,0.0108,0.01,,0.01,0.00,,0.0108,0.01,,736.95M,736.95M,,,,
1993-09,150.50M,150.50M,99.60M,50.90M,21.80M,,,-0.80M,,,,29.30M,21.60M,,,-0.80M,,10.60M,3.70M,6.90M,,6.90M,7.421M,29.10M,7.50M,21.60M,,0.01,0.00,,0.0108,0.01,,0.01,0.00,,0.0108,0.01,,690.00M,690.00M,,,,
1993-06,154.80M,154.80M,103.00M,51.80M,23.20M,,,-0.50M,,,,30.30M,21.50M,,,-0.50M,,10.60M,3.70M,6.90M,,6.90M,7.225M,28.60M,7.10M,21.50M,,0.01,0.00,,0.0105,0.01,,0.01,0.00,,0.0105,0.01,,690.00M,690.00M,,,,
1993-03,146.90M,146.90M,100.80M,46.10M,22.50M,,,0.20M,,,,29.70M,16.40M,,,0.20M,,5.70M,2.00M,3.70M,,3.70M,3.570M,23.60M,7.20M,16.40M,,0.0062,0.00,,0.0060,0.0062,,0.0062,0.00,,0.0060,0.0062,,592.00M,592.00M,,,,
1992-12,113.10M,113.10M,78.90M,34.20M,19.00M,,,-4.50M,,,,25.10M,9.10M,,,-4.50M,,-3.40M,-1.60M,-1.80M,,-1.80M,0.90M,15.20M,6.10M,9.10M,,-0.0038,0.00,,0.0011,-0.0038,,-0.0038,0.00,,0.0011,-0.0038,,556.92M,556.92M,,,,
1992-09,112.30M,112.30M,76.70M,35.60M,18.60M,,,0.30M,,,,24.90M,10.70M,,,0.30M,,3.70M,0.60M,3.10M,,3.10M,2.849M,17.00M,6.30M,10.70M,,0.0062,0.00,,0.0057,0.0062,,0.0062,0.00,,0.0057,0.0062,,496.00M,496.00M,,,,
1992-06,115.70M,115.70M,78.00M,37.70M,19.10M,,,1.70M,,,,25.80M,11.90M,,,1.70M,,6.70M,2.20M,4.50M,,4.50M,3.358M,18.60M,6.70M,11.90M,,0.0088,0.00,,0.0065,0.0088,,0.0088,0.00,,0.0065,0.0088,,514.29M,514.29M,,,,
1992-03,116.60M,116.60M,79.70M,36.90M,18.40M,,,,,,,25.30M,11.60M,,,,,4.30M,1.50M,2.80M,,2.80M,2.80M,18.50M,6.90M,11.60M,,0.0062,0.00,,0.0062,0.0062,,0.0062,0.00,,0.0062,0.0062,,448.00M,448.00M,,,,
1991-12,116.30M,116.30M,,,,,,,,,,,-320.00M,,,,,,,-0.10M,,-0.10M,,-320.00M,,-320.00M,,,,,,,,,,,,,,,,,,,
1991-09,156.10M,156.10M,,,,,,,,,,,156.10M,,,,,,,-1.60M,,-1.60M,,156.10M,,156.10M,,-0.0025,0.00,,-0.0025,-0.0025,,-0.0025,0.00,,-0.0025,-0.0025,,,,,,,
1991-06,108.40M,108.40M,,,,,,,,,,,108.40M,,,,,,,-2.40M,,-2.40M,,108.40M,,108.40M,,-0.015,0.00,,-0.015,-0.015,,-0.015,0.00,,-0.015,-0.015,,,,,,,
1991-03,108.40M,108.40M,,,,,,,,,,,108.40M,,,,,,,-2.40M,,-2.40M,,108.40M,,108.40M,,-0.015,0.00,,-0.015,-0.015,,-0.015,0.00,,-0.015,-0.015,,,,,,,
1990-12,105.20M,105.20M,,,,,,,,,,,-275.80M,,,,,,,-3.00M,,-3.00M,,-275.80M,,-275.80M,,,,,,,,,,,,,,,,,,,
1990-09,105.20M,105.20M,,,,,,,,,,,105.20M,,,,,,,-3.00M,,-3.00M,,105.20M,,105.20M,,-0.0188,0.00,,-0.0188,-0.0188,,-0.0188,0.00,,-0.0188,-0.0188,,,,,,,
1990-06,105.20M,105.20M,,,,,,,,,,,105.20M,,,,,,,-3.00M,,-3.00M,,105.20M,,105.20M,,-0.0188,0.00,,-0.0188,-0.0188,,-0.0188,0.00,,-0.0188,-0.0188,,,,,,,
1990-03,105.20M,105.20M,,,,,,,,,,,105.20M,,,,,,,-3.00M,,-3.00M,,105.20M,,105.20M,,-0.0188,0.00,,-0.0188,-0.0188,,-0.0188,0.00,,-0.0188,-0.0188,,,,,,,
