,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,26.82B,118.91B,145.72B,33.32B,18.58B,,5.221B,37.82B,183.54B,176.25B,71.86B,29.65B,101.52B,18.58B,400.81B,752.30B,829.95B,,44.03B,,6.795B,50.82B,50.82B,,3.36B,3.36B,3.36B,54.18B,104.33B,104.33B,67.34B,67.34B,,5.39B,128.03B,22.02B,1.547B,4.06B,,328.65B,410.73B,,8.00M,408.79B,35.62B,24.08B,-5.19B,415.16B,,AOR,
2020-06,36.07B,110.52B,146.59B,32.62B,18.18B,,4.995B,36.77B,183.36B,174.79B,71.75B,29.85B,101.60B,18.18B,354.31B,702.10B,788.13B,,40.66B,,1.114B,41.78B,41.78B,,3.158B,3.158B,3.158B,44.94B,103.53B,103.53B,61.27B,61.27B,,5.389B,125.33B,20.99B,1.565B,3.758B,,318.08B,390.88B,,8.00M,378.65B,35.62B,14.82B,-5.967B,393.50B,,AOR,
2020-03,42.64B,94.62B,137.26B,33.07B,17.66B,,5.575B,37.96B,175.22B,173.42B,81.66B,31.28B,112.94B,17.66B,310.81B,666.36B,760.45B,,39.61B,,8.63B,48.24B,48.24B,,3.555B,3.555B,3.555B,51.80B,100.68B,100.68B,52.57B,52.57B,,5.291B,123.38B,21.72B,2.361B,3.67B,,306.00B,385.21B,,8.00M,352.36B,35.62B,9.70B,-6.721B,371.56B,,AOR,
2019-12,64.18B,63.82B,128.00B,31.63B,17.53B,,4.715B,35.84B,163.83B,174.34B,81.88B,31.65B,113.53B,17.53B,348.04B,703.97B,817.73B,,,,,,42.32B,,4.686B,4.686B,4.686B,47.00B,98.68B,98.68B,66.80B,66.80B,,5.281B,123.18B,19.78B,968.00M,3.772B,,314.70B,389.17B,,8.00M,402.49B,35.66B,8.125B,-5.243B,424.79B,,AOR,
2019-09,74.78B,53.38B,128.15B,33.31B,17.14B,,5.355B,38.15B,166.31B,171.49B,81.23B,31.40B,112.63B,17.14B,310.14B,662.20B,788.48B,,41.19B,,8.123B,49.31B,49.31B,,4.499B,4.499B,4.499B,53.81B,97.70B,97.70B,60.39B,60.39B,,5.106B,121.05B,20.76B,1.236B,3.949B,,306.24B,386.92B,,8.00M,373.33B,35.61B,5.937B,-5.408B,397.61B,,AOR,Restated
2019-06,44.63B,77.74B,122.38B,33.54B,16.81B,,4.544B,37.58B,159.96B,169.46B,81.27B,31.66B,112.93B,16.81B,315.43B,664.26B,760.11B,,,,,,40.59B,,4.261B,4.261B,4.261B,44.85B,95.65B,95.65B,59.62B,59.62B,,5.146B,120.16B,20.11B,1.47B,3.847B,,302.15B,373.72B,,8.00M,356.85B,35.61B,5.242B,-4.678B,382.54B,,AOR,Restated
2019-03,26.14B,88.03B,114.17B,33.12B,16.43B,,4.542B,37.17B,151.34B,167.42B,81.22B,31.90B,113.12B,16.43B,316.52B,661.58B,738.72B,,,,,,39.81B,,3.91B,3.91B,3.91B,43.72B,93.28B,93.28B,56.85B,56.85B,,5.071B,118.91B,20.17B,1.682B,3.714B,,295.97B,366.13B,,8.00M,342.77B,35.62B,4.799B,-4.727B,368.88B,,AOR,Restated
2018-12,30.36B,81.51B,111.87B,31.56B,16.28B,,4.185B,35.23B,147.10B,166.71B,81.02B,32.15B,113.17B,16.28B,291.49B,628.10B,707.79B,,,,,,37.19B,,4.373B,4.373B,4.373B,41.56B,93.12B,93.12B,51.38B,51.38B,,4.593B,117.97B,18.09B,2.452B,3.797B,,287.60B,355.29B,,8.00M,321.11B,35.71B,3.109B,-5.015B,348.70B,,AOR,Restated
2018-09,41.44B,62.20B,103.64B,29.14B,14.48B,,3.121B,31.88B,135.53B,165.02B,81.33B,32.95B,114.28B,14.48B,299.16B,648.69B,736.46B,,,,,,40.20B,,3.517B,3.517B,3.517B,43.72B,94.12B,94.12B,59.34B,59.34B,,,112.89B,19.01B,1.869B,3.813B,,287.23B,357.04B,,8.00M,346.50B,35.71B,2.691B,-3.927B,375.61B,,AOR,Restated
2018-06,64.56B,46.54B,111.10B,28.57B,14.21B,,3.074B,31.28B,142.38B,163.23B,81.25B,33.26B,114.51B,14.21B,256.62B,601.36B,711.93B,,,,,,39.03B,,5.219B,5.219B,5.219B,44.25B,91.55B,91.55B,56.51B,56.51B,,,111.75B,18.29B,2.006B,3.664B,,280.12B,350.17B,,8.00M,327.96B,35.69B,1.763B,-3.808B,358.09B,,AOR,Restated
2018-03,57.88B,50.68B,108.56B,28.19B,13.84B,,3.078B,30.91B,139.47B,162.11B,81.34B,33.58B,114.92B,13.84B,254.95B,598.86B,702.65B,,,,,,38.13B,,4.408B,4.408B,4.408B,42.54B,94.68B,94.68B,55.72B,55.72B,,,112.30B,18.45B,2.378B,3.651B,,283.52B,351.60B,,8.00M,315.95B,35.68B,1.763B,-2.477B,347.40B,,AOR,Restated
2017-12,31.58B,84.37B,115.95B,29.64B,13.75B,,3.777B,32.92B,148.88B,158.22B,81.26B,33.18B,114.44B,13.75B,297.29B,622.31B,702.10B,,,,,,35.90B,,6.32B,6.32B,6.32B,42.22B,96.27B,96.27B,56.61B,56.61B,,0.00,111.71B,16.04B,2.172B,3.658B,,282.80B,350.14B,,8.00M,255.79B,35.69B,1.763B,58.57B,348.30B,,AOR,Restated
2017-09,42.71B,66.59B,109.30B,30.01B,13.59B,,,29.65B,138.95B,156.83B,80.88B,33.62B,114.51B,13.59B,256.16B,592.32B,681.55B,,,,,,35.09B,,1.819B,1.819B,1.819B,36.91B,99.67B,99.67B,86.56B,86.56B,,,107.69B,16.55B,2.187B,3.574B,,312.66B,369.70B,,8.00M,224.17B,35.68B,1.763B,50.18B,308.28B,,AOR,Restated
2017-06,26.42B,73.33B,99.75B,29.29B,14.56B,,,28.95B,128.70B,154.91B,80.18B,33.81B,113.99B,14.56B,248.06B,576.39B,665.59B,,,,,,33.81B,,2.013B,2.013B,2.013B,35.82B,100.26B,100.26B,84.31B,84.31B,,,102.66B,16.13B,2.494B,3.434B,,305.86B,361.50B,,8.00M,220.10B,35.66B,1.763B,46.65B,300.66B,,AOR,Restated
2017-03,96.46B,22.90B,119.37B,29.19B,13.36B,,,28.87B,148.24B,153.64B,79.95B,34.08B,114.03B,13.36B,172.14B,496.88B,654.45B,,,,,,33.12B,,2.135B,2.135B,2.135B,35.26B,101.82B,101.82B,82.13B,82.13B,,,100.95B,16.11B,2.43B,3.429B,,303.44B,358.17B,,8.00M,215.84B,35.70B,1.763B,43.07B,292.85B,,AOR,Restated
2016-12,28.05B,58.32B,86.37B,27.43B,13.30B,,,27.10B,113.47B,152.77B,79.49B,34.09B,113.57B,13.30B,231.93B,557.66B,620.85B,,,,,,35.04B,,3.963B,3.963B,3.963B,39.00B,97.68B,97.68B,77.44B,77.44B,,,85.06B,14.24B,2.89B,3.358B,,277.32B,335.43B,,8.00M,210.85B,35.68B,1.763B,37.30B,282.07B,,AOR,Restated
2016-09,84.84B,24.61B,109.45B,27.89B,13.21B,,,27.54B,136.99B,152.07B,79.39B,35.65B,115.04B,13.21B,141.42B,466.66B,604.04B,,,,,,35.63B,,2.019B,2.019B,2.019B,37.65B,99.78B,99.78B,73.57B,73.57B,,,82.73B,15.22B,3.973B,3.351B,,275.27B,331.42B,,8.00M,205.49B,35.73B,1.763B,29.80B,269.26B,,AOR,Restated
