,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,30.41B,-31.62B,-31.62B,,2.583B,2.583B,,414.00M,-1.338B,,-913.00M,2.744B,5.867B,9.976B,11.76B,,-3.329B,-3.329B,-29.00M,-7.628B,-970.00M,-11.86B,,-5.00M,104.00M,99.00M,-8.973B,-8.973B,18.00M,-8.856B,,36.59B,-8.95B,-200.00M,27.44B,,177.00M,-182.00M,-8.973B,,,,AOR,
2020-06,26.41B,-39.29B,-39.29B,,2.524B,2.524B,,11.09B,198.00M,,380.00M,-315.00M,8.858B,9.94B,10.67B,,-3.219B,-3.219B,-56.00M,-10.75B,-796.00M,-14.75B,,2.612B,-33.00M,2.579B,-4.998B,-4.998B,-55.00M,-2.474B,,43.10B,-6.553B,44.00M,36.59B,,3.745B,-1.133B,-4.998B,,,,AOR,
2020-03,-49.70B,68.88B,68.88B,,2.585B,2.585B,,-566.00M,-2.083B,,-1.14B,17.00M,-13.79B,-14.41B,6.798B,,-2.968B,-2.968B,-26.00M,-24.37B,81.00M,-27.80B,,2.687B,-1.133B,1.554B,-1.741B,-1.741B,-159.00M,-346.00M,,64.63B,-21.35B,-184.00M,43.10B,,5.937B,-3.25B,-1.741B,,,,AOR,
2019-12,29.23B,-31.04B,-31.04B,,2.657B,2.657B,,486.00M,1.315B,,408.00M,1.079B,6.067B,10.75B,12.08B,,-4.84B,-4.84B,-951.00M,-14.92B,-429.00M,-21.08B,,319.00M,101.00M,420.00M,-2.043B,-2.043B,-156.00M,-1.779B,,75.29B,-10.78B,120.00M,64.63B,,1.24B,-921.00M,-2.043B,,,,AOR,
2019-09,16.66B,-10.69B,-10.69B,,2.534B,2.534B,,-1.003B,-524.00M,,-317.00M,470.00M,845.00M,2.352B,9.848B,,-4.392B,-4.392B,-152.00M,23.78B,-1.09B,18.36B,,2.574B,260.00M,2.834B,-674.00M,-674.00M,-62.00M,2.098B,,45.10B,30.31B,-121.00M,75.29B,,4.789B,-2.215B,-674.00M,,,,AOR,Restated
2019-06,14.17B,-9.835B,-9.835B,,2.456B,2.456B,,-268.00M,-857.00M,,-1.112B,441.00M,2.982B,2.659B,9.185B,,-3.596B,-3.596B,-318.00M,11.35B,-44.00M,7.293B,,2.219B,408.00M,2.627B,-548.00M,-548.00M,10.00M,2.089B,,26.52B,18.57B,11.00M,45.10B,,2.574B,-355.00M,-548.00M,,,,AOR,Restated
2019-03,21.73B,-19.55B,-19.55B,,2.417B,2.417B,,-469.00M,-2.237B,,-990.00M,-1.80B,5.644B,3.449B,7.577B,,-3.151B,-3.151B,-262.00M,-6.934B,67.00M,-10.20B,,699.00M,-503.00M,196.00M,-1.585B,-1.585B,-289.00M,-1.678B,,30.81B,-4.302B,15.00M,26.52B,,4.941B,-4.242B,-1.585B,,,,AOR,Restated
2018-12,-25.39B,34.90B,34.90B,,2.61B,2.61B,,3.634B,1.338B,,-44.00M,1.197B,-7.401B,-4.913B,10.84B,,-4.497B,-4.497B,-2.758B,-14.29B,-328.00M,-21.82B,,-613.00M,811.00M,198.00M,-418.00M,-418.00M,-66.00M,-286.00M,,42.10B,-11.26B,-31.00M,30.81B,,15.00M,-628.00M,-418.00M,,,,AOR,Restated
2018-09,18.71B,-14.57B,-14.57B,,2.395B,2.395B,,-256.00M,-1.368B,,-421.00M,850.00M,3.057B,4.187B,10.46B,,-3.711B,-3.711B,-148.00M,-28.04B,31.00M,-33.46B,,2.616B,-1.674B,942.00M,-928.00M,-928.00M,-24.00M,-10.00M,,65.18B,-23.01B,-68.00M,42.10B,,5.125B,-2.509B,-928.00M,,,,AOR,Restated
2018-06,12.08B,-5.99B,-5.99B,,2.387B,2.387B,,-420.00M,-1.227B,,-486.00M,347.00M,1.091B,481.00M,8.535B,,-3.74B,-3.74B,-261.00M,3.696B,379.00M,122.00M,,-2.42B,849.00M,-1.571B,0.00,0.00,-151.00M,-1.722B,,58.37B,6.935B,-133.00M,65.18B,,638.00M,-3.058B,0.00,,,,AOR,Restated
2018-03,-1.071B,7.809B,7.809B,,2.387B,2.387B,,-1.00M,-2.186B,,-881.00M,-392.00M,-530.00M,-1.568B,7.556B,,-2.589B,-2.589B,-112.00M,25.10B,-153.00M,22.31B,,-1.763B,-1.929B,-3.692B,0.00,0.00,-102.00M,-3.794B,,32.21B,26.07B,92.00M,58.37B,,3.65B,-5.413B,0.00,,,,AOR,Restated
2017-12,32.66B,-148.00M,-148.00M,,2.353B,2.353B,,-652.00M,900.00M,,-378.00M,834.00M,-29.26B,-25.98B,8.229B,,-3.297B,-3.297B,-68.00M,-13.10B,-3.458B,-19.86B,,-1.475B,1.957B,482.00M,0.00,0.00,-13.00M,469.00M,,43.35B,-11.16B,26.00M,32.21B,,227.00M,-1.702B,0.00,,,,AOR,Restated
2017-09,4.203B,-657.00M,-657.00M,,2.296B,2.296B,,707.00M,-1.282B,,-327.00M,249.00M,725.00M,4.328B,10.88B,,-3.262B,-3.262B,-919.00M,9.88B,-12.00M,6.851B,,-1.042B,-340.00M,-1.382B,0.00,0.00,-16.00M,-1.398B,,26.98B,16.33B,39.00M,43.35B,,425.00M,-1.467B,0.00,,,,AOR,Restated
