,NetIncome,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,,,,,,,,,,,,,,643.00M,-49.00M,2.00M,-47.00M,0.00,-101.00M,19.00M,-129.00M,0.00,-250.00M,-250.00M,0.00,,0.00,0.00,0.00,-14.00M,-14.00M,57.00M,-42.00M,-249.00M,2.016B,265.00M,1.00M,2.282B,0.00,0.00,-250.00M,
2020-06,,,,,,,,,,,,,,269.00M,-68.00M,1.00M,-67.00M,12.00M,-27.00M,23.00M,-59.00M,320.00M,-1.155B,-835.00M,933.00M,,933.00M,975.00M,975.00M,,,48.00M,-16.00M,1.105B,700.00M,1.316B,0.00,2.016B,1.908B,3.005B,-3.84B,
2020-03,,,,,,,,,,,,,,-77.00M,-100.00M,3.00M,-97.00M,0.00,-2.00M,23.00M,-76.00M,360.00M,-14.00M,346.00M,42.00M,,42.00M,,,,,-57.00M,-75.00M,256.00M,607.00M,102.00M,-9.00M,700.00M,42.00M,2.839B,-2.493B,
2019-12,,,,,,,,,,,,,,692.00M,-186.00M,2.00M,-184.00M,0.00,83.00M,52.00M,-49.00M,-1.102B,112.00M,-990.00M,123.00M,,123.00M,,,,,-114.00M,257.00M,-724.00M,676.00M,-81.00M,12.00M,607.00M,123.00M,1.098B,-2.088B,
2019-09,,,,,,,,,,,,,,502.00M,-121.00M,3.00M,-118.00M,-3.529B,-316.00M,1.00M,-3.962B,2.00B,-662.00M,1.338B,0.00,,0.00,0.00,0.00,0.00,0.00,47.00M,-71.00M,1.314B,2.823B,-2.145B,-2.00M,676.00M,0.00,2.013B,-675.00M,
2019-06,,,,,,,,,,,,,,292.00M,-91.00M,0.00,-91.00M,-442.00M,-87.00M,,-620.00M,0.00,305.00M,305.00M,-53.00M,,-53.00M,0.00,0.00,,,62.00M,-58.00M,256.00M,2.896B,-73.00M,0.00,2.823B,-53.00M,0.00,305.00M,
2019-03,,,,,,,,,,,,,,350.00M,-63.00M,2.00M,-61.00M,-321.00M,-28.00M,,-410.00M,2.771B,-630.00M,2.141B,53.00M,,53.00M,,,,,-60.00M,-7.00M,2.127B,829.00M,2.067B,0.00,2.896B,53.00M,4.243B,-2.102B,
2018-12,,,,,,,,,,,,,,19.00M,-106.00M,14.00M,-92.00M,-480.00M,-24.00M,1.00M,-595.00M,-2.00M,424.00M,422.00M,7.00M,,7.00M,,,,,-2.00M,-2.00M,425.00M,980.00M,-152.00M,1.00M,829.00M,7.00M,19.00M,403.00M,
2018-09,,,,,,,,,,,,,,501.00M,-76.00M,0.00,-76.00M,-550.00M,-36.00M,,-662.00M,989.00M,-865.00M,124.00M,41.00M,,41.00M,,,,,-2.00M,-12.00M,151.00M,994.00M,-10.00M,-4.00M,980.00M,41.00M,527.00M,-403.00M,
2018-06,,,,,,,,,,,,,,-403.00M,-74.00M,0.00,-74.00M,-409.00M,-9.00M,1.00M,-491.00M,-70.00M,787.00M,717.00M,15.00M,,15.00M,,,,,-2.00M,-4.00M,726.00M,1.168B,-168.00M,-6.00M,994.00M,15.00M,970.00M,-253.00M,
