,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,2.022B,,2.022B,1.598B,1.598B,421.00M,179.00M,871.00M,1.00M,1.472B,174.00M,214.00M,,534.00M,6.16B,0.0,120.00M,1.243B,3.411B,311.00M,402.00M,5.487B,-3.112B,2.375B,10.14B,6.797B,16.93B,567.00M,179.00M,4.172B,457.00M,24.68B,30.84B,452.00M,37.00M,489.00M,1.643B,2.132B,552.00M,,,11.00M,11.00M,147.00M,147.00M,460.00M,3.302B,,9.314B,6.00M,9.32B,522.00M,,522.00M,,,6.00M,2.131B,11.98B,15.28B,17.00M,-2.574B,19.69B,1.717B,,,,,151.00M,15.56B
2020-06,1.724B,,1.724B,1.457B,1.457B,482.00M,166.00M,867.00M,1.00M,1.516B,181.00M,245.00M,,519.00M,5.803B,0.0,118.00M,1.229B,3.449B,315.00M,405.00M,5.516B,-3.122B,2.394B,10.10B,7.161B,17.26B,467.00M,241.00M,4.182B,476.00M,25.02B,30.82B,408.00M,193.00M,601.00M,1.404B,2.005B,314.00M,,,254.00M,254.00M,143.00M,143.00M,392.00M,3.108B,54.00M,9.266B,269.00M,9.535B,585.00M,251.00M,836.00M,176.00M,,6.00M,852.00M,12.10B,15.21B,17.00M,-2.405B,19.59B,1.717B,,,,,131.00M,15.62B
2020-03,370.00M,,370.00M,1.577B,1.702B,453.00M,184.00M,991.00M,,1.628B,205.00M,288.00M,,412.00M,4.823B,0.0,116.00M,1.199B,3.437B,327.00M,450.00M,5.529B,-3.104B,2.425B,10.10B,7.394B,17.49B,437.00M,292.00M,4.162B,483.00M,25.29B,30.11B,605.00M,246.00M,851.00M,1.35B,2.201B,211.00M,,,1.004B,1.004B,141.00M,141.00M,419.00M,3.976B,201.00M,9.317B,276.00M,9.593B,589.00M,251.00M,840.00M,197.00M,,7.00M,833.00M,12.33B,16.31B,16.00M,-2.252B,17.59B,1.717B,,,,,168.00M,13.80B
2019-12,217.00M,,217.00M,1.828B,1.933B,416.00M,192.00M,971.00M,,1.579B,195.00M,346.00M,,324.00M,4.699B,0.0,117.00M,1.198B,3.411B,336.00M,442.00M,5.504B,-3.089B,2.415B,10.18B,7.886B,18.06B,458.00M,216.00M,4.196B,519.00M,25.87B,30.56B,542.00M,265.00M,807.00M,1.638B,2.445B,470.00M,,,1.416B,1.416B,144.00M,144.00M,391.00M,4.866B,227.00M,8.579B,282.00M,8.861B,595.00M,,595.00M,299.00M,,7.00M,1.166B,11.82B,16.69B,16.00M,-2.253B,17.56B,1.717B,,-45.00M,142.00M,173.00M,270.00M,13.88B
2019-09,277.00M,,277.00M,1.796B,1.796B,420.00M,206.00M,940.00M,,1.566B,189.00M,,,1.019B,4.847B,0.0,112.00M,1.16B,3.368B,,357.00M,4.997B,-3.055B,1.942B,10.02B,8.075B,18.09B,,,,1.879B,21.91B,26.76B,512.00M,,512.00M,1.603B,2.115B,328.00M,,,1.297B,1.297B,,,514.00M,4.254B,240.00M,9.57B,6.00M,9.576B,807.00M,,807.00M,268.00M,,14.00M,1.227B,12.80B,17.06B,16.00M,-6.249B,17.51B,1.717B,,,,,138.00M,9.698B
2019-06,123.00M,,123.00M,1.712B,1.712B,367.00M,113.00M,819.00M,1.00M,1.30B,175.00M,,,3.024B,6.334B,0.0,97.00M,1.119B,3.312B,,332.00M,4.86B,-3.04B,1.82B,8.451B,6.486B,14.94B,,,,1.217B,17.97B,24.31B,524.00M,,524.00M,1.461B,1.985B,470.00M,,,1.949B,1.949B,,,446.00M,4.85B,134.00M,7.57B,6.00M,7.576B,416.00M,,416.00M,293.00M,,15.00M,916.00M,10.03B,14.88B,16.00M,-6.375B,17.42B,1.717B,,,,,78.00M,9.424B
2019-03,139.00M,,139.00M,1.621B,1.621B,337.00M,107.00M,785.00M,-1.00M,1.228B,163.00M,,,3.083B,6.234B,0.0,96.00M,1.112B,3.276B,,292.00M,4.776B,-2.994B,1.782B,8.179B,6.448B,14.63B,,,,1.158B,17.57B,23.80B,498.00M,,498.00M,1.436B,1.934B,527.00M,,,1.638B,1.638B,,,380.00M,4.479B,172.00M,7.568B,6.00M,7.574B,441.00M,,441.00M,236.00M,,16.00M,904.00M,10.09B,14.57B,16.00M,-6.528B,17.37B,1.717B,,,,,87.00M,9.232B
2018-12,146.00M,,146.00M,1.608B,1.645B,306.00M,100.00M,760.00M,,1.166B,161.00M,655.00M,,108.00M,4.003B,0.0,97.00M,1.10B,3.224B,,319.00M,4.74B,-2.958B,1.782B,7.911B,6.372B,14.28B,424.00M,183.00M,87.00M,238.00M,17.00B,21.00B,349.00M,125.00M,474.00M,1.535B,2.009B,712.00M,,,2.253B,2.253B,115.00M,115.00M,171.00M,5.26B,217.00M,4.771B,6.00M,4.777B,328.00M,,328.00M,209.00M,,26.00M,717.00M,7.013B,12.27B,16.00M,-6.953B,17.35B,1.717B,,-25.00M,-53.00M,111.00M,33.00M,8.725B
2018-09,168.00M,,168.00M,1.58B,1.58B,298.00M,103.00M,733.00M,,1.134B,43.00M,,,1.046B,3.971B,0.0,101.00M,1.108B,3.257B,,261.00M,4.727B,-2.996B,1.731B,7.588B,6.297B,13.88B,,,,794.00M,16.41B,20.38B,453.00M,,453.00M,1.419B,1.872B,1.05B,,,1.82B,1.82B,,,340.00M,5.082B,112.00M,4.77B,8.00M,4.778B,428.00M,,428.00M,161.00M,,29.00M,711.00M,7.008B,12.09B,16.00M,-7.339B,17.30B,1.717B,,,,,25.00M,8.289B
2018-06,208.00M,,208.00M,1.587B,1.587B,296.00M,102.00M,689.00M,,1.087B,46.00M,,,1.001B,3.929B,0.0,102.00M,1.124B,3.255B,,229.00M,4.71B,-2.995B,1.715B,7.242B,5.935B,13.18B,,,,796.00M,15.69B,19.62B,403.00M,,403.00M,1.224B,1.627B,1.043B,,,1.685B,1.685B,,,398.00M,4.753B,221.00M,4.768B,8.00M,4.776B,364.00M,,364.00M,227.00M,,32.00M,717.00M,7.118B,11.87B,16.00M,-7.77B,17.23B,1.717B,,,,,-16.00M,7.744B
