,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-09,25.98M,,,0.061M,,,5.411M,5.411M,1.941M,,3.895M,-2.357M,1.137M,,7.077M,43.14M,,-6.276M,,,,-0.199M,-6.475M,,-6.14M,-6.14M,,-5.852M,-5.852M,-0.617M,-0.617M,0.975M,-1.507M,-13.14M,,10.75M,23.53M,0.274M,34.55M,,,0.00,-6.14M,-5.852M,,AOR,Restated
2012-06,28.10M,,,-0.111M,,,5.225M,5.225M,-0.781M,,3.998M,-0.728M,1.094M,,1.101M,37.89M,,-4.391M,,,,-10.78M,-15.17M,,-6.055M,-6.055M,,-36.87M,-36.87M,-184.86M,-184.86M,0.886M,0.179M,-226.72M,,214.73M,-203.99M,0.009M,10.75M,,,0.00,-6.055M,-36.87M,,AOR,Restated
2012-03,20.74M,,,-0.037M,,,5.216M,5.216M,4.821M,,4.29M,-6.537M,9.627M,,-17.90M,20.22M,,-3.634M,,,,46.09M,42.45M,,127.87M,127.87M,,0.00,0.00,0.00,0.00,1.202M,-26.52M,102.55M,,50.29M,165.22M,-0.783M,214.73M,,,1.575B,-1.447B,0.00,,AOR,Restated
2011-12,30.91M,,,0.019M,,,6.964M,6.964M,-3.943M,,4.723M,-5.53M,1.30M,,32.10M,67.97M,,-11.25M,,,,-10.07M,-21.32M,,-0.291M,-0.291M,-0.001M,-35.82M,-35.82M,0.00,0.00,5.668M,2.07M,-28.37M,,32.08M,18.27M,-0.061M,50.29M,,-0.001M,0.00,-0.291M,-35.82M,,AOR,Restated
2011-09,74.45M,1.637M,,-0.818M,,,6.01M,6.01M,3.374M,-1.696M,9.231M,1.428M,-54.79M,,3.503M,40.69M,,-4.716M,-3.65M,-3.65M,,1.968M,-6.398M,,-0.182M,-0.182M,-0.01M,-81.88M,-81.89M,0.00,0.00,5.286M,-3.978M,-80.76M,,78.64M,-46.46M,-0.094M,32.08M,,-0.01M,0.00,-0.182M,-81.88M,,AOR,Restated
2011-06,,-0.013M,,-0.013M,,,5.462M,5.462M,-0.295M,0.272M,,-4.863M,29.00M,,-12.96M,16.60M,,-4.514M,0.401M,0.401M,,4.599M,0.486M,,-0.191M,-0.191M,0.139M,-41.47M,-41.34M,,0.00,5.743M,4.78M,-31.00M,,92.58M,-13.91M,-0.031M,78.64M,,0.139M,0.00,-0.191M,-41.47M,,AOR,Restated
2011-03,,-1.624M,,-1.624M,,,5.606M,5.606M,9.033M,1.424M,,-6.624M,30.68M,,-10.68M,27.81M,,-3.87M,3.249M,3.249M,,0.915M,0.294M,,-0.226M,-0.226M,0.435M,-5.839M,-5.404M,,,16.83M,5.453M,16.65M,,47.94M,44.75M,-0.114M,92.58M,,0.435M,0.00,-0.226M,-5.839M,,AOR,Restated
2010-12,24.17M,,,0.945M,,,7.627M,7.627M,1.808M,,4.393M,,2.595M,,6.554M,46.06M,,-9.139M,,,,-7.289M,-16.43M,,-24.58M,-24.58M,1.15M,-5.384M,-4.234M,,,6.623M,1.439M,-20.76M,,39.20M,8.876M,-0.126M,47.94M,,1.15M,0.00,-24.58M,-5.384M,,AOR,Restated
2010-09,16.60M,-0.123M,,-0.838M,,,5.431M,5.431M,0.054M,-2.614M,8.977M,,-1.478M,,6.494M,32.63M,,-5.224M,-1.779M,-1.779M,,2.471M,-4.532M,,-19.21M,-19.21M,1.104M,0.00,1.104M,,,0.775M,-0.558M,-17.89M,,28.98M,10.21M,0.009M,39.20M,,1.104M,0.00,-19.21M,0.00,,AOR,Restated
2010-06,22.62M,-0.111M,,-1.603M,,,5.491M,5.491M,3.49M,0.07M,,,3.932M,,-16.74M,17.26M,,-5.912M,0.702M,0.702M,,6.33M,1.12M,,-18.94M,-18.94M,0.958M,0.00,0.958M,,,0.59M,-0.02M,-17.42M,,27.99M,0.965M,0.025M,28.98M,,0.958M,0.00,-18.94M,0.00,,AOR,Restated
2010-03,24.52M,0.234M,,-5.91M,,,5.503M,5.503M,0.675M,2.544M,,,2.788M,,2.26M,32.38M,,-5.146M,1.077M,1.077M,,5.529M,1.46M,,-51.16M,-51.16M,1.336M,0.00,1.336M,,,1.462M,0.157M,-48.21M,,42.39M,-14.37M,-0.033M,27.99M,,1.336M,2.861M,-54.02M,0.00,,AOR,Restated
2009-12,23.62M,1.843M,,49.76M,,,7.281M,7.281M,3.26M,9.621M,4.091M,,-63.26M,,12.10M,46.46M,,-9.331M,3.73M,3.73M,,-7.885M,-13.49M,,-40.19M,-40.19M,1.185M,,1.185M,,,0.021M,-0.142M,-39.13M,,48.73M,-6.154M,-0.183M,42.39M,,1.185M,1.613M,-41.81M,,,AOR,Restated
2009-09,17.83M,,,-14.26M,,,5.506M,5.506M,5.594M,,3.325M,,2.703M,,4.979M,25.67M,,-4.132M,,,,-12.76M,-16.90M,,-22.56M,-22.56M,1.169M,,1.169M,,,0.016M,-0.408M,-21.78M,,61.70M,-13.00M,0.037M,48.73M,,1.169M,35.03M,-57.59M,,,AOR,Restated
2009-06,14.53M,-0.081M,21.17M,-12.56M,,,5.49M,5.49M,3.054M,-2.784M,7.193M,,5.436M,,-3.489M,16.87M,,-6.129M,-0.271M,-0.271M,-13.01M,7.098M,-12.31M,,-12.12M,-12.12M,0.975M,,0.975M,,,0.645M,0.135M,-10.36M,,67.85M,-5.808M,-0.348M,61.70M,,0.975M,0.00,-12.12M,,,AOR,Restated
2009-03,23.77M,0.081M,-21.17M,-21.09M,,,5.787M,5.787M,7.568M,2.784M,2.645M,,0.39M,,-9.58M,12.27M,,-3.278M,0.271M,0.271M,13.01M,-0.199M,9.805M,,-0.816M,-0.816M,1.047M,,1.047M,,,0.076M,0.169M,0.476M,,45.37M,22.55M,-0.073M,67.85M,,1.047M,24.35M,-25.16M,,,AOR,Restated
2008-12,11.03M,,,-1.074M,,,7.66M,7.66M,-2.554M,5.769M,,,5.513M,,10.00M,36.34M,,-6.269M,,,,-3.474M,-9.743M,,-0.107M,-0.107M,1.167M,-1.846M,-0.679M,,,0.125M,-0.806M,-1.467M,,20.13M,25.13M,0.112M,45.37M,,1.167M,0.00,-0.107M,-1.846M,,AOR,Restated
2008-09,10.10M,,,-4.078M,-13.91M,-3.534M,3.276M,3.276M,0.143M,5.334M,,,7.453M,6.339M,-26.93M,-4.702M,,-6.147M,-20.56M,-13.56M,,26.19M,-0.511M,,-15.20M,-0.078M,0.365M,-12.86M,-12.49M,,,0.912M,0.026M,-11.63M,,37.04M,-16.85M,-0.069M,20.13M,,0.365M,3.00M,-18.20M,-12.86M,,,Restated
2008-06,18.73M,,,-4.63M,6.836M,1.279M,8.115M,8.115M,2.68M,,,,1.742M,-3.294M,-3.294M,23.34M,,-3.516M,12.34M,8.819M,,10.07M,18.89M,,,-0.052M,1.302M,-9.844M,-8.542M,,,,-0.049M,-8.643M,,3.325M,33.59M,0.129M,37.04M,,1.302M,,,-9.844M,,,
2008-03,14.12M,,,-3.97M,7.071M,2.255M,9.326M,9.326M,1.777M,,,,2.065M,-3.045M,-3.045M,20.27M,,-3.479M,8.22M,4.741M,,-1.283M,3.458M,,,-15.08M,1.618M,-18.43M,-16.81M,,,,0.097M,-31.79M,,11.34M,-8.057M,0.038M,3.325M,,1.618M,,,-18.43M,,,
2007-12,16.18M,,,-3.297M,9.436M,3.839M,13.28M,13.28M,-1.034M,,,,4.694M,14.98M,-11.85M,17.97M,,-29.74M,10.04M,-19.70M,,27.15M,7.449M,,,14.90M,1.322M,-36.47M,-35.15M,,0.00,,-1.255M,-21.50M,,7.416M,3.916M,0.012M,11.34M,,1.322M,,,-36.47M,,,
2007-09,10.99M,,,1.323M,7.157M,1.674M,8.831M,8.831M,-3.108M,,,,1.482M,22.48M,22.48M,42.00M,,-3.948M,3.317M,-0.631M,,-108.33M,-108.96M,,,-5.109M,4.02M,-18.01M,-13.99M,,-0.001M,,0.216M,-18.88M,,93.30M,-85.85M,-0.036M,7.416M,,4.02M,,,-18.01M,,,
2007-06,2.316M,,,0.319M,7.334M,22.88M,30.22M,30.22M,-1.224M,,,,3.076M,-17.39M,-17.39M,17.31M,,-5.162M,,-5.162M,,0.23M,-4.932M,,,924.60M,2.228M,0.00,2.228M,,-896.97M,,-16.10M,13.76M,,67.11M,26.14M,0.054M,93.30M,,2.228M,,,0.00,,,
2007-03,8.398M,,,0.889M,7.249M,10.22M,17.46M,17.46M,-0.198M,,,,1.511M,-21.16M,-21.16M,6.908M,,-3.566M,,-3.566M,,0.543M,-3.023M,,,43.34M,2.823M,-0.067M,2.756M,,,,-21.09M,25.01M,,38.22M,28.90M,-0.013M,67.11M,,2.823M,,,-0.067M,,,
2006-12,31.04M,,,1.154M,9.876M,0.812M,10.69M,10.69M,1.955M,,,,1.078M,5.753M,-3.033M,42.89M,,-5.41M,1.395M,-4.015M,,-0.17M,-4.185M,,,-0.09M,2.636M,0.00,2.636M,,-14.97M,,0.963M,-11.46M,,11.04M,27.24M,-0.066M,38.22M,,2.636M,,,0.00,,,
2006-09,24.52M,,,-3.838M,7.416M,0.988M,8.404M,8.404M,-0.302M,,,,1.322M,6.082M,6.082M,36.19M,,-5.347M,12.97M,7.627M,,-1.089M,6.538M,,,-50.07M,1.706M,0.00,1.706M,,-7.456M,,0.446M,-55.37M,,23.71M,-12.64M,-0.029M,11.04M,,1.706M,,,0.00,,,
2006-06,24.51M,,,-0.746M,7.475M,0.615M,8.09M,8.09M,-3.025M,,,,2.09M,-5.66M,-5.66M,25.26M,,-5.286M,,-5.286M,,0.815M,-4.471M,,,-10.05M,0.277M,0.00,0.277M,,-7.419M,,3.666M,-13.53M,,16.37M,7.254M,0.086M,23.71M,,0.277M,,,0.00,,,
2006-03,26.15M,,,0.752M,7.499M,0.965M,8.464M,8.464M,0.757M,,,,,-7.456M,-7.456M,28.67M,,-4.161M,,-4.161M,,0.347M,-3.814M,,,64.93M,4.924M,-145.00M,-140.08M,,,,-0.25M,-75.40M,,66.92M,-50.54M,-0.002M,16.37M,,4.924M,,,-145.00M,,,
2005-12,40.20M,,,-15.32M,10.18M,0.963M,11.14M,11.14M,-0.973M,,,,-1.984M,5.941M,17.06M,50.12M,,-7.997M,1.227M,-6.77M,,0.073M,18.84M,,,-15.12M,23.52M,0.00,23.52M,,-13.39M,,-18.50M,-23.49M,,21.90M,45.46M,-0.447M,66.92M,,23.52M,,,0.00,,,
2005-09,20.28M,,,0.445M,7.554M,0.607M,8.161M,8.161M,0.702M,,,,0.944M,1.604M,1.604M,32.14M,,-5.482M,2.672M,-2.81M,,-3.164M,-5.974M,,,-15.08M,1.404M,0.00,1.404M,,-6.609M,,5.149M,-15.14M,,10.50M,11.03M,0.37M,21.90M,,1.404M,,,0.00,,,
2005-06,23.12M,,,0.077M,7.365M,0.606M,7.971M,7.971M,0.147M,,,,1.04M,-12.02M,-12.02M,20.34M,,-8.517M,,-8.517M,,0.343M,-8.174M,,,14.94M,-0.036M,-75.00M,-75.04M,,-6.903M,,12.15M,-54.84M,,53.23M,-42.68M,-0.048M,10.50M,,-0.036M,,,-75.00M,,,
2005-03,24.68M,,,0.846M,7.321M,0.844M,8.165M,8.165M,0.432M,,,,,4.473M,4.473M,38.60M,,-6.693M,,-6.693M,,2.143M,-4.55M,,,-25.08M,3.252M,,3.252M,,,,0.722M,-21.11M,,40.40M,12.94M,-0.103M,53.23M,,3.252M,,,,,,
2004-12,27.02M,,,0.054M,10.28M,1.273M,11.55M,11.55M,-0.166M,,,,1.491M,16.60M,13.10M,53.04M,,-11.12M,,-10.29M,,1.229M,-9.575M,,,-25.02M,1.534M,,-0.239M,,-4.464M,,1.272M,-28.45M,,25.16M,15.01M,0.225M,40.40M,,1.534M,,,,,,
2004-09,0.979M,,,1.14M,21.43M,6.535M,27.96M,27.96M,8.927M,,,,,-32.40M,-32.40M,6.609M,,-11.00M,,-11.00M,,1.556M,-9.445M,,,-129.17M,119.55M,,119.55M,,-16.88M,,-0.393M,-26.89M,,51.30M,-29.72M,0.042M,25.16M,,119.55M,,,,,,
2004-06,15.88M,,,,,,-6.945M,-6.945M,-2.63M,,,,-0.812M,18.24M,29.99M,35.49M,,-10.84M,,-17.64M,,-0.164M,-11.01M,,18.37M,-8.056M,,,,,,,-0.627M,-8.683M,,38.59M,15.80M,0.455M,51.30M,,,,18.37M,,,,
2004-03,18.41M,,,,,,6.945M,6.945M,2.63M,,,,0.812M,,-11.74M,17.05M,,-6.795M,,,,0.553M,-6.242M,,-18.37M,-18.37M,,,,,,,-0.23M,-18.60M,,46.39M,-7.793M,-0.006M,38.59M,,,,-18.37M,,,AOR,
