,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,330.72M,,330.72M,229.40M,,,,229.40M,,,,65.50M,26.29M,304.61M,,,956.52M,0.00,65.58M,,274.34M,229.65M,14.78M,181.56M,765.91M,-273.99M,491.92M,15.06M,78.63M,93.69M,,,6.03M,72.79M,664.43M,1.621B,,88.19M,31.26M,119.45M,126.74M,246.19M,23.82M,,42.00M,42.00M,38.17M,80.17M,138.35M,488.52M,37.43M,4.025B,238.97M,4.264B,,,42.37M,,4.344B,4.832B,,0.394M,-3.243B,34.12M,-3.422M,-3.212B,,AOR,
2020-06,247.95M,,247.95M,232.11M,,,,232.11M,,,,66.85M,28.87M,351.32M,,,927.11M,0.00,63.64M,,261.66M,227.11M,28.89M,170.68M,751.99M,-267.49M,484.50M,15.06M,77.29M,92.35M,,,8.214M,69.52M,654.58M,1.582B,,102.90M,31.34M,134.24M,113.39M,247.63M,23.50M,,43.00M,43.00M,36.88M,79.88M,108.86M,459.87M,37.18M,4.129B,198.87M,4.327B,,,40.10M,,4.405B,4.865B,,0.393M,-3.311B,32.25M,-4.535M,-3.283B,,AOR,
2020-03,200.80M,,200.80M,219.20M,,,,219.20M,,,,49.01M,26.02M,299.34M,,,794.37M,0.00,44.73M,,249.47M,228.94M,39.81M,165.84M,728.79M,-259.13M,469.66M,15.06M,74.20M,89.26M,,,9.042M,27.54M,595.50M,1.390B,,94.50M,30.98M,125.49M,116.09M,241.58M,23.45M,,43.39M,43.39M,36.91M,80.30M,106.83M,452.17M,35.36M,4.061B,199.30M,4.261B,,,34.03M,,4.330B,4.782B,,0.39M,-3.399B,12.47M,-6.068M,-3.392B,,AOR,
2019-12,190.62M,,190.62M,210.26M,,,,210.26M,,52.96M,,52.96M,19.13M,314.66M,,,787.62M,0.00,44.84M,,243.71M,228.78M,42.70M,164.07M,724.11M,-252.45M,471.67M,15.09M,73.14M,88.23M,11.98M,,10.07M,12.52M,594.48M,1.382B,,111.10M,,111.10M,94.15M,205.25M,23.74M,,42.00M,42.00M,34.71M,76.71M,101.92M,453.83M,34.68M,4.053B,220.99M,4.274B,,,35.56M,,4.344B,4.798B,,0.389M,-3.413B,0.243M,-3.742M,-3.416B,,AOR,
2019-08,66.71M,,66.71M,185.40M,,,,185.40M,,,,51.01M,15.44M,286.78M,,,605.34M,0.00,41.41M,,241.97M,227.50M,26.65M,160.85M,698.37M,-254.67M,443.70M,13.54M,71.06M,84.60M,,,3.888M,22.74M,554.93M,1.160B,,95.66M,27.01M,122.66M,103.16M,225.82M,22.34M,,35.94M,35.94M,32.20M,68.14M,104.94M,421.24M,32.86M,3.407B,202.13M,3.609B,,,32.59M,,3.675B,4.096B,,0.409M,-2.932B,0.075M,-3.938M,-2.936B,,,
2019-06,108.26M,,108.26M,182.90M,,,,182.90M,,,,44.28M,37.58M,270.42M,,,643.45M,0.00,41.38M,,237.09M,211.20M,29.31M,155.53M,674.52M,-249.18M,425.34M,13.54M,69.63M,83.17M,,,3.245M,21.96M,533.72M,1.177B,,82.46M,27.36M,109.81M,101.53M,211.34M,22.08M,,35.92M,35.92M,30.16M,66.08M,113.42M,412.91M,33.51M,3.415B,188.30M,3.603B,,,31.75M,,3.669B,4.081B,,0.412M,-2.911B,10.79M,-4.208M,-2.904B,,AOR,Restated
2019-03,83.11M,,83.11M,194.06M,,,,194.06M,,,,45.67M,19.54M,248.15M,,,590.54M,0.00,41.52M,,246.91M,222.00M,27.83M,171.86M,710.12M,-260.25M,449.87M,14.92M,66.16M,81.08M,,,4.054M,22.73M,557.73M,1.148B,,84.89M,27.16M,112.04M,117.23M,229.28M,22.03M,,35.91M,35.91M,31.75M,67.66M,93.04M,412.01M,32.56M,3.448B,198.51M,3.646B,,,32.54M,,3.711B,4.123B,,0.411M,-2.977B,5.464M,-4.192M,-2.975B,,AOR,Restated
2018-12,25.44M,,25.44M,190.09M,,,,190.09M,,45.98M,,45.98M,25.71M,279.74M,,,566.95M,0.00,41.15M,,243.65M,,31.82M,170.50M,487.12M,-252.18M,234.94M,14.92M,63.81M,78.73M,8.718M,,5.526M,12.52M,340.43M,907.38M,,92.55M,,92.55M,80.98M,173.53M,22.21M,,35.25M,35.25M,0.643M,35.89M,107.15M,379.74M,31.06M,3.479B,16.36M,3.496B,,,40.81M,,3.568B,3.947B,,0.41M,-3.036B,0.569M,-4.429M,-3.040B,,AOR,Restated
2018-09,84.60M,,84.60M,170.24M,,,,170.24M,,,,41.42M,22.38M,287.00M,,,605.65M,0.00,40.42M,,222.58M,,56.38M,134.78M,454.16M,-247.16M,207.00M,14.92M,59.84M,74.76M,,,2.914M,21.79M,306.46M,912.11M,,87.51M,23.26M,110.77M,95.73M,206.50M,21.86M,,,35.85M,,35.85M,112.22M,376.43M,33.99M,3.438B,,3.438B,,,37.82M,,3.509B,3.886B,,0.416M,-2.973B,1.914M,-3.523M,-2.974B,,AOR,
2018-06,157.79M,,157.79M,182.82M,,,,182.82M,,,,40.16M,33.36M,268.79M,,,682.91M,0.00,31.95M,,225.67M,,34.11M,133.82M,425.55M,-248.36M,177.19M,15.35M,58.89M,74.24M,,,3.158M,17.06M,271.65M,954.56M,,79.42M,23.56M,102.98M,100.18M,203.16M,21.30M,,,35.60M,,35.60M,117.36M,377.42M,33.21M,3.437B,,3.437B,,,36.18M,,3.506B,3.884B,,0.418M,-2.927B,0.737M,-3.439M,-2.929B,,AOR,Restated
