,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,967.72M,967.72M,605.74M,361.98M,108.15M,91.65M,199.80M,,38.60M,0.197M,-38.41M,199.80M,162.18M,0.197M,38.60M,-38.41M,,-38.41M,123.77M,24.64M,99.13M,99.13M,99.13M,177.70M,15.33M,162.38M,,2.53,,2.53,2.53,,2.49,,2.49,2.49,,39.25M,39.79M,0.78,,AOR,
2020-06,920.02M,920.02M,562.93M,357.09M,105.44M,88.07M,193.51M,,39.73M,0.64M,-39.09M,193.51M,163.58M,0.64M,39.73M,-39.09M,,-39.09M,124.50M,5.828M,118.67M,118.67M,118.67M,178.98M,14.76M,164.22M,,3.04,,3.04,3.04,,2.99,,2.99,2.99,,39.06M,39.75M,0.78,,AOR,
2020-03,873.10M,873.10M,532.94M,340.16M,95.83M,88.49M,184.32M,,39.47M,0.932M,-38.54M,184.32M,155.83M,0.932M,39.47M,-38.54M,,-38.54M,117.30M,-4.306M,121.60M,121.60M,121.60M,170.80M,14.03M,156.77M,,3.14,,3.14,3.14,,3.07,,3.07,3.07,,38.67M,39.63M,0.78,,AOR,
2019-12,1.150B,1.150B,703.06M,447.29M,123.68M,119.65M,243.34M,,48.15M,1.465M,-46.68M,243.34M,203.95M,1.465M,48.15M,-46.68M,,-46.68M,157.27M,27.94M,129.33M,129.33M,129.33M,224.36M,18.95M,205.42M,,3.322,,3.322,3.322,,3.12,,3.12,3.12,,40.22M,41.22M,0.65,,AOR,
2019-09,820.81M,820.81M,504.56M,316.25M,89.49M,83.73M,173.22M,,33.75M,0.968M,-32.78M,173.22M,143.03M,0.968M,33.75M,-32.78M,,-32.78M,110.24M,23.87M,86.37M,86.37M,86.37M,157.13M,13.13M,144.00M,,2.11,,2.11,2.11,,2.05,,2.05,2.05,,40.95M,42.04M,0.65,,AOR,
2019-06,811.65M,811.65M,494.98M,316.67M,88.50M,89.25M,177.75M,,33.87M,0.922M,-32.94M,177.75M,138.92M,0.922M,33.87M,-32.94M,,-32.94M,105.98M,13.62M,92.36M,92.36M,92.36M,153.90M,14.06M,139.84M,,2.25,,2.25,2.25,,2.19,,2.19,2.19,,41.02M,42.24M,0.65,,AOR,Restated
2019-03,835.96M,835.96M,513.67M,322.29M,89.12M,89.66M,178.78M,,35.05M,0.693M,-34.36M,178.78M,143.50M,0.693M,35.05M,-34.36M,,-34.36M,109.14M,16.49M,92.65M,92.65M,92.65M,157.99M,13.79M,144.20M,,2.27,,2.27,2.27,,2.20,,2.20,2.20,,40.87M,42.20M,0.65,,AOR,Restated
2018-12,1.082B,1.082B,668.18M,413.96M,112.91M,121.41M,234.32M,,45.96M,0.883M,-45.07M,234.32M,179.64M,0.883M,45.96M,-45.07M,,-45.07M,134.56M,22.92M,111.64M,111.64M,111.64M,198.41M,17.90M,180.52M,,2.724,,2.724,2.724,,2.62,,2.62,2.62,,40.97M,42.30M,0.55,,AOR,Restated
2018-09,785.96M,785.96M,490.69M,295.28M,82.48M,80.37M,162.85M,,33.98M,0.792M,-33.18M,162.85M,132.43M,0.792M,33.98M,-33.18M,,-33.18M,99.25M,15.15M,84.10M,84.10M,84.10M,145.68M,12.46M,133.22M,,2.02,,2.02,2.02,,1.95,,1.95,1.95,,41.59M,43.07M,0.55,,AOR,
2018-06,779.40M,779.40M,485.82M,293.58M,80.93M,86.51M,167.44M,,36.13M,1.179M,-34.95M,167.44M,126.14M,1.179M,36.13M,-34.95M,,-34.95M,91.20M,13.79M,77.41M,77.41M,77.41M,139.56M,12.24M,127.32M,,1.84,,1.84,1.84,,1.78,,1.78,1.78,,42.04M,43.58M,0.55,,AOR,Restated
