,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-08,6.056B,6.056B,3.988B,2.068B,231.00M,630.00M,,-47.00M,50.00M,13.00M,-37.00M,3.00M,864.00M,1.204B,13.00M,50.00M,-37.00M,-42.00M,-37.00M,1.125B,136.00M,990.00M,,-2.00M,988.00M,1.567B,1.175B,,2020-08,0.89,0.89,,2020-08,0.87,,,2020-08,1.11B,,2020-08,AOR,
2020-05,5.438B,5.438B,3.675B,1.763B,216.00M,649.00M,,-6.00M,51.00M,23.00M,-28.00M,6.00M,871.00M,892.00M,23.00M,51.00M,-28.00M,6.00M,-28.00M,870.00M,68.00M,805.00M,,-2.00M,803.00M,1.422B,921.00M,,2020-05,0.72,0.72,,2020-05,0.71,,,2020-05,1.111B,,2020-05,AOR,
2020-02,4.797B,4.797B,3.442B,1.355B,223.00M,681.00M,,-10.00M,46.00M,34.00M,-12.00M,1.00M,905.00M,450.00M,34.00M,46.00M,-12.00M,-11.00M,-12.00M,427.00M,21.00M,407.00M,,-2.00M,405.00M,1.365B,473.00M,,2020-02,0.37,0.37,,2020-02,0.36,,,2020-02,1.111B,,2020-02,AOR,
2019-11,5.144B,5.144B,3.778B,1.366B,211.00M,640.00M,,46.00M,47.00M,44.00M,-3.00M,1.00M,852.00M,514.00M,44.00M,47.00M,-3.00M,50.00M,-3.00M,561.00M,55.00M,508.00M,,-17.00M,491.00M,1.296B,608.00M,,2019-11,0.44,0.44,,2019-11,0.43,,,2019-11,1.107B,,2019-11,AOR,
2019-08,4.87B,4.87B,3.475B,1.395B,212.00M,623.00M,,69.00M,39.00M,57.00M,18.00M,-11.00M,824.00M,571.00M,57.00M,39.00M,18.00M,66.00M,18.00M,655.00M,71.00M,586.00M,,-25.00M,561.00M,1.416B,694.00M,,2019-08,0.51,0.51,,2019-08,0.49,,,2019-08,1.105B,,2019-08,AOR,Restated
2019-05,4.788B,4.788B,2.96B,1.828B,206.00M,606.00M,,-326.00M,29.00M,52.00M,23.00M,-3.00M,809.00M,1.019B,52.00M,29.00M,23.00M,-326.00M,23.00M,716.00M,-135.00M,851.00M,,-11.00M,840.00M,1.36B,745.00M,,2019-05,0.76,0.76,,2019-05,0.74,,,2019-05,1.105B,,2019-05,AOR,Restated
2019-02,5.835B,5.835B,2.971B,2.864B,209.00M,601.00M,,-134.00M,27.00M,58.00M,31.00M,46.00M,856.00M,2.008B,58.00M,27.00M,31.00M,-135.00M,31.00M,1.904B,280.00M,1.625B,,-6.00M,1.619B,1.313B,1.931B,,2019-02,1.45,1.45,,2019-02,1.42,,,2019-02,1.114B,,2019-02,AOR,Restated
2018-11,7.913B,7.913B,3.298B,4.615B,209.00M,611.00M,,-19.00M,33.00M,38.00M,5.00M,3.00M,823.00M,3.792B,38.00M,33.00M,5.00M,-24.00M,5.00M,3.773B,477.00M,3.296B,,-3.00M,3.293B,1.335B,3.806B,,2018-11,2.91,2.91,,2018-11,2.81,,,2018-11,1.133B,,2018-11,AOR,Restated
2018-08,8.44B,8.44B,3.289B,5.151B,215.00M,567.00M,,,50.00M,34.00M,-16.00M,60.00M,842.00M,4.309B,34.00M,50.00M,-16.00M,53.00M,-16.00M,4.346B,20.00M,4.326B,,-1.00M,4.325B,1.285B,4.396B,,2018-08,3.73,3.73,,2018-08,3.56,,,2018-08,1.158B,,2018-08,AOR,Restated
2018-05,7.797B,7.797B,3.074B,4.723B,211.00M,603.00M,,,80.00M,36.00M,-44.00M,-44.00M,770.00M,3.953B,36.00M,80.00M,-44.00M,-193.00M,-44.00M,3.716B,-109.00M,3.823B,,0.00,3.823B,1.233B,3.796B,,2018-05,3.30,3.30,,2018-05,3.10,,,2018-05,1.159B,,2018-05,AOR,Restated
2018-02,7.351B,7.351B,3.081B,4.27B,196.00M,523.00M,,-30.00M,88.00M,27.00M,-61.00M,-23.00M,696.00M,3.574B,27.00M,88.00M,-61.00M,-60.00M,-61.00M,3.453B,143.00M,3.311B,,-2.00M,3.309B,1.151B,3.541B,,2018-02,2.86,2.86,,2018-02,2.67,,,2018-02,1.156B,,2018-02,AOR,Restated
2017-11,6.803B,6.803B,3.056B,3.747B,191.00M,448.00M,,-201.00M,124.00M,23.00M,-101.00M,5.00M,644.00M,3.103B,23.00M,124.00M,-101.00M,-210.00M,-101.00M,2.792B,114.00M,2.678B,,0.00,2.678B,1.09B,2.916B,,2017-11,2.36,2.36,,2017-11,2.19,,,2017-11,1.134B,,2017-11,AOR,Restated
2017-08,6.138B,6.138B,3.026B,3.112B,193.00M,447.00M,,-33.00M,148.00M,16.00M,-132.00M,-26.00M,614.00M,2.498B,16.00M,148.00M,-132.00M,-45.00M,-132.00M,2.321B,-47.00M,2.369B,,-1.00M,2.368B,1.066B,2.469B,,2017-08,2.13,2.13,,2017-08,1.99,,,2017-08,1.11B,,2017-08,AOR,Restated
2017-05,5.566B,5.566B,2.957B,2.609B,204.00M,434.00M,,-61.00M,153.00M,10.00M,-143.00M,8.00M,646.00M,1.963B,10.00M,153.00M,-143.00M,-83.00M,-143.00M,1.737B,92.00M,1.647B,,0.00,1.647B,1.021B,1.89B,,2017-05,1.49,1.49,,2017-05,1.40,,,2017-05,1.106B,,2017-05,AOR,Restated
2017-02,4.648B,4.648B,2.944B,1.704B,187.00M,473.00M,,0.00,161.00M,8.00M,-153.00M,,660.00M,1.044B,8.00M,161.00M,-153.00M,34.00M,-153.00M,925.00M,38.00M,894.00M,,0.00,894.00M,1.003B,1.086B,,2017-02,0.81,0.81,,2017-02,0.77,,,2017-02,1.099B,,2017-02,AOR,Restated
2016-11,3.97B,3.97B,2.959B,1.011B,159.00M,470.00M,,-2.00M,139.00M,7.00M,-132.00M,23.00M,652.00M,359.00M,7.00M,139.00M,-132.00M,-14.00M,-132.00M,213.00M,31.00M,180.00M,,,180.00M,771.00M,352.00M,,2016-11,0.17,0.17,,2016-11,0.16,,,2016-11,1.04B,,2016-11,AOR,Restated
2016-08,3.217B,3.217B,2.638B,579.00M,157.00M,411.00M,,-47.00M,135.00M,9.00M,-126.00M,-4.00M,564.00M,15.00M,9.00M,135.00M,-126.00M,-57.00M,-126.00M,-168.00M,3.00M,-170.00M,,0.00,-170.00M,714.00M,-33.00M,,2016-08,-0.16,-0.16,,2016-08,-0.16,,,2016-08,1.039B,,2016-08,AOR,Restated
2016-05,2.898B,2.898B,2.40B,498.00M,148.00M,382.00M,,-3.00M,109.00M,10.00M,-99.00M,-5.00M,525.00M,-27.00M,10.00M,109.00M,-99.00M,-34.00M,-99.00M,-160.00M,15.00M,-215.00M,,0.00,-215.00M,755.00M,-51.00M,,2016-05,-0.21,-0.21,,2016-05,-0.21,,,2016-05,1.036B,,2016-05,AOR,Restated
2016-02,2.934B,2.934B,2.355B,579.00M,175.00M,403.00M,,-1.00M,97.00M,12.00M,-85.00M,5.00M,583.00M,-4.00M,12.00M,97.00M,-85.00M,-7.00M,-85.00M,-96.00M,5.00M,-96.00M,,-1.00M,-97.00M,774.00M,1.00M,,2016-02,-0.09,-0.09,,2016-02,-0.09,,,2016-02,1.036B,,2016-02,AOR,Restated
2015-11,3.35B,3.35B,2.501B,849.00M,179.00M,421.00M,,-15.00M,96.00M,11.00M,-85.00M,2.00M,602.00M,247.00M,11.00M,96.00M,-85.00M,-19.00M,-85.00M,143.00M,-4.00M,206.00M,,0.00,206.00M,737.00M,239.00M,,2015-11,0.20,0.20,,2015-11,0.19,,,2015-11,1.035B,,2015-11,AOR,Restated
2015-08,3.60B,3.60B,2.63B,970.00M,170.00M,379.00M,,2.00M,101.00M,11.00M,-90.00M,-3.00M,546.00M,424.00M,11.00M,101.00M,-90.00M,21.00M,-90.00M,355.00M,-69.00M,471.00M,,0.00,471.00M,710.00M,456.00M,,2015-08,0.44,0.44,,2015-08,0.42,,,2015-08,1.064B,,2015-08,AOR,Restated
2015-05,3.853B,3.853B,2.651B,1.202B,169.00M,406.00M,,-15.00M,97.00M,9.00M,-88.00M,-1.00M,574.00M,628.00M,9.00M,97.00M,-88.00M,-13.00M,-88.00M,527.00M,104.00M,491.00M,,0.00,491.00M,673.00M,624.00M,,2015-05,0.46,0.46,,2015-05,0.42,,,2015-05,1.073B,,2015-05,AOR,Restated
2015-02,4.166B,4.166B,2.761B,1.405B,187.00M,379.00M,,3.00M,83.00M,8.00M,-75.00M,-13.00M,553.00M,852.00M,8.00M,83.00M,-75.00M,-3.00M,-75.00M,774.00M,47.00M,935.00M,,-1.00M,934.00M,641.00M,857.00M,,2015-02,0.87,0.87,,2015-02,0.78,,,2015-02,1.074B,,2015-02,AOR,Restated
2014-11,4.573B,4.573B,2.935B,1.638B,193.00M,376.00M,,-25.00M,90.00M,7.00M,-83.00M,-11.00M,558.00M,1.08B,7.00M,90.00M,-83.00M,-44.00M,-83.00M,953.00M,75.00M,1.002B,,1.00M,1.003B,643.00M,1.043B,,2014-11,0.94,0.94,,2014-11,0.84,,,2014-11,1.07B,,2014-11,AOR,Restated
2014-08,4.227B,4.227B,2.842B,1.385B,180.00M,358.00M,,100.00M,88.00M,7.00M,-81.00M,-20.00M,518.00M,867.00M,7.00M,88.00M,-81.00M,159.00M,-81.00M,945.00M,-87.00M,1.151B,,-1.00M,1.15B,553.00M,1.033B,,2014-08,1.08,1.08,,2014-08,0.96,,,2014-08,1.066B,,2014-08,AOR,Restated
2014-05,3.982B,3.982B,2.614B,1.368B,174.00M,349.00M,,-18.00M,80.00M,5.00M,-75.00M,4.00M,527.00M,841.00M,5.00M,80.00M,-75.00M,-23.00M,-75.00M,743.00M,72.00M,806.00M,,0.00,806.00M,542.00M,823.00M,,2014-05,0.76,0.76,,2014-05,0.68,,,2014-05,1.067B,,2014-05,AOR,Restated
2014-02,4.107B,4.107B,2.704B,1.403B,177.00M,344.00M,,-114.00M,83.00M,6.00M,-77.00M,12.00M,533.00M,870.00M,6.00M,83.00M,-77.00M,-123.00M,-77.00M,670.00M,63.00M,741.00M,,-10.00M,731.00M,517.00M,753.00M,,2014-02,0.69,0.69,,2014-02,0.61,,,2014-02,1.06B,,2014-02,AOR,Restated
2013-11,4.042B,4.042B,2.761B,1.281B,176.00M,320.00M,,-316.00M,101.00M,5.00M,-96.00M,-7.00M,489.00M,792.00M,5.00M,101.00M,-96.00M,-321.00M,-96.00M,375.00M,80.00M,381.00M,,-23.00M,358.00M,491.00M,476.00M,,2013-11,0.34,0.34,,2013-11,0.30,,,2013-11,1.046B,,2013-11,AOR,Restated
2013-08,2.843B,2.843B,2.135B,708.00M,193.00M,267.00M,-29.00M,1.455B,64.00M,6.00M,-58.00M,12.00M,472.00M,236.00M,6.00M,64.00M,-58.00M,1.50B,-58.00M,1.678B,5.00M,1.71B,,-2.00M,1.708B,450.00M,1.742B,,2013-08,1.65,1.65,,2013-08,1.51,,,2013-08,1.034B,,2013-08,AOR,Restated
2013-05,2.318B,2.318B,1.762B,556.00M,127.00M,226.00M,0.00,-55.00M,54.00M,2.00M,-52.00M,-1.00M,352.00M,204.00M,2.00M,54.00M,-52.00M,-100.00M,-52.00M,52.00M,-1.00M,43.00M,,0.00,43.00M,442.00M,106.00M,,2013-05,0.04,0.04,,2013-05,0.04,,,2013-05,1.024B,,2013-05,AOR,Restated
2013-02,2.078B,2.078B,1.712B,366.00M,123.00M,214.00M,62.00M,-81.00M,56.00M,3.00M,-53.00M,2.00M,339.00M,27.00M,3.00M,56.00M,-53.00M,-209.00M,-53.00M,-235.00M,-9.00M,-284.00M,,-2.00M,-286.00M,455.00M,-179.00M,,2013-02,-0.28,-0.28,,2013-02,-0.28,,,2013-02,1.016B,,2013-02,AOR,Restated
2012-11,1.834B,1.834B,1.617B,217.00M,119.00M,224.00M,,26.00M,57.00M,3.00M,-54.00M,-3.00M,340.00M,-123.00M,3.00M,57.00M,-54.00M,-33.00M,-54.00M,-210.00M,13.00M,-275.00M,,0.00,-275.00M,457.00M,-153.00M,,2012-11,-0.27,-0.27,,2012-11,-0.27,,,2012-11,1.014B,,2012-11,AOR,Restated
2012-08,1.963B,1.963B,1.744B,219.00M,139.00M,235.00M,0.00,6.00M,53.00M,1.00M,-52.00M,0.00,374.00M,-155.00M,1.00M,53.00M,-52.00M,11.00M,-52.00M,-196.00M,14.00M,-242.00M,,-1.00M,-243.00M,483.00M,-143.00M,,2012-08,-0.24,-0.24,,2012-08,-0.24,,,2012-08,1.012B,,2012-08,AOR,Restated
2012-05,2.172B,2.172B,1.938B,234.00M,156.00M,231.00M,0.00,-9.00M,56.00M,3.00M,-53.00M,26.00M,413.00M,-179.00M,3.00M,56.00M,-53.00M,-11.00M,-53.00M,-243.00M,-38.00M,-320.00M,,0.00,-320.00M,525.00M,-187.00M,,2012-05,-0.32,-0.32,,2012-05,-0.32,,,2012-05,987.30M,,2012-05,AOR,Restated
2012-02,2.009B,2.009B,1.799B,210.00M,174.00M,222.00M,0.00,-5.00M,35.00M,2.00M,-33.00M,13.00M,409.00M,-199.00M,2.00M,35.00M,-33.00M,32.00M,-33.00M,-200.00M,9.00M,-282.00M,,0.00,-282.00M,569.00M,-165.00M,,2012-02,-0.29,-0.29,,2012-02,-0.29,,,2012-02,982.80M,,2012-02,AOR,Restated
2011-11,2.09B,2.09B,1.785B,305.00M,151.00M,230.00M,,0.00,35.00M,2.00M,-33.00M,6.00M,387.00M,-82.00M,2.00M,35.00M,-33.00M,,-33.00M,-115.00M,-2.00M,-187.00M,,0.00,-187.00M,564.00M,-80.00M,,2011-11,-0.19,-0.19,,2011-11,-0.19,0.00,,2011-11,981.40M,,2011-11,AOR,Restated
2011-08,2.14B,2.14B,1.819B,321.00M,155.00M,209.00M,,-305.00M,30.00M,2.00M,-28.00M,,70.00M,251.00M,2.00M,30.00M,-28.00M,-301.00M,-28.00M,-78.00M,16.00M,-134.00M,,-1.00M,-135.00M,555.00M,-48.00M,,2011-08,-0.14,-0.14,,2011-08,-0.14,,,2011-08,992.20M,,2011-08,AOR,Restated
2011-05,2.139B,2.139B,1.661B,478.00M,151.00M,211.00M,,131.00M,28.00M,6.00M,-22.00M,,362.00M,116.00M,6.00M,28.00M,-22.00M,131.00M,-22.00M,225.00M,104.00M,77.00M,,-2.00M,75.00M,547.00M,253.00M,,2011-05,0.07,0.07,,2011-05,0.07,0.00,,2011-05,998.90M,,2011-05,AOR,Restated
2011-02,2.257B,2.257B,1.822B,435.00M,146.00M,186.00M,,0.00,28.00M,7.00M,-21.00M,-76.00M,256.00M,179.00M,7.00M,28.00M,-21.00M,,-21.00M,158.00M,35.00M,75.00M,,-3.00M,72.00M,503.00M,186.00M,,2011-02,0.07,0.07,,2011-02,0.07,0.00,,2011-02,988.10M,,2011-02,AOR,Restated
