,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-08,3.996B,7.624B,518.00M,8.142B,3.494B,186.00M,3.912B,752.00M,3.854B,1.001B,,5.607B,,,,304.00M,17.96B,0.00,352.00M,13.98B,49.40B,584.00M,1.60B,65.92B,-34.30B,31.62B,1.228B,334.00M,1.562B,1.048B,35.71B,53.68B,,2020-08,2.191B,237.00M,2.374B,4.802B,1.015B,5.817B,,1.00M,193.00M,194.00M,76.00M,270.00M,,,,548.00M,6.635B,5.963B,,643.00M,643.00M,0.00,0.00,14.68B,,2020-08,119.00M,33.38B,8.917B,3.495B,,71.00M,39.00B,,2020-08,AOR,
2020-05,2.506B,8.267B,391.00M,8.658B,3.265B,143.00M,3.603B,722.00M,3.866B,817.00M,,5.405B,,,,233.00M,17.90B,0.00,352.00M,12.07B,48.18B,599.00M,2.674B,63.87B,-33.19B,30.68B,1.228B,332.00M,1.56B,577.00M,34.11B,52.00B,,2020-05,2.234B,233.00M,1.866B,4.333B,1.031B,5.364B,,,195.00M,195.00M,135.00M,330.00M,,,,491.00M,6.185B,5.962B,,553.00M,553.00M,0.00,98.00M,14.18B,,2020-05,119.00M,32.40B,8.764B,3.454B,,-11.00M,37.82B,,2020-05,AOR,
2020-02,3.146B,7.118B,363.00M,7.481B,2.695B,168.00M,3.049B,650.00M,3.756B,802.00M,,5.208B,,,,238.00M,15.98B,0.00,352.00M,11.68B,47.39B,605.00M,2.119B,62.15B,-31.89B,30.25B,1.228B,332.00M,1.56B,586.00M,33.67B,49.65B,,2020-02,2.054B,209.00M,2.057B,4.32B,757.00M,5.077B,,,84.00M,84.00M,153.00M,237.00M,,,,508.00M,5.822B,4.845B,,586.00M,586.00M,0.00,98.00M,12.62B,,2020-02,119.00M,31.60B,8.725B,3.414B,,-9.00M,37.02B,,2020-02,AOR,
2019-11,2.319B,6.969B,619.00M,7.588B,3.03B,195.00M,3.419B,589.00M,3.724B,630.00M,,4.943B,,,,217.00M,16.17B,0.00,352.00M,11.44B,46.43B,608.00M,1.795B,60.63B,-30.67B,29.96B,1.228B,333.00M,1.561B,599.00M,33.48B,49.65B,,2019-11,1.879B,336.00M,2.425B,4.64B,768.00M,5.408B,,,277.00M,277.00M,185.00M,462.00M,,,,447.00M,6.317B,4.844B,,609.00M,609.00M,0.00,98.00M,13.15B,,2019-11,119.00M,31.22B,8.428B,3.271B,,6.00M,36.50B,,2019-11,AOR,
2019-08,2.388B,7.152B,803.00M,7.955B,2.778B,175.00M,3.195B,536.00M,3.825B,757.00M,,5.118B,,,,235.00M,16.50B,0.00,352.00M,10.93B,44.84B,,1.70B,57.82B,-29.58B,28.24B,1.228B,340.00M,1.568B,1.164B,32.38B,48.89B,,2019-08,1.677B,309.00M,1.782B,3.768B,858.00M,4.626B,196.00M,198.00M,693.00M,1.087B,223.00M,1.31B,,,,454.00M,6.39B,4.173B,,636.00M,636.00M,889.00M,98.00M,12.12B,,2019-08,118.00M,30.76B,8.214B,3.221B,,9.00M,35.88B,,2019-08,AOR,Restated
2019-05,3.171B,5.157B,1.532B,6.689B,2.848B,207.00M,3.257B,515.00M,3.537B,853.00M,,4.905B,,,,215.00M,15.07B,0.00,352.00M,10.17B,43.39B,,1.893B,55.80B,-28.67B,27.14B,1.228B,339.00M,1.567B,1.167B,31.22B,46.29B,,2019-05,1.336B,254.00M,1.16B,2.75B,744.00M,3.494B,,,,1.346B,,1.346B,,,,557.00M,5.397B,3.564B,,622.00M,622.00M,867.00M,98.00M,10.10B,,2019-05,118.00M,30.20B,8.217B,3.221B,,8.00M,35.32B,,2019-05,AOR,Restated
2019-02,2.652B,6.353B,1.18B,7.533B,3.997B,169.00M,4.416B,524.00M,3.023B,843.00M,,4.39B,,,,211.00M,16.55B,0.00,346.00M,9.547B,42.12B,,1.715B,53.73B,-27.53B,26.20B,1.228B,350.00M,1.578B,1.614B,30.94B,47.49B,,2019-02,1.523B,449.00M,1.416B,3.388B,674.00M,4.062B,,,2.373B,2.373B,261.00M,2.634B,,,,665.00M,7.361B,3.151B,,,,863.00M,97.00M,12.06B,,2019-02,118.00M,29.36B,8.143B,3.064B,,6.00M,34.57B,,2019-02,AOR,Restated
2018-11,2.073B,4.447B,1.116B,5.563B,4.98B,212.00M,5.418B,488.00M,2.643B,745.00M,,3.876B,,,,182.00M,15.04B,0.00,346.00M,9.006B,40.38B,,1.467B,51.20B,-26.40B,24.81B,1.228B,356.00M,1.584B,1.565B,29.56B,44.60B,,2018-11,1.683B,569.00M,1.213B,3.465B,735.00M,4.20B,,,109.00M,109.00M,289.00M,398.00M,,,,591.00M,5.189B,3.227B,,,,870.00M,97.00M,9.856B,,2018-11,117.00M,27.77B,8.35B,2.362B,,-5.00M,33.87B,,2018-11,AOR,Restated
2018-08,3.223B,6.506B,296.00M,6.802B,5.056B,261.00M,5.478B,423.00M,2.357B,815.00M,,3.595B,,,,164.00M,16.04B,0.00,345.00M,8.68B,38.90B,,1.162B,49.09B,-25.42B,23.67B,1.228B,331.00M,1.559B,473.00M,27.34B,43.38B,,2018-08,1.692B,402.00M,1.238B,3.332B,1.042B,4.374B,,,549.00M,549.00M,310.00M,859.00M,,,,521.00M,5.754B,3.244B,,227.00M,227.00M,870.00M,97.00M,10.21B,,2018-08,117.00M,24.40B,8.201B,429.00M,,10.00M,32.29B,,2018-08,AOR,Restated
2018-05,3.452B,6.808B,263.00M,7.071B,4.513B,257.00M,4.912B,373.00M,2.168B,828.00M,,3.369B,,,,147.00M,15.50B,0.00,345.00M,8.56B,37.53B,,826.00M,47.26B,-24.56B,22.70B,1.228B,334.00M,1.562B,487.00M,26.35B,41.84B,,2018-05,1.36B,311.00M,1.143B,2.814B,1.003B,3.817B,,,1.108B,1.108B,346.00M,1.454B,612.00M,612.00M,,,5.883B,5.29B,,,,869.00M,,12.33B,,2018-05,117.00M,20.07B,8.869B,429.00M,,22.00M,28.65B,,2018-05,AOR,Restated
2018-02,2.496B,7.828B,214.00M,8.042B,4.05B,253.00M,4.437B,334.00M,1.974B,876.00M,,3.184B,,,,173.00M,15.84B,0.00,345.00M,8.367B,36.21B,,599.00M,45.52B,-23.66B,21.86B,1.228B,348.00M,1.576B,520.00M,25.43B,41.26B,,2018-02,1.557B,288.00M,1.351B,3.196B,822.00M,4.018B,,,1.143B,1.143B,371.00M,1.514B,603.00M,603.00M,,,6.135B,7.137B,,,,869.00M,,14.70B,,2018-02,116.00M,16.25B,9.604B,313.00M,,43.00M,25.70B,,2018-02,AOR,Restated
2017-11,1.85B,6.008B,166.00M,6.174B,3.603B,167.00M,3.876B,329.00M,1.957B,874.00M,,3.16B,,,,148.00M,13.36B,0.00,345.00M,8.134B,34.56B,,560.00M,43.60B,-22.88B,20.72B,1.228B,368.00M,1.596B,314.00M,23.83B,37.19B,,2017-11,1.209B,233.00M,1.314B,2.756B,812.00M,3.568B,,,1.047B,1.047B,354.00M,1.401B,614.00M,614.00M,,,5.583B,6.903B,,,,867.00M,,13.80B,,2017-11,116.00M,12.94B,9.448B,0.00,,24.00M,22.53B,,2017-11,AOR,Restated
2017-08,2.237B,5.109B,319.00M,5.428B,3.49B,169.00M,3.759B,299.00M,1.968B,856.00M,,3.123B,,,,147.00M,12.46B,0.00,345.00M,7.958B,32.73B,,499.00M,41.53B,-22.10B,19.43B,1.228B,387.00M,1.615B,617.00M,22.88B,35.34B,,2017-08,1.333B,163.00M,1.018B,2.514B,953.00M,3.467B,,,905.00M,905.00M,357.00M,1.262B,605.00M,605.00M,,,5.334B,9.06B,,,,849.00M,0.00,15.87B,,2017-08,112.00M,10.26B,8.287B,67.00M,,29.00M,18.62B,,2017-08,AOR,Restated
2017-05,2.11B,4.048B,282.00M,4.33B,3.188B,219.00M,3.497B,306.00M,1.901B,857.00M,,3.064B,,,,132.00M,11.02B,0.00,345.00M,7.569B,31.79B,,564.00M,40.27B,-21.26B,19.01B,1.228B,405.00M,1.633B,486.00M,22.24B,33.27B,,2017-05,1.494B,104.00M,1.096B,2.694B,806.00M,3.50B,,,806.00M,806.00M,355.00M,1.161B,482.00M,482.00M,,,5.143B,9.593B,,,,848.00M,,16.25B,,2017-05,111.00M,7.893B,8.222B,67.00M,,12.00M,16.17B,,2017-05,AOR,Restated
2017-02,2.744B,3.633B,265.00M,3.898B,2.528B,238.00M,2.891B,305.00M,1.833B,862.00M,,3.00B,,,,156.00M,9.945B,0.00,348.00M,7.426B,31.26B,,460.00M,39.49B,-20.39B,19.10B,1.19B,425.00M,1.615B,627.00M,22.41B,32.36B,,2017-02,1.38B,117.00M,1.378B,2.882B,766.00M,3.648B,,,768.00M,768.00M,349.00M,1.117B,442.00M,442.00M,,,5.207B,10.42B,,,,848.00M,,17.22B,,2017-02,111.00M,6.247B,8.003B,67.00M,,-7.00M,14.29B,,2017-02,AOR,Restated
