,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-02,3.311B,,,,,23.00M,,,1.151B,1.151B,,,,52.00M,236.00M,-509.00M,-25.00M,,408.00M,,-299.00M,,4.348B,,2018-02,-2.261B,,-2.261B,,-255.00M,-2.409B,,2018-02,-135.00M,-135.00M,,-44.00M,-44.00M,,82.00M,-41.00M,-138.00M,2018-02,6.13B,1.801B,10.00M,,2018-02,,500.00M,-635.00M,-44.00M,,,2018-02,AOR,Restated
2017-11,2.678B,,,,,195.00M,,,1.09B,1.09B,,,,51.00M,-27.00M,-121.00M,-37.00M,,-230.00M,,37.00M,,3.636B,,2017-11,-1.956B,,-1.956B,,453.00M,-1.434B,,2017-11,-2.594B,-2.594B,,-23.00M,-23.00M,,1.472B,-137.00M,-1.282B,2017-11,5.216B,920.00M,-6.00M,,2017-11,,150.00M,-2.744B,-23.00M,,,2017-11,AOR,Restated
2017-08,2.369B,,,,0.00,37.00M,,,1.066B,1.066B,,,,57.00M,202.00M,-313.00M,-58.00M,,-55.00M,,-102.00M,,3.203B,,2017-08,-1.265B,,-1.265B,0.00,-62.00M,-1.278B,,2017-08,-609.00M,-609.00M,,,,,34.00M,-247.00M,-858.00M,2017-08,4.146B,1.067B,3.00M,,2017-08,,175.00M,-784.00M,,,,2017-08,AOR,Restated
2017-05,1.647B,,,,0.00,61.00M,,,1.021B,1.021B,,,,57.00M,96.00M,-565.00M,-66.00M,,112.00M,,44.00M,,2.407B,,2017-05,-1.041B,,-1.041B,0.00,151.00M,-874.00M,,2017-05,-1.043B,-1.043B,,,,,40.00M,-131.00M,-1.134B,2017-05,3.729B,399.00M,18.00M,,2017-05,,175.00M,-1.218B,,,,2017-05,AOR,Restated
2017-02,894.00M,,,,-71.00M,-71.00M,,,1.003B,1.003B,,,,55.00M,86.00M,-372.00M,35.00M,,100.00M,,-325.00M,,1.405B,,2017-02,-1.164B,,-1.164B,-2.634B,-675.00M,-4.449B,,2017-02,2.577B,2.577B,,,,,39.00M,-63.00M,2.553B,2017-02,4.211B,-491.00M,9.00M,,2017-02,,2.945B,-368.00M,,,,2017-02,AOR,Restated
2016-11,180.00M,,,,,1.00M,,,771.00M,771.00M,,,,46.00M,103.00M,-401.00M,139.00M,,299.00M,,,,1.138B,,2016-11,-1.264B,,-1.264B,,317.00M,-936.00M,,2016-11,-172.00M,-172.00M,,,,,29.00M,-69.00M,-212.00M,2016-11,4.263B,-10.00M,-42.00M,,2016-11,,16.00M,-188.00M,,,,2016-11,AOR,Restated
2016-08,-170.00M,,,,24.00M,28.00M,,,714.00M,714.00M,,,,43.00M,10.00M,-3.00M,31.00M,,269.00M,,-26.00M,,896.00M,,2016-08,-1.923B,,-1.923B,0.00,454.00M,-1.402B,,2016-08,79.00M,79.00M,,147.00M,147.00M,,18.00M,-202.00M,42.00M,2016-08,4.627B,-464.00M,12.00M,,2016-08,,260.00M,-181.00M,147.00M,,,2016-08,AOR,Restated
2016-05,-215.00M,,,,40.00M,40.00M,,,755.00M,755.00M,,,,47.00M,40.00M,-74.00M,-312.00M,,70.00M,,38.00M,,389.00M,,2016-05,-1.685B,,-1.685B,0.00,1.074B,-616.00M,,2016-05,1.936B,1.936B,,0.00,0.00,,6.00M,-171.00M,1.771B,2016-05,3.078B,1.544B,5.00M,,2016-05,,2.106B,-170.00M,0.00,,,2016-05,AOR,Restated
2016-02,-96.00M,,,,-5.00M,-5.00M,,,774.00M,774.00M,,,,55.00M,58.00M,245.00M,-173.00M,,-69.00M,,-26.00M,,763.00M,,2016-02,-1.219B,,-1.219B,0.00,831.00M,-366.00M,,2016-02,102.00M,102.00M,,-12.00M,-12.00M,,9.00M,-27.00M,72.00M,2016-02,2.605B,469.00M,4.00M,,2016-02,,424.00M,-322.00M,-12.00M,,,2016-02,AOR,Restated
2015-11,206.00M,,,,-59.00M,-59.00M,,,737.00M,737.00M,,,,46.00M,-13.00M,297.00M,-95.00M,,2.00M,,-1.00M,,1.12B,,2015-11,-990.00M,,-990.00M,,488.00M,-660.00M,,2015-11,-23.00M,-23.00M,,-135.00M,-135.00M,,15.00M,3.00M,-140.00M,2015-11,2.287B,320.00M,-2.00M,,2015-11,,174.00M,-197.00M,-135.00M,,,2015-11,AOR,Restated
2015-08,471.00M,,,,-47.00M,2.00M,,,710.00M,710.00M,,,,41.00M,220.00M,56.00M,41.00M,,-158.00M,,-353.00M,,1.03B,,2015-08,-1.765B,,-1.765B,,287.00M,-1.494B,,2015-08,-238.00M,-238.00M,,-639.00M,-639.00M,,10.00M,-66.00M,-933.00M,2015-08,3.694B,-1.397B,-6.00M,,2015-08,,40.00M,-278.00M,-639.00M,,,2015-08,AOR,Restated
2015-05,491.00M,,,,-68.00M,-68.00M,,,673.00M,673.00M,,,,43.00M,-29.00M,184.00M,-3.00M,,-45.00M,,89.00M,,1.335B,,2015-05,-734.00M,,-734.00M,,-828.00M,-1.52B,,2015-05,307.00M,307.00M,,-1.00M,-1.00M,,14.00M,39.00M,359.00M,2015-05,3.547B,174.00M,-27.00M,,2015-05,,1.209B,-902.00M,-1.00M,,,2015-05,AOR,Restated
2015-02,935.00M,,,,-208.00M,-208.00M,,,641.00M,641.00M,,,,49.00M,-4.00M,-99.00M,71.00M,,-167.00M,,33.00M,,1.251B,,2015-02,-853.00M,,-853.00M,,-1.275B,-2.126B,,2015-02,891.00M,891.00M,,-218.00M,-218.00M,,32.00M,-43.00M,662.00M,2015-02,3.764B,-213.00M,-4.00M,,2015-02,,1.254B,-363.00M,-218.00M,,,2015-02,AOR,Restated
2014-11,1.002B,,,,-124.00M,-124.00M,,,643.00M,643.00M,,,,35.00M,-28.00M,252.00M,7.00M,,-321.00M,,126.00M,,1.592B,,2014-11,-669.00M,,-669.00M,,-404.00M,-1.076B,,2014-11,-786.00M,-786.00M,,-26.00M,-26.00M,,18.00M,-12.00M,-806.00M,2014-11,4.15B,-290.00M,-96.00M,,2014-11,,0.00,-786.00M,-26.00M,,,2014-11,AOR,Restated
2014-08,1.151B,,,,-119.00M,-211.00M,,,553.00M,553.00M,,,,34.00M,-36.00M,-188.00M,77.00M,,25.00M,,-58.00M,,1.347B,,2014-08,-1.307B,,-1.307B,,-456.00M,-1.698B,,2014-08,441.00M,441.00M,,-1.00M,-1.00M,,18.00M,-4.00M,454.00M,2014-08,4.062B,103.00M,-15.00M,,2014-08,,1.15B,-709.00M,-1.00M,,,2014-08,AOR,Restated
2014-05,806.00M,,,,-135.00M,-135.00M,,,542.00M,542.00M,,,,32.00M,90.00M,128.00M,-71.00M,,4.00M,,59.00M,,1.455B,,2014-05,-566.00M,,-566.00M,,5.00M,-551.00M,,2014-05,-1.147B,-1.147B,,-2.00M,-2.00M,,23.00M,-23.00M,-1.149B,2014-05,4.305B,-245.00M,2.00M,,2014-05,,0.00,-1.147B,-2.00M,,,2014-05,AOR,Restated
2014-02,741.00M,,,,-134.00M,-134.00M,,,517.00M,517.00M,,,,27.00M,118.00M,36.00M,-2.00M,,22.00M,,65.00M,,1.39B,,2014-02,-565.00M,,-565.00M,,-25.00M,-531.00M,,2014-02,-174.00M,-174.00M,,-31.00M,-31.00M,,80.00M,-87.00M,-212.00M,2014-02,3.654B,647.00M,4.00M,,2014-02,,1.076B,-1.25B,-31.00M,,,2014-02,AOR,Restated
2013-11,381.00M,,,,-86.00M,-86.00M,,,491.00M,491.00M,,,,22.00M,138.00M,-494.00M,190.00M,,620.00M,,245.00M,,1.507B,,2013-11,-669.00M,,-669.00M,,-38.00M,-122.00M,,2013-11,-737.00M,-737.00M,,-42.00M,-42.00M,,144.00M,43.00M,-592.00M,2013-11,2.88B,793.00M,-19.00M,,2013-11,,,-737.00M,-42.00M,,,2013-11,AOR,Restated
2013-08,1.71B,,,-2.00M,-37.00M,-39.00M,,,450.00M,450.00M,,,,30.00M,-1.412B,-129.00M,45.00M,,-16.00M,,78.00M,,717.00M,,2013-08,-478.00M,,-478.00M,,-324.00M,-740.00M,,2013-08,250.00M,250.00M,,0.00,0.00,,82.00M,131.00M,463.00M,2013-08,2.44B,440.00M,0.00,,2013-08,,329.00M,-79.00M,0.00,,,2013-08,AOR,Restated
2013-05,43.00M,,,51.00M,10.00M,61.00M,,,442.00M,442.00M,,,,21.00M,127.00M,-277.00M,11.00M,,233.00M,,-37.00M,,624.00M,,2013-05,-203.00M,,-203.00M,,57.00M,-171.00M,,2013-05,-44.00M,-44.00M,,0.00,0.00,,44.00M,-74.00M,-74.00M,2013-05,2.061B,379.00M,0.00,,2013-05,,33.00M,-77.00M,0.00,,,2013-05,AOR,Restated
2013-02,-284.00M,,,122.00M,58.00M,180.00M,,,455.00M,455.00M,,,,21.00M,3.00M,-101.00M,53.00M,,-81.00M,,-31.00M,,234.00M,,2013-02,-327.00M,,-327.00M,,-24.00M,-360.00M,,2013-02,151.00M,151.00M,,-3.00M,-3.00M,,24.00M,-87.00M,85.00M,2013-02,2.102B,-41.00M,0.00,,2013-02,,686.00M,-535.00M,-3.00M,,,2013-02,AOR,Restated
2012-11,-275.00M,,,51.00M,52.00M,103.00M,,,457.00M,457.00M,,,,19.00M,19.00M,98.00M,-26.00M,,-108.00M,,-32.00M,,236.00M,,2012-11,-434.00M,,-434.00M,,-208.00M,-639.00M,,2012-11,147.00M,147.00M,,-2.00M,-2.00M,,0.00,-99.00M,46.00M,2012-11,2.459B,-357.00M,0.00,,2012-11,,199.00M,-52.00M,-2.00M,,,2012-11,AOR,Restated
2012-08,-242.00M,,,-10.00M,32.00M,22.00M,,,483.00M,483.00M,,,,16.00M,29.00M,104.00M,76.00M,,283.00M,,-321.00M,,450.00M,,2012-08,-332.00M,-51.00M,-383.00M,-7.00M,-21.00M,-332.00M,,2012-08,155.00M,155.00M,,,,,,-4.00M,150.00M,2012-08,2.191B,268.00M,,,2012-08,,206.00M,-51.00M,,,,2012-08,AOR,Restated
2012-05,-320.00M,,,11.00M,115.00M,126.00M,,,525.00M,525.00M,,,,21.00M,-7.00M,-91.00M,183.00M,,-61.00M,,310.00M,,686.00M,,2012-05,-278.00M,3.00M,-275.00M,-180.00M,-494.00M,-797.00M,,2012-05,1.077B,1.077B,,,,,,-869.00M,208.00M,2012-05,2.094B,97.00M,,,2012-05,,1.128B,-51.00M,,,,2012-05,AOR,Restated
2012-02,-282.00M,,,18.00M,73.00M,91.00M,,,569.00M,569.00M,,-17.00M,0.00,30.00M,-47.00M,124.00M,16.00M,,57.00M,,-4.00M,,574.00M,,2012-02,-392.00M,39.00M,-353.00M,,41.00M,-469.00M,,2012-02,287.00M,287.00M,,,,,,-213.00M,74.00M,2012-02,1.915B,179.00M,,,2012-02,,340.00M,-53.00M,,,,2012-02,AOR,Restated
2011-11,-187.00M,,,,74.00M,74.00M,,,564.00M,564.00M,,17.00M,,20.00M,37.00M,101.00M,-17.00M,,-97.00M,,-71.00M,,404.00M,,2011-11,-697.00M,9.00M,-688.00M,,0.00,-714.00M,,2011-11,-48.00M,-48.00M,,,,,,113.00M,65.00M,2011-11,2.16B,-245.00M,,,2011-11,,0.00,-48.00M,,,,2011-11,AOR,Restated
2011-08,-134.00M,54.00M,,,40.00M,73.00M,,,555.00M,555.00M,,-42.00M,,19.00M,41.00M,-56.00M,-12.00M,1.00M,-229.00M,,138.00M,,354.00M,,2011-08,-868.00M,3.00M,-865.00M,,30.00M,-829.00M,,2011-08,882.00M,882.00M,,,,,,-507.00M,240.00M,2011-08,2.395B,-235.00M,,,2011-08,,958.00M,-76.00M,,20.00M,,2011-08,AOR,Restated
2011-05,77.00M,-54.00M,,,44.00M,-8.00M,,,547.00M,547.00M,,12.00M,,19.00M,-37.00M,-44.00M,-149.00M,-1.00M,47.00M,11.00M,115.00M,,589.00M,,2011-05,-493.00M,28.00M,-465.00M,,-19.00M,25.00M,,2011-05,-327.00M,-327.00M,,,,,,-76.00M,-403.00M,2011-05,2.184B,211.00M,,,2011-05,,0.00,-327.00M,,19.00M,,2011-05,AOR,Restated
2011-02,75.00M,,,,48.00M,48.00M,,,1.003B,503.00M,,13.00M,,19.00M,-8.00M,-19.00M,-68.00M,,286.00M,-11.00M,-29.00M,,809.00M,,2011-02,-724.00M,62.00M,-662.00M,,37.00M,-802.00M,,2011-02,-72.00M,-72.00M,,,,,,-162.00M,-234.00M,2011-02,2.411B,-227.00M,,,2011-02,,,-72.00M,,14.00M,,2011-02,AOR,Restated
2010-11,172.00M,,,,26.00M,137.00M,,,,500.00M,,17.00M,,19.00M,5.00M,173.00M,-128.00M,,-192.00M,,29.00M,,732.00M,,2010-11,-465.00M,34.00M,-431.00M,,,-436.00M,,2010-11,-740.00M,-740.00M,,,,,,-58.00M,-798.00M,2010-11,2.913B,-502.00M,,,2010-11,,,-740.00M,,46.00M,,2010-11,AOR,Restated
2010-08,359.00M,0.00,,,16.00M,72.00M,,,509.00M,509.00M,,22.00M,,20.00M,1.00M,40.00M,-33.00M,,35.00M,-28.00M,227.00M,,1.077B,,2010-08,-347.00M,8.00M,-339.00M,423.00M,-14.00M,-229.00M,,2010-08,-92.00M,-92.00M,,,,,,-135.00M,-248.00M,2010-08,2.313B,600.00M,,,2010-08,,0.00,-92.00M,,-9.00M,,2010-08,AOR,Restated
2010-05,960.00M,-437.00M,,,19.00M,-418.00M,,,476.00M,476.00M,,20.00M,,20.00M,25.00M,-246.00M,14.00M,,55.00M,23.00M,-40.00M,,889.00M,,2010-05,-114.00M,50.00M,-64.00M,95.00M,-8.00M,44.00M,,2010-05,-378.00M,-378.00M,,,,,,-112.00M,-490.00M,2010-05,1.87B,443.00M,,,2010-05,,0.00,-378.00M,,10.00M,,2010-05,AOR,Restated
2010-02,379.00M,,,,-13.00M,-13.00M,,,446.00M,446.00M,,41.00M,,22.00M,-4.00M,14.00M,-43.00M,,0.00,5.00M,-43.00M,,804.00M,,2010-02,-93.00M,5.00M,-88.00M,,-143.00M,-238.00M,,2010-02,-90.00M,-90.00M,,,,,,-171.00M,-261.00M,2010-02,1.565B,305.00M,,,2010-02,,0.00,-90.00M,,-1.00M,,2010-02,AOR,Restated
2009-11,202.00M,,,,17.00M,-39.00M,,,491.00M,491.00M,,,,31.00M,18.00M,-324.00M,-59.00M,,66.00M,0.00,-60.00M,,326.00M,,2009-11,-62.00M,31.00M,-31.00M,,,-25.00M,,2009-11,-80.00M,-80.00M,,,,,,-141.00M,-221.00M,2009-11,1.485B,80.00M,,,2009-11,,200.00M,-280.00M,,2.00M,,2009-11,AOR,Restated
2009-08,-114.00M,0.00,-1.00M,-106.00M,,33.00M,,,503.00M,503.00M,,,0.00,12.00M,-38.00M,-98.00M,-45.00M,,50.00M,54.00M,,,357.00M,,2009-08,-49.00M,13.00M,-36.00M,0.00,-21.00M,7.00M,,2009-08,-56.00M,-56.00M,0.00,,0.00,568.00M,,-697.00M,-185.00M,2009-08,1.306B,179.00M,,,2009-08,0.00,0.00,-56.00M,,43.00M,,2009-08,AOR,Restated
2009-05,-334.00M,0.00,12.00M,45.00M,,57.00M,,,526.00M,526.00M,,,0.00,12.00M,97.00M,-150.00M,-140.00M,43.00M,96.00M,-56.00M,,,151.00M,,2009-05,-64.00M,5.00M,-59.00M,0.00,27.00M,-63.00M,,2009-05,293.00M,293.00M,276.00M,,276.00M,-568.00M,,285.00M,286.00M,2009-05,932.00M,374.00M,,,2009-05,276.00M,334.00M,-41.00M,,-11.00M,,2009-05,AOR,Restated
2009-02,-839.00M,,43.00M,61.00M,,90.00M,,,563.00M,563.00M,,,58.00M,22.00M,475.00M,236.00M,-210.00M,-43.00M,-35.00M,5.00M,17.00M,,339.00M,,2009-02,-105.00M,2.00M,-103.00M,,-426.00M,-129.00M,,2009-02,50.00M,-72.00M,,,,150.00M,,-381.00M,-303.00M,2009-02,1.025B,-93.00M,,,2009-02,,382.00M,-332.00M,,11.00M,,2009-02,,Restated
2008-11,-706.00M,,,,,14.00M,,,594.00M,594.00M,,,,,286.00M,138.00M,39.00M,,-67.00M,78.00M,-17.00M,,359.00M,,2008-11,-270.00M,6.00M,-264.00M,,121.00M,-489.00M,,2008-11,,122.00M,,,,-150.00M,,-60.00M,-88.00M,2008-11,1.243B,-218.00M,,,2008-11,,,,,,,2008-11,,
2008-08,-344.00M,,4.00M,,0.00,-7.00M,,,532.00M,532.00M,,,0.00,,191.00M,-37.00M,-42.00M,,-44.00M,-6.00M,,,243.00M,,2008-08,-720.00M,12.00M,-708.00M,,-90.00M,-803.00M,,2008-08,285.00M,285.00M,0.00,,0.00,-203.00M,,247.00M,329.00M,2008-08,1.474B,-231.00M,,,2008-08,0.00,330.00M,-45.00M,,12.00M,,2008-08,,Restated
2008-05,-236.00M,,-70.00M,,0.00,-37.00M,,,513.00M,513.00M,3.00M,,463.00M,,-405.00M,-96.00M,-4.00M,,20.00M,-4.00M,,,217.00M,,2008-05,-503.00M,41.00M,-462.00M,,26.00M,-364.00M,,2008-05,-146.00M,-59.00M,1.00M,,1.00M,203.00M,,-232.00M,-87.00M,2008-05,1.708B,-234.00M,,,2008-05,1.00M,507.00M,-653.00M,,24.00M,,2008-05,,Restated
2008-02,-777.00M,,,,,-22.00M,,,511.00M,511.00M,-3.00M,,,,491.00M,187.00M,-21.00M,,-62.00M,,-22.00M,,282.00M,,2008-02,-541.00M,70.00M,-471.00M,,7.00M,-519.00M,,2008-02,,125.00M,1.00M,,1.00M,,,-61.00M,65.00M,2008-02,1.88B,-172.00M,,,2008-02,1.00M,,,,,,2008-02,,
2007-11,-262.00M,,,,,-10.00M,,,504.00M,504.00M,,,,,81.00M,-80.00M,27.00M,,-6.00M,,22.00M,,276.00M,,2007-11,-765.00M,64.00M,-701.00M,,261.00M,-406.00M,,2007-11,,-212.00M,2.00M,,2.00M,,,28.00M,-182.00M,2007-11,2.192B,-312.00M,,,2007-11,2.00M,,,,,,2007-11,,
2007-08,-158.00M,,,,,47.00M,,,474.00M,474.00M,-9.00M,,,,-4.00M,-153.00M,-104.00M,,55.00M,,,,144.00M,,2007-08,-752.00M,75.00M,-677.00M,0.00,-162.00M,-878.00M,,2007-08,,-392.00M,14.00M,,14.00M,,,637.00M,259.00M,2007-08,2.667B,-475.00M,,,2007-08,14.00M,,,,,,2007-08,,
2007-05,-225.00M,,,,,98.00M,,,444.00M,444.00M,4.00M,,,,20.00M,99.00M,-156.00M,,-118.00M,,-89.00M,,77.00M,,2007-05,-671.00M,-5.00M,-676.00M,-73.00M,365.00M,-318.00M,,2007-05,,1.603B,5.00M,,5.00M,,,-266.00M,1.342B,2007-05,1.566B,1.101B,,,2007-05,5.00M,,,,,,2007-05,,
2007-02,-52.00M,,,,,-36.00M,,,420.00M,420.00M,-5.00M,,,,0.00,61.00M,-180.00M,,-10.00M,,89.00M,,287.00M,,2007-02,-1.081B,13.00M,-1.068B,,706.00M,-427.00M,,2007-02,,-48.00M,9.00M,,9.00M,,,442.00M,403.00M,2007-02,1.303B,263.00M,,,2007-02,9.00M,,,,,,2007-02,,
2006-11,115.00M,,,,,6.00M,,,380.00M,380.00M,-1.00M,,,,10.00M,-2.00M,-151.00M,,72.00M,,,,429.00M,,2006-11,-1.099B,41.00M,-1.058B,,321.00M,-768.00M,,2006-11,,-56.00M,41.00M,,41.00M,,,226.00M,211.00M,2006-11,1.431B,-128.00M,,,2006-11,41.00M,,,,,,2006-11,,
2006-08,63.70M,,,,,18.60M,,,344.80M,344.80M,-7.40M,,,,8.20M,-27.70M,-87.90M,-251.10M,50.10M,,-30.00M,,330.30M,,2006-08,-574.90M,22.80M,-552.10M,97.00M,-276.00M,-742.60M,,2006-08,,-31.00M,-141.50M,,-141.50M,,,548.60M,376.10M,2006-08,1.468B,-36.20M,,,2006-08,-141.50M,,,,,,2006-08,,
2006-05,88.30M,,,,,-15.60M,,,341.20M,341.20M,-4.60M,,,,18.80M,-73.30M,-10.10M,251.10M,-47.10M,,-166.00M,,382.70M,,2006-05,-335.10M,15.20M,-319.90M,319.00M,-308.00M,-319.40M,,2006-05,,-237.00M,-292.50M,,-292.50M,,,397.40M,-132.10M,2006-05,1.536B,-68.80M,,,2006-05,-292.50M,,,,,,2006-05,,
2006-02,193.40M,,,,,16.20M,,,291.60M,291.60M,-7.70M,,,,-1.00M,49.90M,-3.10M,,111.00M,,230.50M,,880.80M,,2006-02,-186.30M,11.60M,-174.70M,,-325.90M,-474.70M,,2006-02,,-97.50M,536.10M,,536.10M,,,30.70M,469.30M,2006-02,661.10M,875.40M,,,2006-02,536.10M,,,,,,2006-02,,
2005-11,62.60M,,,,,3.80M,,,303.40M,303.40M,-4.30M,,,,,-10.90M,89.10M,,16.00M,,-34.50M,,425.20M,,2005-11,-268.70M,5.40M,-263.30M,,51.90M,-219.30M,,2005-11,,-49.50M,10.90M,,10.90M,,,-30.70M,-69.30M,2005-11,524.50M,136.60M,,,2005-11,10.90M,,,,,,2005-11,,
