,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,696.00M,,-65.00M,,-66.00M,80.00M,45.00M,125.00M,125.00M,11.00M,,50.00M,-101.00M,-357.00M,,196.00M,2.00M,0.00,-920.00M,-1.079B,,-364.00M,-58.00M,1.00M,1.00M,-21.00M,9.00M,-1.00M,-70.00M,589.00M,249.00M,838.00M,32.00M,-250.00M,-218.00M,-189.00M,-189.00M,-137.00M,294.00M,1.205B,-140.00M,103.00M,1.168B,32.00M,841.00M,-3.00M,-250.00M
2017-12,30.00M,,20.00M,-12.00M,9.00M,78.00M,47.00M,125.00M,125.00M,344.00M,,38.00M,-114.00M,-206.00M,,36.00M,11.00M,,483.00M,324.00M,,756.00M,-85.00M,4.00M,4.00M,-26.00M,8.00M,2.00M,-97.00M,-2.00M,0.00,-2.00M,32.00M,-300.00M,-268.00M,-195.00M,-195.00M,-17.00M,-482.00M,1.078B,177.00M,-50.00M,1.205B,32.00M,0.00,-2.00M,-300.00M
2017-09,397.00M,,-87.00M,2.00M,-85.00M,78.00M,42.00M,120.00M,120.00M,10.00M,,36.00M,-140.00M,70.00M,,-9.00M,4.00M,,391.00M,456.00M,,794.00M,-73.00M,0.00,0.00,-217.00M,-33.00M,2.00M,-321.00M,-57.00M,-100.00M,-157.00M,40.00M,-200.00M,-160.00M,-194.00M,-194.00M,-32.00M,-543.00M,966.00M,-70.00M,182.00M,1.078B,40.00M,-100.00M,-57.00M,-200.00M
2017-06,507.00M,,-17.00M,-5.00M,-19.00M,76.00M,40.00M,116.00M,116.00M,17.00M,,33.00M,-101.00M,-172.00M,,-19.00M,25.00M,,355.00M,189.00M,,742.00M,-82.00M,3.00M,3.00M,-1.00M,1.00M,2.00M,-77.00M,-251.00M,0.00,-251.00M,21.00M,-200.00M,-179.00M,-176.00M,-176.00M,-75.00M,-681.00M,930.00M,-16.00M,52.00M,966.00M,21.00M,0.00,-251.00M,-200.00M
2017-03,578.00M,,-12.00M,,-6.00M,80.00M,40.00M,120.00M,120.00M,25.00M,,42.00M,-126.00M,-146.00M,,116.00M,-43.00M,,-959.00M,-1.032B,,-399.00M,-62.00M,1.00M,1.00M,-411.00M,11.00M,,-461.00M,982.00M,100.00M,1.082B,73.00M,-200.00M,-127.00M,-175.00M,-175.00M,-83.00M,697.00M,1.026B,-163.00M,67.00M,930.00M,73.00M,1.087B,-5.00M,-200.00M
2016-12,441.00M,1.00M,45.00M,-2.00M,47.00M,77.00M,31.00M,108.00M,108.00M,25.00M,,25.00M,-61.00M,8.00M,,-2.00M,11.00M,,293.00M,310.00M,,895.00M,-79.00M,-1.00M,-1.00M,-725.00M,6.00M,1.00M,-798.00M,-3.00M,50.00M,47.00M,34.00M,-175.00M,-141.00M,-178.00M,-178.00M,-12.00M,-284.00M,1.388B,-187.00M,-175.00M,1.026B,34.00M,50.00M,-3.00M,-175.00M
2016-09,384.00M,0.00,11.00M,0.00,11.00M,77.00M,32.00M,109.00M,109.00M,-5.00M,,26.00M,-104.00M,118.00M,,25.00M,17.00M,,302.00M,462.00M,,883.00M,-60.00M,4.00M,4.00M,-11.00M,0.00,-1.00M,-68.00M,-3.00M,,-3.00M,23.00M,-215.00M,-192.00M,-178.00M,-178.00M,-34.00M,-407.00M,974.00M,408.00M,6.00M,1.388B,23.00M,0.00,-3.00M,-215.00M
2016-06,480.00M,-12.00M,23.00M,-1.00M,11.00M,76.00M,34.00M,110.00M,110.00M,26.00M,,27.00M,-81.00M,-105.00M,,1.00M,-3.00M,,344.00M,237.00M,,810.00M,-63.00M,0.00,0.00,-2.00M,-2.00M,3.00M,-64.00M,-3.00M,-252.00M,-255.00M,39.00M,-210.00M,-171.00M,-165.00M,-165.00M,-30.00M,-621.00M,918.00M,125.00M,-69.00M,974.00M,39.00M,-252.00M,-3.00M,-210.00M
2016-03,490.00M,,25.00M,3.00M,30.00M,78.00M,33.00M,111.00M,111.00M,22.00M,,31.00M,-66.00M,-175.00M,,10.00M,-34.00M,,-1.00B,-1.199B,,-581.00M,-51.00M,1.00M,1.00M,-75.00M,-2.00M,1.00M,-126.00M,344.00M,252.00M,596.00M,92.00M,-200.00M,-108.00M,-161.00M,-161.00M,-82.00M,245.00M,1.374B,-462.00M,6.00M,918.00M,92.00M,599.00M,-3.00M,-200.00M
2015-12,381.00M,0.00,17.00M,1.00M,2.00M,81.00M,30.00M,111.00M,111.00M,-36.00M,,21.00M,-57.00M,66.00M,,17.00M,13.00M,,381.00M,477.00M,,899.00M,-76.00M,0.00,0.00,-450.00M,-2.00M,6.00M,-522.00M,-52.00M,0.00,-52.00M,45.00M,-75.00M,-30.00M,-164.00M,-164.00M,-21.00M,-267.00M,1.33B,110.00M,-66.00M,1.374B,45.00M,1.00M,-53.00M,-75.00M
2015-09,331.00M,0.00,4.00M,-37.00M,-31.00M,77.00M,31.00M,108.00M,108.00M,124.00M,,21.00M,-14.00M,156.00M,,-119.00M,-4.00M,,305.00M,338.00M,,877.00M,-73.00M,1.00M,1.00M,-171.00M,27.00M,1.00M,-215.00M,593.00M,-50.00M,543.00M,32.00M,-550.00M,-518.00M,-166.00M,-166.00M,-4.00M,-145.00M,930.00M,517.00M,-117.00M,1.33B,32.00M,546.00M,-3.00M,-550.00M
2015-06,429.00M,0.00,-41.00M,0.00,-41.00M,79.00M,24.00M,103.00M,103.00M,3.00M,,22.00M,-13.00M,-273.00M,,120.00M,20.00M,,265.00M,132.00M,,635.00M,-85.00M,0.00,0.00,-244.00M,-3.00M,-2.00M,-334.00M,-2.00M,50.00M,48.00M,43.00M,-475.00M,-432.00M,-151.00M,-151.00M,-23.00M,-558.00M,1.104B,-257.00M,83.00M,930.00M,43.00M,51.00M,-3.00M,-475.00M
2015-03,495.00M,,90.00M,-2.00M,89.00M,77.00M,24.00M,101.00M,101.00M,87.00M,,24.00M,-136.00M,-1.00M,,-158.00M,-26.00M,,-998.00M,-1.183B,,-523.00M,-91.00M,1.00M,1.00M,-16.00M,-87.00M,-1.00M,-194.00M,491.00M,0.00,491.00M,104.00M,-300.00M,-196.00M,-151.00M,-151.00M,-80.00M,64.00M,1.958B,-653.00M,-201.00M,1.104B,104.00M,493.00M,-2.00M,-300.00M
2014-12,299.00M,,45.00M,0.00,140.00M,77.00M,22.00M,99.00M,99.00M,24.00M,,19.00M,3.00M,124.00M,,72.00M,27.00M,,171.00M,394.00M,,978.00M,-83.00M,1.00M,1.00M,-442.00M,123.00M,-5.00M,-406.00M,-11.00M,0.00,-11.00M,73.00M,-200.00M,-127.00M,-153.00M,-153.00M,-807.00M,-1.098B,2.649B,-526.00M,-165.00M,1.958B,73.00M,-7.00M,-4.00M,-200.00M
2014-09,304.00M,,2.00M,-27.00M,-23.00M,76.00M,22.00M,98.00M,98.00M,20.00M,,23.00M,-15.00M,210.00M,,-48.00M,-3.00M,,317.00M,476.00M,,883.00M,-83.00M,1.00M,1.00M,-33.00M,-119.00M,-1.00M,-235.00M,476.00M,,476.00M,54.00M,-250.00M,-196.00M,-154.00M,-154.00M,-5.00M,121.00M,2.005B,769.00M,-125.00M,2.649B,54.00M,798.00M,-322.00M,-250.00M
2014-06,438.00M,,14.00M,3.00M,19.00M,74.00M,20.00M,94.00M,94.00M,24.00M,,18.00M,-22.00M,-242.00M,,-21.00M,19.00M,,312.00M,68.00M,,638.00M,-103.00M,0.00,0.00,-64.00M,2.00M,0.00,-165.00M,593.00M,-100.00M,493.00M,44.00M,-250.00M,-206.00M,-138.00M,-138.00M,-22.00M,127.00M,1.38B,600.00M,25.00M,2.005B,44.00M,495.00M,-2.00M,-250.00M
2014-03,456.00M,,12.00M,-13.00M,-1.00M,75.00M,22.00M,97.00M,97.00M,59.00M,,33.00M,-99.00M,-150.00M,,75.00M,-35.00M,,-816.00M,-926.00M,,-380.00M,-99.00M,1.00M,1.00M,-319.00M,0.00,1.00M,-416.00M,-3.00M,100.00M,97.00M,92.00M,-100.00M,-8.00M,-137.00M,-137.00M,-70.00M,-118.00M,2.303B,-914.00M,-9.00M,1.38B,92.00M,100.00M,-3.00M,-100.00M
2013-12,307.00M,,-30.00M,-11.00M,-17.00M,73.00M,19.00M,92.00M,92.00M,47.00M,0.00,29.00M,-24.00M,-16.00M,,63.00M,72.00M,,213.00M,332.00M,,766.00M,-113.00M,3.00M,3.00M,-32.00M,3.00M,-8.00M,-147.00M,-2.00M,,-2.00M,98.00M,-150.00M,-52.00M,-139.00M,-139.00M,-291.00M,-484.00M,2.174B,135.00M,-6.00M,2.303B,98.00M,1.00M,-3.00M,-150.00M
2013-09,259.00M,,-15.00M,-14.00M,-33.00M,71.00M,18.00M,89.00M,89.00M,66.00M,5.00M,34.00M,-24.00M,54.00M,,6.00M,-37.00M,,319.00M,342.00M,,738.00M,-96.00M,0.00,0.00,-17.00M,8.00M,0.00,-105.00M,494.00M,,494.00M,48.00M,-150.00M,-102.00M,-139.00M,-139.00M,-11.00M,242.00M,1.23B,875.00M,69.00M,2.174B,48.00M,496.00M,-2.00M,-150.00M
2013-06,395.00M,,-23.00M,-23.00M,-43.00M,73.00M,17.00M,90.00M,90.00M,20.00M,,24.00M,-11.00M,-163.00M,,-12.00M,20.00M,,110.00M,-45.00M,,430.00M,-104.00M,1.00M,1.00M,-90.00M,-10.00M,1.00M,-202.00M,-3.00M,,-3.00M,71.00M,-150.00M,-79.00M,-128.00M,-128.00M,-18.00M,-228.00M,1.263B,0.00,-33.00M,1.23B,71.00M,0.00,-3.00M,-150.00M
2013-03,424.00M,,36.00M,-21.00M,17.00M,69.00M,18.00M,87.00M,87.00M,51.00M,,42.00M,-349.00M,-120.00M,,92.00M,-54.00M,,-783.00M,-865.00M,,-593.00M,-88.00M,1.00M,1.00M,2.00M,92.00M,1.00M,8.00M,-202.00M,0.00,-202.00M,135.00M,-100.00M,35.00M,-127.00M,-127.00M,-70.00M,-364.00M,2.301B,-949.00M,-89.00M,1.263B,135.00M,50.00M,-252.00M,-100.00M
2012-12,263.00M,,-10.00M,-5.00M,-5.00M,76.00M,19.00M,95.00M,95.00M,78.00M,0.00,154.00M,-129.00M,4.00M,,-46.00M,-56.00M,,214.00M,116.00M,,572.00M,-71.00M,2.00M,2.00M,-141.00M,-6.00M,2.00M,-214.00M,-2.00M,,-2.00M,97.00M,-50.00M,47.00M,-128.00M,-128.00M,-26.00M,-109.00M,2.044B,249.00M,8.00M,2.301B,97.00M,0.00,-2.00M,-50.00M
2012-09,247.00M,,-44.00M,5.00M,-38.00M,68.00M,19.00M,87.00M,87.00M,-7.00M,8.00M,3.00M,-52.00M,45.00M,,49.00M,48.00M,,274.00M,416.00M,,684.00M,-100.00M,3.00M,3.00M,-24.00M,34.00M,2.00M,-85.00M,-3.00M,,-3.00M,56.00M,-80.00M,-24.00M,-127.00M,-127.00M,-10.00M,-164.00M,1.504B,435.00M,105.00M,2.044B,56.00M,0.00,-3.00M,-80.00M
2012-06,337.00M,,39.00M,-4.00M,35.00M,67.00M,17.00M,84.00M,84.00M,-10.00M,,9.00M,9.00M,-92.00M,,-50.00M,-180.00M,,436.00M,114.00M,,569.00M,-98.00M,0.00,0.00,-67.00M,-3.00M,0.00,-168.00M,-2.00M,,-2.00M,18.00M,-100.00M,-82.00M,-121.00M,-121.00M,-10.00M,-215.00M,1.41B,186.00M,-92.00M,1.504B,18.00M,0.00,-2.00M,-100.00M
2012-03,354.00M,,-20.00M,-20.00M,-28.00M,66.00M,17.00M,83.00M,83.00M,35.00M,,11.00M,11.00M,-101.00M,,-119.00M,151.00M,,-889.00M,-958.00M,,-503.00M,-51.00M,1.00M,1.00M,-60.00M,-5.00M,-1.00M,-116.00M,-4.00M,,-4.00M,77.00M,0.00,77.00M,-121.00M,-121.00M,-97.00M,-145.00M,2.113B,-764.00M,61.00M,1.41B,77.00M,248.00M,-252.00M,0.00
2011-12,260.00M,,,4.00M,26.00M,67.00M,15.00M,82.00M,82.00M,87.00M,0.00,5.00M,5.00M,21.00M,,195.00M,-142.00M,,176.00M,250.00M,,710.00M,-75.00M,-1.00M,-1.00M,-104.00M,-2.00M,-2.00M,-184.00M,-3.00M,672.00M,669.00M,39.00M,0.00,39.00M,-122.00M,-122.00M,-702.00M,-116.00M,1.714B,410.00M,-11.00M,2.113B,39.00M,0.00,669.00M,0.00
2011-09,135.00M,,,1.00M,73.00M,67.00M,18.00M,85.00M,85.00M,18.00M,0.00,4.00M,4.00M,192.00M,,145.00M,-8.00M,,21.00M,350.00M,,665.00M,-63.00M,3.00M,3.00M,-21.00M,31.00M,-2.00M,-52.00M,494.00M,-672.00M,-178.00M,11.00M,-126.00M,-115.00M,-123.00M,-123.00M,-4.00M,-420.00M,1.659B,193.00M,-138.00M,1.714B,11.00M,496.00M,-674.00M,-126.00M
2011-06,289.00M,,,6.00M,7.00M,66.00M,16.00M,82.00M,82.00M,-37.00M,,5.00M,5.00M,102.00M,,348.00M,-2.00M,,-88.00M,360.00M,,706.00M,-75.00M,0.00,0.00,-9.00M,33.00M,-2.00M,-53.00M,-4.00M,,-4.00M,23.00M,-235.00M,-212.00M,-118.00M,-118.00M,-9.00M,-343.00M,1.33B,310.00M,19.00M,1.659B,23.00M,0.00,-4.00M,-235.00M
2011-03,331.00M,,,-19.00M,-19.00M,67.00M,16.00M,83.00M,83.00M,110.00M,,7.00M,7.00M,-172.00M,,-579.00M,-73.00M,,-64.00M,-888.00M,,-376.00M,-67.00M,1.00M,1.00M,-103.00M,0.00,1.00M,-168.00M,-2.00M,,-2.00M,89.00M,,89.00M,-117.00M,-117.00M,-98.00M,-128.00M,1.894B,-672.00M,108.00M,1.33B,89.00M,0.00,-2.00M,
2010-12,206.00M,,,-19.00M,66.00M,69.00M,14.00M,83.00M,83.00M,56.00M,,4.00M,4.00M,32.00M,,302.00M,67.00M,,-144.00M,257.00M,,672.00M,-78.00M,3.00M,3.00M,-236.00M,33.00M,-4.00M,-282.00M,-2.00M,,-2.00M,13.00M,-86.00M,-73.00M,-119.00M,-119.00M,-5.00M,-199.00M,1.695B,191.00M,8.00M,1.894B,13.00M,0.00,-2.00M,-86.00M
2010-09,171.00M,,,4.00M,-49.00M,68.00M,16.00M,84.00M,84.00M,-62.00M,,3.00M,3.00M,177.00M,,-270.00M,-9.00M,,-267.00M,-369.00M,,-222.00M,-50.00M,-5.00M,-5.00M,1.025B,1.00M,-1.00M,970.00M,-553.00M,0.00,-553.00M,10.00M,0.00,10.00M,-112.00M,-112.00M,-11.00M,-666.00M,1.51B,82.00M,103.00M,1.695B,10.00M,0.00,-553.00M,0.00
2010-06,242.00M,,,-17.00M,-13.00M,74.00M,19.00M,93.00M,93.00M,-78.00M,,5.00M,5.00M,-352.00M,,600.00M,0.00,,26.00M,274.00M,,523.00M,-63.00M,7.00M,7.00M,8.00M,38.00M,-1.00M,-11.00M,-2.00M,,-2.00M,8.00M,0.00,8.00M,-112.00M,-112.00M,-3.00M,-109.00M,1.167B,403.00M,-60.00M,1.51B,8.00M,,-2.00M,0.00
2010-03,252.00M,,,-8.00M,18.00M,80.00M,17.00M,97.00M,97.00M,100.00M,,6.00M,6.00M,-73.00M,,-655.00M,-7.00M,,11.00M,-724.00M,,-251.00M,-80.00M,1.00M,1.00M,-87.00M,19.00M,5.00M,-142.00M,-2.00M,,-2.00M,10.00M,,10.00M,-109.00M,-109.00M,-55.00M,-156.00M,1.777B,-549.00M,-61.00M,1.167B,10.00M,,-2.00M,
2009-12,25.00M,,,-22.00M,-12.00M,78.00M,10.00M,88.00M,88.00M,17.00M,0.00,3.00M,3.00M,-127.00M,,402.00M,233.00M,-64.00M,-330.00M,114.00M,,235.00M,-96.00M,0.00,0.00,-66.00M,36.00M,4.00M,-122.00M,-2.00M,,-2.00M,6.00M,32.00M,38.00M,,-109.00M,-33.00M,-106.00M,1.813B,7.00M,-43.00M,1.777B,6.00M,0.00,-2.00M,32.00M
2009-09,225.00M,,,-20.00M,-13.00M,78.00M,16.00M,94.00M,94.00M,9.00M,0.00,8.00M,319.00M,144.00M,,178.00M,-34.00M,24.00M,10.00M,322.00M,,641.00M,-66.00M,3.00M,3.00M,4.00M,9.00M,-4.00M,-54.00M,-2.00M,,-2.00M,8.00M,-32.00M,-24.00M,,-115.00M,21.00M,-120.00M,1.291B,467.00M,55.00M,1.813B,8.00M,0.00,-2.00M,-32.00M
2009-06,-189.00M,,,34.00M,61.00M,77.00M,16.00M,93.00M,93.00M,0.00,315.00M,,4.00M,-107.00M,,169.00M,-183.00M,153.00M,-102.00M,-70.00M,,214.00M,-74.00M,3.00M,3.00M,66.00M,2.00M,5.00M,2.00M,-401.00M,,-401.00M,9.00M,,9.00M,,-105.00M,-1.00M,-498.00M,1.414B,-282.00M,159.00M,1.291B,9.00M,1.00M,-402.00M,
2009-03,180.00M,,,16.00M,28.00M,74.00M,16.00M,90.00M,90.00M,16.00M,,,,9.00M,,-628.00M,-44.00M,-113.00M,12.00M,-764.00M,,-450.00M,-69.00M,1.00M,1.00M,-2.00M,6.00M,2.00M,-62.00M,395.00M,,395.00M,11.00M,,11.00M,,-102.00M,-44.00M,260.00M,1.685B,-252.00M,-19.00M,1.414B,11.00M,397.00M,-2.00M,
2008-12,91.00M,,,20.00M,14.00M,83.00M,19.00M,102.00M,102.00M,47.00M,540.00M,,98.00M,289.00M,,-207.00M,-9.00M,250.00M,66.00M,389.00M,,741.00M,-52.00M,0.00,334.00M,44.00M,64.00M,-54.00M,2.00M,-260.00M,,-2.00M,-53.00M,0.00,-53.00M,,-104.00M,,-198.00M,1.461B,545.00M,-321.00M,1.685B,-53.00M,0.00,-260.00M,0.00
2008-09,-13.00M,,,-12.00M,48.00M,81.00M,17.00M,98.00M,98.00M,-16.00M,-540.00M,,454.00M,252.00M,,347.00M,120.00M,-197.00M,-37.00M,485.00M,,516.00M,-110.00M,9.00M,-325.00M,-78.00M,6.00M,58.00M,-115.00M,256.00M,,-2.00M,96.00M,24.00M,120.00M,,-102.00M,,16.00M,1.165B,417.00M,-121.00M,1.461B,96.00M,,256.00M,24.00M
2008-06,67.00M,,,18.00M,22.00M,85.00M,18.00M,103.00M,103.00M,31.00M,115.00M,,7.00M,-68.00M,,-49.00M,-145.00M,40.00M,-25.00M,-247.00M,,98.00M,-102.00M,-1.00M,-1.00M,-35.00M,27.00M,-6.00M,-117.00M,-3.00M,,-3.00M,12.00M,-4.00M,8.00M,,-103.00M,,-98.00M,1.285B,-117.00M,-3.00M,1.165B,12.00M,0.00,-3.00M,-4.00M
2008-03,-207.00M,,,-6.00M,-12.00M,83.00M,18.00M,101.00M,101.00M,41.00M,425.00M,,15.00M,-203.00M,,-475.00M,16.00M,-93.00M,-23.00M,-778.00M,,-415.00M,-122.00M,3.00M,3.00M,-1.00M,0.00,2.00M,-118.00M,-253.00M,,-253.00M,13.00M,-20.00M,-7.00M,,-103.00M,,-363.00M,2.133B,-896.00M,48.00M,1.285B,13.00M,0.00,-253.00M,-20.00M
2007-12,85.00M,,,,4.00M,88.00M,16.00M,104.00M,104.00M,-56.00M,,,9.00M,42.00M,,45.00M,-26.00M,-922.00M,259.00M,-602.00M,,-456.00M,-116.00M,3.362B,3.246B,-3.426B,179.00M,0.00,-1.00M,,,-6.00M,17.00M,0.00,17.00M,,-100.00M,,-89.00M,2.819B,-546.00M,-140.00M,2.133B,17.00M,,,0.00
2007-09,1.945B,,,,-1.923B,84.00M,18.00M,102.00M,102.00M,21.00M,,,10.00M,4.00M,,-151.00M,61.00M,193.00M,78.00M,185.00M,,340.00M,-97.00M,1.00M,-96.00M,3.222B,-81.00M,-1.00M,3.044B,,,-1.081B,46.00M,-800.00M,-754.00M,,-103.00M,,-1.938B,1.193B,1.446B,180.00M,2.819B,46.00M,,,-800.00M
2007-06,177.00M,,,,-40.00M,94.00M,22.00M,116.00M,116.00M,9.00M,,,25.00M,-171.00M,,-98.00M,58.00M,247.00M,-209.00M,-173.00M,,114.00M,-79.00M,5.00M,-74.00M,-2.00M,136.00M,9.00M,69.00M,,,289.00M,24.00M,-500.00M,-476.00M,,-105.00M,,-292.00M,1.272B,-109.00M,30.00M,1.193B,24.00M,,,-500.00M
2007-03,268.00M,,,,-50.00M,100.00M,20.00M,120.00M,120.00M,38.00M,,,27.00M,-196.00M,,-146.00M,277.00M,-687.00M,-34.00M,-786.00M,,-383.00M,-86.00M,,-86.00M,,-23.00M,-7.00M,-116.00M,,,-319.00M,99.00M,,99.00M,,-105.00M,,-325.00M,2.089B,-824.00M,7.00M,1.272B,99.00M,,,
