,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2020-09,1.595B,17.02M,1.612B,449.38M,,449.38M,20.40M,172.27M,73.00M,265.66M,,,29.82M,2.357B,0.00,17.72M,314.04M,1.334B,1.666B,-1.123B,542.42M,562.54M,82.68M,645.22M,,,108.92M,1.297B,3.654B,,53.66M,140.49M,157.35M,297.84M,144.26M,,,,,,,446.32M,994.38M,994.38M,,,141.64M,1.496B,1.943B,,2020-09,12.46M,,-14.60M,1.711B,,2020-09
2020-06,1.579B,35.54M,1.614B,404.78M,,404.78M,18.29M,164.06M,77.28M,259.63M,,,39.22M,2.318B,0.00,17.72M,313.00M,1.324B,1.655B,-1.104B,550.41M,562.54M,87.96M,650.50M,,,110.57M,1.311B,3.629B,,43.46M,135.44M,164.90M,300.34M,148.92M,,,,,,,453.33M,994.02M,994.02M,,,139.42M,1.519B,1.972B,,2020-06,0.266M,,-14.60M,1.657B,,2020-06
2020-03,1.639B,47.11M,1.686B,378.27M,,378.27M,14.52M,148.67M,57.49M,220.69M,,,25.29M,2.310B,0.00,17.72M,314.32M,1.335B,1.667B,-1.102B,564.64M,532.25M,44.64M,576.89M,,,97.38M,1.239B,3.549B,,39.81M,123.33M,148.10M,271.43M,111.24M,,,,,,,387.93M,993.66M,993.66M,,,112.99M,1.541B,1.929B,,2020-03,0.267M,,-12.65M,1.620B,,2020-03
2019-12,1.720B,63.01M,1.783B,348.34M,,348.34M,13.22M,142.55M,68.18M,223.96M,,,23.80M,2.379B,0.00,17.72M,306.05M,1.338B,1.662B,-1.091B,571.36M,532.25M,48.51M,580.76M,,,95.41M,1.248B,3.627B,,38.31M,127.76M,121.08M,248.84M,105.24M,,,,,,,360.47M,993.30M,993.30M,,,112.80M,1.540B,1.900B,,2019-12,0.27M,,-11.29M,1.727B,,2019-12
2019-09,1.695B,98.18M,1.793B,370.32M,,370.32M,17.08M,148.35M,70.52M,235.96M,,,24.98M,2.425B,0.00,17.72M,287.44M,1.361B,1.666B,-1.092B,574.10M,532.25M,52.38M,584.63M,,,97.44M,1.256B,3.681B,,31.70M,113.50M,138.81M,252.31M,90.21M,,,,,,,342.52M,992.94M,992.94M,,,117.90M,1.557B,1.900B,,2019-09,0.271M,,-12.00M,1.781B,,2019-09
2019-06,1.757B,140.99M,1.898B,360.02M,,360.02M,16.12M,160.27M,70.12M,246.51M,,,34.64M,2.540B,0.00,17.72M,265.19M,1.368B,1.651B,-1.073B,577.72M,532.25M,56.24M,588.49M,,,38.27M,1.204B,3.744B,,33.76M,118.10M,147.77M,265.87M,100.49M,,,,,,,371.17M,992.58M,992.58M,,,65.54M,1.528B,1.899B,,2019-06,0.272M,,-11.35M,1.845B,,2019-06
2019-03,1.655B,243.86M,1.898B,381.15M,,381.15M,18.80M,172.02M,82.01M,272.83M,,,24.36M,2.577B,0.00,17.73M,258.64M,1.359B,1.635B,-1.063B,571.96M,532.25M,61.04M,593.29M,,,61.84M,1.227B,3.804B,,44.18M,130.98M,162.01M,292.99M,106.01M,,,,,,,399.00M,992.22M,992.22M,,,61.10M,1.742B,2.141B,,2019-03,0.279M,,-10.47M,1.663B,,2019-03
2018-12,1.407B,553.90M,1.961B,391.42M,,391.42M,16.83M,171.29M,90.81M,278.92M,,,26.93M,2.658B,0.00,17.73M,258.68M,1.340B,1.616B,-1.044B,571.98M,532.25M,67.16M,599.41M,,,59.61M,1.231B,3.889B,,39.51M,139.08M,136.80M,275.88M,130.60M,,,,,,,406.48M,991.87M,991.87M,,,62.12M,1.727B,2.134B,,2018-12,0.279M,,-11.34M,1.755B,,2018-12
2018-09,1.599B,964.64M,2.563B,439.41M,,439.41M,15.11M,170.19M,90.07M,275.37M,,,33.33M,3.312B,0.00,17.73M,258.40M,1.323B,1.599B,-1.026B,573.01M,532.25M,74.78M,607.04M,,,56.98M,1.237B,4.549B,,60.88M,144.96M,148.36M,293.33M,135.19M,499.76M,499.76M,,,,,928.28M,991.51M,991.51M,,,64.28M,1.708B,2.636B,,2018-09,0.279M,,-12.72M,1.912B,,2018-09
2018-06,1.543B,1.083B,2.626B,280.07M,,280.07M,16.25M,173.86M,92.28M,282.39M,,,21.55M,3.210B,0.00,17.73M,254.73M,1.309B,1.582B,-1.003B,579.36M,532.25M,78.25M,610.50M,,,51.29M,1.241B,4.452B,,17.96M,110.53M,187.46M,297.99M,,499.41M,499.41M,0.00,0.00,,,797.40M,991.15M,991.15M,,,70.74M,1.723B,2.521B,,2018-06,0.279M,,-14.98M,1.931B,,2018-06
2018-03,1.630B,1.095B,2.724B,320.55M,,320.55M,18.79M,176.75M,78.08M,273.62M,,,22.28M,3.341B,0.00,17.73M,254.16M,1.307B,1.579B,-989.34M,589.18M,532.90M,90.85M,623.75M,,,69.43M,1.282B,4.623B,,24.34M,108.75M,196.16M,304.90M,,499.05M,499.05M,0.00,0.00,,,803.95M,990.79M,990.79M,,,59.50M,1.868B,2.672B,,2018-03,0.283M,,-13.20M,1.951B,,2018-03
2017-12,1.632B,1.192B,2.823B,235.70M,,235.70M,15.01M,163.65M,80.94M,259.60M,,,24.15M,3.343B,0.00,17.73M,253.24M,1.320B,1.591B,-993.03M,597.82M,491.02M,67.72M,558.73M,,,65.24M,1.222B,4.565B,,10.52M,95.29M,151.40M,246.70M,,498.69M,498.69M,,,,,745.39M,990.43M,990.43M,,,41.74M,1.833B,2.579B,,2017-12,0.283M,,-11.79M,1.986B,,2017-12
2017-09,1.577B,1.197B,2.774B,233.22M,,233.22M,13.22M,154.31M,77.82M,245.35M,,,55.03M,3.308B,0.00,17.73M,252.03M,1.299B,1.568B,-972.83M,595.62M,491.02M,79.85M,570.86M,,,61.94M,1.228B,4.536B,,3.688M,70.60M,146.32M,216.92M,,,,16.99M,16.99M,,,233.91M,1.488B,1.488B,1.436M,1.436M,40.68M,2.104B,2.338B,,2017-09,0.283M,,-9.591M,2.198B,,2017-09
2017-06,2.246B,498.72M,2.745B,256.45M,,256.45M,11.78M,151.61M,83.85M,247.24M,,,57.06M,3.306B,0.00,18.95M,254.51M,1.286B,1.559B,-952.92M,606.58M,491.02M,90.87M,581.88M,,,76.18M,1.265B,4.570B,,3.688M,81.06M,182.96M,264.02M,,,,14.97M,14.97M,,,279.00M,1.488B,1.488B,,,43.37M,2.089B,2.368B,,2017-06,0.283M,,-9.89M,2.203B,,2017-06
2017-03,1.657B,499.15M,2.156B,257.59M,,257.59M,10.76M,149.01M,81.67M,241.44M,,,60.20M,2.715B,0.00,18.95M,254.65M,1.349B,1.623B,-985.87M,636.84M,491.02M,103.98M,595.00M,,,70.84M,1.303B,4.018B,,4.538M,87.48M,170.91M,258.39M,,,,35.72M,35.72M,,,294.11M,991.88M,991.88M,,,37.46M,1.563B,1.857B,,2017-03,0.284M,,-9.735M,2.160B,,2017-03
2016-12,1.687B,399.46M,2.087B,224.34M,,224.34M,10.86M,144.72M,80.46M,236.04M,,,75.28M,2.623B,0.00,18.95M,254.22M,1.365B,1.639B,-977.96M,660.66M,491.02M,117.39M,608.41M,,,56.34M,1.325B,3.948B,,3.138M,73.64M,150.89M,224.54M,,,,36.14M,36.14M,,,260.67M,991.28M,991.28M,,,37.33M,1.543B,1.804B,,2016-12,0.284M,,-11.79M,2.144B,,2016-12
2016-09,2.092B,175.44M,2.268B,253.52M,,253.52M,7.164M,143.87M,72.45M,223.48M,,,89.40M,2.834B,0.00,18.95M,245.84M,1.370B,1.635B,-956.59M,678.45M,491.02M,131.50M,622.51M,,,57.74M,1.359B,4.193B,,3.138M,86.73M,159.70M,246.42M,,249.79M,249.79M,35.75M,35.75M,,,531.97M,990.68M,990.68M,,,37.37M,1.525B,2.057B,,2016-09,0.284M,,-6.374M,2.135B,,2016-09
2016-06,2.105B,125.44M,2.231B,256.53M,,256.53M,6.505M,148.76M,72.66M,227.93M,,,91.92M,2.807B,0.00,18.95M,240.51M,1.370B,1.630B,-937.23M,692.55M,490.65M,146.54M,637.19M,,,97.83M,1.428B,4.235B,,21.15M,103.69M,217.22M,320.91M,,249.72M,249.72M,38.78M,38.78M,,,609.40M,990.09M,990.09M,0.756M,0.756M,45.91M,1.517B,2.127B,,2016-06,0.284M,,-14.22M,2.108B,,2016-06
2016-03,1.710B,150.08M,1.860B,278.50M,,278.50M,9.61M,156.06M,68.94M,234.60M,,,88.39M,2.462B,0.00,24.63M,276.28M,1.401B,1.702B,-953.24M,748.78M,490.65M,196.85M,687.50M,11.81M,23.12M,38.35M,1.520B,3.981B,,30.91M,113.60M,193.97M,307.58M,,,,34.46M,34.46M,,,342.03M,1.00B,1.00B,0.643M,0.643M,48.93M,1.501B,1.843B,,2016-03,0.28M,,-16.28M,2.139B,,2016-03
2015-12,1.649B,124.96M,1.773B,231.18M,,231.18M,12.61M,178.65M,83.48M,274.74M,,0.00,47.24M,2.327B,0.00,24.63M,275.82M,1.432B,1.732B,-961.69M,770.55M,490.65M,211.88M,702.53M,,23.12M,114.66M,1.611B,3.937B,,32.53M,106.67M,176.51M,283.18M,,,,32.07M,32.07M,,,315.25M,1.00B,1.00B,0.651M,0.651M,52.87M,1.473B,1.789B,,2015-12,63.01M,,-17.53M,2.149B,,2015-12
2015-09,1.508B,100.28M,1.609B,282.47M,,282.47M,12.70M,204.07M,73.94M,290.71M,,50.60M,46.63M,2.279B,0.00,24.63M,267.18M,1.458B,1.750B,-944.49M,805.58M,511.65M,251.21M,762.85M,,,97.41M,1.666B,3.945B,,59.48M,140.23M,170.63M,310.86M,,,,35.09M,35.09M,,,345.95M,1.00B,1.00B,10.60M,10.60M,53.72M,1.484B,1.830B,,2015-09,10.82M,,-17.60M,2.115B,,2015-09
2015-06,1.551B,75.15M,1.626B,278.84M,,278.84M,12.93M,199.72M,75.83M,288.47M,,77.31M,48.66M,2.319B,0.00,45.04M,338.39M,1.971B,2.354B,-1.264B,1.091B,511.65M,261.65M,773.30M,,,32.63M,1.897B,4.216B,,34.78M,123.10M,228.72M,351.83M,,1.024M,1.024M,30.33M,30.33M,,,383.18M,987.69M,987.69M,90.59M,90.59M,54.22M,1.543B,1.926B,,2015-06,0.283M,,-17.23M,2.290B,,2015-06
2015-03,1.392B,75.14M,1.467B,278.43M,,278.43M,12.75M,200.78M,83.74M,297.27M,,71.35M,66.30M,2.181B,0.00,47.54M,374.00M,2.054B,2.475B,-1.320B,1.156B,511.82M,283.38M,795.21M,,,36.23M,1.987B,4.168B,,20.10M,105.46M,219.32M,324.78M,,,,30.55M,30.55M,,,355.33M,1.00B,1.00B,116.28M,116.28M,56.41M,1.559B,1.914B,,2015-03,12.36M,,-18.52M,2.254B,,2015-03
