,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.126B,2.199B,3.324B,269.60M,,269.60M,27.55M,206.61M,65.95M,300.11M,73.11M,,,3.967B,,,,,,,1.008B,-656.76M,351.51M,620.70M,182.21M,802.91M,,,627.30M,1.782B,5.749B,,110.08M,30.04M,,140.12M,474.11M,614.23M,,499.86M,,499.86M,,,,,1.114B,1.492B,1.492B,,,,71.06M,2.036B,3.150B,,2.451M,1.315B,1.283B,,,,,-1.822M,2.599B,,AOR,
2020-09,1.171B,1.925B,3.096B,362.50M,,362.50M,28.24M,179.53M,74.28M,282.05M,73.03M,,,3.814B,,,,,,,999.41M,-641.93M,357.48M,619.41M,181.23M,800.64M,,,604.30M,1.762B,5.576B,,106.02M,38.39M,,144.41M,446.50M,590.91M,499.66M,499.66M,,499.66M,,,,,1.091B,1.492B,1.492B,,,,70.06M,2.033B,3.123B,,2.45M,1.237B,1.221B,,,,,-8.288M,2.453B,,AOR,
2020-06,1.227B,1.772B,2.999B,305.18M,,305.18M,33.97M,188.32M,69.92M,292.21M,67.94M,,,3.665B,,,,,,,993.03M,-631.50M,361.53M,619.20M,190.78M,809.98M,,,608.59M,1.780B,5.445B,,102.52M,54.25M,,156.76M,391.01M,547.78M,499.46M,499.46M,,499.46M,,,,,1.047B,1.492B,1.492B,,,,81.72M,2.078B,3.125B,,2.432M,1.137B,1.195B,,,,,-14.24M,2.320B,,AOR,
2020-03,1.778B,489.51M,2.267B,273.03M,,273.03M,35.56M,204.50M,64.28M,304.34M,64.56M,,,2.909B,0.00,65.30M,376.88M,547.14M,57.82M,,1.047B,-616.74M,430.39M,619.20M,321.78M,940.98M,101.03M,149.42M,51.29M,1.784B,4.693B,,102.13M,36.22M,,138.35M,215.83M,354.18M,499.26M,499.26M,11.11M,510.37M,,121.94M,,,1.086B,747.11M,747.11M,,,,98.11M,1.293B,2.378B,,2.438M,1.188B,1.145B,,,,,-20.28M,2.315B,,AOR,
2019-12,1.292B,1.133B,2.425B,253.55M,,253.55M,34.52M,232.08M,61.62M,328.21M,121.10M,,,3.128B,,,,,,,983.83M,-605.59M,378.24M,619.20M,210.44M,829.64M,0.00,,615.32M,1.823B,4.951B,,102.69M,24.22M,,126.91M,388.97M,515.88M,,,,,,,,,515.88M,1.246B,1.246B,,,,100.19M,1.794B,2.310B,,2.489M,1.545B,1.106B,,,,,-12.10M,2.641B,,AOR,Restated
2019-09,1.604B,912.03M,2.516B,335.50M,,335.50M,42.19M,244.76M,48.32M,335.26M,71.40M,,,3.258B,,,,,,,960.10M,-597.94M,362.16M,620.85M,220.06M,840.91M,0.00,,558.83M,1.762B,5.020B,,107.10M,17.18M,,124.28M,381.55M,505.83M,,,,,,,,,505.83M,1.246B,1.246B,,,,95.89M,1.818B,2.324B,,2.515M,1.732B,978.22M,,,,,-17.14M,2.696B,,AOR,Restated
2019-06,1.590B,1.293B,2.883B,305.96M,,305.96M,40.59M,233.15M,63.02M,336.76M,63.72M,,,3.590B,,,,,,,937.47M,-586.91M,350.56M,354.25M,95.24M,449.49M,54.85M,,523.43M,1.378B,4.968B,,121.38M,49.44M,,170.82M,326.29M,497.11M,,,,,,,,,497.11M,1.245B,1.245B,,,,98.62M,1.858B,2.355B,,2.51M,1.743B,880.30M,,,,,-13.47M,2.613B,,AOR,Restated
2019-03,1.544B,1.631B,3.176B,335.16M,,335.16M,39.73M,213.78M,61.85M,315.36M,65.77M,,,3.892B,0.00,65.30M,353.91M,483.78M,,,902.99M,-574.06M,328.93M,340.72M,178.13M,518.85M,128.07M,126.70M,47.55M,1.259B,5.151B,,117.49M,28.72M,,146.21M,89.61M,235.82M,,,0.00,0.00,,118.56M,,,475.04M,1.235B,1.235B,,,,64.80M,1.815B,2.290B,,2.539M,1.877B,1.005B,,,,,-23.41M,2.862B,,AOR,Restated
2018-12,1.930B,1.540B,3.470B,359.37M,,359.37M,30.78M,197.79M,54.76M,283.33M,60.00M,,,4.172B,,,,,,,880.28M,-563.02M,317.26M,340.72M,82.53M,423.25M,83.80M,,358.10M,1.182B,5.355B,,111.92M,41.84M,,153.76M,299.26M,453.02M,499.85M,499.85M,,499.85M,,,,,952.87M,1.221B,1.221B,,,,53.85M,1.765B,2.718B,,2.531M,1.724B,942.74M,,,,,-31.79M,2.637B,,AOR,Restated
2018-09,1.975B,1.306B,3.281B,372.98M,,372.98M,21.30M,175.21M,47.13M,243.64M,68.10M,,,3.965B,,,,,,,867.18M,-554.36M,312.81M,342.46M,84.46M,426.91M,91.63M,,350.90M,1.182B,5.148B,,107.10M,31.44M,,138.53M,293.38M,431.91M,499.63M,499.63M,,499.63M,,,,,931.54M,1.202B,1.202B,,,,75.57M,1.771B,2.703B,,2.53M,1.576B,906.62M,,,,,-40.74M,2.445B,,AOR,Restated
2018-06,1.677B,1.687B,3.364B,456.90M,,456.90M,17.40M,169.93M,59.67M,247.00M,57.45M,,,4.126B,,,,,,,871.41M,-559.33M,312.08M,162.42M,3.763M,166.18M,91.70M,,359.68M,929.65M,5.055B,,105.48M,82.41M,,187.89M,255.30M,443.19M,499.41M,499.41M,,499.41M,,,,,942.60M,1.207B,1.207B,,,,56.40M,1.794B,2.737B,,2.515M,1.457B,894.59M,,,,,-35.93M,2.319B,,AOR,Restated
2018-03,2.179B,1.268B,3.448B,382.25M,,382.25M,14.67M,167.04M,54.36M,236.08M,88.70M,,,4.155B,0.00,65.30M,343.37M,446.35M,,,855.02M,-550.91M,304.12M,162.42M,4.123M,166.54M,97.90M,96.85M,145.24M,905.96M,5.061B,,99.00M,47.71M,,146.71M,67.30M,214.01M,499.19M,499.19M,,499.19M,,103.43M,,,911.94M,1.214B,1.214B,,,,49.94M,1.788B,2.700B,,2.534M,1.514B,878.67M,,,,,-34.51M,2.360B,,AOR,Restated
2017-12,911.46M,2.630B,3.542B,348.46M,,348.46M,16.81M,164.61M,45.12M,226.53M,81.31M,,,4.198B,,,,,,,862.15M,-558.16M,303.98M,162.42M,4.708M,167.13M,102.38M,,348.25M,921.74M,5.120B,,94.59M,37.28M,,131.87M,297.55M,429.42M,,,,,32.97M,32.97M,,,462.40M,1.730B,1.730B,0.11M,0.11M,,30.75M,2.293B,2.755B,,2.547M,1.528B,855.20M,,,,,-21.50M,2.365B,,AOR,Restated
2017-09,1.070B,2.490B,3.560B,286.86M,,286.86M,16.70M,152.25M,46.45M,215.40M,109.76M,,,4.172B,,,,,,,855.02M,-550.90M,304.12M,161.29M,2.361M,163.65M,99.86M,,290.99M,858.62M,5.031B,,88.34M,6.766M,,95.11M,277.15M,372.26M,,,,,50.97M,50.97M,,,423.22M,1.739B,1.739B,359.32M,359.32M,,18.27M,2.122B,2.545B,,2.486M,1.676B,823.96M,,,,,-16.22M,2.486B,,AOR,Restated
2017-06,1.059B,2.588B,3.648B,268.26M,,268.26M,14.21M,152.82M,48.18M,215.21M,96.88M,,,4.228B,,,,,,,846.19M,-542.98M,303.21M,161.29M,2.871M,164.16M,106.86M,,284.92M,859.15M,5.087B,,106.23M,8.282M,,114.52M,281.57M,396.08M,,,,,43.75M,43.75M,,,439.83M,1.737B,1.737B,346.57M,346.57M,,19.69M,2.109B,2.549B,,2.481M,1.744B,808.82M,,,,,-16.63M,2.538B,,AOR,Restated
2017-03,966.70M,2.355B,3.321B,243.92M,,243.92M,14.52M,161.12M,51.40M,227.03M,87.71M,,,3.880B,0.00,65.30M,339.92M,434.24M,,,839.46M,-535.63M,303.82M,161.29M,3.576M,164.86M,116.29M,,275.44M,860.42M,4.741B,,108.29M,6.309M,,114.60M,101.89M,216.49M,456.33M,456.33M,,456.33M,54.57M,142.68M,,,897.20M,995.25M,995.25M,317.64M,317.64M,,16.91M,1.334B,2.231B,,2.48M,1.726B,803.52M,,,,,-24.68M,2.509B,,AOR,Restated
2016-12,839.55M,2.415B,3.254B,340.85M,,340.85M,15.35M,147.65M,42.92M,205.93M,115.14M,,,3.916B,,,,,,,836.48M,-534.98M,301.50M,161.29M,4.759M,166.05M,183.08M,,269.60M,920.24M,4.836B,,118.63M,6.334M,,124.96M,236.66M,361.62M,594.79M,594.79M,,594.79M,53.63M,53.63M,,,1.010B,994.84M,994.84M,323.78M,323.78M,,17.60M,1.342B,2.352B,,2.488M,1.729B,778.11M,,,,,-30.44M,2.484B,,AOR,Restated
2016-09,690.49M,2.799B,3.490B,227.76M,,227.76M,14.22M,149.76M,32.94M,196.92M,104.69M,,,4.019B,,,,,,,834.31M,-541.82M,292.49M,161.29M,6.123M,167.41M,198.54M,,268.08M,926.53M,4.946B,,103.24M,8.233M,,111.47M,237.28M,348.75M,591.67M,591.67M,,591.67M,57.40M,57.40M,,,997.82M,994.44M,994.44M,294.88M,294.88M,,18.29M,1.315B,2.313B,,2.525M,1.854B,773.51M,,,,,-5.209M,2.633B,,AOR,Restated
2016-06,582.36M,2.936B,3.518B,217.01M,,217.01M,15.74M,143.80M,35.74M,195.28M,91.43M,,,4.022B,,,,,,,826.21M,-533.86M,292.36M,159.30M,4.958M,164.25M,209.02M,,239.15M,904.78M,4.926B,,113.32M,18.93M,,132.25M,259.04M,391.29M,588.54M,588.54M,,588.54M,71.54M,71.54M,,,1.051B,994.04M,994.04M,263.41M,263.41M,,1.077M,1.275B,2.327B,,2.534M,1.864B,726.66M,,,,,-3.405M,2.600B,,AOR,Restated
2016-03,503.82M,2.834B,3.338B,307.46M,,307.46M,15.35M,123.68M,39.53M,178.55M,92.95M,,,3.917B,0.00,65.30M,310.80M,434.49M,,,810.58M,-527.24M,283.35M,159.30M,6.202M,165.50M,220.81M,,232.96M,902.61M,4.819B,,101.53M,6.286M,,107.82M,51.40M,159.22M,585.42M,585.42M,,585.42M,51.76M,125.94M,,,944.40M,993.64M,993.64M,261.47M,261.47M,,1.09M,1.272B,2.216B,,2.537M,1.867B,726.92M,,,,,-6.631M,2.603B,,AOR,Restated
