,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,2.25B,2.25B,1.094B,1.094B,434.00M,3.778B,,,,759.00M,759.00M,,759.00M,6.01B,4.634B,10.64B,288.00M,306.00M,12.00B,15.78B,,1.161B,51.00M,1.212B,,1.212B,,1.885B,,1.885B,324.00M,324.00M,,3.421B,8.125B,363.00M,8.488B,1.004B,1.004B,188.00M,642.00M,10.13B,13.56B,,32.00M,-1.251B,4.356B,,-1.105B,2.032B,,AOR,
2020-06,438.00M,438.00M,1.131B,1.131B,504.00M,2.073B,,,,779.00M,779.00M,,779.00M,5.984B,4.698B,10.68B,276.00M,312.00M,12.05B,14.12B,,1.10B,,1.10B,,1.10B,,291.00M,,291.00M,361.00M,361.00M,,1.752B,8.13B,372.00M,8.502B,1.016B,1.016B,186.00M,645.00M,10.16B,11.92B,,32.00M,-1.258B,4.359B,,-1.112B,2.021B,,AOR,
2020-03,359.00M,359.00M,1.182B,1.182B,473.00M,2.014B,,,,804.00M,804.00M,,804.00M,5.979B,4.806B,10.78B,267.00M,323.00M,12.18B,14.19B,,1.077B,35.00M,1.112B,,1.112B,,1.054B,,1.054B,402.00M,402.00M,,2.568B,7.359B,363.00M,7.722B,1.031B,1.031B,187.00M,641.00M,9.394B,11.96B,,32.00M,-1.228B,4.37B,,-1.13B,2.044B,,AOR,
2019-12,454.00M,454.00M,1.103B,1.103B,420.00M,1.977B,383.00M,,1.211B,393.00M,1.987B,-1.128B,859.00M,5.993B,4.881B,10.87B,276.00M,333.00M,12.34B,14.32B,,230.00M,60.00M,290.00M,564.00M,854.00M,914.00M,914.00M,111.00M,1.025B,345.00M,345.00M,277.00M,2.501B,7.395B,370.00M,7.765B,1.052B,1.052B,193.00M,613.00M,9.43B,11.93B,,32.00M,-1.21B,4.378B,,-1.005B,2.195B,,AOR,
2019-09,389.00M,389.00M,1.146B,1.146B,412.00M,1.947B,,,,848.00M,848.00M,,848.00M,5.973B,4.911B,10.88B,322.00M,342.00M,12.40B,14.34B,,1.087B,74.00M,1.161B,,1.161B,,298.00M,,298.00M,316.00M,316.00M,,1.775B,8.189B,393.00M,8.582B,1.068B,1.068B,198.00M,565.00M,10.22B,11.99B,,32.00M,-1.101B,4.39B,,-1.166B,2.155B,,AOR,Restated
2019-06,393.00M,393.00M,1.227B,1.227B,406.00M,2.026B,,,,903.00M,903.00M,,903.00M,7.017B,4.981B,12.00B,329.00M,332.00M,13.56B,15.59B,,1.024B,90.00M,1.114B,,1.114B,,412.00M,,412.00M,363.00M,363.00M,,1.889B,8.233B,418.00M,8.651B,1.078B,1.078B,199.00M,982.00M,10.71B,12.60B,,32.00M,-629.00M,4.501B,,-1.115B,2.789B,,AOR,Restated
2019-03,402.00M,402.00M,1.221B,1.221B,424.00M,2.047B,,,,979.00M,979.00M,,979.00M,7.009B,5.02B,12.03B,334.00M,353.00M,13.70B,15.74B,,1.071B,85.00M,1.156B,,1.156B,,385.00M,,385.00M,376.00M,376.00M,,1.917B,8.242B,468.00M,8.71B,1.10B,1.10B,199.00M,1.026B,10.84B,12.75B,,32.00M,-752.00M,4.614B,,-1.104B,2.79B,,AOR,Restated
2018-12,524.00M,524.00M,1.118B,1.118B,361.00M,2.003B,378.00M,,1.123B,,1.501B,-1.033B,468.00M,6.987B,5.024B,12.01B,333.00M,364.00M,13.18B,15.18B,,288.00M,76.00M,364.00M,510.00M,874.00M,107.00M,107.00M,0.00,107.00M,355.00M,355.00M,321.00M,1.657B,8.28B,0.00,8.28B,1.108B,1.108B,196.00M,1.091B,10.48B,12.14B,,32.00M,-795.00M,4.72B,,-1.11B,2.847B,,AOR,Restated
2018-09,446.00M,446.00M,1.249B,1.249B,352.00M,2.047B,,,,,,,461.00M,8.454B,5.053B,13.51B,166.00M,454.00M,14.59B,16.64B,,996.00M,146.00M,1.142B,,1.142B,,307.00M,,307.00M,345.00M,345.00M,,1.794B,8.304B,,8.304B,1.406B,1.406B,198.00M,916.00M,10.63B,12.42B,,32.00M,281.00M,4.714B,,-1.01B,4.017B,,AOR,Restated
2018-06,394.00M,394.00M,1.32B,1.32B,406.00M,2.12B,,,,,,,471.00M,8.441B,5.068B,13.51B,169.00M,429.00M,14.58B,16.70B,,977.00M,108.00M,1.085B,,1.085B,,343.00M,,343.00M,361.00M,361.00M,,1.789B,8.321B,,8.321B,1.416B,1.416B,196.00M,927.00M,10.66B,12.45B,,32.00M,309.00M,4.723B,,-1.015B,4.049B,,AOR,Restated
