,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,10.00M,,3.00M,0.00,3.00M,217.00M,217.00M,8.00M,17.00M,,25.00M,53.00M,95.00M,35.00M,,-21.00M,162.00M,417.00M,,-113.00M,,-12.00M,-101.00M,12.00M,-2.00M,-103.00M,,1.534B,0.00,1.534B,,,,-21.00M,-21.00M,0.00,-18.00M,1.495B,,438.00M,1.809B,3.00M,2.25B,,,1.831B,-297.00M,,35.00M,56.00M,,AOR,
2020-06,-26.00M,,1.00M,1.00M,2.00M,224.00M,224.00M,45.00M,11.00M,,56.00M,65.00M,55.00M,-130.00M,,4.00M,-6.00M,250.00M,,-120.00M,,-10.00M,-110.00M,-1.00M,1.00M,-120.00M,,-32.00M,0.00,-32.00M,,,,-22.00M,-22.00M,0.00,-7.00M,-61.00M,,359.00M,69.00M,10.00M,438.00M,,,1.008B,-1.04B,,41.00M,140.00M,,AOR,
2020-03,-13.00M,,7.00M,,7.00M,214.00M,214.00M,,16.00M,,16.00M,-107.00M,-13.00M,-89.00M,,-20.00M,-229.00M,-5.00M,,-112.00M,,-4.00M,-108.00M,-27.00M,-3.00M,-142.00M,,110.00M,,110.00M,,,,-21.00M,-21.00M,-3.00M,-4.00M,82.00M,,454.00M,-65.00M,-30.00M,359.00M,,,135.00M,-25.00M,,52.00M,50.00M,,AOR,
2019-12,-108.00M,,171.00M,0.00,171.00M,206.00M,206.00M,0.00,11.00M,,11.00M,61.00M,55.00M,116.00M,,-47.00M,185.00M,470.00M,,-177.00M,,-58.00M,-119.00M,18.00M,-1.00M,-160.00M,,-220.00M,1.00M,-219.00M,,,,-22.00M,-22.00M,-2.00M,-11.00M,-254.00M,,389.00M,56.00M,9.00M,454.00M,,,-190.00M,-30.00M,,43.00M,136.00M,,AOR,
2019-09,-468.00M,,8.00M,0.00,8.00M,186.00M,186.00M,1.004B,13.00M,,1.017B,61.00M,13.00M,-404.00M,,0.00,-330.00M,413.00M,,-112.00M,,-14.00M,-98.00M,-2.00M,-18.00M,-132.00M,,-135.00M,0.00,-135.00M,,,,-124.00M,-124.00M,0.00,-9.00M,-268.00M,,393.00M,13.00M,-17.00M,389.00M,,,-106.00M,-29.00M,,63.00M,57.00M,,AOR,Restated
2019-06,126.00M,,1.00M,1.00M,2.00M,185.00M,185.00M,0.00,11.00M,,11.00M,-3.00M,46.00M,-114.00M,,-27.00M,-98.00M,226.00M,,-108.00M,,-14.00M,-94.00M,-1.00M,-1.00M,-110.00M,,5.00M,-1.00M,4.00M,,,,-125.00M,-125.00M,0.00,-5.00M,-126.00M,,402.00M,-10.00M,1.00M,393.00M,,,33.00M,-28.00M,,76.00M,138.00M,,AOR,Restated
2019-03,47.00M,,-2.00M,,-2.00M,179.00M,179.00M,,15.00M,,15.00M,-115.00M,-50.00M,-96.00M,,-21.00M,-282.00M,-43.00M,,-122.00M,,-30.00M,-92.00M,-59.00M,1.00M,-180.00M,,233.00M,,233.00M,,,,-124.00M,-124.00M,-2.00M,-3.00M,104.00M,,524.00M,-119.00M,-3.00M,402.00M,,,263.00M,-30.00M,,42.00M,55.00M,,AOR,Restated
2018-12,-949.00M,,6.00M,-2.00M,4.00M,171.00M,171.00M,1.413B,14.00M,,1.427B,143.00M,-6.00M,270.00M,,0.00,407.00M,546.00M,,-149.00M,0.00,-40.00M,-109.00M,47.00M,-1.00M,-103.00M,,-234.00M,-1.00M,-235.00M,,0.00,0.00,-124.00M,-124.00M,-1.00M,-3.00M,-363.00M,,446.00M,80.00M,-2.00M,524.00M,,,-204.00M,-30.00M,0.00,50.00M,138.00M,,AOR,Restated
2018-09,98.00M,,4.00M,1.00M,5.00M,175.00M,175.00M,0.00,1.00M,,1.00M,61.00M,38.00M,16.00M,,-7.00M,108.00M,387.00M,,-125.00M,4.00M,-18.00M,-103.00M,-9.00M,3.00M,-127.00M,,-68.00M,1.00M,-67.00M,,-10.00M,-10.00M,-124.00M,-124.00M,0.00,-4.00M,-205.00M,,394.00M,55.00M,-3.00M,446.00M,,,-42.00M,-26.00M,-10.00M,35.00M,46.00M,,AOR,Restated
2018-06,76.00M,,7.00M,1.00M,8.00M,162.00M,162.00M,,7.00M,,7.00M,1.00M,15.00M,-30.00M,,3.00M,-11.00M,242.00M,,-118.00M,,-18.00M,-100.00M,-28.00M,2.00M,-144.00M,,20.00M,0.00,20.00M,,-40.00M,-40.00M,-125.00M,-125.00M,6.00M,-9.00M,-148.00M,,462.00M,-50.00M,-18.00M,394.00M,,,832.00M,-812.00M,-40.00M,79.00M,145.00M,,AOR,Restated
2018-03,75.00M,,0.00,,0.00,167.00M,167.00M,,13.00M,,13.00M,-110.00M,-123.00M,-137.00M,,-2.00M,-372.00M,-117.00M,,-128.00M,,-26.00M,-102.00M,-2.00M,-2.00M,-132.00M,,168.00M,,168.00M,,-20.00M,-20.00M,-121.00M,-121.00M,15.00M,-2.00M,40.00M,,656.00M,-209.00M,15.00M,462.00M,,,195.00M,-27.00M,-20.00M,42.00M,51.00M,,AOR,Restated
2017-12,84.00M,,5.00M,0.00,5.00M,163.00M,163.00M,,10.00M,,10.00M,25.00M,-20.00M,66.00M,,11.00M,82.00M,506.00M,,-170.00M,14.00M,-50.00M,-106.00M,-181.00M,-11.00M,-348.00M,,-20.00M,5.00M,-15.00M,-21.00M,-23.00M,-44.00M,-121.00M,-121.00M,22.00M,-9.00M,-167.00M,,662.00M,-9.00M,3.00M,656.00M,,-21.00M,0.00,-15.00M,-23.00M,57.00M,138.00M,,AOR,Restated
2017-09,150.00M,,-3.00M,0.00,-3.00M,160.00M,160.00M,,8.00M,,8.00M,104.00M,33.00M,90.00M,,-4.00M,223.00M,538.00M,,-113.00M,0.00,-24.00M,-89.00M,-14.00M,-1.00M,-128.00M,,-119.00M,0.00,-119.00M,5.00M,-33.00M,-28.00M,-121.00M,-121.00M,2.00M,-5.00M,-271.00M,,510.00M,139.00M,13.00M,662.00M,,5.00M,-101.00M,-18.00M,-33.00M,53.00M,50.00M,,AOR,Restated
