,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.563B,1.563B,663.00M,900.00M,451.00M,-58.00M,92.00M,0.00,-92.00M,668.00M,232.00M,0.00,92.00M,-92.00M,-61.00M,-92.00M,79.00M,69.00M,10.00M,,-3.00M,7.00M,51.53M,388.00M,217.00M,171.00M,,0.02,,0.1448,0.02,,0.02,,0.1442,0.02,,356.91M,358.44M,0.06,,AOR,
2020-06,1.496B,1.496B,664.00M,832.00M,451.00M,-129.00M,91.00M,0.00,-91.00M,675.00M,157.00M,0.00,91.00M,-91.00M,-130.00M,-91.00M,-64.00M,-38.00M,-26.00M,,-4.00M,-30.00M,61.98M,251.00M,224.00M,27.00M,,-0.08,,0.1779,-0.08,,-0.08,,0.1779,-0.08,,356.67M,356.67M,0.06,,AOR,
2020-03,1.559B,1.559B,721.00M,838.00M,515.00M,-11.00M,94.00M,1.00M,-93.00M,729.00M,109.00M,1.00M,94.00M,-93.00M,-18.00M,-93.00M,-2.00M,11.00M,-13.00M,,-5.00M,-18.00M,-5.59M,306.00M,214.00M,92.00M,,-0.05,,-0.0152,-0.05,,-0.05,,-0.0152,-0.05,,356.39M,356.39M,0.06,,AOR,
2019-12,1.691B,1.691B,734.00M,957.00M,499.00M,-28.00M,98.00M,2.00M,-96.00M,705.00M,252.00M,2.00M,98.00M,-96.00M,-199.00M,-96.00M,-43.00M,65.00M,-108.00M,,-1.00M,-109.00M,-88.56M,261.00M,206.00M,55.00M,,-0.31,,-0.2526,-0.31,,-0.31,,-0.2526,-0.31,,356.06M,356.06M,0.06,,AOR,
2019-09,1.616B,1.616B,694.00M,922.00M,467.00M,-1.009B,100.00M,1.00M,-99.00M,653.00M,269.00M,1.00M,100.00M,-99.00M,-1.018B,-99.00M,-848.00M,-380.00M,-468.00M,,-4.00M,-472.00M,238.50M,-562.00M,186.00M,-748.00M,,-1.33,,0.6670,-1.33,,-1.33,,0.6670,-1.33,,355.78M,355.78M,0.35,,AOR,Restated
2019-06,1.628B,1.628B,699.00M,929.00M,483.00M,-12.00M,100.00M,1.00M,-99.00M,668.00M,261.00M,1.00M,100.00M,-99.00M,-13.00M,-99.00M,149.00M,23.00M,126.00M,,-3.00M,123.00M,131.97M,434.00M,185.00M,249.00M,,0.35,,0.3752,0.35,,0.34,,0.3652,0.34,,355.63M,356.63M,0.35,,AOR,Restated
2019-03,1.563B,1.563B,695.00M,868.00M,480.00M,-35.00M,99.00M,2.00M,-97.00M,659.00M,209.00M,2.00M,99.00M,-97.00M,-33.00M,-97.00M,79.00M,32.00M,47.00M,,-4.00M,43.00M,69.22M,357.00M,179.00M,178.00M,,0.12,,0.1938,0.12,,0.12,,0.1936,0.12,,355.44M,356.36M,0.35,,AOR,Restated
2018-12,1.658B,1.658B,707.00M,951.00M,507.00M,-1.444B,99.00M,2.00M,-97.00M,678.00M,273.00M,2.00M,99.00M,-97.00M,-1.45B,-97.00M,-1.274B,-324.00M,-949.00M,,-3.00M,-952.00M,127.75M,-1.004B,171.00M,-1.175B,,-2.68,,0.3599,-2.68,,-2.68,,0.3599,-2.68,,355.20M,355.20M,0.35,,AOR,Restated
2018-09,1.60B,1.60B,681.00M,919.00M,464.00M,-19.00M,99.00M,2.00M,-97.00M,639.00M,280.00M,2.00M,99.00M,-97.00M,-26.00M,-97.00M,157.00M,59.00M,98.00M,,-2.00M,96.00M,112.74M,431.00M,175.00M,256.00M,,0.27,,0.3172,0.27,,0.27,,0.3171,0.27,,354.99M,355.56M,0.35,,AOR,Restated
2018-06,1.647B,1.647B,698.00M,949.00M,494.00M,-65.00M,100.00M,2.00M,-98.00M,656.00M,293.00M,2.00M,100.00M,-98.00M,-74.00M,-98.00M,121.00M,44.00M,76.00M,,-4.00M,72.00M,116.16M,383.00M,162.00M,221.00M,,0.20,,0.3241,0.20,,0.20,,0.3239,0.20,,355.77M,356.38M,0.35,,AOR,Restated
