,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.628B,1.628B,733.00M,895.00M,12.00M,128.00M,110.00M,7.00M,-103.00M,,401.00M,494.00M,7.00M,110.00M,-103.00M,41.00M,-103.00M,432.00M,63.00M,369.00M,,,-2.00M,367.00M,356.80M,542.00M,,2020-09,1.48,,1.48,,2020-09,1.47,,1.47,,2020-09,0.495,,2020-09,AOR,
2020-06,1.398B,1.398B,654.00M,744.00M,8.00M,119.00M,108.00M,7.00M,-101.00M,,390.00M,354.00M,7.00M,108.00M,-101.00M,41.00M,-101.00M,294.00M,50.00M,244.00M,,,-1.00M,243.00M,236.36M,402.00M,,2020-06,0.99,,0.99,,2020-06,0.98,,0.98,,2020-06,0.495,,2020-06,AOR,
2020-03,1.44B,1.44B,819.00M,621.00M,-9.00M,125.00M,93.00M,7.00M,-86.00M,,380.00M,241.00M,7.00M,93.00M,-86.00M,14.00M,-86.00M,169.00M,21.00M,148.00M,,,-2.00M,146.00M,153.88M,262.00M,,2020-03,0.59,,0.59,,2020-03,0.59,,0.59,,2020-03,0.495,,2020-03,AOR,
2019-12,1.316B,1.316B,781.00M,535.00M,4.00M,106.00M,91.00M,8.00M,-83.00M,,356.00M,179.00M,8.00M,91.00M,-83.00M,23.00M,-83.00M,119.00M,24.00M,95.00M,,,-1.00M,94.00M,90.81M,210.00M,,2019-12,0.38,,0.38,,2019-12,0.38,,0.38,,2019-12,0.495,,2019-12,AOR,
2019-09,1.659B,1.659B,760.00M,899.00M,6.00M,131.00M,96.00M,8.00M,-88.00M,,379.00M,520.00M,8.00M,96.00M,-88.00M,26.00M,-88.00M,458.00M,92.00M,366.00M,,,-2.00M,364.00M,359.20M,554.00M,,2019-09,1.48,,1.48,,2019-09,1.47,,1.47,,2019-09,0.475,,2019-09,AOR,Restated
2019-06,1.379B,1.379B,732.00M,647.00M,7.00M,118.00M,97.00M,9.00M,-88.00M,,367.00M,280.00M,9.00M,97.00M,-88.00M,27.00M,-88.00M,219.00M,39.00M,180.00M,,,-1.00M,179.00M,173.25M,316.00M,,2019-06,0.73,,0.73,,2019-06,0.72,,0.72,,2019-06,0.475,,2019-06,AOR,Restated
2019-03,1.556B,1.556B,894.00M,662.00M,0.00,126.00M,97.00M,8.00M,-89.00M,,374.00M,288.00M,8.00M,97.00M,-89.00M,21.00M,-89.00M,220.00M,27.00M,193.00M,,,-2.00M,191.00M,191.00M,317.00M,,2019-03,0.78,,0.78,,2019-03,0.78,,0.78,,2019-03,0.475,,2019-03,AOR,Restated
2018-12,1.419B,1.419B,902.00M,517.00M,-7.00M,109.00M,99.00M,8.00M,-91.00M,,351.00M,166.00M,8.00M,99.00M,-91.00M,10.00M,-91.00M,85.00M,16.00M,69.00M,,,-1.00M,68.00M,73.68M,184.00M,,2018-12,0.28,,0.28,,2018-12,0.28,,0.28,,2018-12,0.475,,2018-12,AOR,Restated
2018-09,1.724B,1.724B,823.00M,901.00M,7.00M,127.00M,101.00M,8.00M,-93.00M,,368.00M,533.00M,8.00M,101.00M,-93.00M,24.00M,-93.00M,464.00M,105.00M,359.00M,,,-2.00M,357.00M,351.58M,565.00M,,2018-09,1.46,,1.46,,2018-09,1.45,,1.45,,2018-09,0.4575,,2018-09,AOR,Restated
2018-06,1.563B,1.563B,818.00M,745.00M,3.00M,122.00M,100.00M,9.00M,-91.00M,,360.00M,385.00M,9.00M,100.00M,-91.00M,20.00M,-91.00M,314.00M,74.00M,240.00M,,,-1.00M,239.00M,236.71M,414.00M,,2018-06,0.98,,0.98,,2018-06,0.97,,0.97,,2018-06,0.4575,,2018-06,AOR,Restated
2018-03,1.585B,1.585B,953.00M,632.00M,0.00,125.00M,101.00M,8.00M,-93.00M,,359.00M,273.00M,8.00M,101.00M,-93.00M,15.00M,-93.00M,195.00M,42.00M,153.00M,,,-2.00M,151.00M,151.00M,296.00M,,2018-03,0.62,,0.62,,2018-03,0.62,,0.62,,2018-03,0.4575,,2018-03,AOR,Restated
2017-12,1.399B,1.399B,846.00M,553.00M,7.00M,113.00M,96.00M,9.00M,-87.00M,,341.00M,212.00M,9.00M,96.00M,-87.00M,16.00M,-87.00M,141.00M,200.00M,-59.00M,,,-1.00M,-60.00M,-64.20M,237.00M,,2017-12,-0.24,,-0.24,,2017-12,-0.24,,-0.24,,2017-12,0.4575,,2017-12,AOR,Restated
2017-09,1.723B,1.723B,800.00M,923.00M,6.00M,129.00M,97.00M,7.00M,-90.00M,,354.00M,569.00M,7.00M,97.00M,-90.00M,16.00M,-90.00M,495.00M,205.00M,290.00M,,,-2.00M,288.00M,284.40M,592.00M,,2017-09,1.19,,1.19,,2017-09,1.18,,1.18,,2017-09,0.44,,2017-09,AOR,Restated
2017-06,1.537B,1.537B,811.00M,726.00M,2.00M,117.00M,99.00M,9.00M,-90.00M,,339.00M,387.00M,9.00M,99.00M,-90.00M,11.00M,-90.00M,308.00M,114.00M,194.00M,,,-1.00M,193.00M,191.74M,407.00M,,2017-06,0.79,,0.79,,2017-06,0.79,,0.79,,2017-06,0.44,,2017-06,AOR,Restated
2017-03,1.515B,1.515B,934.00M,581.00M,1.00M,118.00M,99.00M,9.00M,-90.00M,,339.00M,242.00M,9.00M,99.00M,-90.00M,9.00M,-90.00M,161.00M,57.00M,104.00M,,,-2.00M,102.00M,101.35M,260.00M,,2017-03,0.42,,0.42,,2017-03,0.42,,0.42,,2017-03,0.44,,2017-03,AOR,Restated
2016-12,1.356B,1.356B,944.00M,412.00M,-1.00M,109.00M,95.00M,9.00M,-86.00M,,326.00M,86.00M,9.00M,95.00M,-86.00M,59.00M,-86.00M,59.00M,26.00M,33.00M,,,-1.00M,32.00M,32.60M,154.00M,,2016-12,0.13,0.00,0.13,,2016-12,0.13,0.00,0.13,,2016-12,0.44,,2016-12,AOR,Restated
2016-09,1.859B,1.859B,828.00M,1.031B,6.00M,129.00M,97.00M,10.00M,-87.00M,,340.00M,691.00M,10.00M,97.00M,-87.00M,,-87.00M,604.00M,233.00M,371.00M,,,-2.00M,369.00M,365.34M,701.00M,,2016-09,1.52,,1.52,,2016-09,1.52,,1.52,,2016-09,0.425,,2016-09,AOR,Restated
2016-06,1.427B,1.427B,777.00M,650.00M,3.00M,115.00M,95.00M,10.00M,-85.00M,,325.00M,325.00M,10.00M,95.00M,-85.00M,,-85.00M,240.00M,92.00M,148.00M,,,-1.00M,147.00M,145.14M,335.00M,,2016-06,0.61,,0.61,,2016-06,0.61,,0.61,,2016-06,0.425,,2016-06,AOR,Restated
2016-03,1.434B,1.434B,893.00M,541.00M,3.00M,114.00M,95.00M,11.00M,-84.00M,,321.00M,220.00M,11.00M,95.00M,-84.00M,2.00M,-84.00M,138.00M,31.00M,107.00M,,,-2.00M,105.00M,102.66M,233.00M,,2016-03,0.43,,0.43,,2016-03,0.43,,0.43,,2016-03,0.425,,2016-03,AOR,Restated
2015-12,1.308B,1.308B,862.00M,446.00M,6.00M,104.00M,91.00M,9.00M,-82.00M,0.00,306.00M,140.00M,9.00M,91.00M,-82.00M,,-82.00M,61.00M,30.00M,31.00M,-1.00M,,-1.00M,29.00M,26.40M,152.00M,,2015-12,0.12,0.00,0.12,,2015-12,0.12,0.00,0.12,,2015-12,0.425,,2015-12,AOR,Restated
2015-09,1.833B,1.833B,878.00M,955.00M,8.00M,128.00M,87.00M,11.00M,-76.00M,,329.00M,626.00M,11.00M,87.00M,-76.00M,3.00M,-76.00M,553.00M,208.00M,345.00M,0.00,,-2.00M,343.00M,338.04M,640.00M,,2015-09,1.42,0.00,1.42,,2015-09,1.41,0.00,1.41,,2015-09,0.41,,2015-09,AOR,Restated
2015-06,1.401B,1.401B,779.00M,622.00M,4.00M,116.00M,89.00M,10.00M,-79.00M,69.00M,385.00M,237.00M,10.00M,89.00M,-79.00M,,-79.00M,158.00M,59.00M,99.00M,52.00M,,-1.00M,150.00M,95.48M,247.00M,,2015-06,0.40,0.21,0.61,,2015-06,0.40,0.21,0.61,,2015-06,0.41,,2015-06,AOR,Restated
2015-03,1.556B,1.556B,982.00M,574.00M,-3.00M,125.00M,88.00M,11.00M,-77.00M,,318.00M,256.00M,11.00M,88.00M,-77.00M,-3.00M,-77.00M,176.00M,66.00M,110.00M,,,-2.00M,108.00M,109.86M,264.00M,,2015-03,0.45,0.00,0.45,,2015-03,0.45,0.00,0.45,,2015-03,0.41,,2015-03,AOR,Restated
2014-12,1.37B,1.37B,945.00M,425.00M,7.00M,106.00M,75.00M,9.00M,-66.00M,,300.00M,125.00M,9.00M,75.00M,-66.00M,8.00M,-66.00M,67.00M,20.00M,47.00M,2.00M,,-1.00M,48.00M,41.09M,142.00M,,2014-12,0.19,0.01,0.20,,2014-12,0.19,0.01,0.20,,2014-12,0.41,,2014-12,AOR,Restated
2014-09,1.67B,1.67B,801.00M,869.00M,7.00M,121.00M,85.00M,9.00M,-76.00M,,308.00M,561.00M,9.00M,85.00M,-76.00M,5.00M,-76.00M,490.00M,194.00M,296.00M,-1.00M,,-2.00M,293.00M,289.80M,575.00M,,2014-09,1.21,0.00,1.21,,2014-09,1.20,0.00,1.20,,2014-09,0.40,,2014-09,AOR,Restated
2014-06,1.419B,1.419B,800.00M,619.00M,8.00M,114.00M,89.00M,9.00M,-80.00M,,297.00M,322.00M,9.00M,89.00M,-80.00M,8.00M,-80.00M,250.00M,99.00M,151.00M,-1.00M,,-1.00M,149.00M,145.20M,339.00M,,2014-06,0.62,-0.01,0.61,,2014-06,0.62,-0.01,0.61,,2014-06,0.40,,2014-06,AOR,Restated
2014-03,1.594B,1.594B,1.04B,554.00M,2.00M,127.00M,92.00M,9.00M,-83.00M,,308.00M,246.00M,9.00M,92.00M,-83.00M,,-83.00M,163.00M,64.00M,99.00M,-1.00M,,-2.00M,96.00M,95.78M,255.00M,,2014-03,0.40,0.00,0.40,,2014-03,0.40,0.00,0.40,,2014-03,0.40,,2014-03,AOR,Restated
2013-12,1.322B,1.322B,869.00M,453.00M,6.00M,104.00M,109.00M,6.00M,-103.00M,,282.00M,171.00M,6.00M,109.00M,-103.00M,4.00M,-103.00M,72.00M,23.00M,49.00M,-11.00M,,-1.00M,37.00M,43.92M,181.00M,,2013-12,0.19,-0.04,0.15,,2013-12,0.19,-0.04,0.15,,2013-12,0.40,,2013-12,AOR,Restated
2013-09,1.638B,1.638B,775.00M,863.00M,8.00M,121.00M,88.00M,9.00M,-79.00M,,296.00M,567.00M,9.00M,88.00M,-79.00M,6.00M,-79.00M,494.00M,187.00M,307.00M,-3.00M,,-2.00M,302.00M,300.04M,582.00M,,2013-09,1.26,-0.01,1.25,,2013-09,1.25,-0.01,1.24,,2013-09,0.40,,2013-09,AOR,Restated
2013-06,1.403B,1.403B,853.00M,550.00M,7.00M,111.00M,100.00M,8.00M,-92.00M,,289.00M,261.00M,8.00M,100.00M,-92.00M,3.00M,-92.00M,172.00M,66.00M,106.00M,-10.00M,,-1.00M,95.00M,100.66M,272.00M,,2013-06,0.44,-0.05,0.39,,2013-06,0.44,-0.05,0.39,,2013-06,0.40,,2013-06,AOR,Restated
2013-03,1.475B,1.475B,993.00M,482.00M,4.00M,122.00M,101.00M,7.00M,-94.00M,,297.00M,185.00M,7.00M,101.00M,-94.00M,,-94.00M,91.00M,35.00M,56.00M,-199.00M,,-2.00M,-145.00M,51.52M,192.00M,,2013-03,0.22,-0.82,-0.60,,2013-03,0.22,-0.82,-0.60,,2013-03,0.40,,2013-03,AOR,Restated
2012-12,1.258B,1.258B,867.00M,391.00M,4.00M,106.00M,97.00M,7.00M,-90.00M,,283.00M,108.00M,7.00M,97.00M,-90.00M,,-90.00M,19.00M,9.00M,10.00M,-1.165B,,-1.00M,-1.156B,6.40M,116.00M,,2012-12,-4.76,-4.80,-4.76,,2012-12,-4.76,-4.80,-4.76,,2012-12,0.40,,2012-12,AOR,Restated
2012-09,1.709B,1.709B,856.00M,853.00M,6.00M,114.00M,99.00M,7.00M,-92.00M,,275.00M,578.00M,7.00M,99.00M,-92.00M,4.00M,-92.00M,490.00M,179.00M,311.00M,63.00M,,0.00,374.00M,307.22M,589.00M,,2012-09,1.28,0.26,1.54,,2012-09,1.28,0.26,1.54,,2012-09,0.40,,2012-09,AOR,Restated
2012-06,1.402B,1.402B,780.00M,622.00M,5.00M,110.00M,98.00M,11.00M,-87.00M,,278.00M,344.00M,11.00M,98.00M,-87.00M,1.00M,-87.00M,258.00M,96.00M,162.00M,48.00M,,1.00M,211.00M,159.85M,356.00M,,2012-06,0.66,0.21,0.87,,2012-06,0.66,0.21,0.87,,2012-06,0.40,,2012-06,AOR,Restated
