,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-10,1.324B,,,16.00M,139.00M,1.589B,1.728B,1.728B,-459.00M,,,,449.00M,,28.00M,391.00M,67.00M,-230.00M,,,34.00M,262.00M,3.348B,,-102.00M,2.00M,-100.00M,0.00,,0.00,-100.00M,,-3.00B,,-3.00B,102.00M,-185.00M,-83.00M,-1.395B,-1.395B,-9.00M,-4.487B,,8.857B,-1.239B,7.618B,,102.00M,1.285B,-4.285B,-185.00M,,AOR,
2020-07,688.00M,,,55.00M,138.00M,1.581B,1.719B,1.719B,-436.00M,,,,465.00M,,-17.00M,542.00M,-128.00M,-123.00M,,,413.00M,704.00M,3.178B,,-105.00M,10.00M,-95.00M,48.00M,,1.00M,-46.00M,,-1.90B,,-1.90B,46.00M,-192.00M,-146.00M,-1.386B,-1.386B,-50.00M,-3.482B,,9.207B,-350.00M,8.857B,,46.00M,4.925B,-6.825B,-192.00M,,AOR,
2020-04,563.00M,,,98.00M,147.00M,1.583B,1.73B,1.73B,-175.00M,,,,517.00M,,24.00M,440.00M,-10.00M,233.00M,,,-207.00M,456.00M,3.213B,,-148.00M,,-148.00M,168.00M,,4.00M,24.00M,,1.041B,,1.041B,91.00M,-219.00M,-128.00M,-1.381B,-1.381B,-6.00M,-474.00M,,6.444B,2.763B,9.207B,,91.00M,5.493B,-4.452B,-219.00M,,AOR,
2020-01,385.00M,,,,146.00M,1.582B,1.728B,1.728B,-72.00M,,,,545.00M,,65.00M,-392.00M,40.00M,117.00M,,,-94.00M,-329.00M,2.322B,,-108.00M,,-108.00M,-10.87B,,-9.00M,-10.99B,,11.56B,,11.56B,37.00M,-169.00M,-132.00M,-1.372B,-1.372B,-4.00M,10.05B,,5.055B,1.389B,6.444B,,37.00M,16.10B,-4.537B,-169.00M,,AOR,
2019-10,847.00M,,,26.00M,143.00M,1.309B,1.452B,1.452B,-226.00M,,,,544.00M,,-10.00M,285.00M,217.00M,-147.00M,,,-509.00M,-154.00M,2.479B,,-96.00M,6.00M,-90.00M,0.00,,7.00M,-88.00M,,-4.904B,,-4.904B,59.00M,-587.00M,-528.00M,-1.054B,-1.054B,9.00M,-2.798B,,5.462B,-407.00M,5.055B,,3.738B,-104.00M,-4.80B,-587.00M,,AOR,Restated
2019-07,715.00M,,,2.00M,141.00M,1.309B,1.45B,1.45B,-235.00M,,,,632.00M,,15.00M,-60.00M,-57.00M,244.00M,,,-287.00M,-160.00M,2.419B,,-112.00M,82.00M,-30.00M,-6.00M,,1.00M,-35.00M,,-230.00M,,-230.00M,11.00M,-977.00M,-966.00M,-1.057B,-1.057B,3.00M,-2.25B,,5.328B,134.00M,5.462B,,11.00M,-230.00M,0.00,-977.00M,,AOR,Restated
2019-04,691.00M,,,,142.00M,1.305B,1.447B,1.447B,-94.00M,,,,544.00M,,-19.00M,193.00M,40.00M,30.00M,,,-165.00M,98.00M,2.667B,,-125.00M,,-125.00M,0.00,,19.00M,-106.00M,,-59.00M,,-59.00M,121.00M,-1.33B,-1.209B,-1.057B,-1.057B,-1.00M,-2.326B,,5.093B,235.00M,5.328B,,121.00M,11.94B,-12.00B,-1.33B,,AOR,Restated
2019-01,471.00M,,,,143.00M,1.316B,1.459B,1.459B,-379.00M,,,,465.00M,,84.00M,68.00M,50.00M,-169.00M,,,83.00M,32.00M,2.132B,,-99.00M,,-99.00M,-15.07B,,-24.00M,-15.19B,,18.43B,,18.43B,62.00M,-3.513B,-3.451B,-1.067B,-1.067B,-47.00M,13.86B,,4.292B,801.00M,5.093B,,62.00M,18.43B,0.00,-3.513B,,AOR,Restated
2018-10,1.115B,,,,132.00M,836.00M,968.00M,968.00M,242.00M,,,,317.00M,,29.00M,-312.00M,92.00M,28.00M,,,50.00M,-142.00M,2.635B,,-106.00M,1.00M,-105.00M,-16.00M,-54.00M,57.00M,-118.00M,,-117.00M,,-117.00M,59.00M,-1.554B,-1.495B,-723.00M,-723.00M,-26.00M,-2.361B,,4.136B,156.00M,4.292B,,59.00M,0.00,-117.00M,-1.554B,,AOR,Restated
2018-07,1.196B,,,,129.00M,836.00M,965.00M,965.00M,22.00M,,,,315.00M,,13.00M,-262.00M,19.00M,-41.00M,,,20.00M,-264.00M,2.247B,,-120.00M,0.00,-120.00M,-7.00M,0.00,-47.00M,-174.00M,,0.00,,0.00,39.00M,-5.411B,-5.372B,-754.00M,-754.00M,2.00M,-6.124B,,8.187B,-4.051B,4.136B,,39.00M,0.00,0.00,-5.411B,,AOR,Restated
