,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-10,7.618B,,7.618B,2.297B,,2.297B,122.00M,558.00M,323.00M,1.003B,387.00M,,590.00M,11.90B,0.00,194.00M,1.133B,3.891B,113.00M,5.331B,-2.822B,2.509B,43.45B,16.78B,60.23B,1.30B,64.04B,75.93B,,836.00M,440.00M,1.276B,,1.276B,,827.00M,,827.00M,2.62B,2.62B,771.00M,6.371B,40.24B,,40.24B,,823.00M,823.00M,,,4.603B,45.66B,52.03B,,27.00M,0.00,23.98B,27.00M,-108.00M,23.90B,,AOR,
2020-07,8.857B,,8.857B,2.684B,,2.684B,192.00M,517.00M,372.00M,1.081B,433.00M,,626.00M,13.68B,,,,,,,,2.567B,43.45B,18.36B,61.80B,1.246B,65.62B,79.30B,,1.092B,387.00M,1.479B,,1.479B,807.00M,807.00M,115.00M,922.00M,2.793B,2.793B,776.00M,6.702B,42.60B,598.00M,43.20B,,670.00M,670.00M,,,5.14B,49.01B,55.71B,,28.00M,0.00,23.69B,28.00M,-131.00M,23.58B,,AOR,
2020-04,9.207B,,9.207B,3.211B,,3.211B,176.00M,471.00M,306.00M,953.00M,389.00M,,462.00M,14.22B,,,,,,,,2.618B,43.46B,19.91B,63.37B,1.342B,67.33B,81.55B,,1.23B,,1.23B,,1.23B,,819.00M,,819.00M,3.065B,3.065B,993.00M,6.601B,45.04B,,45.04B,,711.00M,711.00M,,,5.222B,50.98B,57.58B,,28.00M,0.00,24.07B,28.00M,-131.00M,23.97B,,AOR,
2020-01,6.444B,,6.444B,3.651B,,3.651B,158.00M,427.00M,359.00M,944.00M,420.00M,,650.00M,12.11B,,,,,,,,2.616B,43.47B,21.46B,64.94B,1.344B,68.90B,81.01B,,985.00M,,985.00M,,985.00M,,2.311B,,2.311B,2.88B,2.88B,1.128B,7.739B,42.41B,,42.41B,,788.00M,788.00M,,,5.676B,48.87B,56.61B,,28.00M,0.00,24.50B,28.00M,-132.00M,24.40B,,AOR,
2019-10,5.055B,,5.055B,3.259B,,3.259B,121.00M,414.00M,339.00M,874.00M,302.00M,,427.00M,9.917B,0.00,189.00M,1.078B,3.544B,85.00M,4.896B,-2.331B,2.565B,36.71B,17.55B,54.27B,743.00M,57.58B,67.49B,,855.00M,229.00M,1.084B,,1.084B,,2.787B,,2.787B,1.501B,1.501B,886.00M,6.899B,30.01B,,30.01B,,307.00M,307.00M,,,5.306B,35.62B,42.52B,,29.00M,0.00,25.08B,29.00M,-140.00M,24.97B,,AOR,Restated
2019-07,5.462B,,5.462B,3.539B,,3.539B,195.00M,567.00M,329.00M,1.091B,402.00M,,404.00M,10.90B,,,,,,,,2.611B,36.69B,18.88B,55.56B,693.00M,58.87B,69.77B,,996.00M,264.00M,1.26B,,1.26B,,3.537B,,3.537B,1.872B,1.872B,1.038B,8.282B,34.03B,,34.03B,1.66B,397.00M,2.057B,,,3.897B,39.98B,48.26B,,21.62B,0.00,,,-116.00M,21.50B,,AOR,Restated
2019-04,5.328B,,5.328B,3.484B,,3.484B,127.00M,538.00M,369.00M,1.034B,395.00M,,436.00M,10.68B,,,,,,,,2.654B,36.66B,20.19B,56.85B,735.00M,60.24B,70.92B,,759.00M,290.00M,1.049B,,1.049B,,3.537B,,3.537B,2.028B,2.028B,1.411B,8.503B,34.01B,,34.01B,1.871B,442.00M,2.313B,,,3.917B,40.24B,48.74B,,22.29B,0.00,,,-116.00M,22.17B,,AOR,Restated
2019-01,5.093B,,5.093B,3.677B,,3.677B,118.00M,511.00M,445.00M,1.074B,304.00M,,456.00M,10.60B,,,,,,,,2.684B,36.65B,21.49B,58.14B,682.00M,61.51B,72.11B,,738.00M,656.00M,1.394B,,1.394B,,3.537B,,3.537B,1.692B,1.692B,1.263B,8.349B,34.10B,,34.10B,2.076B,517.00M,2.593B,,,3.84B,40.54B,48.89B,,23.08B,259.00M,,,-116.00M,23.22B,,AOR,Restated
2018-10,4.292B,,4.292B,3.325B,,3.325B,136.00M,505.00M,483.00M,1.124B,243.00M,,123.00M,9.107B,0.00,189.00M,1.016B,3.257B,67.00M,4.529B,-1.894B,2.635B,26.91B,10.76B,37.68B,707.00M,41.02B,50.12B,,811.00M,162.00M,973.00M,326.00M,1.299B,,,,,164.00M,164.00M,160.00M,2.338B,17.49B,,17.49B,,,,,,3.52B,21.13B,23.47B,,0.00,3.487B,23.28B,,-115.00M,26.66B,,AOR,Restated
2018-07,4.136B,,4.136B,3.01B,73.00M,3.083B,134.00M,599.00M,483.00M,1.216B,223.00M,,37.00M,8.695B,,,,,,,,2.695B,26.92B,11.60B,38.52B,464.00M,41.68B,50.37B,,785.00M,60.00M,845.00M,163.00M,1.008B,,117.00M,,117.00M,183.00M,183.00M,257.00M,2.187B,17.49B,,17.49B,178.00M,,178.00M,,0.00,3.068B,20.73B,22.92B,,23.29B,4.267B,,,-106.00M,27.45B,,AOR,Restated
2018-04,8.187B,,8.187B,2.749B,87.00M,2.836B,183.00M,542.00M,510.00M,1.235B,174.00M,,42.00M,12.47B,,,,,,,,2.72B,26.91B,12.35B,39.25B,488.00M,42.46B,54.94B,,836.00M,,836.00M,,836.00M,,117.00M,,117.00M,,,754.00M,2.124B,17.48B,,17.48B,266.00M,,266.00M,,,2.998B,20.74B,22.87B,,24.30B,7.868B,,,-106.00M,32.07B,,AOR,Restated
2018-01,7.076B,,7.076B,2.459B,,2.459B,118.00M,583.00M,590.00M,1.291B,,,394.00M,11.22B,,,,,,,,2.747B,26.90B,13.17B,40.07B,507.00M,43.32B,54.54B,,816.00M,,816.00M,,816.00M,,117.00M,,117.00M,,,704.00M,1.97B,17.48B,,17.48B,1.243B,,1.243B,,3.18B,4.775B,23.49B,25.46B,,20.85B,5.132B,,,-82.00M,25.90B,,AOR,Restated
