,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-10,6.467B,6.467B,2.72B,3.747B,405.00M,1.182B,599.00M,81.00M,420.00M,-367.00M,,2.186B,1.561B,420.00M,-367.00M,-57.00M,-367.00M,1.137B,-187.00M,1.324B,0.00,,74.00M,1.324B,1.265B,3.285B,1.728B,1.557B,,3.09,0.00,2.945,3.09,,2.93,0.00,2.792,2.93,,408.01M,427.15M,3.25,,AOR,
2020-07,5.821B,5.821B,2.505B,3.316B,428.00M,1.228B,600.00M,-52.00M,464.00M,-464.00M,,2.256B,1.06B,464.00M,-464.00M,-3.00M,-464.00M,593.00M,-96.00M,689.00M,-1.00M,,74.00M,688.00M,726.96M,2.776B,1.719B,1.057B,,1.534,-0.0100,1.628,1.524,,1.464,-0.0100,1.554,1.454,,401.99M,420.94M,3.25,,AOR,
2020-04,5.742B,5.742B,2.553B,3.189B,501.00M,1.269B,599.00M,-54.00M,487.00M,-487.00M,,2.369B,820.00M,487.00M,-487.00M,76.00M,-487.00M,409.00M,-159.00M,568.00M,-5.00M,,75.00M,563.00M,607.42M,2.626B,1.73B,896.00M,,1.233,-0.0100,1.332,1.223,,1.183,-0.0100,1.278,1.173,,400.00M,415.96M,3.25,,AOR,
2020-01,5.858B,5.858B,2.594B,3.264B,601.00M,1.289B,603.00M,-57.00M,406.00M,-406.00M,,2.493B,771.00M,406.00M,-406.00M,-61.00M,-406.00M,304.00M,-76.00M,380.00M,5.00M,,74.00M,385.00M,421.61M,2.438B,1.728B,710.00M,,0.7719,0.0100,0.8767,0.7820,,0.7318,0.0100,0.8311,0.7419,,397.00M,418.95M,3.25,,AOR,
2019-10,5.776B,5.776B,2.624B,3.152B,409.00M,1.177B,474.00M,-38.00M,361.00M,-263.00M,,2.06B,1.092B,361.00M,-263.00M,-82.00M,-263.00M,747.00M,-100.00M,847.00M,0.00,,,847.00M,874.74M,2.56B,1.452B,1.108B,,2.065,0.00,2.135,2.065,,1.975,0.00,2.041,1.975,,397.99M,419.15M,2.65,,AOR,Restated
2019-07,5.515B,5.515B,2.481B,3.034B,410.00M,1.235B,475.00M,-49.00M,362.00M,-362.00M,,2.12B,914.00M,362.00M,-362.00M,-8.00M,-362.00M,544.00M,-171.00M,715.00M,0.00,,,715.00M,750.77M,2.356B,1.45B,906.00M,,1.805,0.00,1.895,1.805,,1.714,0.00,1.800,1.714,,397.00M,416.96M,2.65,,AOR,Restated
2019-04,5.517B,5.517B,2.428B,3.089B,419.00M,1.151B,473.00M,-76.00M,376.00M,-376.00M,,2.043B,1.046B,376.00M,-376.00M,-13.00M,-376.00M,657.00M,-36.00M,693.00M,-2.00M,,,691.00M,748.48M,2.48B,1.447B,1.033B,,1.754,-0.0100,1.894,1.744,,1.644,-0.0100,1.776,1.644,,396.01M,420.94M,2.65,,AOR,Restated
2019-01,5.789B,5.789B,2.581B,3.208B,471.00M,1.133B,476.00M,-573.00M,345.00M,-345.00M,,2.08B,1.128B,345.00M,-345.00M,-505.00M,-345.00M,278.00M,-203.00M,481.00M,-10.00M,,,471.00M,899.29M,2.082B,1.459B,623.00M,,1.203,-0.0301,2.249,1.173,,1.153,-0.0301,2.154,1.123,,400.00M,417.95M,2.65,,AOR,Restated
2018-10,5.444B,5.444B,2.509B,2.935B,237.00M,948.00M,67.00M,-137.00M,148.00M,-34.00M,,1.252B,1.683B,148.00M,-34.00M,-227.00M,-34.00M,1.422B,307.00M,1.115B,0.00,0.00,,1.115B,1.222B,2.538B,968.00M,1.57B,,2.717,0.00,2.976,2.717,,2.647,0.00,2.897,2.647,,415.15M,428.25M,1.75,,AOR,Restated
2018-07,5.063B,5.063B,2.444B,2.619B,234.00M,959.00M,68.00M,-19.00M,149.00M,-149.00M,,1.261B,1.358B,149.00M,-149.00M,20.00M,-149.00M,1.229B,32.00M,1.197B,-1.00M,0.00,,1.196B,1.216B,2.343B,965.00M,1.378B,,2.787,0.00,2.830,2.787,,2.717,0.00,2.759,2.717,,428.92M,439.90M,1.75,,AOR,Restated
2018-04,5.014B,5.014B,2.463B,2.551B,294.00M,936.00M,67.00M,-53.00M,148.00M,-148.00M,,1.297B,1.254B,148.00M,-148.00M,-7.00M,-148.00M,1.099B,-2.637B,3.736B,-3.00M,-15.00M,,3.718B,3.760B,2.211B,964.00M,1.247B,,8.862,-0.0100,8.954,8.852,,8.361,-0.0100,8.447,8.351,,419.95M,446.88M,1.75,,AOR,Restated
2018-01,5.327B,5.327B,2.699B,2.628B,291.00M,925.00M,339.00M,-130.00M,183.00M,-183.00M,,1.555B,1.073B,183.00M,-183.00M,-95.00M,-183.00M,795.00M,-5.786B,6.581B,-15.00M,-336.00M,,6.23B,6.340B,2.162B,1.184B,978.00M,,15.27,-0.0301,15.50,15.24,,14.70,-0.0401,14.92,14.66,,408.98M,424.94M,1.75,,AOR,Restated
2017-10,4.844B,4.844B,2.461B,2.383B,184.00M,838.00M,441.00M,-184.00M,119.00M,-75.00M,,1.463B,920.00M,119.00M,-75.00M,-200.00M,-75.00M,645.00M,89.00M,556.00M,5.00M,,,624.00M,777.61M,1.983B,1.219B,764.00M,,1.554,0.0100,1.941,1.564,,1.494,0.0100,1.881,1.504,,409.97M,409.97M,1.02,,AOR,Restated
2017-07,4.463B,4.463B,2.314B,2.149B,200.00M,827.00M,441.00M,-33.00M,112.00M,-112.00M,,1.468B,681.00M,112.00M,-112.00M,-21.00M,-112.00M,548.00M,39.00M,509.00M,-2.00M,-26.00M,,481.00M,513.65M,1.871B,1.211B,660.00M,,1.193,-0.0100,1.268,1.183,,1.143,-0.0100,1.212,1.143,,405.98M,443.89M,1.02,,AOR,Restated
2017-04,4.19B,4.19B,2.214B,1.976B,204.00M,829.00M,442.00M,-27.00M,112.00M,-112.00M,,1.475B,501.00M,112.00M,-112.00M,-24.00M,-112.00M,365.00M,-103.00M,468.00M,-4.00M,-24.00M,,440.00M,460.20M,1.67B,1.193B,477.00M,,1.103,-0.0100,1.143,1.093,,1.063,-0.0100,1.099,1.053,,401.99M,440.90M,1.02,,AOR,Restated
