,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-11,9.80B,9.80B,1.939B,7.861B,1.836B,324.00M,2.16B,1.601B,345.00M,-172.00M,600.00M,27.00M,-573.00M,,4.106B,3.755B,27.00M,600.00M,-573.00M,-210.00M,-573.00M,2.972B,530.00M,2.442B,,,2.442B,2.597B,4.303B,731.00M,3.572B,0.82,,,0.8719,0.82,0.8,,,0.8507,0.8,2.977B,3.046B,0.24
2020-08,9.367B,9.367B,1.88B,7.487B,1.854B,295.00M,2.149B,1.589B,345.00M,-193.00M,614.00M,31.00M,-583.00M,,4.083B,3.404B,31.00M,614.00M,-583.00M,-226.00M,-583.00M,2.595B,344.00M,2.251B,,,2.251B,2.462B,3.91B,701.00M,3.209B,0.74,,,0.8093,0.74,0.72,,,0.7878,0.72,3.041B,3.107B,0.24
2020-05,10.44B,10.44B,1.969B,8.47B,1.959B,278.00M,2.237B,1.479B,365.00M,-81.00M,579.00M,70.00M,-509.00M,,4.081B,4.389B,70.00M,579.00M,-509.00M,-184.00M,-509.00M,3.696B,580.00M,3.116B,,,3.116B,3.233B,4.997B,722.00M,4.275B,1.0,,,1.038,1.0,0.98,,,1.0170000000000001,0.98,3.091B,3.165B,0.24
2020-02,9.796B,9.796B,1.964B,7.832B,2.049B,288.00M,2.337B,1.50B,400.00M,-67.00M,456.00M,122.00M,-334.00M,,4.237B,3.595B,122.00M,456.00M,-334.00M,-185.00M,-334.00M,3.076B,505.00M,2.571B,,,2.571B,2.666B,4.28B,748.00M,3.532B,0.81,,,0.8399,0.81,0.79,,,0.8191,0.79,3.19B,3.271B,0.24
2019-11,9.614B,9.614B,2.048B,7.566B,2.068B,323.00M,2.391B,1.531B,407.00M,-54.00M,465.00M,145.00M,-320.00M,,4.329B,3.237B,145.00M,465.00M,-320.00M,-107.00M,-320.00M,2.81B,499.00M,2.311B,,,2.311B,2.377B,4.023B,748.00M,3.275B,0.71,,,0.7303,0.71,0.69,,,0.7098,0.69,3.245B,3.331B,0.24
2019-08,9.218B,9.218B,1.957B,7.261B,2.018B,292.00M,2.31B,1.557B,414.00M,-103.00M,494.00M,190.00M,-304.00M,,4.281B,2.98B,190.00M,494.00M,-304.00M,-194.00M,-304.00M,2.482B,345.00M,2.137B,,,2.137B,2.273B,3.726B,750.00M,2.976B,0.64,,,0.681,0.64,0.63,,,0.6699,0.63,3.317B,3.41B,0.24
2019-05,11.14B,11.14B,2.063B,9.074B,2.318B,330.00M,2.648B,1.562B,424.00M,-183.00M,525.00M,202.00M,-323.00M,,4.634B,4.44B,202.00M,525.00M,-323.00M,-251.00M,-323.00M,3.866B,126.00M,3.74B,,,3.74B,3.959B,5.145B,754.00M,4.391B,1.1,,,1.165,1.1,1.07,,,1.133,1.07,3.388B,3.495B,0.24
2019-02,9.614B,9.614B,1.976B,7.638B,2.051B,316.00M,2.367B,1.426B,407.00M,-39.00M,509.00M,246.00M,-263.00M,,4.20B,3.438B,246.00M,509.00M,-263.00M,-87.00M,-263.00M,3.088B,343.00M,2.745B,,,2.745B,2.791B,4.338B,741.00M,3.597B,0.78,,,0.7931,0.78,0.76,,,0.7728,0.76,3.526B,3.617B,0.19
2018-11,9.562B,9.562B,2.001B,7.561B,2.101B,299.00M,2.40B,1.475B,424.00M,-161.00M,519.00M,296.00M,-223.00M,,4.299B,3.262B,296.00M,519.00M,-223.00M,-265.00M,-223.00M,2.774B,441.00M,2.333B,,,2.333B,2.487B,3.997B,704.00M,3.293B,0.63,,,0.6714,0.63,0.61,,,0.6503,0.61,3.72B,3.817B,0.19
2018-08,9.193B,9.193B,1.953B,7.24B,2.039B,321.00M,2.36B,1.564B,434.00M,-104.00M,529.00M,348.00M,-181.00M,,4.358B,2.882B,348.00M,529.00M,-181.00M,-161.00M,-181.00M,2.54B,275.00M,2.265B,,,2.265B,2.388B,3.789B,720.00M,3.069B,0.58,,,0.6115,0.58,0.57,,,0.6008,0.57,3.904B,3.999B,0.19
