,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,11.82B,12.04B,7.483B,4.556B,,,,,,-72.00M,946.00M,,-946.00M,,2.37B,2.186B,,946.00M,-946.00M,-131.00M,-946.00M,1.109B,177.00M,932.00M,,,814.00M,816.52M,4.425B,2.37B,2020-09,4.01,,,4.022,2020-09,3.90,,3.90,,2020-09,202.83M,208.72M,,2020-09,AOR,
2020-06,11.50B,11.70B,7.297B,4.399B,,,,,,-38.00M,957.00M,,-957.00M,,2.428B,1.971B,,957.00M,-957.00M,28.00M,-957.00M,1.042B,166.00M,876.00M,,,766.00M,744.14M,4.427B,2.428B,2020-06,3.72,,,3.614,2020-06,3.63,,3.63,,2020-06,205.78M,210.91M,,2020-06,AOR,
2020-03,11.53B,11.74B,7.432B,4.306B,,,,,,-34.00M,980.00M,,-980.00M,,2.497B,1.809B,,980.00M,-980.00M,-333.00M,-980.00M,496.00M,29.00M,467.00M,,,396.00M,727.42M,3.973B,2.497B,2020-03,1.91,,,3.505,2020-03,1.86,,1.86,,2020-03,207.83M,212.81M,,2020-03,AOR,
2019-12,12.39B,11.76B,7.309B,4.452B,,,,,,-57.00M,964.00M,,-964.00M,,2.461B,1.991B,,964.00M,-964.00M,-95.00M,-964.00M,932.00M,110.00M,822.00M,,,714.00M,709.59M,4.357B,2.461B,2019-12,3.36,,,3.339,2019-12,3.28,,3.28,,2019-12,212.57M,219.13M,,2019-12,AOR,
2019-09,11.24B,11.45B,7.435B,4.015B,,,,,,-14.00M,963.00M,,-963.00M,,2.415B,1.60B,,963.00M,-963.00M,-44.00M,-963.00M,593.00M,126.00M,467.00M,,,387.00M,424.80M,3.971B,2.415B,2019-09,1.77,,,1.943,2019-09,1.74,,1.74,,2019-09,218.50M,222.36M,,2019-09,AOR,Restated
2019-06,11.15B,11.35B,7.244B,4.103B,,,,,,-62.00M,945.00M,,-945.00M,,2.50B,1.603B,,945.00M,-945.00M,-188.00M,-945.00M,470.00M,84.00M,386.00M,,,314.00M,462.65M,3.915B,2.50B,2019-06,1.41,,,2.078,2019-06,1.39,,1.39,,2019-06,222.39M,225.94M,,2019-06,AOR,Restated
2019-03,10.98B,11.21B,7.236B,3.97B,,,,,,5.00M,925.00M,,-925.00M,,2.55B,1.42B,,925.00M,-925.00M,-59.00M,-925.00M,436.00M,119.00M,317.00M,,,253.00M,222.46M,3.911B,2.55B,2019-03,1.13,,,0.9941,2019-03,1.11,,1.11,,2019-03,224.63M,227.60M,,2019-03,AOR,Restated
2018-12,11.90B,11.23B,7.139B,4.092B,,,,,,-119.00M,910.00M,,-910.00M,,2.534B,1.558B,,910.00M,-910.00M,-286.00M,-910.00M,362.00M,2.00M,360.00M,,,296.00M,414.34M,3.806B,2.534B,2018-12,1.31,,,1.831,2018-12,1.29,,1.29,,2018-12,226.95M,230.07M,,2018-12,AOR,Restated
2018-09,10.66B,10.89B,7.012B,3.88B,,,,,,-18.00M,901.00M,,-901.00M,,2.482B,1.398B,,901.00M,-901.00M,196.00M,-901.00M,693.00M,109.00M,584.00M,,,493.00M,498.06M,4.076B,2.482B,2018-09,2.14,,,2.162,2018-09,2.11,,2.11,,2018-09,230.55M,233.61M,,2018-09,AOR,Restated
2018-06,10.63B,10.85B,6.873B,3.981B,,,,,,-29.00M,878.00M,,-878.00M,,2.592B,1.389B,,878.00M,-878.00M,-131.00M,-878.00M,380.00M,41.00M,339.00M,,,273.00M,365.78M,3.85B,2.592B,2018-06,1.17,,,1.566,2018-06,1.15,,1.15,,2018-06,234.24M,237.07M,,2018-06,AOR,Restated
2018-03,10.66B,10.66B,6.836B,3.821B,,,,,,-69.00M,851.00M,,-851.00M,,2.71B,1.111B,,851.00M,-851.00M,-9.00M,-851.00M,251.00M,28.00M,223.00M,,,168.00M,173.33M,3.812B,2.71B,2018-03,0.71,,,0.7324,2018-03,0.70,,0.70,,2018-03,237.76M,241.42M,,2018-03,AOR,Restated
2017-12,11.26B,10.60B,6.684B,3.918B,,,,,,23.00M,840.00M,,-840.00M,,2.742B,1.176B,,840.00M,-840.00M,95.00M,-840.00M,431.00M,-9.186B,9.617B,,,9.553B,9.489B,4.013B,2.742B,2017-12,39.66,,,39.39,2017-12,34.56,,34.56,,2017-12,240.66M,387.73M,,2017-12,AOR,Restated
2017-09,10.24B,10.46B,6.703B,3.755B,,,,,,-145.00M,788.00M,,-788.00M,,2.701B,1.054B,,788.00M,-788.00M,-148.00M,-788.00M,118.00M,26.00M,92.00M,,,48.00M,147.80M,3.607B,2.701B,2017-09,0.19,,,0.5830,2017-09,0.19,,0.19,,2017-09,253.92M,258.34M,,2017-09,AOR,Restated
2017-06,10.36B,10.36B,6.575B,3.782B,,,,,,-136.00M,749.00M,,-749.00M,,2.595B,1.187B,,749.00M,-749.00M,-195.00M,-749.00M,243.00M,48.00M,195.00M,,,139.00M,304.31M,3.587B,2.595B,2017-06,0.53,,,1.157,2017-06,0.52,,0.52,,2017-06,263.46M,267.31M,,2017-06,AOR,Restated
2017-03,10.16B,10.16B,6.579B,3.585B,,,,,,-128.00M,713.00M,,-713.00M,,2.55B,1.035B,,713.00M,-713.00M,-86.00M,-713.00M,236.00M,25.00M,211.00M,,,155.00M,235.47M,3.499B,2.55B,2017-03,0.58,,,0.8791,2017-03,0.57,,0.57,,2017-03,269.00M,273.20M,,2017-03,AOR,Restated
2016-12,10.28B,10.28B,6.498B,3.777B,,,,,,-210.00M,728.00M,,-728.00M,,2.495B,1.282B,,728.00M,-728.00M,225.00M,-728.00M,779.00M,210.00M,569.00M,,,454.00M,554.07M,4.002B,2.495B,2016-12,1.69,,,2.062,2016-12,1.67,,1.67,,2016-12,269.04M,313.79M,,2016-12,AOR,Restated
2016-09,10.04B,10.04B,6.482B,3.555B,,,,,,-207.00M,724.00M,,-724.00M,,2.437B,1.118B,,724.00M,-724.00M,-128.00M,-724.00M,266.00M,16.00M,250.00M,,,189.00M,316.82M,3.427B,2.437B,2016-09,0.70,,,1.171,2016-09,0.69,,0.69,,2016-09,271.26M,275.37M,,2016-09,AOR,Restated
2016-06,6.161B,6.161B,4.004B,2.157B,,,,,,-661.00M,593.00M,,-593.00M,,1.436B,721.00M,,593.00M,-593.00M,-193.00M,-593.00M,-65.00M,-3.179B,3.114B,,,3.067B,3.494B,1.964B,1.436B,2016-06,16.73,,,19.06,2016-06,15.17,,15.17,,2016-06,183.36M,205.21M,,2016-06,AOR,Restated
2016-03,2.53B,2.53B,1.671B,859.00M,,,,,,-18.00M,454.00M,,-454.00M,,539.00M,320.00M,,454.00M,-454.00M,-26.00M,-454.00M,-160.00M,28.00M,-188.00M,,,-188.00M,-174.20M,833.00M,539.00M,2016-03,-1.86,,,-1.724,2016-03,-1.86,,-1.86,,2016-03,101.55M,101.55M,,2016-03,AOR,Restated
2015-12,2.512B,2.512B,1.624B,888.00M,,,,,,-20.00M,435.00M,,-435.00M,,545.00M,343.00M,,435.00M,-435.00M,-18.00M,-435.00M,-110.00M,12.00M,-122.00M,,,-122.00M,-113.60M,870.00M,545.00M,2015-12,-1.205,,,-1.123,2015-12,-1.205,,-1.205,,2015-12,101.37M,101.37M,,2015-12,AOR,Restated
2015-09,2.45B,2.45B,1.62B,830.00M,,0.00,0.00,,,-19.00M,353.00M,,-353.00M,,538.00M,292.00M,,353.00M,-353.00M,-27.00M,-353.00M,-88.00M,-142.00M,54.00M,,,54.00M,68.40M,803.00M,538.00M,2015-09,0.54,,,0.6823,2015-09,0.53,,0.53,,2015-09,101.21M,102.48M,,2015-09,AOR,Restated
2015-06,2.43B,2.43B,1.601B,829.00M,,0.00,0.00,,,-160.00M,229.00M,,-229.00M,,528.00M,301.00M,,229.00M,-229.00M,-159.00M,-229.00M,-87.00M,35.00M,-122.00M,,,-122.00M,-26.60M,670.00M,528.00M,2015-06,-1.21,,,-0.2661,2015-06,-1.21,,-1.21,,2015-06,101.07M,101.07M,,2015-06,AOR,Restated
