,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,Restated
2020-09,1.951B,1.951B,5.294B,,5.294B,629.00M,142.00M,1.002B,,1.773B,1.035B,10.05B,0.00,241.00M,1.351B,4.011B,327.00M,5.93B,-2.871B,3.059B,17.93B,5.356B,23.29B,914.00M,3.501B,30.76B,40.82B,,2020-09,3.12B,3.12B,,3.12B,293.00M,293.00M,1.435B,1.435B,2.562B,8.248B,7.526B,7.526B,,,1.14B,1.086B,,5.368B,14.03B,22.28B,,2020-09,8.00M,1.119B,,-776.00M,17.45B,,
2020-06,2.342B,2.342B,5.344B,,5.344B,661.00M,157.00M,1.178B,,1.996B,1.369B,11.14B,,,,,,,,3.041B,17.76B,5.364B,23.12B,834.00M,3.14B,30.14B,41.28B,,2020-06,3.057B,3.057B,,3.057B,2.423B,2.423B,1.451B,1.451B,2.688B,10.30B,5.671B,5.671B,,,1.053B,1.068B,,5.36B,12.10B,22.40B,,2020-06,8.00M,1.119B,,-943.00M,17.80B,,
2020-03,1.006B,1.006B,5.492B,,5.492B,646.00M,177.00M,1.207B,,2.03B,1.336B,9.955B,,,,,,,,3.274B,18.07B,5.391B,23.46B,869.00M,2.841B,30.45B,40.40B,,2020-03,3.119B,3.119B,,3.119B,1.43B,1.43B,1.60B,1.60B,2.666B,9.509B,5.64B,5.64B,,,935.00M,1.004B,,5.23B,11.80B,21.31B,,2020-03,8.00M,1.118B,,-1.021B,18.08B,,
2019-12,2.16B,2.16B,5.612B,,5.612B,637.00M,167.00M,1.149B,,1.953B,1.508B,11.32B,,,,,,,,3.341B,18.35B,5.61B,23.96B,865.00M,3.026B,31.19B,42.51B,,2019-12,3.336B,3.336B,,3.336B,1.362B,1.362B,1.495B,1.495B,2.655B,9.692B,5.92B,5.92B,,,1.013B,1.102B,,5.457B,12.39B,22.08B,,2019-12,8.00M,1.116B,,-540.00M,19.33B,,
2019-09,2.805B,2.805B,5.77B,,5.77B,588.00M,176.00M,1.05B,,1.814B,1.906B,12.39B,0.00,250.00M,1.499B,3.63B,465.00M,5.844B,-2.496B,3.348B,18.18B,5.632B,23.81B,853.00M,1.883B,29.89B,42.29B,,2019-09,3.582B,3.582B,,3.582B,511.00M,511.00M,1.407B,1.407B,2.617B,9.07B,6.708B,6.708B,,,1.044B,1.063B,,4.636B,12.39B,21.46B,,2019-09,8.00M,1.086B,,-795.00M,19.77B,,Restated
2019-06,3.685B,3.685B,6.033B,,6.033B,685.00M,215.00M,1.15B,,2.05B,1.179B,13.04B,,,,,,,,3.282B,18.31B,5.739B,24.05B,848.00M,1.846B,30.03B,43.07B,,2019-06,3.671B,3.671B,,3.671B,521.00M,521.00M,1.389B,1.389B,2.88B,9.242B,6.804B,6.804B,,,493.00M,1.046B,,5.121B,12.42B,21.66B,,2019-06,9.00M,2.168B,,-564.00M,20.36B,,Restated
2019-03,239.00M,239.00M,5.707B,,5.707B,687.00M,188.00M,1.249B,,2.124B,1.767B,12.84B,,,,,,,,3.332B,18.31B,6.015B,24.33B,937.00M,7.058B,35.65B,48.49B,,2019-03,3.482B,3.482B,,3.482B,3.968B,3.968B,1.521B,1.521B,3.738B,13.44B,8.418B,8.418B,,,532.00M,1.265B,,4.612B,13.75B,27.19B,,2019-03,10.00M,2.078B,,-952.00M,20.04B,,Restated
2018-12,292.00M,292.00M,5.442B,,5.442B,647.00M,183.00M,1.197B,,2.027B,1.152B,11.96B,,,,,,,,3.314B,18.29B,6.08B,24.37B,887.00M,7.489B,36.06B,48.02B,,2018-12,3.273B,3.273B,,3.273B,2.32B,2.32B,1.378B,1.378B,3.814B,11.65B,9.588B,9.588B,,,569.00M,1.305B,,4.598B,14.96B,26.61B,,2018-12,10.00M,1.543B,,-1.08B,20.10B,,Restated
2018-09,185.00M,185.00M,5.622B,,5.622B,606.00M,155.00M,1.058B,,1.819B,1.182B,11.82B,0.00,258.00M,1.213B,3.288B,704.00M,5.463B,-2.163B,3.30B,18.38B,6.187B,24.57B,848.00M,8.258B,36.97B,48.80B,,2018-09,3.407B,3.407B,,3.407B,1.307B,1.307B,1.326B,1.326B,4.189B,11.25B,9.623B,9.623B,,,616.00M,1.294B,,4.643B,15.09B,26.34B,,2018-09,10.00M,1.053B,,-946.00M,21.16B,,Restated
2018-06,283.00M,283.00M,6.895B,,6.895B,953.00M,578.00M,1.978B,,3.509B,1.766B,12.46B,,,,,,,,6.093B,19.51B,6.424B,25.94B,1.29B,3.622B,36.94B,49.41B,,2018-06,4.41B,4.41B,,4.41B,1.583B,1.583B,1.317B,1.317B,3.007B,11.30B,10.37B,10.37B,,,777.00M,1.036B,231.00M,4.915B,16.30B,27.60B,,2018-06,9.00M,1.004B,,-808.00M,20.77B,,Restated
