,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,5.954B,5.954B,3.979B,1.975B,1.453B,0.00,58.00M,2.00M,-64.00M,,1.453B,522.00M,2.00M,58.00M,-64.00M,63.00M,-64.00M,521.00M,31.00M,490.00M,0.00,-49.00M,,441.00M,439.12M,579.00M,,2020-09,0.5998,0.00,,2020-09,0.5998,0.00,0.5973,2020-09,735.10M,737.70M,2020-09,AOR,
2020-06,5.343B,5.343B,3.511B,1.832B,1.334B,-610.00M,58.00M,3.00M,-63.00M,,1.334B,498.00M,3.00M,58.00M,-63.00M,-558.00M,-63.00M,-123.00M,-1.00M,-122.00M,0.00,-60.00M,,-182.00M,416.95M,-65.00M,,2020-06,-0.24,0.00,,2020-06,-0.24,0.00,0.5650,2020-06,744.00M,744.00M,2020-06,AOR,
2020-03,5.444B,5.444B,3.643B,1.801B,1.451B,-62.00M,62.00M,5.00M,-62.00M,,1.451B,350.00M,5.00M,62.00M,-62.00M,-39.00M,-62.00M,249.00M,13.00M,236.00M,0.00,-23.00M,,213.00M,269.05M,311.00M,,2020-03,0.28,0.00,,2020-03,0.28,0.00,0.3540,2020-03,754.80M,757.10M,2020-03,AOR,
2019-12,5.576B,5.576B,3.773B,1.803B,1.427B,-111.00M,62.00M,13.00M,-54.00M,,1.427B,376.00M,13.00M,62.00M,-54.00M,-66.00M,-54.00M,256.00M,65.00M,191.00M,0.00,-32.00M,,159.00M,240.75M,318.00M,,2019-12,0.21,0.00,,2019-12,0.21,0.00,0.3156,2019-12,769.90M,774.00M,2019-12,AOR,
2019-09,6.274B,6.274B,4.294B,1.98B,1.96B,0.00,66.00M,20.00M,-54.00M,,1.96B,20.00M,20.00M,66.00M,-54.00M,61.00M,-54.00M,27.00M,-627.00M,654.00M,0.00,-42.00M,,612.00M,607.62M,93.00M,,2019-09,0.7870,0.00,,2019-09,0.77,0.00,0.7645,2019-09,785.60M,790.60M,2019-09,AOR,Restated
2019-06,6.451B,6.451B,4.307B,2.144B,1.388B,-295.00M,81.00M,28.00M,-60.00M,,1.388B,756.00M,28.00M,81.00M,-60.00M,-232.00M,-60.00M,464.00M,239.00M,225.00M,4.051B,-84.00M,,4.192B,355.62M,545.00M,,2019-06,0.16,4.65,,2019-06,0.16,4.63,0.4052,2019-06,870.90M,875.20M,2019-06,AOR,Restated
2019-03,5.779B,5.779B,3.935B,1.844B,1.458B,0.00,97.00M,6.00M,-98.00M,,1.458B,386.00M,6.00M,97.00M,-98.00M,33.00M,-98.00M,321.00M,47.00M,274.00M,284.00M,-43.00M,,515.00M,231.00M,418.00M,,2019-03,0.27,0.30,,2019-03,0.26,0.30,0.26,2019-03,902.50M,905.90M,2019-03,AOR,Restated
2018-12,5.464B,5.464B,3.739B,1.725B,1.438B,0.00,91.00M,7.00M,-90.00M,,1.438B,287.00M,7.00M,91.00M,-90.00M,47.00M,-90.00M,244.00M,108.00M,136.00M,263.00M,-44.00M,,355.00M,88.35M,335.00M,,2018-12,0.12,0.27,,2018-12,0.12,0.27,0.1161,2018-12,921.60M,925.20M,2018-12,AOR,Restated
2018-09,6.183B,6.183B,4.126B,2.057B,1.392B,-101.00M,102.00M,0.00,-109.00M,,1.392B,665.00M,0.00,102.00M,-109.00M,-41.00M,-109.00M,515.00M,-117.00M,632.00M,193.00M,-54.00M,,771.00M,642.97M,617.00M,,2018-09,0.8337,0.00,,2018-09,0.83,0.00,0.8998,2018-09,924.80M,930.50M,2018-09,AOR,Restated
2018-06,6.282B,6.282B,4.194B,2.088B,1.441B,0.00,106.00M,5.00M,-109.00M,,1.441B,647.00M,5.00M,106.00M,-109.00M,69.00M,-109.00M,607.00M,61.00M,546.00M,258.00M,-81.00M,,723.00M,452.40M,713.00M,,2018-06,0.51,0.27,,2018-06,0.51,0.27,0.4965,2018-06,925.60M,930.70M,2018-06,AOR,Restated
2018-03,5.63B,5.63B,3.806B,1.824B,1.49B,0.00,99.00M,1.00M,-106.00M,,1.49B,334.00M,1.00M,99.00M,-106.00M,26.00M,-106.00M,254.00M,36.00M,218.00M,265.00M,-45.00M,,438.00M,173.86M,353.00M,,2018-03,0.20,0.27,,2018-03,0.20,0.27,0.2009,2018-03,926.20M,932.50M,2018-03,AOR,Restated
2017-12,5.305B,5.305B,3.607B,1.698B,1.319B,-154.00M,102.00M,7.00M,-102.00M,,1.319B,379.00M,7.00M,102.00M,-102.00M,-107.00M,-102.00M,170.00M,217.00M,-47.00M,318.00M,-41.00M,,230.00M,46.75M,272.00M,,2017-12,-0.08,0.33,,2017-12,-0.08,0.33,0.0655,2017-12,926.10M,926.10M,2017-12,AOR,Restated
2017-09,799.00M,799.00M,95.00M,704.00M,818.00M,-121.00M,103.00M,-5.00M,-102.00M,,818.00M,-114.00M,-5.00M,103.00M,-102.00M,-129.00M,-102.00M,-345.00M,-248.00M,-97.00M,1.024B,-52.00M,,875.00M,-83.60M,-242.00M,,2017-09,0.9415,0.00,,2017-09,0.93,0.00,0.9997,2017-09,929.60M,938.00M,2017-09,AOR,Restated
2017-06,7.683B,7.683B,5.252B,2.431B,1.609B,-49.00M,115.00M,4.00M,-125.00M,,1.609B,822.00M,4.00M,115.00M,-125.00M,21.00M,-125.00M,718.00M,89.00M,629.00M,,-74.00M,,555.00M,597.00M,833.00M,,2017-06,0.59,0.00,,2017-06,0.59,0.00,0.6345,2017-06,935.40M,944.40M,2017-06,AOR,Restated
2017-03,7.267B,7.267B,4.986B,2.281B,1.726B,-99.00M,118.00M,5.00M,-124.00M,,1.726B,555.00M,5.00M,118.00M,-124.00M,-38.00M,-124.00M,393.00M,508.00M,-115.00M,0.00,-33.00M,,-148.00M,-93.40M,511.00M,,2017-03,-0.16,0.00,,2017-03,-0.16,0.00,-0.1019,2017-03,939.20M,939.20M,2017-03,AOR,Restated
2016-12,7.086B,7.086B,4.972B,2.114B,1.57B,-78.00M,110.00M,7.00M,-133.00M,,1.57B,544.00M,7.00M,110.00M,-133.00M,-26.00M,-133.00M,385.00M,-27.00M,412.00M,-34.00M,-49.00M,,329.00M,438.33M,495.00M,,2016-12,0.40,-0.05,,2016-12,0.39,-0.05,0.4695,2016-12,937.20M,947.40M,2016-12,AOR,Restated
2016-09,6.254B,6.254B,4.566B,1.688B,1.549B,-201.00M,90.00M,4.00M,-97.00M,,1.549B,139.00M,4.00M,90.00M,-97.00M,-144.00M,-97.00M,-102.00M,-5.00M,-97.00M,-1.035B,-39.00M,,-1.171B,45.64M,-12.00M,,2016-09,-1.608,-1.56,,2016-09,-1.61,-1.56,-1.363,2016-09,728.60M,735.90M,2016-09,AOR,Restated
2016-06,5.154B,5.154B,3.732B,1.422B,895.00M,-27.00M,66.00M,4.00M,-69.00M,,895.00M,527.00M,4.00M,66.00M,-69.00M,22.00M,-69.00M,480.00M,78.00M,402.00M,57.00M,-76.00M,,383.00M,345.32M,546.00M,,2016-06,0.54,0.06,,2016-06,0.53,0.06,0.5597,2016-06,644.90M,649.70M,2016-06,AOR,Restated
2016-03,4.733B,4.733B,3.446B,1.287B,899.00M,-60.00M,65.00M,2.00M,-68.00M,,899.00M,388.00M,2.00M,65.00M,-68.00M,-23.00M,-68.00M,297.00M,41.00M,256.00M,-725.00M,-61.00M,,-530.00M,249.18M,362.00M,,2016-03,0.34,-1.15,,2016-03,0.33,-1.15,0.4131,2016-03,648.20M,652.10M,2016-03,AOR,Restated
2015-12,4.696B,4.696B,3.439B,1.257B,847.00M,0.00,72.00M,2.00M,-77.00M,,847.00M,410.00M,2.00M,72.00M,-77.00M,53.00M,-77.00M,386.00M,83.00M,303.00M,187.00M,-40.00M,,450.00M,254.42M,458.00M,,2015-12,0.43,0.26,,2015-12,0.43,0.26,0.4169,2015-12,647.70M,652.80M,2015-12,AOR,Restated
2015-09,-11.33B,-11.33B,-10.97B,-357.00M,236.00M,-215.00M,60.00M,0.00,-63.00M,,236.00M,-593.00M,0.00,60.00M,-63.00M,-406.00M,-63.00M,-1.062B,-394.00M,-668.00M,1.037B,-20.00M,,349.00M,-555.28M,-1.002B,,2015-09,0.0048,0.5572,,2015-09,0.0048,0.5550,0.1830,2015-09,738.78M,744.79M,2015-09,AOR,Restated
2015-06,9.608B,9.608B,7.902B,1.706B,975.00M,0.00,72.00M,3.00M,-75.00M,,975.00M,731.00M,3.00M,72.00M,-75.00M,91.00M,-75.00M,747.00M,215.00M,532.00M,-325.00M,-29.00M,,178.00M,503.00M,819.00M,,2015-06,0.8063,-0.5236,,2015-06,0.7958,-0.5236,0.7958,2015-06,625.43M,631.64M,2015-06,AOR,Restated
2015-03,9.198B,9.198B,7.625B,1.573B,975.00M,0.00,72.00M,1.00M,-77.00M,,975.00M,598.00M,1.00M,72.00M,-77.00M,90.00M,-77.00M,611.00M,132.00M,479.00M,78.00M,-28.00M,,529.00M,444.76M,683.00M,,2015-03,0.7225,0.1257,,2015-03,0.7120,0.1257,0.7022,2015-03,624.95M,631.45M,2015-03,AOR,Restated
2014-12,9.624B,9.624B,8.015B,1.609B,1.005B,,71.00M,3.00M,-74.00M,,1.005B,604.00M,3.00M,71.00M,-74.00M,105.00M,-74.00M,635.00M,118.00M,517.00M,29.00M,-39.00M,,507.00M,475.57M,706.00M,,2014-12,0.7644,0.0419,,2014-12,0.7539,0.0419,0.7501,2014-12,631.64M,637.94M,2014-12,AOR,Restated
2014-09,9.952B,9.952B,8.205B,1.747B,1.315B,-76.00M,78.00M,2.00M,-80.00M,,1.315B,432.00M,2.00M,78.00M,-80.00M,60.00M,-80.00M,412.00M,49.00M,363.00M,-17.00M,-37.00M,,309.00M,380.63M,490.00M,,2014-09,0.4895,-0.0031,,2014-09,0.4817,-0.0031,0.5532,2014-09,755.21M,764.18M,2014-09,AOR,Restated
2014-06,9.833B,9.833B,8.253B,1.58B,943.00M,-257.00M,63.00M,3.00M,-65.00M,,943.00M,637.00M,3.00M,63.00M,-65.00M,-171.00M,-65.00M,401.00M,154.00M,247.00M,-48.00M,-23.00M,,176.00M,384.58M,464.00M,,2014-06,0.3665,-0.0838,,2014-06,0.3560,-0.0838,0.6061,2014-06,634.50M,642.05M,2014-06,AOR,Restated
2014-03,9.467B,9.467B,7.995B,1.472B,952.00M,,56.00M,2.00M,-59.00M,,952.00M,520.00M,2.00M,56.00M,-59.00M,76.00M,-59.00M,537.00M,101.00M,436.00M,-143.00M,-32.00M,,261.00M,401.57M,593.00M,,2014-03,0.6492,-0.2304,,2014-03,0.6387,-0.2304,0.6350,2014-03,633.93M,641.57M,2014-03,AOR,Restated
