,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,490.00M,,-45.00M,76.00M,31.00M,,,206.00M,206.00M,-389.00M,,13.00M,-70.00M,106.00M,250.00M,362.00M,68.00M,,-87.00M,699.00M,-260.00M,,2020-09,-96.00M,29.00M,29.00M,,117.00M,1.00M,,,2020-09,923.00M,-1.345B,-422.00M,-737.00M,-737.00M,-194.00M,-194.00M,33.00M,-188.00M,-1.621B,2020-09,2.342B,-482.00M,87.00M,,2020-09,368.00M,,-881.00M,-737.00M,,AOR,
2020-06,-122.00M,,20.00M,122.00M,142.00M,,,202.00M,202.00M,-87.00M,,23.00M,394.00M,184.00M,56.00M,-85.00M,30.00M,,96.00M,281.00M,208.00M,,2020-06,-97.00M,78.00M,78.00M,,-1.00M,-1.00M,,,2020-06,-3.00M,977.00M,974.00M,0.00,0.00,-194.00M,-194.00M,3.00M,-63.00M,720.00M,2020-06,1.006B,1.372B,-36.00M,,2020-06,-368.00M,,-3.00M,0.00,,AOR,
2020-03,236.00M,,-19.00M,-40.00M,-59.00M,,,207.00M,207.00M,-58.00M,,15.00M,72.00M,7.00M,-147.00M,11.00M,-58.00M,,-71.00M,-258.00M,-14.00M,,2020-03,-124.00M,19.00M,19.00M,,-10.00M,0.00,,,2020-03,-502.00M,325.00M,-177.00M,-816.00M,-816.00M,-199.00M,-199.00M,18.00M,-12.00M,-1.186B,2020-03,2.16B,-1.16B,7.00M,,2020-03,,,-502.00M,-816.00M,,AOR,
2019-12,191.00M,,8.00M,-40.00M,-32.00M,,,207.00M,207.00M,-3.00M,,23.00M,35.00M,237.00M,-114.00M,26.00M,-92.00M,,33.00M,90.00M,-194.00M,,2019-12,-126.00M,1.00M,1.00M,,-48.00M,0.00,,,2019-12,,10.00M,10.00M,-651.00M,-651.00M,-203.00M,-203.00M,21.00M,-27.00M,-850.00M,2019-12,2.821B,-706.00M,57.00M,,2019-12,,,,-651.00M,,AOR,
2019-09,654.00M,,-40.00M,600.00M,560.00M,,,200.00M,200.00M,230.00M,,29.00M,-15.00M,182.00M,217.00M,-951.00M,-37.00M,,-37.00M,-626.00M,-541.00M,,2019-09,-185.00M,12.00M,12.00M,,-9.00M,12.00M,,,2019-09,0.00,-10.00M,-10.00M,-861.00M,-861.00M,-208.00M,-208.00M,60.00M,0.00,-1.054B,2019-09,3.685B,-784.00M,-96.00M,,2019-09,-12.66B,,0.00,-861.00M,,AOR,Restated
2019-06,225.00M,,73.00M,-28.00M,45.00M,,,203.00M,203.00M,-121.00M,,24.00M,272.00M,-355.00M,32.00M,341.00M,-33.00M,,-25.00M,-40.00M,-502.00M,,2019-06,-123.00M,10.00M,10.00M,,3.00M,6.00M,,,2019-06,-2.321B,-2.842B,-5.163B,-4.122B,-4.122B,-233.00M,-233.00M,60.00M,-3.00M,-9.433B,2019-06,239.00M,3.429B,14.00M,,2019-06,12.66B,,-2.321B,-4.122B,,AOR,Restated
2019-03,274.00M,,-31.00M,-28.00M,-59.00M,,,211.00M,211.00M,460.00M,,24.00M,-35.00M,-285.00M,-99.00M,-309.00M,34.00M,,-34.00M,-693.00M,309.00M,,2019-03,-125.00M,3.00M,3.00M,,0.00,-1.00M,,,2019-03,-12.00M,542.00M,530.00M,-533.00M,-533.00M,-239.00M,-239.00M,38.00M,-91.00M,-312.00M,2019-03,292.00M,-59.00M,5.00M,,2019-03,,,-12.00M,-533.00M,,AOR,Restated
2018-12,136.00M,,-36.00M,-29.00M,-65.00M,,,211.00M,211.00M,43.00M,,18.00M,-11.00M,146.00M,-222.00M,-247.00M,-63.00M,,-25.00M,-411.00M,193.00M,,2018-12,-153.00M,2.00M,2.00M,,-7.00M,22.00M,,,2018-12,,1.014B,1.014B,-467.00M,-467.00M,-240.00M,-240.00M,13.00M,-64.00M,245.00M,2018-12,200.00M,155.00M,-43.00M,,2018-12,,,,-467.00M,,AOR,Restated
2018-09,632.00M,0.00,-44.00M,-62.00M,-106.00M,,,175.00M,175.00M,-661.00M,,29.00M,-24.00M,-21.00M,108.00M,561.00M,74.00M,,56.00M,778.00M,429.00M,,2018-09,-164.00M,25.00M,25.00M,,104.00M,2.00M,,,2018-09,-711.00M,-251.00M,-962.00M,-45.00M,-45.00M,-240.00M,-240.00M,27.00M,-4.00M,-1.224B,2018-09,267.00M,-64.00M,-22.00M,,2018-09,,250.00M,-961.00M,-45.00M,,AOR,Restated
2018-06,546.00M,0.00,-25.00M,-36.00M,-61.00M,,,227.00M,227.00M,1.00M,,27.00M,-11.00M,-347.00M,-2.00M,297.00M,-71.00M,,-49.00M,-172.00M,170.00M,,2018-06,-201.00M,13.00M,13.00M,,-22.00M,0.00,,,2018-06,-416.00M,450.00M,34.00M,-56.00M,-56.00M,-241.00M,-241.00M,3.00M,-2.00M,-274.00M,2018-06,244.00M,167.00M,-145.00M,,2018-06,,0.00,-416.00M,-56.00M,,AOR,Restated
