,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.97B,3.412B,4.79B,-1.378B,80.00M,,80.00M,,,,334.00M,5.00M,-329.00M,826.00M,906.00M,-2.284B,5.00M,334.00M,-329.00M,240.00M,-329.00M,-2.373B,-476.00M,-1.897B,,,,,-1.897B,-1.978B,-2.039B,,-2.039B,,-6.083,,,,-6.342,-6.083,,-6.39,,,,-6.649,-6.39,,311.85M,311.85M,0.00,,AOR,
2020-09,2.071B,2.489B,4.453B,-1.964B,53.00M,,53.00M,,,-413.00M,329.00M,8.00M,-321.00M,-815.00M,-762.00M,-1.202B,8.00M,329.00M,-321.00M,-809.00M,-321.00M,-2.332B,-491.00M,-1.841B,,,,,-1.841B,-1.527B,-2.003B,,-2.003B,,-6.33,,,,-5.250,-6.33,,-6.33,,,,-5.250,-6.33,,291.00M,291.00M,0.00,,AOR,
2020-06,1.083B,1.475B,4.002B,-2.527B,31.00M,,31.00M,,,-140.00M,179.00M,11.00M,-168.00M,-1.061B,-1.03B,-1.497B,11.00M,179.00M,-168.00M,-338.00M,-168.00M,-2.003B,-376.00M,-1.627B,,,,,-1.627B,-1.521B,-1.824B,,-1.824B,,-5.79,,,,-5.411,-5.79,,-5.79,,,,-5.411,-5.79,,280.70M,280.70M,0.00,,AOR,
2020-03,7.329B,7.979B,7.14B,839.00M,295.00M,,295.00M,,,-63.00M,150.00M,26.00M,-124.00M,1.453B,1.748B,-909.00M,26.00M,150.00M,-124.00M,-1.081B,-124.00M,-2.114B,-410.00M,-1.704B,,,,,-1.704B,-1.396B,-1.964B,,-1.964B,,-6.86,,,,-5.621,-6.86,,-6.86,,,,-5.621,-6.86,,248.50M,248.50M,0.00,,AOR,
2019-12,10.25B,10.89B,7.85B,3.038B,417.00M,,417.00M,,,-130.00M,141.00M,30.00M,-111.00M,1.63B,2.047B,991.00M,30.00M,141.00M,-111.00M,-36.00M,-111.00M,844.00M,203.00M,641.00M,,,,,641.00M,678.21M,985.00M,,985.00M,,2.552,,,,2.699,2.552,,2.53,,,,2.677,2.53,,252.20M,253.60M,0.00,,AOR,
2019-09,10.76B,11.38B,7.857B,3.523B,432.00M,,432.00M,,,-27.00M,169.00M,36.00M,-133.00M,1.591B,2.023B,1.50B,36.00M,169.00M,-133.00M,-18.00M,-133.00M,1.349B,325.00M,1.024B,,,,,1.024B,1.029B,1.518B,,1.518B,,4.01,,,,4.028,4.01,,3.99,,,,4.008,3.99,,255.30M,256.40M,0.00,,AOR,Restated
2019-06,10.78B,11.40B,7.871B,3.531B,442.00M,,442.00M,,,-71.00M,170.00M,38.00M,-132.00M,1.546B,1.988B,1.543B,38.00M,170.00M,-132.00M,-57.00M,-132.00M,1.354B,302.00M,1.052B,,,,,1.052B,1.081B,1.524B,,1.524B,,4.03,,,,4.140,4.03,,4.02,,,,4.130,4.02,,260.80M,261.60M,0.00,,AOR,Restated
2019-03,9.011B,9.589B,7.208B,2.381B,360.00M,,360.00M,,,-18.00M,166.00M,29.00M,-137.00M,1.508B,1.868B,513.00M,29.00M,166.00M,-137.00M,-9.00M,-137.00M,367.00M,75.00M,292.00M,,,,,292.00M,292.80M,533.00M,,533.00M,,1.09,,,,1.093,1.09,,1.09,,,,1.093,1.09,,267.00M,268.30M,0.00,,AOR,Restated
2018-12,9.89B,10.49B,7.651B,2.84B,396.00M,,396.00M,,,-301.00M,154.00M,31.00M,-123.00M,1.508B,1.904B,936.00M,31.00M,154.00M,-123.00M,-260.00M,-123.00M,553.00M,92.00M,461.00M,,,,,461.00M,711.92M,707.00M,,707.00M,,1.712,,,,2.638,1.712,,1.70,,,,2.620,1.70,,271.00M,272.80M,0.00,,AOR,Restated
2018-09,10.42B,11.00B,7.905B,3.098B,427.00M,,427.00M,,,-17.00M,156.00M,28.00M,-128.00M,1.467B,1.894B,1.204B,28.00M,156.00M,-128.00M,-18.00M,-128.00M,1.058B,225.00M,833.00M,,,,,833.00M,846.38M,1.214B,,1.214B,,3.06,,,,3.109,3.06,,3.05,,,,3.099,3.05,,272.40M,273.60M,0.00,,AOR,Restated
2018-06,10.19B,10.78B,7.681B,3.096B,393.00M,,393.00M,,,-129.00M,151.00M,25.00M,-126.00M,1.429B,1.822B,1.274B,25.00M,151.00M,-126.00M,-293.00M,-126.00M,855.00M,172.00M,683.00M,,,,,683.00M,786.05M,1.006B,,1.006B,,2.48,,,,2.855,2.48,,2.48,,,,2.854,2.48,,274.70M,275.60M,0.00,,AOR,Restated
2018-03,8.442B,9.032B,6.991B,2.041B,342.00M,,342.00M,,,-40.00M,144.00M,17.00M,-127.00M,1.397B,1.739B,302.00M,17.00M,144.00M,-127.00M,7.00M,-127.00M,182.00M,37.00M,145.00M,,,,,145.00M,176.88M,326.00M,,326.00M,,0.51,,,,0.6223,0.51,,0.51,,,,0.6219,0.51,,283.90M,284.90M,0.00,,AOR,Restated
2017-12,8.911B,9.451B,6.919B,2.532B,354.00M,,354.00M,,,-31.00M,118.00M,16.00M,-102.00M,1.424B,1.778B,754.00M,16.00M,118.00M,-102.00M,-49.00M,-102.00M,603.00M,25.00M,578.00M,,,,,578.00M,607.71M,721.00M,,721.00M,,2.021,,,,2.123,2.021,,1.99,,,,2.092,1.99,,290.40M,291.60M,0.00,,AOR,Restated
2017-09,9.348B,9.899B,6.898B,3.001B,377.00M,,377.00M,,,-50.00M,149.00M,17.00M,-132.00M,1.436B,1.813B,1.188B,17.00M,149.00M,-132.00M,-63.00M,-132.00M,993.00M,348.00M,645.00M,,,,,645.00M,677.50M,1.142B,,1.142B,,2.15,,,,2.258,2.15,,2.15,,,,2.258,2.15,,299.80M,300.60M,0.00,,AOR,Restated
2017-06,9.424B,10.01B,6.761B,3.247B,385.00M,,385.00M,,,-44.00M,146.00M,13.00M,-133.00M,1.381B,1.766B,1.481B,13.00M,146.00M,-133.00M,-71.00M,-133.00M,1.277B,456.00M,821.00M,,,,,821.00M,849.29M,1.423B,,1.423B,,2.67,,,,2.762,2.67,,2.67,,,,2.762,2.67,,306.90M,307.70M,0.00,,AOR,Restated
