,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,,,,,,,,,,,,,,,,,,-2.137B,,-137.00M,,,,137.00M,0.00,0.00,,-412.00M,,-412.00M,968.00M,0.00,968.00M,,,-75.00M,481.00M,,13.40B,-1.656B,11.74B,,968.00M,3.02B,-3.432B,0.00,,,,AOR,
2020-09,,,,,,,,,,,,,,,,,,-1.889B,,368.00M,,,,406.00M,-4.00M,770.00M,,10.90B,-2.75B,8.152B,0.00,0.00,0.00,,,-247.00M,7.905B,,6.612B,6.786B,13.40B,,0.00,8.605B,-453.00M,0.00,,,,AOR,
2020-06,,,,,,,,,,,,,,,,,,-112.00M,,-39.00M,,,,838.00M,13.00M,812.00M,,1.01B,250.00M,1.26B,1.135B,-353.00M,782.00M,353.00M,353.00M,-31.00M,2.364B,,3.542B,3.064B,6.612B,,1.135B,1.571B,-311.00M,-353.00M,,,,AOR,
2020-03,,,,,,,,,,,,,,,,,,45.00M,,-1.959B,,,,386.00M,1.00M,-1.572B,,95.00M,2.50B,2.595B,,,,-353.00M,-353.00M,-35.00M,2.207B,,2.862B,680.00M,3.542B,,,2.848B,-253.00M,,,,,AOR,
2019-12,,,,,,,,,,,,,,,,,,1.181B,,-1.192B,,,,-15.00M,-86.00M,-1.329B,,178.00M,,178.00M,,-214.00M,-214.00M,,,-11.00M,-47.00M,,3.063B,-195.00M,2.868B,,,738.00M,-560.00M,-214.00M,,,,AOR,
2019-09,,,,,,,,,,,,,,,,,,1.103B,,-869.00M,,,,73.00M,1.00M,-795.00M,,-182.00M,,-182.00M,0.00,-369.00M,-369.00M,,,-20.00M,-571.00M,,3.326B,-263.00M,3.063B,,0.00,113.00M,-295.00M,-369.00M,,,,AOR,Restated
2019-06,,,,,,,,,,,,,,,,,,2.739B,,-858.00M,,,,-3.00M,5.00M,-856.00M,,84.00M,0.00,84.00M,0.00,-1.062B,-1.062B,513.00M,513.00M,-43.00M,-508.00M,,1.945B,1.375B,3.326B,,0.00,350.00M,-266.00M,-1.062B,,,,AOR,Restated
2019-03,,,,,,,,,,,,,,,,,,1.886B,,-1.609B,,,,44.00M,-15.00M,-1.58B,,376.00M,0.00,376.00M,,,,-513.00M,-513.00M,-17.00M,-154.00M,,1.793B,152.00M,1.945B,,,646.00M,-270.00M,,,,,AOR,Restated
2018-12,,,,,,,,,,,,,,,,,,1.146B,,-1.574B,-30.00M,-30.00M,0.00,60.00M,-404.00M,-1.948B,,123.00M,,123.00M,,-1.235B,-1.235B,1.01B,1.01B,-23.00M,-125.00M,,2.72B,-927.00M,1.799B,,,353.00M,-230.00M,-1.235B,,,,AOR,Restated
2018-09,,,,,,,,,,,,,,,,,,866.00M,,-825.00M,30.00M,30.00M,0.00,-125.00M,66.00M,-854.00M,,-247.00M,,-247.00M,,969.00M,969.00M,-1.01B,-1.01B,11.00M,-277.00M,,2.991B,-265.00M,2.72B,,,0.00,-247.00M,969.00M,,,,AOR,Restated
