,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2006-12,2.464B,2.464B,1.623B,841.00M,18.00M,78.00M,,,,381.00M,606.00M,235.00M,,,,18.00M,,104.00M,37.00M,67.00M,,,,,67.00M,55.40M,401.00M,166.00M,235.00M,0.22,0.0,,,0.1823,0.22,0.19,0.0,,,0.1558,0.19,307.27M,338.72M,0.15
2006-09,1.935B,1.935B,1.058B,877.00M,20.00M,87.00M,,,,347.00M,593.00M,284.00M,,,,20.00M,,152.00M,69.00M,83.00M,,,,,83.00M,71.00M,452.00M,168.00M,284.00M,0.27,0.0,,,0.231,0.27,0.26,0.0,,,0.2224,0.26,307.41M,319.23M,0.15
2006-06,1.843B,1.843B,1.035B,808.00M,9.00M,95.00M,,,,340.00M,588.00M,220.00M,,,,9.00M,,78.00M,-116.00M,194.00M,,,,,194.00M,188.60M,387.00M,167.00M,220.00M,0.62,0.0,,,0.6027,0.62,0.61,0.0,,,0.593,0.61,312.90M,318.03M,0.15
2006-03,3.077B,3.077B,2.193B,884.00M,2.00M,107.00M,,,,331.00M,578.00M,306.00M,,,,2.00M,,160.00M,72.00M,88.00M,,,,,88.00M,86.80M,460.00M,154.00M,306.00M,0.28,0.0,,,0.2762,0.28,0.28,0.0,,,0.2762,0.28,314.29M,314.29M,0.15
2005-12,3.212B,3.212B,2.348B,864.00M,5.00M,98.00M,,,,367.00M,595.00M,269.00M,,,,5.00M,,112.00M,31.00M,81.00M,0.00,,,,81.00M,77.38M,417.00M,148.00M,269.00M,0.26,0.0,,-0.0001,0.2484,0.26,0.24,0.0,,-0.0002,0.2293,0.24,311.72M,338.12M,0.06
2005-09,2.073B,2.073B,1.277B,796.00M,8.00M,90.00M,,,,301.00M,536.00M,260.00M,,,,8.00M,,91.00M,41.00M,50.00M,,,,,50.00M,45.20M,424.00M,164.00M,260.00M,0.16,0.0,,,0.1446,0.16,0.15,0.0,,,0.1356,0.15,312.50M,333.33M,0.07
2005-06,1.842B,1.842B,1.103B,739.00M,13.00M,92.00M,,,,290.00M,518.00M,221.00M,,,,13.00M,,45.00M,18.00M,27.00M,-3.00M,30.00M,,,54.00M,19.20M,377.00M,156.00M,221.00M,0.09,-0.01,0.0,,0.064,0.18,0.09,-0.01,0.0889,,0.0669,0.16,300.00M,337.50M,0.07
2005-03,2.595B,2.595B,1.781B,814.00M,2.00M,95.00M,,,,279.00M,504.00M,310.00M,,,,2.00M,,130.00M,63.00M,67.00M,,,,,67.00M,65.80M,460.00M,150.00M,310.00M,0.22,0.0,,,0.2161,0.22,0.2,0.0,,,0.1964,0.2,304.55M,335.00M,0.1
2004-12,2.102B,2.102B,1.312B,790.00M,13.00M,87.00M,,,,119.00M,334.00M,456.00M,,,,13.00M,,276.00M,113.00M,163.00M,21.00M,,,,101.00M,155.20M,613.00M,157.00M,456.00M,0.53,0.07,,-0.2686,0.5047,0.33,0.47,0.07,,-0.2686,0.4553,0.33,307.91M,530.37M,0.1
2004-09,1.669B,1.669B,928.00M,741.00M,4.00M,89.00M,,,,319.00M,534.00M,207.00M,,,,4.00M,,19.00M,2.00M,17.00M,-259.00M,,,,-1.136B,13.42M,352.04M,145.04M,207.00M,0.05,-0.84,,-2.904,0.0384,-3.69,0.05,-0.84,,-2.904,0.0385,-3.69,307.86M,310.38M,0.1
2004-06,1.700B,1.700B,1.011B,689.77M,12.42M,86.18M,,,,299.95M,506.20M,183.57M,,,,12.42M,,-2.535M,0.191M,-2.726M,60.38M,,,,57.65M,-10.18M,325.55M,141.98M,183.57M,-0.01,0.2,,,-0.0346,0.19,-0.01,0.2,,,-0.0346,0.19,303.43M,303.43M,0.1
2004-03,2.528B,2.528B,1.762B,765.94M,4.068M,93.99M,,,,315.84M,526.05M,239.89M,,,,4.068M,,51.31M,22.42M,28.90M,44.69M,,,,73.59M,26.46M,377.87M,137.98M,239.89M,0.09,0.15,,,0.082,0.24,0.09,0.13,,,0.0827,0.22,306.61M,334.49M,0.1
2003-12,2.117B,2.117B,1.224B,892.83M,-17.32M,75.62M,,,,424.00M,614.64M,278.18M,,,,-17.32M,,50.37M,3.365M,47.01M,23.28M,,,,70.29M,63.18M,489.44M,211.26M,278.18M,0.16,0.07,,,0.213,0.23,0.06,0.05,,,0.0998,0.11,304.90M,406.49M,0.1
2003-09,1.608B,1.608B,681.89M,926.05M,-1.479M,90.13M,,,,298.81M,508.42M,417.63M,,,,-1.479M,,232.52M,85.54M,146.98M,34.75M,,,,181.72M,147.91M,537.10M,4.805M,417.63M,0.48,0.12,,,0.4831,0.6,0.48,0.11,,,0.483,0.59,302.88M,308.01M,0.1
2003-06,2.091B,2.091B,1.104B,987.07M,16.55M,90.69M,,,,393.08M,641.04M,346.03M,,,,16.55M,,127.30M,44.35M,82.96M,-19.73M,,-6.295M,,63.22M,72.17M,538.52M,192.49M,346.03M,0.27,-0.06,,,0.2342,0.21,0.27,-0.06,,,0.2342,0.21,301.06M,301.06M,0.1
2003-03,2.900B,2.900B,1.871B,1.029B,-2.612M,102.84M,,,,412.88M,668.00M,361.03M,,,,-2.612M,,122.59M,41.11M,81.48M,6.88M,80.07M,2.066M,,168.43M,83.22M,558.68M,197.66M,361.03M,0.27,0.02,0.0,,0.2758,0.56,0.27,0.02,0.2662,,0.2758,0.56,300.77M,300.77M,0.1
2002-12,644.90M,644.90M,151.36M,493.55M,29.78M,31.96M,,,,96.52M,126.47M,367.08M,,,,29.78M,,154.56M,65.50M,89.06M,-152.05M,,,,-62.99M,71.20M,643.87M,276.79M,367.08M,0.3,-0.5,,,0.2402,-0.2,0.29,-0.5,,,0.231,-0.2,298.82M,303.02M,0.16
2002-09,1.917B,1.917B,845.27M,1.072B,7.567M,94.56M,,,,385.48M,640.18M,431.33M,,,,7.567M,,254.72M,92.84M,161.89M,-4.286B,,-0.008M,,-4.124B,157.08M,598.33M,167.00M,431.33M,0.54,-14.34,,,0.5239,-13.8,0.54,-14.34,,,0.524,-13.8,298.79M,299.63M,0.16
2002-06,1.798B,1.798B,866.32M,932.11M,-3.827M,119.13M,,,,372.50M,642.71M,289.40M,,,,-3.827M,,131.87M,45.74M,86.12M,149.52M,,-0.007M,,235.64M,88.62M,446.81M,157.41M,289.40M,0.29,0.5,,,0.2984,0.79,0.29,0.5,,,0.2984,0.79,297.70M,298.47M,0.375
