,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-11,6.818B,6.826B,5.566B,1.260B,95.46M,95.46M,,,,,95.46M,1.165B,,,,,1.165B,273.74M,890.91M,,,-8.149M,882.76M,882.76M,1.165B,,2020-11,2.82,,,,2020-11,2.82,,,,2020-11,309.15M,,2020-11,AOR,
2020-08,5.857B,5.870B,4.896B,974.26M,92.66M,92.66M,0.00,,,11.79M,104.45M,869.81M,,,-10.80M,,859.01M,189.69M,669.32M,,,-2.905M,666.42M,666.42M,894.12M,,2020-08,2.13,,,,2020-08,2.12,,,,2020-08,308.89M,,2020-08,AOR,
2020-05,5.269B,5.287B,4.546B,741.29M,83.45M,83.45M,61.42M,,,,83.45M,657.84M,,,18.74M,,676.58M,160.48M,516.10M,,,1.308M,517.41M,470.54M,681.88M,,2020-05,1.66,,,,2020-05,1.65,,,,2020-05,308.37M,,2020-05,AOR,
2020-02,4.503B,4.505B,3.989B,516.26M,86.85M,86.85M,,,,,86.85M,429.42M,,,-5.866M,,423.55M,32.33M,391.22M,,,7.229M,398.45M,398.45M,449.83M,,2020-02,1.27,,,,2020-02,1.27,,,,2020-02,311.21M,,2020-02,AOR,
2019-11,6.964B,6.972B,5.988B,983.49M,93.04M,93.04M,0.00,,,,57.72M,925.78M,,,-19.47M,,888.69M,217.50M,671.18M,,,3.121M,674.30M,674.30M,944.88M,,2019-11,2.13,,,,2019-11,2.13,,,,2019-11,313.90M,,2019-11,AOR,
2019-08,5.847B,5.857B,5.116B,740.97M,92.62M,92.62M,0.00,,,-12.38M,80.24M,660.73M,,,6.351M,,667.08M,154.44M,512.64M,,,0.723M,513.37M,513.37M,683.57M,,2019-08,1.60,,,,2019-08,1.59,,,,2019-08,318.10M,,2019-08,AOR,Restated
2019-05,5.547B,5.563B,4.887B,675.72M,76.11M,76.11M,,,,,76.11M,599.61M,,,-40.21M,,559.40M,140.53M,418.87M,,,2.603M,421.47M,421.47M,622.23M,,2019-05,1.31,,,,2019-05,1.30,,,,2019-05,320.33M,,2019-05,AOR,Restated
2019-02,3.864B,3.868B,3.466B,402.11M,79.34M,79.34M,,,,,79.34M,322.76M,,,-3.641M,,319.12M,79.70M,239.42M,,,0.486M,239.91M,239.91M,341.13M,,2019-02,0.74,,,,2019-02,0.74,,,,2019-02,321.34M,,2019-02,AOR,Restated
2018-11,6.426B,6.459B,5.577B,882.26M,94.86M,94.86M,-12.92M,,,,94.86M,787.39M,,,260.39M,,1.037B,238.30M,798.23M,,,-2.079M,796.15M,806.10M,1.096B,,2018-11,2.42,,,,2018-11,2.42,,,,2018-11,325.73M,,2018-11,AOR,Restated
2018-08,5.645B,5.673B,4.993B,679.08M,96.35M,96.35M,-11.99M,,,,96.35M,582.74M,,,-16.82M,,565.92M,98.30M,467.62M,,,-14.41M,453.21M,463.07M,608.02M,,2018-08,1.37,,,,2018-08,1.37,,,,2018-08,327.21M,,2018-08,AOR,Restated
2018-05,5.431B,5.459B,4.969B,490.12M,84.92M,84.92M,-23.88M,,,,84.92M,405.20M,,,-14.39M,,390.81M,75.96M,314.85M,,,-4.592M,310.26M,329.43M,427.06M,,2018-05,0.95,,,,2018-05,0.94,,,,2018-05,325.26M,,2018-05,AOR,Restated
2018-02,2.951B,2.981B,2.698B,282.73M,67.81M,67.81M,-104.20M,,,,67.81M,214.92M,,,54.51M,,269.43M,132.61M,136.82M,,,-0.602M,136.22M,212.28M,234.49M,,2018-02,0.53,,,,2018-02,0.53,,,,2018-02,253.66M,,2018-02,AOR,Restated
2017-11,3.615B,3.786B,3.258B,528.01M,85.56M,85.56M,0.00,,,,85.56M,442.45M,,,26.70M,,461.98M,164.20M,297.78M,,,11.81M,309.59M,309.59M,319.65M,,2017-11,1.29,,,,2017-11,1.29,,,,2017-11,237.56M,,2017-11,AOR,Restated
2017-08,3.261B,3.261B,2.814B,447.95M,72.86M,72.86M,0.00,,,,72.86M,375.09M,,,-6.708M,,368.38M,124.80M,243.59M,,,5.575M,249.16M,249.16M,392.58M,,2017-08,1.04,,,,2017-08,1.04,,,,2017-08,237.33M,,2017-08,AOR,Restated
2017-05,3.262B,3.262B,2.862B,400.00M,66.77M,66.77M,0.00,,,,66.77M,333.22M,,,-23.62M,,309.60M,108.89M,200.71M,,,12.94M,213.64M,213.64M,350.90M,,2017-05,0.89,,,,2017-05,0.89,,,,2017-05,236.88M,,2017-05,AOR,Restated
2017-02,2.337B,2.337B,2.089B,248.93M,60.70M,60.70M,-140.00M,,,,60.70M,188.23M,,,-138.58M,,49.64M,19.97M,29.67M,,,8.406M,38.08M,129.92M,199.97M,,2017-02,0.16,,,,2017-02,0.16,,,,2017-02,236.85M,,2017-02,AOR,Restated
2016-11,3.377B,3.377B,2.872B,504.80M,67.93M,67.93M,-5.592M,,,,67.93M,436.88M,,,29.13M,,461.38M,150.91M,310.47M,,,2.983M,313.45M,317.22M,524.04M,,2016-11,1.343,,,,2016-11,1.314,,,,2016-11,231.93M,,2016-11,AOR,Restated
2016-08,2.834B,2.834B,2.449B,385.36M,61.16M,61.16M,0.00,,,,61.16M,324.19M,,,15.36M,,339.56M,106.43M,233.13M,,,2.711M,235.84M,235.84M,337.23M,,2016-08,1.020,,,,2016-08,0.9902,,,,2016-08,228.02M,,2016-08,AOR,Restated
2016-05,2.746B,2.746B,2.368B,378.26M,55.80M,55.80M,0.00,,,,55.80M,322.45M,,,5.386M,,327.84M,103.80M,224.04M,,,-5.569M,218.47M,218.47M,335.13M,,2016-05,0.9902,,,,2016-05,0.9314,,,,2016-05,216.19M,,2016-05,AOR,Restated
2016-02,1.994B,1.994B,1.767B,226.51M,47.67M,47.67M,0.00,,,,47.67M,178.84M,,,22.85M,,201.69M,56.24M,145.45M,,,-1.372M,144.08M,144.08M,188.92M,,2016-02,0.6667,,,,2016-02,0.6176,,,,2016-02,214.50M,,2016-02,AOR,Restated
2015-11,2.946B,2.946B,2.500B,445.10M,65.89M,65.89M,15.60M,1.753M,-1.753M,,65.89M,379.22M,1.753M,-1.753M,55.04M,-1.753M,432.50M,139.84M,292.66M,,,-11.06M,281.60M,271.04M,447.47M,,2015-11,1.314,,,,2015-11,1.186,,,,2015-11,207.68M,,2015-11,AOR,Restated
2015-08,2.492B,2.492B,2.143B,348.71M,56.49M,56.49M,3.054M,2.812M,-2.812M,,56.49M,292.22M,2.812M,-2.812M,31.26M,-2.812M,320.66M,95.62M,225.04M,,,-1.725M,223.31M,221.17M,335.01M,,2015-08,1.049,,,,2015-08,0.9412,,,,2015-08,208.20M,,2015-08,AOR,Restated
2015-05,2.393B,2.393B,2.071B,321.52M,50.21M,50.21M,2.332M,3.818M,-3.818M,,50.21M,271.32M,3.818M,-3.818M,12.31M,-3.818M,279.81M,95.23M,184.58M,,,-1.568M,183.02M,181.48M,294.23M,,2015-05,0.8725,,,,2015-05,0.7745,,,,2015-05,207.05M,,2015-05,AOR,Restated
2015-02,1.644B,1.644B,1.457B,186.92M,43.65M,43.65M,0.574M,4.071M,-4.071M,,43.65M,143.27M,4.071M,-4.071M,37.45M,-4.071M,176.64M,59.73M,116.92M,,,-1.954M,114.96M,114.59M,189.02M,,2015-02,0.5490,,,,2015-02,0.4902,,,,2015-02,206.99M,,2015-02,AOR,Restated
