,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-08,669.32M,-0.19M,,5.014M,10.62M,12.72M,,,24.31M,24.31M,45.17M,,,,28.66M,,6.739M,272.40M,272.57M,153.50M,76.17M,23.45M,798.09M,,1.586B,,2020-08,-17.12M,-29.73M,-46.85M,1.159M,2.396M,-93.42M,,2020-08,-857.10M,,-857.10M,0.00,-22.90M,-22.90M,-38.97M,,1.547M,-917.42M,,1.657B,575.20M,2.232B,,2020-08,0.00,10.89M,-22.90M,,2020-08,AOR,
2020-05,516.10M,-61.42M,,-5.014M,37.78M,-38.86M,,,24.05M,24.05M,22.73M,,,,23.29M,,33.69M,-253.45M,617.87M,0.58M,7.34M,-26.58M,345.76M,,927.83M,,2020-05,-7.822M,16.66M,8.838M,-7.007M,-2.74M,-187.22M,,2020-05,-204.18M,,-204.18M,0.00,-0.105M,-0.105M,-38.90M,,84.43M,-158.77M,,1.075B,581.84M,1.657B,,2020-05,0.00,-268.44M,-0.105M,,2020-05,AOR,
2020-02,391.22M,-4.661M,,,2.572M,-4.999M,,,20.41M,20.41M,57.01M,,,,31.86M,,17.57M,245.69M,-777.01M,11.56M,474.24M,-121.51M,-167.02M,,382.98M,,2020-02,-17.91M,13.07M,-4.842M,5.894M,4.41M,13.18M,,2020-02,-521.28M,,-521.28M,0.00,-295.99M,-295.99M,-39.24M,,66.70M,-789.80M,,1.469B,-393.65M,1.075B,,2020-02,0.00,327.58M,-295.99M,,2020-02,AOR,
2019-11,671.18M,-48.87M,,-1.183M,9.707M,-51.38M,,,28.38M,28.38M,90.52M,,,,21.50M,,82.72M,-215.74M,986.68M,100.91M,-416.35M,-117.96M,337.55M,,1.184B,,2019-11,-16.94M,,-16.94M,6.603M,70.06M,58.95M,,2019-11,-718.93M,,-718.93M,0.105M,-103.75M,-103.65M,-12.68M,,-8.923M,-844.17M,,1.070B,398.83M,1.469B,,2019-11,0.105M,-673.88M,-103.75M,,2019-11,AOR,
2019-08,512.64M,-2.368M,,2.168M,-6.327M,-15.96M,,,22.84M,22.84M,43.49M,,,,34.05M,,-1.196M,-14.06M,-108.91M,77.00M,191.36M,-18.20M,127.18M,,728.18M,,2019-08,-21.79M,-4.21M,-26.00M,11.75M,-2.361M,52.23M,,2019-08,-404.98M,,-404.98M,-0.246M,-318.09M,-318.34M,-12.90M,,4.599M,-731.62M,,1.021B,48.79M,1.070B,,2019-08,-0.246M,184.01M,-318.09M,,2019-08,AOR,Restated
2019-05,418.87M,50.54M,,-2.168M,-11.62M,36.22M,,,22.62M,22.62M,35.60M,,,,14.49M,,-2.595M,147.37M,-428.10M,195.13M,-363.07M,17.45M,-431.22M,,94.53M,,2019-05,-20.37M,4.21M,-16.16M,19.84M,8.74M,-13.60M,,2019-05,-44.06M,,-44.06M,0.027M,-52.09M,-52.06M,-13.02M,,-13.32M,-122.45M,,1.063B,-41.52M,1.021B,,2019-05,0.027M,-156.83M,-52.09M,,2019-05,AOR,Restated
2019-02,239.42M,-12.53M,,,5.71M,-7.756M,,,18.36M,18.36M,65.88M,,,,16.90M,,-0.138M,394.68M,-1.073B,-387.68M,156.72M,49.02M,-860.58M,,-524.42M,,2019-02,-27.40M,0.00,-27.40M,-21.86M,-7.129M,-77.99M,,2019-02,133.81M,,133.81M,0.607M,-49.14M,-48.54M,-12.86M,,-3.396M,69.02M,,1.596B,-533.39M,1.063B,,2019-02,0.607M,735.45M,-49.14M,,2019-02,AOR,Restated
2018-11,798.23M,-15.74M,5.107M,-297.23M,22.40M,-297.42M,,,24.47M,24.47M,79.90M,,30.53M,,17.02M,,3.013M,-417.84M,589.15M,71.44M,-124.72M,168.91M,286.93M,,965.33M,,2018-11,-48.95M,-22.82M,-71.77M,383.24M,52.70M,424.92M,,2018-11,-604.80M,,-604.80M,-0.128M,-250.34M,-250.47M,-13.17M,,-9.374M,-877.82M,,1.084B,512.43M,1.596B,,2018-11,-0.128M,-187.52M,-250.34M,,2018-11,AOR,Restated
2018-08,467.62M,0.00,0.00,-1.142M,11.86M,10.71M,,,25.28M,25.28M,141.24M,,2.517M,,21.92M,,8.958M,-57.59M,-316.10M,230.31M,174.43M,-74.14M,-43.09M,,706.90M,,2018-08,-22.56M,0.00,-22.56M,6.481M,1.933M,-67.56M,,2018-08,-677.91M,,-677.91M,0.005M,-20.96M,-20.96M,-13.20M,,-40.08M,-752.15M,,1.196B,-112.81M,1.084B,,2018-08,0.005M,-301.46M,-20.96M,,2018-08,AOR,Restated
2018-05,314.85M,0.00,-4.90M,-0.887M,-6.171M,-11.96M,,,21.86M,21.86M,13.11M,,0.523M,,15.95M,,1.735M,66.65M,139.81M,157.37M,-466.89M,-93.12M,-196.17M,,175.04M,,2018-05,-18.12M,22.82M,4.695M,-2.96M,-3.06M,52.68M,,2018-05,-36.52M,,-36.52M,3.184M,-3.171M,0.013M,-13.16M,,-65.92M,-115.58M,,1.084B,112.14M,1.196B,,2018-05,3.184M,488.98M,-3.171M,,2018-05,AOR,Restated
