,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,2.49B,4.841B,7.331B,2.119B,,2.119B,531.00M,503.00M,,1.034B,575.00M,,,,11.06B,,100.00B,-58.73B,41.27B,,,,8.295B,114.00M,,,2.42B,52.10B,63.16B,2.239B,339.00M,2.578B,1.111B,3.689B,,482.00M,482.00M,,4.64B,5.651B,14.90B,,14.90B,3.854B,5.517B,,1.661B,,,,27.73B,32.37B,18.00M,36.45B,47.11B,47.13B,,,,,-5.666B,30.78B
2020-06,1.492B,2.907B,4.956B,7.863B,1.532B,,1.532B,530.00M,452.00M,,982.00M,676.00M,,,,11.05B,,98.30B,-57.18B,41.12B,,,,8.334B,167.00M,,,2.372B,51.99B,63.05B,2.08B,312.00M,2.392B,1.145B,3.537B,,146.00M,146.00M,,4.105B,5.465B,14.85B,,14.85B,3.901B,5.545B,,1.586B,,,,27.45B,31.55B,18.00M,37.35B,47.08B,47.13B,,,,,-5.825B,31.49B
2020-03,1.937B,3.908B,4.286B,8.194B,2.264B,,2.264B,534.00M,192.00M,,726.00M,1.96B,,,,13.14B,,96.07B,-55.42B,40.64B,,,,8.707B,167.00M,,,2.37B,51.89B,65.03B,2.921B,853.00M,3.774B,1.852B,5.626B,,126.00M,126.00M,,6.075B,5.316B,14.85B,,14.85B,4.141B,5.845B,,1.563B,72.00M,,,27.57B,33.65B,18.00M,37.54B,47.03B,47.13B,,,,,-6.145B,31.32B
2019-12,2.242B,5.088B,5.139B,10.23B,3.401B,,3.401B,554.00M,472.00M,,1.026B,2.259B,,,,16.91B,97.75B,97.75B,-55.48B,42.27B,,,,8.444B,219.00M,243.00M,,2.426B,53.60B,70.51B,3.20B,1.03B,4.23B,2.045B,6.275B,,105.00M,105.00M,,7.043B,5.352B,14.79B,,14.79B,4.634B,6.498B,,1.781B,69.00M,,,28.42B,35.46B,18.00M,39.74B,46.98B,46.40B,,,,,-5.357B,34.98B
2019-09,651.00M,7.193B,2.859B,10.05B,3.616B,,3.616B,556.00M,399.00M,,955.00M,594.00M,,,,15.22B,,103.83B,-60.01B,43.81B,,,,8.916B,219.00M,,,2.174B,55.12B,70.34B,3.171B,1.077B,4.248B,1.03B,5.278B,,121.00M,121.00M,,5.942B,6.087B,14.80B,,14.80B,4.693B,6.487B,,1.786B,93.00M,,,29.16B,35.10B,18.00M,39.48B,46.95B,45.66B,,,,,-5.654B,35.15B
2019-06,764.00M,5.941B,2.567B,8.508B,3.651B,,3.651B,608.00M,481.00M,,1.089B,2.552B,,,,15.80B,,104.38B,-60.04B,44.33B,,,,8.748B,268.00M,,,2.111B,55.46B,71.26B,3.635B,1.213B,4.848B,3.505B,8.353B,,114.00M,114.00M,,8.996B,5.996B,14.81B,,14.81B,4.825B,6.697B,,1.689B,98.00M,,,29.19B,38.19B,18.00M,36.77B,46.92B,44.91B,,,,,-5.827B,32.98B
2019-03,897.00M,6.218B,2.054B,8.272B,3.869B,,3.869B,595.00M,419.00M,,1.014B,528.00M,,,,13.68B,,112.91B,-66.97B,45.94B,,,,9.302B,268.00M,,,2.303B,57.82B,71.50B,3.846B,1.539B,5.385B,1.402B,6.787B,,113.00M,113.00M,,7.37B,7.73B,14.83B,,14.83B,5.043B,6.881B,,1.704B,122.00M,,,31.15B,38.52B,18.00M,35.53B,46.88B,43.66B,,,,,-5.914B,32.86B
2018-12,876.00M,5.915B,1.71B,7.625B,4.067B,,4.067B,575.00M,432.00M,,1.007B,575.00M,,,,13.27B,110.60B,110.60B,-64.90B,45.70B,,,,9.091B,335.00M,238.00M,,1.344B,56.71B,69.98B,3.895B,1.32B,5.215B,1.259B,6.474B,,112.00M,112.00M,,7.395B,7.688B,14.86B,,14.86B,5.021B,6.213B,,1.764B,125.00M,,,30.52B,37.92B,18.00M,34.01B,46.88B,42.90B,,,,,-6.063B,31.94B
2018-09,511.00M,3.716B,2.961B,6.677B,4.499B,,4.499B,566.00M,673.00M,,1.239B,2.308B,,,,14.72B,,111.40B,-66.66B,44.74B,,,,9.553B,335.00M,,,1.209B,55.83B,70.56B,3.918B,1.582B,5.50B,1.18B,6.68B,,95.00M,95.00M,,7.401B,7.554B,14.90B,,14.90B,5.535B,6.865B,,1.755B,129.00M,,,31.08B,38.48B,18.00M,32.50B,46.86B,41.98B,,,,,-5.442B,31.95B
2018-06,842.00M,3.234B,2.771B,6.005B,3.93B,,3.93B,563.00M,530.00M,,1.093B,580.00M,,,,11.61B,,114.48B,-68.17B,46.31B,,,,9.435B,399.00M,,,1.188B,57.33B,68.94B,3.666B,1.301B,4.967B,1.071B,6.038B,,89.00M,89.00M,,6.638B,7.665B,14.88B,,14.88B,5.534B,6.752B,,1.774B,180.00M,,,31.08B,37.71B,18.00M,30.97B,46.75B,41.05B,,,,,-5.637B,31.04B
