,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,-450.00M,46.00M,49.00M,,,,1.411B,-108.00M,46.00M,162.00M,118.00M,-614.00M,-47.00M,100.00M,201.00M,,,-360.00M,,868.00M,-1.132B,,,,-59.00M,75.00M,-1.116B,280.00M,280.00M,-2.00M,-2.00M,-4.00M,-454.00M,-454.00M,1.00M,-177.00M,3.19B,-425.00M,31.00M,2.796B,,-2.00M,300.00M,-20.00M,-2.00M
2020-06,278.00M,373.00M,-223.00M,,,,1.158B,-93.00M,1.00M,-551.00M,106.00M,705.00M,-304.00M,-70.00M,-850.00M,,,-519.00M,,157.00M,-876.00M,,,,-95.00M,441.00M,-530.00M,-190.00M,-190.00M,0.00,0.00,0.00,-455.00M,-455.00M,-4.00M,-649.00M,4.183B,-1.022B,29.00M,3.19B,,0.00,,-190.00M,0.00
2020-03,-1.711B,31.00M,73.00M,,,,1.411B,-227.00M,588.00M,1.691B,-217.00M,1.041B,277.00M,-79.00M,-742.00M,,,497.00M,,2.105B,-1.649B,,,,-935.00M,652.00M,-1.932B,-24.00M,-24.00M,2.00M,-726.00M,-724.00M,-458.00M,-458.00M,-24.00M,-1.23B,5.362B,-1.057B,-122.00M,4.183B,,2.00M,,-24.00M,-726.00M
2019-12,743.00M,334.00M,252.00M,,,,1.488B,-140.00M,439.00M,489.00M,-607.00M,172.00M,-65.00M,66.00M,145.00M,,,318.00M,,2.982B,-1.595B,,,,-2.245B,10.00M,-3.83B,-21.00M,-21.00M,,-740.00M,-740.00M,-463.00M,-463.00M,-46.00M,-1.27B,7.458B,-2.118B,22.00M,5.362B,,,,-21.00M,-740.00M
2019-09,3.071B,-102.00M,-1.887B,,,,1.566B,-83.00M,317.00M,-116.00M,-224.00M,-128.00M,75.00M,120.00M,-374.00M,,,-307.00M,,2.337B,-1.675B,,,,-180.00M,2.005B,150.00M,-21.00M,-21.00M,,-752.00M,-752.00M,-341.00M,-341.00M,-18.00M,-1.132B,6.197B,1.355B,-94.00M,7.458B,,,,-21.00M,-752.00M
2019-06,1.597B,338.00M,256.00M,,,,1.49B,-220.00M,42.00M,-30.00M,287.00M,282.00M,-73.00M,-211.00M,-529.00M,,,-531.00M,,2.891B,-1.729B,,,,-484.00M,752.00M,-1.461B,-19.00M,-19.00M,,-1.248B,-1.248B,-346.00M,-346.00M,-41.00M,-1.654B,6.47B,-224.00M,-49.00M,6.197B,,,,-19.00M,-1.248B
2019-03,1.846B,24.00M,7.00M,,,,1.546B,-1.00M,28.00M,-343.00M,-135.00M,179.00M,-4.00M,62.00M,-291.00M,,,-54.00M,,2.894B,-1.637B,,,,-1.00M,161.00M,-1.477B,-19.00M,-19.00M,,-790.00M,-790.00M,-350.00M,-350.00M,-14.00M,-1.173B,6.151B,244.00M,75.00M,6.47B,,,,-19.00M,-790.00M
2018-12,1.878B,163.00M,-725.00M,,,,1.612B,-115.00M,37.00M,,501.00M,382.00M,251.00M,-4.00M,-34.00M,,,595.00M,,3.783B,-1.617B,,,,624.00M,815.00M,-178.00M,-25.00M,-25.00M,0.00,-926.00M,-926.00M,-354.00M,-354.00M,-12.00M,-1.317B,3.94B,2.288B,-77.00M,6.151B,,0.00,,-25.00M,-926.00M
2018-09,1.873B,-105.00M,-218.00M,,,,1.494B,136.00M,72.00M,,104.00M,-602.00M,-144.00M,97.00M,598.00M,,,-51.00M,,3.41B,-1.599B,,,,-261.00M,222.00M,-1.638B,-18.00M,-18.00M,79.00M,-927.00M,-848.00M,-334.00M,-334.00M,-63.00M,-1.263B,3.457B,509.00M,-26.00M,3.94B,,79.00M,,-18.00M,-927.00M
2018-06,1.654B,128.00M,73.00M,,,,1.438B,197.00M,-19.00M,,-178.00M,316.00M,-33.00M,-126.00M,20.00M,,,177.00M,,3.342B,-1.999B,,,,-336.00M,386.00M,-1.949B,-2.064B,-2.064B,42.00M,-628.00M,-586.00M,-337.00M,-337.00M,-16.00M,-3.003B,5.206B,-1.61B,-139.00M,3.457B,,42.00M,,-2.064B,-628.00M
2018-03,900.00M,-34.00M,-41.00M,,,,1.412B,65.00M,32.00M,,117.00M,139.00M,12.00M,-22.00M,-215.00M,,,-86.00M,,2.399B,-1.535B,,,,1.593B,-136.00M,-78.00M,-2.888B,-2.888B,,-518.00M,-518.00M,-338.00M,-338.00M,-32.00M,-3.776B,6.536B,-1.455B,125.00M,5.206B,,,,-2.888B,-518.00M
2017-12,1.598B,-39.00M,-72.00M,,,,1.633B,-911.00M,257.00M,,24.00M,-951.00M,-40.00M,81.00M,862.00M,,,-48.00M,,2.481B,-1.517B,,,,793.00M,255.00M,-469.00M,-1.282B,-1.282B,,-953.00M,-953.00M,-319.00M,-319.00M,-32.00M,-2.586B,6.911B,-574.00M,-12.00M,6.325B,,,,-1.282B,-953.00M
2017-09,436.00M,-72.00M,-318.00M,,,,1.608B,-222.00M,13.00M,,-453.00M,-248.00M,-12.00M,123.00M,128.00M,,,-9.00M,,1.055B,-1.088B,,,,70.00M,3.026B,2.008B,-2.515B,-2.515B,,-972.00M,-972.00M,-324.00M,-324.00M,-16.00M,-3.827B,7.534B,-764.00M,141.00M,6.911B,,,,-2.515B,-972.00M
2017-06,-3.426B,-78.00M,-1.954B,,,,1.625B,-1.234B,6.316B,,314.00M,235.00M,73.00M,-145.00M,-53.00M,,,110.00M,,1.751B,-1.02B,,,,-2.45B,10.67B,7.197B,-3.24B,-3.24B,,-980.00M,-980.00M,-331.00M,-331.00M,-48.00M,-4.599B,3.109B,4.349B,76.00M,7.534B,,,,-3.24B,-980.00M
