,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.386B,4.386B,4.213B,173.00M,96.00M,-5.00M,179.00M,200.00M,-200.00M,125.00M,400.00M,-227.00M,200.00M,-200.00M,-85.00M,-200.00M,-512.00M,-62.00M,-450.00M,,,0.00,-450.00M,-450.00M,1.099B,1.411B,-312.00M,-0.42,,,,-0.42,-0.42,-0.42,,,,-0.42,-0.42,1.077B,1.077B,0.42
2020-06,2.749B,2.749B,3.335B,-586.00M,156.00M,598.00M,141.00M,202.00M,-202.00M,97.00M,394.00M,-980.00M,202.00M,-202.00M,1.203B,-202.00M,21.00M,-257.00M,278.00M,-18.00M,,,260.00M,-153.43M,1.381B,1.158B,223.00M,0.2582,-0.0167,,,-0.1425,0.24,0.258,-0.0167,,,-0.1424,0.24,1.077B,1.078B,0.42
2020-03,6.158B,6.158B,5.245B,913.00M,-3.00M,-563.00M,250.00M,202.00M,-202.00M,188.00M,435.00M,478.00M,202.00M,-202.00M,-1.839B,-202.00M,-1.563B,148.00M,-1.711B,,,-28.00M,-1.739B,-1.394B,50.00M,1.411B,-1.361B,-1.6,,,,-1.2819999999999998,-1.6,-1.6,,,,-1.2819999999999998,-1.6,1.085B,1.085B,0.42
2019-12,7.708B,7.708B,5.573B,2.135B,187.00M,-297.00M,247.00M,196.00M,-30.00M,-392.00M,42.00M,2.093B,196.00M,-30.00M,-777.00M,-30.00M,1.286B,543.00M,743.00M,,,-23.00M,720.00M,497.35M,2.97B,1.488B,1.482B,0.66,,,,0.4567,0.66,0.65,,,,0.4478,0.65,1.095B,1.101B,0.42
2019-09,7.756B,7.756B,5.607B,2.149B,87.00M,1.761B,237.00M,184.00M,-184.00M,360.00M,684.00M,1.465B,184.00M,-184.00M,2.212B,-184.00M,3.493B,422.00M,3.071B,,,-15.00M,3.056B,1.488B,5.243B,1.566B,3.677B,2.76,,,,1.345,2.76,2.74,,,,1.331,2.74,1.109B,1.113B,0.305
2019-06,7.953B,7.953B,5.582B,2.371B,129.00M,81.00M,194.00M,165.00M,-165.00M,122.00M,445.00M,1.926B,165.00M,-165.00M,297.00M,-165.00M,2.058B,461.00M,1.597B,-17.00M,,,1.58B,1.556B,3.713B,1.49B,2.223B,1.4180000000000001,-0.0151,,,1.382,1.4,1.412,-0.0151,,,1.375,1.4,1.126B,1.131B,0.305
2019-03,9.15B,9.15B,6.492B,2.658B,153.00M,16.00M,275.00M,233.00M,-233.00M,110.00M,538.00M,2.12B,233.00M,-233.00M,800.00M,-233.00M,2.687B,841.00M,1.846B,,,-13.00M,1.833B,1.830B,4.466B,1.546B,2.92B,1.61,,,,1.608,1.61,1.6,,,,1.598,1.6,1.139B,1.147B,0.305
2018-12,9.666B,9.666B,6.96B,2.706B,65.00M,882.00M,280.00M,188.00M,-91.00M,-411.00M,-66.00M,2.772B,188.00M,-91.00M,-9.00M,-91.00M,2.672B,794.00M,1.878B,,,-10.00M,1.868B,1.538B,4.472B,1.612B,2.86B,1.62,,,,1.334,1.62,1.61,,,,1.3259999999999998,1.61,1.151B,1.160B,0.305
2018-09,9.449B,9.449B,6.391B,3.058B,119.00M,69.00M,312.00M,186.00M,-186.00M,103.00M,534.00M,2.524B,186.00M,-186.00M,568.00M,-186.00M,2.906B,1.033B,1.873B,,,-12.00M,1.861B,1.820B,4.586B,1.494B,3.092B,1.6,,,,1.565,1.6,1.59,,,,1.555,1.59,1.163B,1.173B,0.285
2018-06,8.504B,8.504B,5.815B,2.689B,118.00M,90.00M,273.00M,177.00M,-177.00M,69.00M,460.00M,2.229B,177.00M,-177.00M,567.00M,-177.00M,2.619B,965.00M,1.654B,,,-14.00M,1.64B,1.566B,4.234B,1.438B,2.796B,1.4,,,,1.337,1.4,1.39,,,,1.327,1.39,1.172B,1.181B,0.285
