,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.301B,,1.301B,558.57M,,558.57M,66.51M,,,1.926B,0.00,,202.06M,153.33M,2.996M,56.54M,414.92M,-181.15M,233.78M,1.566B,234.75M,1.801B,190.90M,23.63M,23.98M,2.273B,4.199B,,14.25M,26.20M,,40.45M,143.89M,184.34M,,,,675.87M,675.87M,,1.022B,3.367B,152.34M,3.519B,12.77M,12.77M,88.22M,3.620B,4.642B,,1.328M,2.554B,1.403B,4.343B,-58.86M,-443.23M,,AOR,
2020-09,1.303B,,1.303B,429.80M,,429.80M,110.43M,,,1.843B,0.00,,199.20M,153.73M,2.011M,57.44M,412.37M,-179.68M,232.69M,1.562B,240.86M,1.803B,190.21M,23.77M,18.72M,2.269B,4.112B,,4.718M,22.04M,,26.76M,149.00M,175.76M,,,,531.49M,531.49M,,834.85M,3.366B,152.81M,3.519B,63.84M,63.84M,81.01M,3.663B,4.498B,,1.328M,2.463B,1.392B,4.178B,-65.30M,-386.59M,,AOR,
2020-06,1.385B,,1.385B,466.10M,,466.10M,58.80M,,,1.910B,0.00,,205.53M,158.41M,4.192M,55.18M,423.31M,-181.64M,241.67M,1.560B,246.87M,1.806B,190.86M,20.66M,17.92M,2.278B,4.187B,,6.996M,30.90M,,37.90M,129.48M,167.37M,,,,587.11M,587.11M,,845.00M,3.365B,156.66M,3.521B,54.58M,54.58M,77.31M,3.653B,4.498B,,1.328M,2.347B,1.381B,3.969B,-71.07M,-310.93M,,AOR,
2020-03,1.067B,,1.067B,481.99M,,481.99M,70.93M,,,1.620B,0.00,,201.91M,163.70M,3.779M,54.83M,424.22M,-174.24M,249.98M,1.559B,253.40M,1.813B,190.82M,19.94M,18.46M,2.292B,3.912B,,5.864M,16.49M,,22.35M,138.80M,161.15M,,,,574.47M,574.47M,,798.28M,3.170B,161.55M,3.332B,58.39M,58.39M,77.85M,3.468B,4.266B,,1.328M,2.289B,1.366B,3.939B,-72.20M,-354.33M,,AOR,
2019-12,1.507B,,1.507B,499.27M,,499.27M,75.94M,,,2.082B,0.00,,198.27M,166.41M,8.667M,52.34M,425.68M,-168.57M,257.11M,1.563B,261.49M,1.824B,0.00,20.91M,20.28M,2.123B,4.204B,,6.498M,14.21M,,20.71M,139.15M,159.86M,,,,574.66M,574.66M,,900.79M,3.072B,164.14M,3.236B,66.64M,66.64M,77.66M,3.380B,4.281B,,1.324M,2.199B,1.351B,3.566B,-62.58M,-76.71M,,AOR,Restated
2019-09,881.15M,,881.15M,409.52M,,409.52M,95.42M,,,1.386B,0.00,,184.97M,164.94M,9.823M,51.70M,411.43M,-160.07M,251.36M,1.544B,261.94M,1.806B,,16.58M,19.69M,2.094B,3.480B,,2.396M,11.65M,,14.05M,128.46M,142.51M,,,,479.37M,479.37M,,744.52M,2.578B,163.57M,2.742B,72.96M,72.96M,68.39M,2.883B,3.628B,,1.323M,2.135B,1.338B,3.560B,-62.10M,-147.86M,,AOR,Restated
2019-06,771.12M,,771.12M,438.31M,,438.31M,113.65M,,,1.323B,0.00,,220.57M,167.93M,9.005M,52.78M,450.29M,-196.48M,253.81M,1.546B,268.09M,1.814B,,15.88M,18.51M,2.102B,3.425B,,3.489M,10.71M,,14.20M,133.40M,147.60M,,,,528.92M,528.92M,,766.96M,2.577B,166.39M,2.744B,77.84M,77.84M,68.43M,2.890B,3.657B,,1.323M,2.056B,1.328B,3.559B,-57.76M,-231.80M,,AOR,Restated
2019-03,642.78M,,642.78M,427.10M,,427.10M,108.05M,,,1.178B,0.00,,214.83M,170.57M,8.438M,52.42M,446.26M,-189.60M,256.66M,1.547B,274.58M,1.822B,,20.21M,19.23M,2.118B,3.296B,,2.099M,10.42M,,12.52M,127.41M,139.93M,,,,524.99M,524.99M,,720.80M,2.576B,168.49M,2.745B,79.60M,79.60M,66.80M,2.891B,3.612B,,1.323M,1.980B,1.317B,3.557B,-57.20M,-316.51M,,AOR,Restated
2018-12,904.18M,,904.18M,473.43M,,473.43M,57.48M,,,1.435B,0.00,,212.45M,,10.51M,53.43M,276.38M,-185.50M,90.88M,1.546B,280.80M,1.827B,,14.90M,20.52M,1.953B,3.388B,,3.892M,16.25M,,20.14M,113.84M,133.99M,,,,537.98M,537.98M,,809.01M,2.576B,0.00,2.576B,82.01M,82.01M,87.93M,2.745B,3.554B,,1.30M,1.857B,1.306B,3.273B,-58.40M,-166.49M,,AOR,Restated
2018-09,1.398B,,1.398B,378.70M,,378.70M,61.25M,,,1.857B,0.00,,206.77M,,3.728M,50.87M,261.36M,-178.62M,82.74M,1.547B,287.44M,1.834B,,11.86M,20.01M,1.949B,3.806B,,2.20M,9.581M,,11.78M,106.33M,118.11M,,,,441.88M,441.88M,5.234M,675.05M,2.575B,,2.575B,70.63M,70.63M,107.67M,2.753B,3.428B,,1.30M,1.756B,1.295B,2.616B,-58.21M,378.44M,,AOR,Restated
2018-06,1.368B,,1.368B,394.89M,,394.89M,57.01M,,,1.819B,0.00,,211.81M,,1.026M,51.14M,263.98M,-182.98M,81.00M,1.556B,298.97M,1.855B,,11.67M,18.33M,1.966B,3.786B,,1.237M,21.69M,,22.93M,101.84M,124.77M,,,,483.23M,483.23M,,685.68M,2.574B,,2.574B,73.55M,73.55M,106.42M,2.754B,3.439B,,1.30M,1.684B,1.285B,2.570B,-54.88M,346.42M,,AOR,Restated
2018-03,849.83M,,849.83M,462.58M,,462.58M,35.95M,,,1.348B,0.00,,211.11M,,0.776M,51.98M,263.87M,-177.56M,86.31M,1.563B,316.26M,1.879B,,11.88M,19.03M,1.996B,3.344B,,1.382M,22.14M,,23.53M,83.11M,106.63M,,,,503.30M,503.30M,,655.88M,2.079B,,2.079B,76.77M,76.77M,111.66M,2.267B,2.923B,,1.30M,1.602B,1.276B,2.413B,-44.34M,421.37M,,AOR,Restated
2017-12,889.50M,,889.50M,327.60M,,327.60M,50.03M,,,1.267B,0.00,,211.18M,,3.406M,51.13M,265.72M,-171.28M,94.44M,1.561B,321.84M,1.882B,,12.01M,19.63M,2.009B,3.276B,,1.612M,14.83M,,16.44M,85.71M,102.15M,,,,374.36M,374.36M,,607.67M,2.078B,,2.078B,78.03M,78.03M,110.86M,2.267B,2.875B,,1.295M,1.505B,1.265B,2.322B,-48.35M,401.01M,,AOR,Restated
