,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,156.22M,,,,,0.00,13.27M,14.77M,28.04M,28.04M,-51.02M,,10.71M,,1.171M,-127.45M,45.98M,4.206M,,168.08M,90.81M,235.93M,,-16.89M,0.00,0.00,0.00,,,-16.89M,,0.00,0.00,-164.95M,-164.95M,-64.60M,-64.60M,0.00,0.00,-229.55M,,1.303B,-10.52M,8.181M,1.301B,,0.00,0.00,-164.95M,40.34M,53.56M,,AOR,
2020-09,182.36M,,,,0.087M,0.087M,13.54M,14.33M,27.87M,27.87M,5.222M,,11.12M,,2.118M,37.72M,-50.99M,7.071M,,-22.78M,-28.98M,199.80M,,-11.72M,0.00,0.00,0.00,,,-11.72M,,0.00,0.00,-209.00M,-209.00M,-65.43M,-65.43M,0.00,0.00,-274.43M,,1.385B,-86.36M,4.244M,1.303B,,0.00,0.00,-209.00M,53.75M,19.21M,,AOR,
2020-06,115.12M,,,,-0.087M,34.88M,13.49M,14.06M,27.55M,27.55M,-4.679M,,14.10M,,1.474M,16.20M,12.59M,10.32M,,35.05M,74.17M,262.62M,,-11.54M,0.00,0.00,0.006M,,,-11.54M,,165.49M,165.49M,-31.67M,-31.67M,-57.03M,-57.03M,0.00,-11.76M,65.03M,,1.067B,316.11M,2.011M,1.385B,,1.00B,-834.51M,-31.67M,13.88M,50.13M,,AOR,
2020-03,148.12M,,,,,9.966M,13.56M,13.78M,27.33M,27.33M,-5.165M,,15.16M,,1.426M,15.93M,3.626M,-2.87M,,-100.76M,-84.08M,112.77M,,-10.82M,,,-190.82M,,,-201.64M,,97.12M,97.12M,-372.89M,-372.89M,-59.38M,-59.38M,,-4.934M,-340.08M,,1.507B,-428.95M,-10.76M,1.067B,,405.00M,-307.88M,-372.89M,5.684M,40.50M,,AOR,
2019-12,122.78M,,,,,16.79M,13.25M,13.24M,26.49M,26.49M,-10.92M,,10.71M,,1.502M,-88.25M,20.27M,16.54M,,127.74M,76.28M,243.64M,,-18.47M,0.00,0.00,-18.18M,,,-36.64M,,486.88M,486.88M,-5.785M,-5.785M,-57.84M,-57.84M,2.184M,,413.65M,,881.15M,620.65M,4.771M,1.507B,,1.00B,-513.12M,-5.785M,7.571M,36.47M,,AOR,Restated
2019-09,136.98M,,,,,,12.78M,12.36M,25.14M,25.14M,-4.535M,,10.52M,,1.72M,26.72M,18.02M,-5.064M,,-20.96M,18.70M,188.54M,,-14.76M,0.00,0.00,0.00,,,-14.76M,,0.00,0.00,-1.081M,-1.081M,-57.85M,-57.85M,0.161M,,-58.77M,,771.12M,115.00M,-4.971M,881.15M,,0.00,0.00,-1.081M,9.622M,35.16M,,AOR,Restated
2019-06,125.69M,,,,0.00,0.00,13.02M,12.01M,25.04M,25.04M,3.088M,,10.43M,,1.158M,-11.19M,-5.973M,7.279M,,33.95M,24.07M,189.47M,,-12.39M,0.00,0.00,0.00,,,-12.39M,,0.00,0.00,-0.743M,-0.743M,-49.34M,-49.34M,0.165M,,-49.91M,,642.78M,127.16M,1.171M,771.12M,,0.00,0.00,-0.743M,38.43M,34.71M,,AOR,Restated
2019-03,178.19M,,,,,,13.43M,11.79M,25.23M,25.23M,-8.397M,,9.541M,,0.786M,46.80M,-53.21M,-14.74M,,-96.33M,-117.47M,87.88M,,-8.146M,0.01M,0.01M,0.00,,,-8.136M,,0.00,0.00,-284.47M,-284.47M,-57.90M,-57.90M,0.726M,,-341.64M,,904.18M,-261.90M,0.501M,642.78M,,0.00,0.00,-284.47M,17.31M,35.15M,,AOR,Restated
2018-12,152.13M,-49.35M,,,,-49.35M,8.311M,11.63M,19.94M,19.94M,8.33M,,10.96M,,0.44M,-93.69M,3.901M,16.31M,,104.21M,30.72M,173.18M,,-22.78M,0.00,0.00,62.82M,,,40.04M,,0.00,0.00,-656.92M,-656.92M,-50.40M,-50.40M,0.24M,0.00,-707.08M,,1.398B,-493.87M,-0.352M,904.18M,,0.00,,-656.92M,33.02M,34.48M,,AOR,Restated
2018-09,123.83M,-0.01M,,,,-0.01M,7.453M,11.68M,19.13M,19.13M,-4.83M,,9.87M,,1.147M,11.30M,-4.721M,-7.728M,,-4.17M,-5.318M,143.82M,,-13.11M,0.00,0.00,0.01M,,,-13.10M,,0.00,0.00,-46.27M,-46.27M,-51.73M,-51.73M,0.246M,0.00,-97.76M,,1.368B,32.97M,-2.168M,1.398B,,0.00,,-46.27M,36.70M,35.13M,,AOR,Restated
