,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,431.80M,443.66M,75.94M,367.73M,56.66M,27.87M,84.53M,27.06M,7.281M,14.77M,,37.33M,0.301M,-37.03M,133.64M,234.08M,0.301M,37.33M,-37.03M,-1.89M,-37.03M,195.17M,38.95M,156.22M,,,156.22M,156.22M,260.54M,28.04M,232.50M,,1.89,,,1.89,1.89,,1.87,,,1.87,1.87,,82.73M,83.70M,0.78,,AOR,
2020-09,413.56M,425.33M,70.70M,354.63M,52.67M,27.61M,80.28M,24.90M,7.494M,14.33M,,37.54M,0.475M,-37.06M,127.01M,227.62M,0.475M,37.54M,-37.06M,-1.516M,-37.06M,189.04M,6.685M,182.36M,,,182.36M,182.36M,254.45M,27.87M,226.58M,,2.18,,,2.18,2.18,,2.16,,,2.16,2.16,,83.60M,84.48M,0.78,,AOR,
2020-06,397.96M,409.62M,70.46M,339.16M,51.62M,28.31M,79.93M,22.53M,7.463M,14.06M,,41.23M,0.771M,-40.46M,123.98M,215.18M,0.771M,41.23M,-40.46M,-35.55M,-40.46M,139.17M,24.04M,115.12M,,,115.12M,115.12M,207.95M,27.55M,180.39M,,1.38,,,1.38,1.38,,1.36,,,1.36,1.36,,83.67M,84.35M,0.68,,AOR,
2020-03,404.62M,416.78M,74.61M,342.17M,55.55M,30.83M,86.38M,26.56M,7.567M,13.78M,,40.23M,3.483M,-36.75M,134.29M,207.88M,3.483M,40.23M,-36.75M,-8.287M,-36.75M,162.85M,14.72M,148.12M,,,148.12M,148.12M,230.41M,27.33M,203.08M,,1.75,,,1.75,1.75,,1.73,,,1.73,1.73,,84.87M,85.55M,0.68,,AOR,
2019-12,390.79M,406.61M,70.15M,336.45M,59.49M,29.66M,89.14M,27.10M,7.535M,13.24M,,40.29M,5.299M,-34.99M,137.02M,199.43M,5.299M,40.29M,-34.99M,-17.91M,-34.99M,146.53M,23.75M,122.78M,,,122.78M,122.78M,213.31M,26.49M,186.82M,,1.45,,,1.45,1.45,,1.44,,,1.44,1.44,,84.80M,85.54M,0.68,,AOR,Restated
2019-09,384.12M,394.25M,70.49M,323.76M,52.11M,26.56M,78.67M,24.31M,7.209M,12.36M,,35.92M,3.673M,-32.25M,122.55M,201.22M,3.673M,35.92M,-32.25M,-0.222M,-32.25M,168.75M,31.76M,136.98M,,,136.98M,136.98M,229.82M,25.14M,204.67M,,1.62,,,1.62,1.62,,1.60,,,1.60,1.60,,84.76M,85.55M,0.68,,AOR,Restated
2019-06,376.88M,385.56M,71.98M,313.58M,51.66M,26.38M,78.04M,23.75M,7.405M,12.01M,,35.92M,3.345M,-32.57M,121.20M,192.38M,3.345M,35.92M,-32.57M,-0.063M,-32.57M,159.74M,34.06M,125.69M,,,125.69M,125.69M,220.70M,25.04M,195.66M,,1.48,,,1.48,1.48,,1.47,,,1.47,1.47,,84.75M,85.39M,0.58,,AOR,Restated
2019-03,364.17M,371.38M,82.35M,289.04M,56.05M,27.50M,83.54M,23.17M,7.85M,11.79M,,35.92M,4.086M,-31.83M,126.36M,162.68M,4.086M,35.92M,-31.83M,-2.554M,-31.83M,128.29M,-49.90M,178.19M,,,178.19M,178.19M,189.43M,25.23M,164.21M,,2.11,,,2.11,2.11,,2.08,,,2.08,2.08,,84.25M,85.65M,0.58,,AOR,Restated
2018-12,383.93M,361.69M,73.76M,287.93M,52.95M,24.91M,77.86M,20.31M,8.311M,11.63M,,35.89M,6.096M,-29.80M,118.11M,169.82M,6.096M,35.89M,-29.80M,47.27M,-29.80M,187.29M,35.16M,152.13M,,,152.13M,152.13M,243.12M,19.94M,223.18M,,1.75,,,1.75,1.75,,1.70,,,1.70,1.70,,80.75M,83.28M,0.58,,AOR,Restated
2018-09,349.38M,357.93M,70.91M,287.03M,46.15M,24.75M,70.90M,20.59M,7.453M,11.68M,,35.90M,6.522M,-29.38M,110.62M,176.40M,6.522M,35.90M,-29.38M,-0.177M,-29.38M,146.85M,23.01M,123.83M,,,123.83M,123.83M,201.88M,19.13M,182.75M,,1.39,,,1.39,1.39,,1.36,,,1.36,1.36,,88.80M,91.37M,0.58,,AOR,Restated
2018-06,354.37M,363.05M,71.37M,291.68M,47.42M,24.04M,71.45M,19.80M,7.377M,19.54M,,31.76M,4.281M,-27.48M,118.17M,173.51M,4.281M,31.76M,-27.48M,10.29M,-27.48M,156.32M,39.49M,116.83M,,,116.83M,116.83M,215.00M,26.91M,188.08M,,1.31,,,1.31,1.31,,1.28,,,1.28,1.28,,89.11M,91.59M,0.38,,AOR,Restated
2018-03,351.32M,351.32M,71.30M,280.01M,46.41M,26.19M,72.60M,20.71M,8.205M,11.34M,,29.56M,2.77M,-26.79M,112.85M,167.17M,2.77M,29.56M,-26.79M,-0.938M,-26.79M,139.44M,24.35M,115.09M,,,115.09M,115.09M,188.54M,19.54M,169.00M,,1.28,,,1.28,1.28,,1.24,,,1.24,1.24,,90.08M,92.59M,0.38,,AOR,Restated
2017-12,327.57M,334.78M,69.25M,265.53M,47.73M,23.28M,71.01M,20.71M,8.118M,11.56M,,29.03M,2.237M,-26.79M,111.39M,154.14M,2.237M,29.03M,-26.79M,-0.389M,-26.79M,126.96M,62.36M,64.60M,,,64.60M,64.60M,175.66M,19.68M,155.99M,,0.72,,,0.72,0.72,,0.70,,,0.70,0.70,,90.13M,92.46M,0.38,,AOR,Restated
2017-09,316.26M,322.10M,68.43M,253.66M,44.87M,22.08M,66.95M,17.97M,9.325M,10.61M,,29.02M,1.835M,-27.18M,104.86M,148.80M,1.835M,29.02M,-27.18M,-0.811M,-27.18M,120.80M,35.65M,85.15M,,,85.15M,85.15M,169.76M,19.94M,149.82M,,0.94,,,0.94,0.94,,0.93,,,0.93,0.93,,90.11M,91.87M,0.38,,AOR,Restated
