,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,356.68M,-216.87M,-266.29M,175.05M,175.05M,8.67M,37.92M,,37.92M,-30.27M,2.697M,-0.233M,63.67M,,,34.07M,69.93M,381.95M,-154.12M,,,-9.042M,229.47M,-287.13M,,-211.78M,-2.50M,-2.50M,,0.00,0.00,-55.18M,-55.18M,45.77M,-11.05M,-22.96M,269.90M,147.21M,2.047M,419.15M,,0.00,-2.50M,0.00,,
2020-06,134.75M,,-25.93M,171.30M,171.30M,2.435M,37.55M,,37.55M,-25.65M,5.805M,-22.75M,4.92M,,,-23.83M,-61.50M,258.59M,-205.56M,,,-10.97M,-35.02M,-7.853M,,-248.44M,0.00,0.00,,0.00,0.00,-55.05M,-55.05M,38.70M,-10.26M,-26.61M,285.41M,-16.45M,0.936M,269.90M,,0.00,,0.00,,
2020-03,147.16M,,-0.477M,172.65M,172.65M,10.45M,35.03M,,35.03M,-22.77M,-0.296M,-13.68M,-2.241M,,,-42.31M,-81.30M,283.51M,-132.78M,,,-9.682M,-0.744M,-3.082M,,-136.61M,300.00M,300.00M,,-650.00M,-650.00M,-56.05M,-56.05M,118.20M,-8.117M,-295.96M,441.84M,-149.07M,-7.365M,285.41M,,300.00M,,-650.00M,,
2019-12,154.33M,,-5.39M,178.41M,178.41M,28.33M,30.22M,,30.22M,33.56M,-0.022M,-1.557M,-30.46M,,,50.16M,51.68M,437.58M,-155.31M,,,-9.793M,-74.54M,25.83M,,-204.02M,0.00,0.00,,-300.00M,-300.00M,-56.53M,-56.53M,69.56M,-1.607M,-288.58M,496.43M,-55.02M,0.434M,441.84M,,0.00,,-300.00M,,
2019-09,81.94M,0.00,-8.722M,173.07M,173.07M,7.639M,30.54M,,30.54M,72.40M,0.002M,0.857M,5.04M,,,-11.31M,66.99M,351.45M,-185.43M,,,-8.337M,0.00,40.33M,,-145.10M,0.00,0.00,,-400.00M,-400.00M,-57.29M,-57.29M,63.47M,-14.13M,-407.95M,702.92M,-201.60M,-4.889M,496.43M,,0.00,0.00,-400.00M,,
2019-06,126.97M,,-15.51M,169.82M,169.82M,11.16M,23.02M,,23.02M,-61.63M,0.947M,-62.73M,31.31M,,,-16.54M,-108.64M,206.81M,-237.43M,,,-8.463M,0.00,129.80M,,-107.63M,600.00M,600.00M,,-600.00M,-600.00M,0.00,0.00,109.72M,-7.58M,102.14M,503.16M,201.32M,-1.554M,702.92M,,600.00M,,-600.00M,,
2019-03,166.22M,,,166.67M,166.67M,3.998M,19.86M,,19.86M,13.79M,0.928M,-13.32M,20.67M,,,-61.55M,-39.48M,317.27M,-202.81M,,,-8.994M,0.00,19.15M,,-183.66M,0.00,0.00,,-20.54M,-20.54M,0.00,0.00,15.28M,-1.73M,-6.991M,374.13M,126.62M,2.415M,503.16M,,0.00,,-20.54M,,
2018-12,131.32M,,,168.84M,168.84M,18.02M,21.08M,,21.08M,42.26M,-0.301M,-5.837M,-15.71M,,,47.22M,67.64M,406.89M,-218.06M,,,-12.52M,,-48.78M,,-266.84M,0.00,0.00,,-277.92M,-277.92M,,,9.348M,4.486M,-264.08M,498.61M,-124.04M,-0.451M,374.13M,,,0.00,-277.92M,,
2018-09,169.38M,,,161.10M,161.10M,14.68M,25.21M,,25.21M,-64.00M,-9.396M,-18.98M,-13.98M,,,74.45M,-31.92M,338.45M,-191.06M,,,-7.931M,,-159.85M,,-350.91M,0.00,0.00,,-57.59M,-57.59M,0.00,0.00,60.66M,1.504M,4.576M,510.97M,-7.882M,-4.472M,498.61M,,0.00,0.00,-57.59M,,
2018-06,169.36M,,,160.05M,160.05M,4.783M,24.20M,,24.20M,-115.43M,-1.055M,55.48M,35.23M,,,-32.93M,-58.70M,299.70M,-186.53M,,,-7.901M,,186.85M,,0.316M,0.00,0.00,,-200.00M,-200.00M,,,11.31M,-7.276M,-195.97M,413.40M,104.05M,-6.479M,510.97M,,0.00,0.00,-200.00M,,
